
 Fermi energy:         1.4098280782

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -18.9419      1.00000
      2     -18.8040      1.00000
      3     -18.7889      1.00000
      4     -18.6432      1.00000
      5     -18.3542      1.00000
      6     -18.3542      1.00000
      7     -18.3409      1.00000
      8     -18.3364      1.00000
      9     -18.3364      1.00000
     10     -18.3324      1.00000
     11     -18.2354      1.00000
     12     -18.2255      1.00000
     13     -18.2255      1.00000
     14     -18.2116      1.00000
     15     -18.2116      1.00000
     16     -18.2098      1.00000
     17     -18.2007      1.00000
     18     -18.2007      1.00000
     19     -18.1974      1.00000
     20     -18.1864      1.00000
     21     -18.1864      1.00000
     22     -18.1417      1.00000
     23     -18.0683      1.00000
     24     -18.0683      1.00000
     25     -18.0583      1.00000
     26     -18.0492      1.00000
     27     -18.0492      1.00000
     28     -17.8929      1.00000
     29     -17.2216      1.00000
     30     -17.2180      1.00000
     31     -17.2180      1.00000
     32     -17.2033      1.00000
     33     -17.2033      1.00000
     34     -17.1982      1.00000
     35     -17.1107      1.00000
     36     -17.1106      1.00000
     37     -17.1025      1.00000
     38     -17.1025      1.00000
     39     -17.1004      1.00000
     40     -17.1004      1.00000
     41     -17.0958      1.00000
     42     -17.0958      1.00000
     43     -17.0945      1.00000
     44     -17.0642      1.00000
     45     -17.0642      1.00000
     46     -17.0391      1.00000
     47     -16.9781      1.00000
     48     -16.9764      1.00000
     49     -16.9764      1.00000
     50     -16.9499      1.00000
     51     -16.9499      1.00000
     52     -16.9060      1.00000
     53     -16.7217      1.00000
     54     -16.7217      1.00000
     55     -16.7097      1.00000
     56     -16.7020      1.00000
     57     -16.7020      1.00000
     58     -16.6912      1.00000
     59     -16.6218      1.00000
     60     -16.6190      1.00000
     61     -16.6189      1.00000
     62     -16.6125      1.00000
     63     -16.6125      1.00000
     64     -16.6115      1.00000
     65     -16.6115      1.00000
     66     -16.6082      1.00000
     67     -16.5971      1.00000
     68     -16.5686      1.00000
     69     -16.5686      1.00000
     70     -16.5438      1.00000
     71     -16.5046      1.00000
     72     -16.5045      1.00000
     73     -16.4913      1.00000
     74     -16.4569      1.00000
     75     -16.4569      1.00000
     76     -16.2215      1.00000
     77     -15.5099      1.00000
     78     -15.5099      1.00000
     79     -15.4982      1.00000
     80     -15.4982      1.00000
     81     -15.4930      1.00000
     82     -15.4930      1.00000
     83     -15.4851      1.00000
     84     -15.4845      1.00000
     85     -15.4845      1.00000
     86     -15.4838      1.00000
     87     -15.4816      1.00000
     88     -15.4816      1.00000
     89     -15.4659      1.00000
     90     -15.4483      1.00000
     91     -15.4483      1.00000
     92     -15.4427      1.00000
     93     -15.4363      1.00000
     94     -15.4363      1.00000
     95     -15.4313      1.00000
     96     -15.4313      1.00000
     97     -15.4233      1.00000
     98     -15.4223      1.00000
     99     -15.4223      1.00000
    100     -15.4221      1.00000
    101     -15.4221      1.00000
    102     -15.4215      1.00000
    103     -15.4215      1.00000
    104     -15.4190      1.00000
    105     -15.4181      1.00000
    106     -15.4169      1.00000
    107     -15.4159      1.00000
    108     -15.4091      1.00000
    109     -15.4090      1.00000
    110     -15.4016      1.00000
    111     -15.3920      1.00000
    112     -15.3919      1.00000
    113     -15.3725      1.00000
    114     -15.3725      1.00000
    115     -15.3659      1.00000
    116     -15.3659      1.00000
    117     -15.3640      1.00000
    118     -15.3623      1.00000
    119     -15.3508      1.00000
    120     -15.3499      1.00000
    121     -15.3499      1.00000
    122     -15.3481      1.00000
    123     -15.3436      1.00000
    124     -15.3436      1.00000
    125     -15.3239      1.00000
    126     -15.3224      1.00000
    127     -15.3224      1.00000
    128     -15.3150      1.00000
    129     -15.3027      1.00000
    130     -15.3027      1.00000
