
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -18.9542      1.00000
      2     -18.8128      1.00000
      3     -18.8079      1.00000
      4     -18.6580      1.00000
      5     -18.3931      1.00000
      6     -18.3866      1.00000
      7     -18.3635      1.00000
      8     -18.3453      1.00000
      9     -18.3393      1.00000
     10     -18.3225      1.00000
     11     -18.2605      1.00000
     12     -18.2558      1.00000
     13     -18.2328      1.00000
     14     -18.2295      1.00000
     15     -18.2240      1.00000
     16     -18.2229      1.00000
     17     -18.2164      1.00000
     18     -18.2110      1.00000
     19     -18.2090      1.00000
     20     -18.2045      1.00000
     21     -18.1819      1.00000
     22     -18.1300      1.00000
     23     -18.0915      1.00000
     24     -18.0901      1.00000
     25     -18.0785      1.00000
     26     -18.0623      1.00000
     27     -18.0482      1.00000
     28     -17.8183      1.00000
     29     -17.2565      1.00000
     30     -17.2356      1.00000
     31     -17.2342      1.00000
     32     -17.2185      1.00000
     33     -17.2089      1.00000
     34     -17.2000      1.00000
     35     -17.1438      1.00000
     36     -17.1258      1.00000
     37     -17.1222      1.00000
     38     -17.1148      1.00000
     39     -17.1089      1.00000
     40     -17.1083      1.00000
     41     -17.1075      1.00000
     42     -17.1064      1.00000
     43     -17.1064      1.00000
     44     -17.0944      1.00000
     45     -17.0682      1.00000
     46     -17.0372      1.00000
     47     -16.9980      1.00000
     48     -16.9924      1.00000
     49     -16.9900      1.00000
     50     -16.9789      1.00000
     51     -16.9619      1.00000
     52     -16.8926      1.00000
     53     -16.7361      1.00000
     54     -16.7337      1.00000
     55     -16.7283      1.00000
     56     -16.7140      1.00000
     57     -16.7029      1.00000
     58     -16.6940      1.00000
     59     -16.6371      1.00000
     60     -16.6329      1.00000
     61     -16.6283      1.00000
     62     -16.6254      1.00000
     63     -16.6224      1.00000
     64     -16.6219      1.00000
     65     -16.6210      1.00000
     66     -16.6210      1.00000
     67     -16.6196      1.00000
     68     -16.5912      1.00000
     69     -16.5579      1.00000
     70     -16.5451      1.00000
     71     -16.5173      1.00000
     72     -16.5166      1.00000
     73     -16.5132      1.00000
     74     -16.4914      1.00000
     75     -16.4059      1.00000
     76     -16.0768      1.00000
     77     -15.6414      1.00000
     78     -15.5624      1.00000
     79     -15.5486      1.00000
     80     -15.5219      1.00000
     81     -15.5174      1.00000
     82     -15.5151      1.00000
     83     -15.5010      1.00000
     84     -15.4971      1.00000
     85     -15.4948      1.00000
     86     -15.4902      1.00000
     87     -15.4857      1.00000
     88     -15.4853      1.00000
     89     -15.4808      1.00000
     90     -15.4727      1.00000
     91     -15.4697      1.00000
     92     -15.4590      1.00000
     93     -15.4575      1.00000
     94     -15.4547      1.00000
     95     -15.4540      1.00000
     96     -15.4484      1.00000
     97     -15.4439      1.00000
     98     -15.4438      1.00000
     99     -15.4433      1.00000
    100     -15.4413      1.00000
    101     -15.4377      1.00000
    102     -15.4373      1.00000
    103     -15.4365      1.00000
    104     -15.4331      1.00000
    105     -15.4321      1.00000
    106     -15.4310      1.00000
    107     -15.4306      1.00000
    108     -15.4253      1.00000
    109     -15.4221      1.00000
    110     -15.4038      1.00000
    111     -15.3990      1.00000
    112     -15.3962      1.00000
    113     -15.3896      1.00000
    114     -15.3891      1.00000
    115     -15.3844      1.00000
    116     -15.3840      1.00000
    117     -15.3813      1.00000
    118     -15.3807      1.00000
    119     -15.3770      1.00000
    120     -15.3725      1.00000
    121     -15.3628      1.00000
    122     -15.3612      1.00000
    123     -15.3580      1.00000
    124     -15.3540      1.00000
    125     -15.3436      1.00000
    126     -15.3351      1.00000
    127     -15.3328      1.00000
    128     -15.3324      1.00000
    129     -15.3324      1.00000
    130     -15.3066      1.00000
    131     -15.3023      1.00000
    132     -15.3009      1.00000
    133     -15.2397      1.00000
    134     -15.0087      1.00000
    135     -14.9256      1.00000
    136     -14.6853      1.00000
    137     -14.6845      1.00000
    138     -14.6836      1.00000
    139     -14.6833      1.00000
    140     -14.6810      1.00000
    141     -14.6804      1.00000
