
 Fermi energy:         4.3664652365

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -18.9466      1.00000
      2     -18.8059      1.00000
      3     -18.7990      1.00000
      4     -18.6503      1.00000
      5     -18.3828      1.00000
      6     -18.3668      1.00000
      7     -18.3534      1.00000
      8     -18.3401      1.00000
      9     -18.3334      1.00000
     10     -18.3192      1.00000
     11     -18.2529      1.00000
     12     -18.2364      1.00000
     13     -18.2209      1.00000
     14     -18.2208      1.00000
     15     -18.2152      1.00000
     16     -18.2148      1.00000
     17     -18.2103      1.00000
     18     -18.2063      1.00000
     19     -18.2050      1.00000
     20     -18.1981      1.00000
     21     -18.1787      1.00000
     22     -18.1258      1.00000
     23     -18.0840      1.00000
     24     -18.0780      1.00000
     25     -18.0697      1.00000
     26     -18.0565      1.00000
     27     -18.0437      1.00000
     28     -17.8365      1.00000
     29     -17.2409      1.00000
     30     -17.2348      1.00000
     31     -17.2186      1.00000
     32     -17.2132      1.00000
     33     -17.2032      1.00000
     34     -17.1947      1.00000
     35     -17.1306      1.00000
     36     -17.1261      1.00000
     37     -17.1086      1.00000
     38     -17.1019      1.00000
     39     -17.1010      1.00000
     40     -17.1006      1.00000
     41     -17.0999      1.00000
     42     -17.0997      1.00000
     43     -17.0997      1.00000
     44     -17.0901      1.00000
     45     -17.0629      1.00000
     46     -17.0320      1.00000
     47     -16.9889      1.00000
     48     -16.9878      1.00000
     49     -16.9766      1.00000
     50     -16.9728      1.00000
     51     -16.9547      1.00000
     52     -16.8867      1.00000
     53     -16.7298      1.00000
     54     -16.7261      1.00000
     55     -16.7214      1.00000
     56     -16.7106      1.00000
     57     -16.6981      1.00000
     58     -16.6888      1.00000
     59     -16.6306      1.00000
     60     -16.6253      1.00000
     61     -16.6220      1.00000
     62     -16.6192      1.00000
     63     -16.6153      1.00000
     64     -16.6147      1.00000
     65     -16.6146      1.00000
     66     -16.6146      1.00000
     67     -16.6129      1.00000
     68     -16.5913      1.00000
     69     -16.5548      1.00000
     70     -16.5397      1.00000
     71     -16.5112      1.00000
     72     -16.5093      1.00000
     73     -16.5064      1.00000
     74     -16.4899      1.00000
     75     -16.4147      1.00000
     76     -16.1223      1.00000
     77     -15.6077      1.00000
     78     -15.5674      1.00000
     79     -15.5287      1.00000
     80     -15.5140      1.00000
     81     -15.5078      1.00000
