
 Fermi energy:         6.5771993854

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -19.1428      1.00000
      2     -18.8983      1.00000
      3     -18.8975      1.00000
      4     -18.6630      1.00000
      5     -18.5921      1.00000
      6     -18.5702      1.00000
      7     -18.5702      1.00000
      8     -18.5154      1.00000
      9     -18.5154      1.00000
     10     -18.4591      1.00000
     11     -18.3866      1.00000
     12     -18.3840      1.00000
     13     -18.3535      1.00000
     14     -18.3535      1.00000
     15     -18.3475      1.00000
     16     -18.3475      1.00000
     17     -18.2433      1.00000
     18     -18.2433      1.00000
     19     -18.2294      1.00000
     20     -18.2294      1.00000
     21     -18.1792      1.00000
     22     -18.1500      1.00000
     23     -18.1500      1.00000
     24     -18.0893      1.00000
     25     -18.0692      1.00000
     26     -17.9063      1.00000
     27     -17.9063      1.00000
     28     -17.4446      1.00000
     29     -17.4245      1.00000
     30     -17.4213      1.00000
     31     -17.4213      1.00000
     32     -17.4149      1.00000
     33     -17.4149      1.00000
     34     -17.4027      1.00000
     35     -17.1919      1.00000
     36     -17.1912      1.00000
     37     -17.1859      1.00000
     38     -17.1859      1.00000
     39     -17.1771      1.00000
     40     -17.1771      1.00000
     41     -17.1688      1.00000
     42     -17.1688      1.00000
     43     -17.1612      1.00000
     44     -17.1612      1.00000
     45     -17.1442      1.00000
     46     -17.1249      1.00000
     47     -16.9841      1.00000
     48     -16.9287      1.00000
     49     -16.9254      1.00000
     50     -16.9254      1.00000
     51     -16.9166      1.00000
     52     -16.9166      1.00000
     53     -16.9112      1.00000
     54     -16.9112      1.00000
     55     -16.9054      1.00000
     56     -16.8951      1.00000
     57     -16.8951      1.00000
     58     -16.8287      1.00000
     59     -16.6958      1.00000
     60     -16.6853      1.00000
     61     -16.6846      1.00000
     62     -16.6846      1.00000
     63     -16.6753      1.00000
     64     -16.6753      1.00000
     65     -16.6480      1.00000
     66     -16.6480      1.00000
     67     -16.6308      1.00000
     68     -16.6308      1.00000
     69     -16.6087      1.00000
     70     -16.5818      1.00000
     71     -16.3909      1.00000
     72     -16.3909      1.00000
     73     -16.3720      1.00000
     74     -16.1420      1.00000
     75     -16.1420      1.00000
     76     -15.7675      1.00000
     77     -15.7647      1.00000
     78     -15.7539      1.00000
     79     -15.7539      1.00000
     80     -15.7493      1.00000
     81     -15.7493      1.00000
     82     -15.7166      1.00000
     83     -15.7166      1.00000
     84     -15.7072      1.00000
     85     -15.7072      1.00000
     86     -15.6998      1.00000
     87     -15.6874      1.00000
     88     -15.6013      1.00000
     89     -15.6013      1.00000
     90     -15.5917      1.00000
     91     -15.5917      1.00000
     92     -15.5855      1.00000
     93     -15.5833      1.00000
     94     -15.5833      1.00000
     95     -15.5715      1.00000
     96     -15.5652      1.00000
     97     -15.5652      1.00000
     98     -15.5650      1.00000
     99     -15.5650      1.00000
    100     -15.5645      1.00000
    101     -15.5591      1.00000
    102     -15.5587      1.00000
    103     -15.5284      1.00000
    104     -15.4988      1.00000
    105     -15.4988      1.00000
    106     -15.4919      1.00000
    107     -15.4919      1.00000
    108     -15.4729      1.00000
    109     -15.4668      1.00000
    110     -15.4642      1.00000
    111     -15.4540      1.00000
    112     -15.4409      1.00000
    113     -15.4409      1.00000
    114     -15.4338      1.00000
    115     -15.4338      1.00000
    116     -15.4292      1.00000
    117     -15.4292      1.00000
    118     -15.3859      1.00000
    119     -15.3482      1.00000
    120     -15.3482      1.00000
    121     -15.3301      1.00000
    122     -15.2851      1.00000
    123     -15.2848      1.00000
    124     -15.2535      1.00000
    125     -15.2365      1.00000
    126     -15.2365      1.00000
    127     -15.2344      1.00000
    128     -15.2344      1.00000
    129     -15.2064      1.00000
    130     -15.2064      1.00000
    131     -15.1159      1.00000
    132     -14.9567      1.00000
    133     -14.9547      1.00000
    134     -14.7586      1.00000
    135     -14.7586      1.00000
    136     -14.6952      1.00000
    137     -14.6952      1.00000
    138     -14.6948      1.00000
    139     -14.6948      1.00000
    140     -14.6543      1.00000
    141     -14.6543      1.00000
    142     -14.4880      1.00000
    143     -14.3538      1.00000
    144      -9.1493      1.00000
    145      -9.1493      1.00000
    146      -9.1491      1.00000
    147      -8.9393      1.00000
    148      -8.9392      1.00000
    149      -8.9367      1.00000
    150      -8.9323      1.00000
    151      -8.9323      1.00000
    152      -8.9306      1.00000
    153      -8.6989      1.00000
    154      -8.6365      1.00000
    155      -8.6365      1.00000
    156      -8.2355      1.00000
    157      -8.2355      1.00000
    158      -8.2334      1.00000
    159      -8.2334      1.00000
    160      -8.2170      1.00000
    161      -8.2143      1.00000
    162      -8.2067      1.00000
    163      -8.1977      1.00000
    164      -8.1871      1.00000
    165      -8.1871      1.00000
    166      -8.1746      1.00000
    167      -8.1746      1.00000
    168      -8.0600      1.00000
    169      -8.0553      1.00000
    170      -8.0553      1.00000
    171      -8.0531      1.00000
    172      -8.0521      1.00000
    173      -8.0480      1.00000
    174      -8.0480      1.00000
    175      -8.0449      1.00000
    176      -8.0040      1.00000
    177      -8.0040      1.00000
    178      -7.9997      1.00000
    179      -7.9997      1.00000
    180      -7.9944      1.00000
    181      -7.9944      1.00000
    182      -7.9848      1.00000
    183      -7.9848      1.00000
