
 Fermi energy:         5.0526059593

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -19.1214      1.00000
      2     -18.8603      1.00000
      3     -18.7687      1.00000
      4     -18.6665      1.00000
      5     -18.5812      1.00000
      6     -18.4880      1.00000
      7     -18.4879      1.00000
      8     -18.3740      1.00000
      9     -18.3740      1.00000
     10     -18.3674      1.00000
     11     -18.2542      1.00000
     12     -18.2530      1.00000
     13     -18.2530      1.00000
     14     -18.2306      1.00000
     15     -18.2306      1.00000
     16     -18.2288      1.00000
     17     -18.1853      1.00000
     18     -18.1821      1.00000
     19     -18.1821      1.00000
     20     -18.1722      1.00000
     21     -18.1722      1.00000
     22     -18.1532      1.00000
     23     -18.0585      1.00000
     24     -18.0585      1.00000
     25     -18.0557      1.00000
     26     -18.0507      1.00000
     27     -18.0506      1.00000
     28     -18.0403      1.00000
     29     -17.4111      1.00000
     30     -17.4111      1.00000
     31     -17.3247      1.00000
     32     -17.2958      1.00000
     33     -17.2353      1.00000
     34     -17.2353      1.00000
     35     -17.1389      1.00000
     36     -17.1389      1.00000
     37     -17.1297      1.00000
     38     -17.1272      1.00000
     39     -17.1126      1.00000
     40     -17.1126      1.00000
     41     -17.0676      1.00000
     42     -17.0674      1.00000
     43     -17.0674      1.00000
     44     -17.0637      1.00000
     45     -17.0637      1.00000
     46     -17.0572      1.00000
     47     -16.9709      1.00000
     48     -16.9709      1.00000
     49     -16.9647      1.00000
     50     -16.9587      1.00000
     51     -16.9587      1.00000
     52     -16.9573      1.00000
     53     -16.8600      1.00000
     54     -16.8600      1.00000
     55     -16.7996      1.00000
     56     -16.7614      1.00000
     57     -16.7404      1.00000
     58     -16.7404      1.00000
     59     -16.6423      1.00000
     60     -16.6422      1.00000
     61     -16.6356      1.00000
     62     -16.6304      1.00000
     63     -16.6244      1.00000
     64     -16.6244      1.00000
     65     -16.5823      1.00000
     66     -16.5791      1.00000
     67     -16.5791      1.00000
     68     -16.5780      1.00000
     69     -16.5780      1.00000
     70     -16.5717      1.00000
     71     -16.4902      1.00000
     72     -16.4902      1.00000
     73     -16.4884      1.00000
     74     -16.4836      1.00000
     75     -16.4836      1.00000
     76     -16.4808      1.00000
     77     -15.7502      1.00000
     78     -15.7502      1.00000
     79     -15.6106      1.00000
     80     -15.6106      1.00000
     81     -15.5849      1.00000
     82     -15.5796      1.00000
     83     -15.5261      1.00000
     84     -15.5133      1.00000
     85     -15.5132      1.00000
     86     -15.5047      1.00000
     87     -15.4850      1.00000
     88     -15.4850      1.00000
     89     -15.4445      1.00000
