
 Fermi energy:         4.0108752909

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -19.0557      1.00000
      2     -18.8673      1.00000
      3     -18.8403      1.00000
      4     -18.5981      1.00000
      5     -18.4794      1.00000
      6     -18.4692      1.00000
      7     -18.4678      1.00000
      8     -18.4452      1.00000
      9     -18.4425      1.00000
     10     -18.4221      1.00000
     11     -18.3117      1.00000
     12     -18.2959      1.00000
     13     -18.2948      1.00000
     14     -18.2933      1.00000
     15     -18.2781      1.00000
     16     -18.2679      1.00000
     17     -18.2531      1.00000
     18     -18.2508      1.00000
     19     -18.2301      1.00000
     20     -18.2148      1.00000
     21     -18.2039      1.00000
     22     -18.1634      1.00000
     23     -18.0960      1.00000
     24     -18.0762      1.00000
     25     -18.0315      1.00000
     26     -17.9685      1.00000
     27     -17.8289      1.00000
     28     -17.5349      1.00000
     29     -17.3337      1.00000
     30     -17.3327      1.00000
     31     -17.3321      1.00000
     32     -17.3298      1.00000
     33     -17.3288      1.00000
     34     -17.3249      1.00000
     35     -17.1663      1.00000
     36     -17.1637      1.00000
     37     -17.1634      1.00000
     38     -17.1570      1.00000
     39     -17.1568      1.00000
     40     -17.1504      1.00000
     41     -17.1457      1.00000
     42     -17.1436      1.00000
     43     -17.1397      1.00000
     44     -17.1326      1.00000
     45     -17.1282      1.00000
     46     -17.1144      1.00000
     47     -16.9197      1.00000
     48     -16.9021      1.00000
     49     -16.8867      1.00000
     50     -16.8498      1.00000
     51     -16.8425      1.00000
     52     -16.8383      1.00000
     53     -16.8373      1.00000
     54     -16.8356      1.00000
     55     -16.8333      1.00000
     56     -16.8301      1.00000
     57     -16.8244      1.00000
     58     -16.7391      1.00000
     59     -16.6768      1.00000
     60     -16.6747      1.00000
     61     -16.6736      1.00000
     62     -16.6668      1.00000
     63     -16.6658      1.00000
     64     -16.6609      1.00000
     65     -16.6581      1.00000
     66     -16.6528      1.00000
     67     -16.6484      1.00000
     68     -16.6425      1.00000
     69     -16.6308      1.00000
     70     -16.6128      1.00000
     71     -16.4107      1.00000
     72     -16.3756      1.00000
     73     -16.3456      1.00000
     74     -16.2875      1.00000
     75     -16.1161      1.00000
     76     -15.8076      1.00000
     77     -15.6467      1.00000
     78     -15.6461      1.00000
     79     -15.6433      1.00000
     80     -15.6426      1.00000
     81     -15.6398      1.00000
     82     -15.6397      1.00000
     83     -15.6273      1.00000
     84     -15.6270      1.00000
     85     -15.6238      1.00000
     86     -15.6234      1.00000
     87     -15.6182      1.00000
     88     -15.6162      1.00000
     89     -15.5286      1.00000
     90     -15.5259      1.00000
     91     -15.5196      1.00000
     92     -15.5191      1.00000
     93     -15.5165      1.00000
     94     -15.5160      1.00000
     95     -15.5152      1.00000
     96     -15.5150      1.00000
     97     -15.5121      1.00000
     98     -15.5112      1.00000
     99     -15.5106      1.00000
    100     -15.5057      1.00000
    101     -15.5057      1.00000
    102     -15.5031      1.00000
    103     -15.5004      1.00000
    104     -15.4801      1.00000
    105     -15.4797      1.00000
    106     -15.4738      1.00000
    107     -15.4718      1.00000
    108     -15.4711      1.00000
    109     -15.4700      1.00000
    110     -15.4635      1.00000
    111     -15.4619      1.00000
    112     -15.4603      1.00000
    113     -15.4533      1.00000
    114     -15.4499      1.00000
    115     -15.4433      1.00000
    116     -15.3809      1.00000
    117     -15.3653      1.00000
