
 Fermi energy:         7.1545691974

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -18.9744      1.00000
      2     -18.8557      1.00000
      3     -18.7974      1.00000
      4     -18.6658      1.00000
      5     -18.4010      1.00000
      6     -18.4010      1.00000
      7     -18.3887      1.00000
      8     -18.3762      1.00000
      9     -18.3762      1.00000
     10     -18.3239      1.00000
     11     -18.2885      1.00000
     12     -18.2885      1.00000
     13     -18.2743      1.00000
     14     -18.2693      1.00000
     15     -18.2693      1.00000
     16     -18.2229      1.00000
     17     -18.2150      1.00000
     18     -18.2150      1.00000
     19     -18.1960      1.00000
     20     -18.1960      1.00000
     21     -18.1681      1.00000
     22     -18.1503      1.00000
     23     -18.1022      1.00000
     24     -18.1022      1.00000
     25     -18.0985      1.00000
     26     -18.0809      1.00000
     27     -18.0809      1.00000
     28     -17.9131      1.00000
     29     -17.2949      1.00000
     30     -17.2621      1.00000
     31     -17.2621      1.00000
     32     -17.2334      1.00000
     33     -17.2334      1.00000
     34     -17.2131      1.00000
     35     -17.1860      1.00000
     36     -17.1709      1.00000
     37     -17.1709      1.00000
     38     -17.1347      1.00000
     39     -17.1347      1.00000
     40     -17.0999      1.00000
     41     -17.0999      1.00000
     42     -17.0915      1.00000
     43     -17.0911      1.00000
     44     -17.0911      1.00000
     45     -17.0789      1.00000
     46     -17.0744      1.00000
     47     -17.0101      1.00000
     48     -17.0061      1.00000
     49     -17.0061      1.00000
     50     -16.9815      1.00000
     51     -16.9815      1.00000
     52     -16.9364      1.00000
     53     -16.7784      1.00000
     54     -16.7784      1.00000
     55     -16.7405      1.00000
     56     -16.7354      1.00000
     57     -16.7354      1.00000
     58     -16.7143      1.00000
     59     -16.6919      1.00000
     60     -16.6919      1.00000
     61     -16.6527      1.00000
     62     -16.6472      1.00000
     63     -16.6472      1.00000
     64     -16.6096      1.00000
     65     -16.6086      1.00000
     66     -16.6086      1.00000
     67     -16.6021      1.00000
     68     -16.6021      1.00000
     69     -16.5982      1.00000
     70     -16.5582      1.00000
     71     -16.5337      1.00000
     72     -16.5337      1.00000
     73     -16.5112      1.00000
     74     -16.5060      1.00000
     75     -16.5060      1.00000
     76     -16.1234      1.00000
     77     -15.7207      1.00000
     78     -15.5571      1.00000
     79     -15.5571      1.00000
     80     -15.5460      1.00000
     81     -15.5460      1.00000
     82     -15.5287      1.00000
     83     -15.5246      1.00000
     84     -15.5198      1.00000
     85     -15.5198      1.00000
     86     -15.5125      1.00000
     87     -15.5125      1.00000
     88     -15.5057      1.00000
     89     -15.5040      1.00000
     90     -15.5034      1.00000
     91     -15.5034      1.00000
     92     -15.4991      1.00000
     93     -15.4991      1.00000
     94     -15.4746      1.00000
     95     -15.4746      1.00000
