
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -19.0363      1.00000
      2     -18.8562      1.00000
      3     -18.7718      1.00000
      4     -18.6236      1.00000
      5     -18.4535      1.00000
      6     -18.4522      1.00000
      7     -18.4466      1.00000
      8     -18.4463      1.00000
      9     -18.4441      1.00000
     10     -18.4083      1.00000
     11     -18.2964      1.00000
     12     -18.2959      1.00000
     13     -18.2866      1.00000
     14     -18.2863      1.00000
     15     -18.2669      1.00000
     16     -18.1958      1.00000
     17     -18.1916      1.00000
     18     -18.1916      1.00000
     19     -18.1848      1.00000
     20     -18.1846      1.00000
     21     -18.1813      1.00000
     22     -18.0645      1.00000
     23     -18.0454      1.00000
     24     -18.0454      1.00000
     25     -18.0437      1.00000
     26     -18.0386      1.00000
     27     -18.0384      1.00000
     28     -17.9473      1.00000
     29     -17.3749      1.00000
     30     -17.3658      1.00000
     31     -17.3586      1.00000
     32     -17.3074      1.00000
     33     -17.2815      1.00000
     34     -17.2735      1.00000
     35     -17.2220      1.00000
     36     -17.1831      1.00000
     37     -17.1756      1.00000
     38     -17.1399      1.00000
     39     -17.1299      1.00000
     40     -17.0922      1.00000
     41     -17.0817      1.00000
     42     -17.0755      1.00000
     43     -17.0744      1.00000
     44     -17.0596      1.00000
     45     -17.0582      1.00000
     46     -16.9935      1.00000
     47     -16.9516      1.00000
     48     -16.9493      1.00000
     49     -16.9462      1.00000
     50     -16.9435      1.00000
     51     -16.9398      1.00000
     52     -16.9302      1.00000
     53     -16.9220      1.00000
     54     -16.9077      1.00000
     55     -16.8109      1.00000
     56     -16.7949      1.00000
     57     -16.7837      1.00000
     58     -16.7708      1.00000
     59     -16.7221      1.00000
     60     -16.7046      1.00000
     61     -16.6542      1.00000
     62     -16.6455      1.00000
     63     -16.6401      1.00000
     64     -16.5952      1.00000
     65     -16.5899      1.00000
     66     -16.5871      1.00000
     67     -16.5751      1.00000
     68     -16.5726      1.00000
     69     -16.5710      1.00000
     70     -16.4758      1.00000
     71     -16.4733      1.00000
     72     -16.4690      1.00000
     73     -16.4684      1.00000
     74     -16.4655      1.00000
     75     -16.4634      1.00000
     76     -16.1495      1.00000
     77     -15.7644      1.00000
     78     -15.6932      1.00000
     79     -15.6917      1.00000
     80     -15.6912      1.00000
     81     -15.6853      1.00000
     82     -15.6814      1.00000
     83     -15.6799      1.00000
     84     -15.5975      1.00000
     85     -15.5953      1.00000
     86     -15.5943      1.00000
     87     -15.5835      1.00000
     88     -15.5803      1.00000
     89     -15.5735      1.00000
     90     -15.5345      1.00000
     91     -15.5342      1.00000
     92     -15.5262      1.00000
     93     -15.5241      1.00000
     94     -15.5229      1.00000
     95     -15.5184      1.00000
     96     -15.5093      1.00000
     97     -15.4749      1.00000
     98     -15.4712      1.00000
     99     -15.4491      1.00000
    100     -15.4478      1.00000
    101     -15.4140      1.00000
    102     -15.4067      1.00000
    103     -15.4055      1.00000
    104     -15.4016      1.00000
    105     -15.4002      1.00000
    106     -15.3972      1.00000
    107     -15.3970      1.00000
    108     -15.3947      1.00000
    109     -15.3896      1.00000
    110     -15.3891      1.00000
    111     -15.3877      1.00000
    112     -15.3861      1.00000
    113     -15.3822      1.00000
    114     -15.3731      1.00000
    115     -15.3722      1.00000
    116     -15.3210      1.00000
    117     -15.3207      1.00000
    118     -15.3184      1.00000
    119     -15.3177      1.00000
    120     -15.3172      1.00000
    121     -15.3161      1.00000
    122     -15.3160      1.00000
    123     -15.3157      1.00000
    124     -15.3118      1.00000
    125     -15.3111      1.00000
    126     -15.3089      1.00000
    127     -15.3088      1.00000
    128     -15.2889      1.00000
    129     -15.2883      1.00000
    130     -15.2828      1.00000
    131     -15.2728      1.00000
    132     -15.2718      1.00000
    133     -15.2227      1.00000
    134     -15.2225      1.00000
    135     -15.2225      1.00000
    136     -14.9367      1.00000
    137     -14.8210      1.00000
    138     -14.7701      1.00000
    139     -14.7383      1.00000
    140     -14.6308      1.00000
    141     -14.6254      1.00000
    142     -14.5809      1.00000
    143     -14.5807      1.00000
    144     -10.6519      1.00000
    145      -9.0177      1.00000
    146      -9.0175      1.00000
    147      -9.0173      1.00000
    148      -8.9421      1.00000
    149      -8.8425      1.00000
    150      -8.8423      1.00000
    151      -8.8140      1.00000
    152      -8.8081      1.00000
    153      -8.8081      1.00000
    154      -8.7559      1.00000
    155      -8.7552      1.00000
    156      -8.7552      1.00000
    157      -8.1209      1.00000
    158      -8.1200      1.00000
    159      -8.0961      1.00000
    160      -8.0921      1.00000
    161      -8.0913      1.00000
    162      -8.0899      1.00000
    163      -8.0852      1.00000
    164      -8.0846      1.00000
    165      -8.0781      1.00000
    166      -8.0766      1.00000
    167      -8.0749      1.00000
    168      -8.0711      1.00000
    169      -8.0693      1.00000
    170      -8.0672      1.00000
    171      -8.0402      1.00000
    172      -7.9871      1.00000
    173      -7.9582      1.00000
    174      -7.9581      1.00000
    175      -7.9435      1.00000
    176      -7.9230      1.00000
    177      -7.9229      1.00000
    178      -7.8911      1.00000
    179      -7.8911      1.00000
    180      -7.8828      1.00000
    181      -7.8815      1.00000
    182      -7.8813      1.00000
    183      -7.8810      1.00000
    184      -7.8744      1.00000
    185      -7.8741      1.00000
    186      -7.8739      1.00000
    187      -7.8737      1.00000
    188      -7.8673      1.00000
    189      -7.8653      1.00000
    190      -7.8652      1.00000
    191      -7.8622      1.00000
    192      -7.8265      1.00000
    193      -7.8263      1.00000
    194      -7.8150      1.00000
    195      -7.8149      1.00000
    196      -7.8147      1.00000
    197      -7.8145      1.00000
    198      -7.8141      1.00000
    199      -7.8140      1.00000
    200      -7.8122      1.00000
    201      -7.8113      1.00000
    202      -7.8110      1.00000
    203      -7.8100      1.00000
    204      -7.8078      1.00000
    205      -7.8077      1.00000
    206      -7.6629      1.00000
    207      -7.6629      1.00000
    208      -7.5745      1.00000
    209      -7.5716      1.00000
    210      -7.5715      1.00000
    211      -7.5340      1.00000
    212      -7.5337      1.00000
    213      -7.1001      1.00000
    214      -7.0982      1.00000
    215      -6.9411      1.00000
    216      -6.9402      1.00000
    217      -6.8952      1.00000
    218      -6.8934      1.00000
    219      -6.8477      1.00000
    220      -6.8466      1.00000
    221      -6.7656      1.00000
    222      -6.7650      1.00000
    223      -6.7619      1.00000
    224      -6.7616      1.00000
    225      -6.7279      1.00000
    226      -6.7234      1.00000
    227      -6.6355      1.00000
    228      -6.6350      1.00000
    229      -6.6148      1.00000
    230      -6.5408      1.00000
    231      -6.5403      1.00000
    232      -6.5391      1.00000
    233      -6.5369      1.00000
    234      -6.5365      1.00000
    235      -6.5354      1.00000
    236      -6.4744      1.00000
    237      -6.4743      1.00000
    238      -6.4741      1.00000
    239      -6.4729      1.00000
    240      -6.4728      1.00000
    241      -6.4725      1.00000
    242      -6.3792      1.00000
    243      -6.3781      1.00000
    244      -6.2329      1.00000
    245      -5.7748      1.00000
    246      -5.2526      1.00000
    247      -5.2519      1.00000
    248      -5.2517      1.00000
    249      -5.2249      1.00000
    250      -5.2241      1.00000
    251      -5.1903      1.00000
    252      -5.1902      1.00000
    253      -5.1899      1.00000
    254      -5.1505      1.00000
    255      -5.1504      1.00000
    256      -5.1229      1.00000
    257      -5.0962      1.00000
    258      -4.9994      1.00000
    259      -4.9989      1.00000
    260      -4.9984      1.00000
    261      -4.9961      1.00000
    262      -4.9958      1.00000
    263      -4.9955      1.00000
    264      -4.9890      1.00000
    265      -4.9875      1.00000
    266      -4.9867      1.00000
    267      -4.9862      1.00000
    268      -4.9825      1.00000
    269      -4.9822      1.00000
    270      -4.9670      1.00000
    271      -4.9635      1.00000
    272      -4.9611      1.00000
    273      -4.9603      1.00000
    274      -4.9589      1.00000
    275      -4.9544      1.00000
    276      -4.9498      1.00000
    277      -4.9495      1.00000
    278      -4.9494      1.00000
    279      -4.9491      1.00000
    280      -4.9490      1.00000
    281      -4.9488      1.00000
    282      -4.9426      1.00000
    283      -4.9415      1.00000
    284      -4.9370      1.00000
    285      -4.9337      1.00000
    286      -4.9335      1.00000
    287      -4.9313      1.00000
    288      -4.9012      1.00000
    289      -4.9006      1.00000
    290      -4.8754      1.00000
    291      -4.8575      1.00000
    292      -4.8494      1.00000
    293      -4.8487      1.00000
    294      -4.8144      1.00000
    295      -4.7937      1.00000
    296      -4.7644      1.00000
