
 Fermi energy:         2.1628952076

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -19.2473      1.00000
      2     -18.8811      1.00000
      3     -18.7814      1.00000
      4     -18.7399      1.00000
      5     -18.6791      1.00000
      6     -18.5809      1.00000
      7     -18.5373      1.00000
      8     -18.5117      1.00000
      9     -18.4860      1.00000
     10     -18.4218      1.00000
     11     -18.2039      1.00000
     12     -18.1967      1.00000
     13     -18.1891      1.00000
     14     -18.1790      1.00000
     15     -18.1586      1.00000
     16     -18.1583      1.00000
     17     -18.1569      1.00000
     18     -18.1557      1.00000
     19     -18.1404      1.00000
     20     -18.1266      1.00000
     21     -18.1256      1.00000
     22     -18.1129      1.00000
     23     -17.9677      1.00000
     24     -17.9606      1.00000
     25     -17.9587      1.00000
     26     -17.9426      1.00000
     27     -17.9421      1.00000
     28     -17.9341      1.00000
     29     -17.6371      1.00000
     30     -17.5579      1.00000
     31     -17.5193      1.00000
     32     -17.4862      1.00000
     33     -17.4692      1.00000
     34     -17.2428      1.00000
     35     -17.0850      1.00000
     36     -17.0716      1.00000
     37     -17.0662      1.00000
     38     -17.0638      1.00000
     39     -17.0562      1.00000
     40     -17.0470      1.00000
     41     -17.0380      1.00000
     42     -17.0359      1.00000
     43     -17.0358      1.00000
     44     -17.0355      1.00000
     45     -17.0319      1.00000
     46     -17.0315      1.00000
     47     -17.0300      1.00000
     48     -17.0004      1.00000
     49     -16.9774      1.00000
     50     -16.9418      1.00000
     51     -16.9376      1.00000
     52     -16.8558      1.00000
     53     -16.8553      1.00000
     54     -16.8552      1.00000
     55     -16.8547      1.00000
     56     -16.8542      1.00000
     57     -16.8540      1.00000
     58     -16.7035      1.00000
     59     -16.5705      1.00000
     60     -16.5688      1.00000
     61     -16.5677      1.00000
     62     -16.5676      1.00000
     63     -16.5664      1.00000
     64     -16.5484      1.00000
     65     -16.5473      1.00000
     66     -16.5467      1.00000
     67     -16.5464      1.00000
     68     -16.5456      1.00000
     69     -16.5454      1.00000
     70     -16.5448      1.00000
     71     -16.3772      1.00000
     72     -16.3770      1.00000
     73     -16.3768      1.00000
     74     -16.3768      1.00000
     75     -16.3764      1.00000
     76     -16.3754      1.00000
     77     -16.1704      1.00000
     78     -16.0146      1.00000
     79     -15.8977      1.00000
     80     -15.8849      1.00000
     81     -15.8429      1.00000
     82     -15.7263      1.00000
     83     -15.7127      1.00000
     84     -15.6799      1.00000
     85     -15.6768      1.00000
     86     -15.6225      1.00000
     87     -15.6165      1.00000
     88     -15.6163      1.00000
     89     -15.5555      1.00000
     90     -15.5164      1.00000
     91     -15.4074      1.00000
     92     -15.4066      1.00000
     93     -15.4007      1.00000
     94     -15.4003      1.00000
     95     -15.3937      1.00000
     96     -15.3854      1.00000
     97     -15.3850      1.00000
     98     -15.3846      1.00000
     99     -15.3817      1.00000
    100     -15.3788      1.00000
    101     -15.3782      1.00000
    102     -15.3740      1.00000
    103     -15.3606      1.00000
    104     -15.3600      1.00000
    105     -15.3599      1.00000
    106     -15.3559      1.00000
    107     -15.3521      1.00000
    108     -15.3486      1.00000
    109     -15.3485      1.00000
    110     -15.3477      1.00000
    111     -15.3476      1.00000
    112     -15.3474      1.00000
    113     -15.3367      1.00000
    114     -15.3364      1.00000
    115     -15.2572      1.00000
    116     -15.2566      1.00000
    117     -15.2565      1.00000
    118     -15.2516      1.00000
    119     -15.2512      1.00000
    120     -15.2507      1.00000
    121     -15.2269      1.00000
    122     -15.2256      1.00000
    123     -15.2222      1.00000
    124     -15.2221      1.00000
    125     -15.2197      1.00000
    126     -15.2197      1.00000
    127     -15.2119      1.00000
    128     -15.2119      1.00000
    129     -15.2098      1.00000
    130     -15.2097      1.00000
    131     -15.2071      1.00000
    132     -15.2065      1.00000
    133     -15.1208      1.00000
    134     -15.1208      1.00000
    135     -15.1207      1.00000
    136     -15.0233      1.00000
    137     -14.9748      1.00000
    138     -14.6071      1.00000
    139     -14.6069      1.00000
    140     -14.6068      1.00000
    141     -14.6065      1.00000
    142     -14.4767      1.00000
    143     -14.4767      1.00000
    144     -10.8404      1.00000
    145      -9.3225      1.00000
    146      -9.2049      1.00000
    147      -9.0927      1.00000
    148      -8.7950      1.00000
    149      -8.7947      1.00000
    150      -8.7943      1.00000
    151      -8.7919      1.00000
    152      -8.7915      1.00000
    153      -8.7908      1.00000
    154      -8.6540      1.00000
    155      -8.6540      1.00000
    156      -8.6540      1.00000
    157      -8.6398      1.00000
    158      -8.5007      1.00000
    159      -8.3258      1.00000
    160      -8.3012      1.00000
    161      -8.2741      1.00000
    162      -8.2245      1.00000
    163      -8.1962      1.00000
    164      -8.1566      1.00000
    165      -8.1399      1.00000
    166      -8.1148      1.00000
    167      -8.0638      1.00000
    168      -7.9952      1.00000
    169      -7.8856      1.00000
    170      -7.8764      1.00000
    171      -7.8759      1.00000
    172      -7.8740      1.00000
    173      -7.8726      1.00000
    174      -7.8716      1.00000
    175      -7.8709      1.00000
    176      -7.8691      1.00000
    177      -7.8646      1.00000
    178      -7.8534      1.00000
    179      -7.8532      1.00000
    180      -7.8525      1.00000
    181      -7.8513      1.00000
    182      -7.8469      1.00000
    183      -7.8461      1.00000
    184      -7.8453      1.00000
    185      -7.8431      1.00000
    186      -7.8357      1.00000
    187      -7.8330      1.00000
    188      -7.8328      1.00000
    189      -7.8326      1.00000
    190      -7.8326      1.00000
    191      -7.8314      1.00000
    192      -7.8313      1.00000
    193      -7.8294      1.00000
    194      -7.7182      1.00000
    195      -7.7176      1.00000
    196      -7.7168      1.00000
    197      -7.7167      1.00000
    198      -7.7140      1.00000
    199      -7.7126      1.00000
    200      -7.7107      1.00000
    201      -7.7092      1.00000
    202      -7.7060      1.00000
    203      -7.7059      1.00000
    204      -7.7054      1.00000
    205      -7.7054      1.00000
    206      -7.6908      1.00000
    207      -7.6328      1.00000
    208      -7.6309      1.00000
    209      -7.6194      1.00000
    210      -7.6193      1.00000
    211      -7.4664      1.00000
    212      -7.4663      1.00000
    213      -7.2963      1.00000
    214      -7.2327      1.00000
    215      -7.0238      1.00000
    216      -6.9438      1.00000
    217      -6.8892      1.00000
    218      -6.8780      1.00000
    219      -6.8779      1.00000
    220      -6.8710      1.00000
    221      -6.8709      1.00000
    222      -6.7668      1.00000
    223      -6.7437      1.00000
    224      -6.7427      1.00000
    225      -6.7425      1.00000
    226      -6.5207      1.00000
    227      -6.5159      1.00000
    228      -6.5151      1.00000
    229      -6.5146      1.00000
    230      -6.5143      1.00000
    231      -6.5139      1.00000
    232      -6.5132      1.00000
    233      -6.5130      1.00000
    234      -6.5130      1.00000
    235      -6.5120      1.00000
    236      -6.5117      1.00000
    237      -6.5112      1.00000
    238      -6.3734      1.00000
    239      -6.3723      1.00000
    240      -6.3722      1.00000
    241      -6.3722      1.00000
    242      -6.3721      1.00000
    243      -6.3721      1.00000
    244      -6.2981      1.00000
    245      -5.7805      1.00000
    246      -5.6001      1.00000
    247      -5.5661      1.00000
    248      -5.4313      1.00000
    249      -5.3784      1.00000
    250      -5.3665      1.00000
    251      -5.3198      1.00000
    252      -5.2771      1.00000
    253      -5.2084      1.00000
    254      -5.1409      1.00000
    255      -5.1199      1.00000
