
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -18.9805      1.00000
      2     -18.8401      1.00000
      3     -18.8317      1.00000
      4     -18.6820      1.00000
      5     -18.4047      1.00000
      6     -18.4035      1.00000
      7     -18.3945      1.00000
      8     -18.3846      1.00000
      9     -18.3767      1.00000
     10     -18.3395      1.00000
     11     -18.2754      1.00000
     12     -18.2744      1.00000
     13     -18.2647      1.00000
     14     -18.2543      1.00000
     15     -18.2429      1.00000
     16     -18.2425      1.00000
     17     -18.2415      1.00000
     18     -18.2412      1.00000
     19     -18.2371      1.00000
     20     -18.2357      1.00000
     21     -18.2289      1.00000
     22     -18.1482      1.00000
     23     -18.1093      1.00000
     24     -18.1087      1.00000
     25     -18.1062      1.00000
     26     -18.0998      1.00000
     27     -18.0941      1.00000
     28     -17.8934      1.00000
     29     -17.2847      1.00000
     30     -17.2622      1.00000
     31     -17.2601      1.00000
     32     -17.2432      1.00000
     33     -17.2396      1.00000
     34     -17.2195      1.00000
     35     -17.1694      1.00000
     36     -17.1517      1.00000
     37     -17.1495      1.00000
     38     -17.1295      1.00000
     39     -17.1290      1.00000
     40     -17.1287      1.00000
     41     -17.1275      1.00000
     42     -17.1265      1.00000
     43     -17.1252      1.00000
     44     -17.1239      1.00000
     45     -17.1168      1.00000
     46     -17.0643      1.00000
     47     -17.0209      1.00000
     48     -17.0148      1.00000
     49     -17.0137      1.00000
     50     -17.0031      1.00000
     51     -16.9989      1.00000
     52     -16.9530      1.00000
     53     -16.7702      1.00000
     54     -16.7638      1.00000
     55     -16.7545      1.00000
     56     -16.7423      1.00000
     57     -16.7382      1.00000
     58     -16.7145      1.00000
     59     -16.6706      1.00000
     60     -16.6650      1.00000
     61     -16.6528      1.00000
     62     -16.6427      1.00000
     63     -16.6425      1.00000
     64     -16.6420      1.00000
     65     -16.6415      1.00000
     66     -16.6405      1.00000
     67     -16.6398      1.00000
     68     -16.6319      1.00000
     69     -16.6227      1.00000
     70     -16.5637      1.00000
     71     -16.5430      1.00000
     72     -16.5408      1.00000
     73     -16.5367      1.00000
     74     -16.5269      1.00000
     75     -16.5203      1.00000
     76     -16.1395      1.00000
     77     -15.5738      1.00000
     78     -15.5647      1.00000
     79     -15.5581      1.00000
     80     -15.5483      1.00000
     81     -15.5469      1.00000
     82     -15.5383      1.00000
     83     -15.5342      1.00000
     84     -15.5312      1.00000
     85     -15.5277      1.00000
     86     -15.5119      1.00000
     87     -15.5099      1.00000
     88     -15.5063      1.00000
     89     -15.4903      1.00000
     90     -15.4894      1.00000
     91     -15.4873      1.00000
     92     -15.4841      1.00000
     93     -15.4835      1.00000
     94     -15.4764      1.00000
     95     -15.4737      1.00000
     96     -15.4721      1.00000
     97     -15.4701      1.00000
     98     -15.4628      1.00000
     99     -15.4627      1.00000
    100     -15.4620      1.00000
    101     -15.4616      1.00000
    102     -15.4614      1.00000
    103     -15.4609      1.00000
    104     -15.4580      1.00000
    105     -15.4572      1.00000
    106     -15.4569      1.00000
    107     -15.4563      1.00000
    108     -15.4530      1.00000
    109     -15.4505      1.00000
    110     -15.4447      1.00000
    111     -15.4259      1.00000
    112     -15.4228      1.00000
    113     -15.4055      1.00000
    114     -15.4052      1.00000
    115     -15.4050      1.00000
    116     -15.4041      1.00000
    117     -15.4035      1.00000
    118     -15.4024      1.00000
    119     -15.4006      1.00000
    120     -15.3992      1.00000
    121     -15.3984      1.00000
    122     -15.3979      1.00000
    123     -15.3879      1.00000
    124     -15.3848      1.00000
    125     -15.3759      1.00000
    126     -15.3589      1.00000
    127     -15.3549      1.00000
    128     -15.3537      1.00000
    129     -15.3531      1.00000
    130     -15.3524      1.00000
    131     -15.3300      1.00000
    132     -15.3287      1.00000
    133     -15.3250      1.00000
    134     -15.3172      1.00000
    135     -15.2900      1.00000
    136     -14.8041      1.00000
    137     -14.7374      1.00000
    138     -14.7045      1.00000
    139     -14.7044      1.00000
    140     -14.7036      1.00000
    141     -14.7033      1.00000
    142     -14.7032      1.00000
    143     -14.7029      1.00000
    144      -8.9552      1.00000
    145      -8.9109      1.00000
    146      -8.9105      1.00000
    147      -8.9031      1.00000
    148      -8.8886      1.00000
    149      -8.8884      1.00000
    150      -8.8881      1.00000
    151      -8.8715      1.00000
    152      -8.8702      1.00000
    153      -8.8552      1.00000
    154      -8.8280      1.00000
    155      -8.8237      1.00000
    156      -8.5402      1.00000
    157      -8.0296      1.00000
    158      -8.0173      1.00000
    159      -8.0119      1.00000
    160      -8.0049      1.00000
    161      -7.9964      1.00000
    162      -7.9933      1.00000
    163      -7.9845      1.00000
    164      -7.9828      1.00000
    165      -7.9809      1.00000
    166      -7.9722      1.00000
    167      -7.9709      1.00000
    168      -7.9708      1.00000
    169      -7.9671      1.00000
    170      -7.9663      1.00000
    171      -7.9652      1.00000
    172      -7.9632      1.00000
    173      -7.9609      1.00000
    174      -7.9589      1.00000
    175      -7.9555      1.00000
    176      -7.9535      1.00000
    177      -7.9521      1.00000
    178      -7.9502      1.00000
    179      -7.9499      1.00000
    180      -7.9498      1.00000
    181      -7.9496      1.00000
    182      -7.9478      1.00000
    183      -7.9474      1.00000
    184      -7.9472      1.00000
    185      -7.9464      1.00000
    186      -7.9443      1.00000
    187      -7.9422      1.00000
    188      -7.9411      1.00000
    189      -7.9399      1.00000
    190      -7.9183      1.00000
    191      -7.9182      1.00000
    192      -7.9180      1.00000
    193      -7.9138      1.00000
    194      -7.9134      1.00000
    195      -7.9128      1.00000
    196      -7.9110      1.00000
    197      -7.9099      1.00000
    198      -7.9080      1.00000
    199      -7.9064      1.00000
    200      -7.9052      1.00000
    201      -7.9047      1.00000
    202      -7.8381      1.00000
    203      -7.8242      1.00000
    204      -7.7612      1.00000
    205      -7.7592      1.00000
    206      -7.7170      1.00000
    207      -7.7170      1.00000
    208      -7.6558      1.00000
    209      -7.6553      1.00000
    210      -7.4426      1.00000
    211      -7.4174      1.00000
    212      -7.2265      1.00000
    213      -6.9731      1.00000
    214      -6.9730      1.00000
    215      -6.9712      1.00000
    216      -6.9712      1.00000
    217      -6.9662      1.00000
    218      -6.9655      1.00000
    219      -6.9182      1.00000
    220      -6.9123      1.00000
    221      -6.6498      1.00000
    222      -6.6467      1.00000
    223      -6.6447      1.00000
    224      -6.6361      1.00000
    225      -6.6359      1.00000
    226      -6.6358      1.00000
    227      -6.6166      1.00000
    228      -6.6123      1.00000
    229      -6.6101      1.00000
    230      -6.6100      1.00000
    231      -6.6095      1.00000
    232      -6.6094      1.00000
    233      -6.6087      1.00000
    234      -6.6085      1.00000
    235      -6.6079      1.00000
    236      -6.5759      1.00000
    237      -6.5759      1.00000
    238      -6.5756      1.00000
    239      -6.5639      1.00000
    240      -6.5617      1.00000
    241      -6.5600      1.00000
    242      -6.2891      1.00000
    243      -6.2488      1.00000
    244      -5.8570      1.00000
    245      -5.7856      1.00000
    246      -5.1347      1.00000
    247      -5.1305      1.00000
    248      -5.1096      1.00000
    249      -5.0966      1.00000
    250      -5.0821      1.00000
    251      -5.0785      1.00000
    252      -5.0784      1.00000
    253      -5.0783      1.00000
    254      -5.0780      1.00000
    255      -5.0779      1.00000
    256      -5.0779      1.00000
    257      -5.0779      1.00000
    258      -5.0775      1.00000
    259      -5.0773      1.00000
    260      -5.0764      1.00000
    261      -5.0764      1.00000
    262      -5.0760      1.00000
    263      -5.0632      1.00000
    264      -5.0629      1.00000
    265      -5.0626      1.00000
    266      -5.0625      1.00000
    267      -5.0613      1.00000
    268      -5.0607      1.00000
    269      -4.9636      1.00000
    270      -4.9534      1.00000
    271      -4.9527      1.00000
    272      -4.9478      1.00000
    273      -4.9441      1.00000
    274      -4.9365      1.00000
    275      -4.9205      1.00000
    276      -4.9037      1.00000
    277      -4.9002      1.00000
    278      -4.8941      1.00000
    279      -4.8935      1.00000
    280      -4.8862      1.00000
    281      -4.8700      1.00000
    282      -4.8563      1.00000
    283      -4.8542      1.00000
    284      -4.8538      1.00000
    285      -4.8529      1.00000
    286      -4.8519      1.00000
    287      -4.8515      1.00000
    288      -4.8503      1.00000
    289      -4.8495      1.00000
    290      -4.8490      1.00000
    291      -4.8482      1.00000
    292      -4.8480      1.00000
    293      -4.8371      1.00000
    294      -4.8322      1.00000
    295      -4.8321      1.00000
    296      -4.8320      1.00000
    297      -4.8318      1.00000
    298      -4.8303      1.00000
    299      -4.8302      1.00000
    300      -4.8284      1.00000
    301      -4.8276      1.00000
    302      -4.8249      1.00000
    303      -4.8241      1.00000
    304      -4.8234      1.00000
    305      -4.8229      1.00000
    306      -4.8122      1.00000
    307      -4.8009      1.00000
    308      -4.8007      1.00000
    309      -4.7994      1.00000
    310      -4.7982      1.00000
    311      -4.7981      1.00000
    312      -4.7971      1.00000
    313      -4.7968      1.00000
    314      -4.7966      1.00000
    315      -4.7965      1.00000
    316      -4.7963      1.00000
    317      -4.7925      1.00000
    318      -4.7696      1.00000
    319      -4.7641      1.00000
    320      -4.7558      1.00000
    321      -4.6117      1.00000
    322      -4.5845      1.00000
    323      -4.2134      1.00000
    324      -4.1410      1.00000
    325      -4.0027      1.00000
    326      -3.9993      1.00000
    327      -3.9971      1.00000
    328      -3.9859      1.00000
    329      -3.9836      1.00000
    330      -3.9726      1.00000
    331      -3.9664      1.00000
    332      -3.9656      1.00000
    333      -3.9650      1.00000
    334      -3.9592      1.00000
    335      -3.9576      1.00000
    336      -3.8438      1.00000
    337      -3.5575      1.00000
    338      -3.5496      1.00000
    339      -3.5438      1.00000
    340      -3.5244      1.00000
    341      -3.5224      1.00000
    342      -3.5208      1.00000
    343      -3.5148      1.00000
    344      -3.5133      1.00000
    345      -3.5088      1.00000
    346      -3.5087      1.00000
    347      -3.5086      1.00000
    348      -3.4810      1.00000
    349      -3.4801      1.00000
    350      -3.4774      1.00000
    351      -3.3862      1.00000
    352      -3.3237      1.00000
    353      -3.3161      1.00000
    354      -3.3126      1.00000
    355      -3.3030      1.00000
    356      -3.2985      1.00000
    357      -3.2730      1.00000
    358      -3.2728      1.00000
    359      -3.2720      1.00000
    360      -3.2718      1.00000
    361      -3.2718      1.00000
    362      -3.2709      1.00000
    363      -3.2590      1.00000
    364      -3.2571      1.00000
    365      -3.2567      1.00000
    366      -3.2565      1.00000
    367      -3.2561      1.00000
    368      -3.2558      1.00000
    369      -3.2424      1.00000
    370      -3.2387      1.00000
    371      -3.2382      1.00000
    372      -3.2348      1.00000
    373      -3.2331      1.00000
    374      -3.2329      1.00000
    375      -3.2303      1.00000
    376      -3.1916      1.00000
    377      -3.1892      1.00000
    378      -3.1573      1.00000
    379      -3.1106      1.00000
    380      -3.0967      1.00000
    381      -2.9533      1.00000
    382      -2.9282      1.00000
    383      -2.9242      1.00000
    384      -2.9078      1.00000
    385      -2.9057      1.00000
    386      -2.9057      1.00000
    387      -2.9014      1.00000
    388      -2.8961      1.00000
    389      -2.8941      1.00000
    390      -2.8834      1.00000
    391      -2.8831      1.00000
    392      -2.8828      1.00000
    393      -2.8821      1.00000
    394      -2.8817      1.00000
    395      -2.8813      1.00000
    396      -2.8640      1.00000
    397      -2.8609      1.00000
    398      -2.8607      1.00000
    399      -2.8579      1.00000
    400      -2.8558      1.00000
    401      -2.8551      1.00000
    402      -2.8010      1.00000
    403      -2.7687      1.00000
    404      -2.7681      1.00000
    405      -2.7645      1.00000
    406      -2.7628      1.00000
    407      -2.7603      1.00000
    408      -2.7535      1.00000
    409      -2.7277      1.00000
    410      -2.7009      1.00000
    411      -2.5918      1.00000
    412      -2.5899      1.00000
    413      -2.5882      1.00000
    414      -2.5809      1.00000
    415      -2.5798      1.00000
    416      -2.5798      1.00000
    417      -2.5728      1.00000
    418      -2.5690      1.00000
    419      -2.5604      1.00000
    420      -2.5561      1.00000
    421      -2.5545      1.00000
    422      -2.5538      1.00000
    423      -2.5534      1.00000
    424      -2.5530      1.00000
    425      -2.5524      1.00000
    426      -2.5512      1.00000
    427      -2.5507      1.00000
    428      -2.5505      1.00000
    429      -2.5502      1.00000
    430      -2.5498      1.00000
    431      -2.5485      1.00000
    432      -2.5481      1.00000
    433      -2.5477      1.00000
    434      -2.5474      1.00000
    435      -2.5410      1.00000
    436      -2.5390      1.00000
    437      -2.5273      1.00000
    438      -2.4194      1.00000
    439      -2.4053      1.00000
    440      -2.3995      1.00000
    441      -2.3817      1.00000
    442      -2.3803      1.00000
    443      -2.3801      1.00000
    444      -2.3797      1.00000
    445      -2.3757      1.00000
    446      -2.3751      1.00000
    447      -2.3726      1.00000
    448      -2.3725      1.00000
    449      -2.1984      1.00000
    450      -1.7838      1.00000
    451      -1.7330      1.00000
    452      -1.7322      1.00000
    453      -1.7266      1.00000
    454      -1.7230      1.00000
    455      -1.7081      1.00000
    456      -1.7015      1.00000
    457      -1.6983      1.00000
    458      -1.6976      1.00000
    459      -1.6964      1.00000
    460      -1.6928      1.00000
    461      -1.6907      1.00000
    462      -1.6843      1.00000
    463      -1.5731      1.00000
    464      -1.4947      1.00000
    465      -1.4668      1.00000
    466      -1.3780      1.00000
    467      -1.3755      1.00000
    468      -1.3752      1.00000
    469      -1.3718      1.00000
    470      -1.3715      1.00000
    471      -1.3710      1.00000
    472      -1.3571      1.00000
    473      -1.3550      1.00000
    474      -1.3549      1.00000
    475      -1.3534      1.00000
    476      -1.3521      1.00000
    477      -1.3516      1.00000
    478      -1.3466      1.00000
    479      -1.3449      1.00000
    480      -1.3406      1.00000
    481      -1.3400      1.00000
    482      -1.3385      1.00000
    483      -1.3359      1.00000
    484      -1.3351      1.00000
    485      -1.3347      1.00000
    486      -1.3346      1.00000
    487      -1.3270      1.00000
    488      -1.3216      1.00000
    489      -1.3172      1.00000
    490      -1.2974      1.00000
    491      -1.2921      1.00000
    492      -1.2034      1.00000
    493      -0.7362      1.00000
    494      -0.7320      1.00000
    495      -0.7239      1.00000
    496      -0.7227      1.00000
    497      -0.7179      1.00000
    498      -0.6908      1.00000
    499      -0.6338      1.00000
    500      -0.6258      1.00000
    501      -0.6233      1.00000
    502      -0.6179      1.00000
    503      -0.6160      1.00000
    504      -0.6121      1.00000
    505      -0.6099      1.00000
    506      -0.6068      1.00000
    507      -0.6044      1.00000
    508      -0.5865      1.00000
    509      -0.5827      1.00000
    510      -0.5823      1.00000
    511      -0.5272      1.00000
    512      -0.4629      1.00000
    513      -0.3780      1.00000
    514      -0.3779      1.00000
    515      -0.3643      1.00000
    516      -0.3643      1.00000
    517      -0.3501      1.00000
    518      -0.3499      1.00000
    519      -0.3489      1.00000
    520      -0.3454      1.00000
    521      -0.3068      1.00000
    522      -0.0095      1.00000
    523       0.0036      1.00000
    524       0.0074      1.00000
    525       0.0172      1.00000
    526       0.0206      1.00000
    527       0.0281      1.00000
    528       0.0295      1.00000
    529       0.0306      1.00000
    530       0.0313      1.00000
    531       0.0342      1.00000
    532       0.0343      1.00000
    533       0.0346      1.00000
    534       0.0354      1.00000
    535       0.0360      1.00000
    536       0.0368      1.00000
    537       0.0390      1.00000
    538       0.0395      1.00000
    539       0.0418      1.00000
    540       0.0445      1.00000
    541       0.0453      1.00000
    542       0.0507      1.00000
    543       0.0679      1.00000
    544       0.0721      1.00000
    545       0.1413      1.00000
    546       0.1858      1.00000
    547       0.1948      1.00000
    548       0.1988      1.00000
    549       0.1991      1.00000
    550       0.2008      1.00000
    551       0.4567      1.00000
    552       0.6698      1.00000
    553       0.6731      1.00000
    554       0.6751      1.00000
    555       0.6780      1.00000
    556       0.6786      1.00000
    557       0.6805      1.00000
    558       0.6810      1.00000
    559       0.6817      1.00000
    560       0.6829      1.00000
    561       0.6895      1.00000
    562       0.6953      1.00000
    563       0.6974      1.00000
    564       0.7034      1.00000
    565       0.7110      1.00000
    566       1.0438      1.00000
    567       1.1500      1.00000
    568       1.1596      1.00000
    569       1.1608      1.00000
    570       1.1984      1.00000
    571       1.2203      1.00000
    572       1.2249      1.00000
    573       1.2286      1.00000
    574       1.6903      1.00000
    575       3.2936      0.00000
    576       3.6653      1.00000
    577       7.2281      0.00000
    578       7.2485      0.00000
    579       7.2487      0.00000
    580       7.7329      0.00000
    581       7.7349      0.00000
    582       7.7391      0.00000
    583       7.7428      0.00000
    584       7.7449      0.00000
    585       7.7458      0.00000
    586       7.7471      0.00000
    587       7.7483      0.00000
    588       7.7541      0.00000
    589       7.7607      0.00000
    590       7.9690      0.00000
    591       7.9712      0.00000
    592       7.9758      0.00000
    593       7.9790      0.00000
    594       8.0215      0.00000
    595       8.2577      0.00000
    596       8.2688      0.00000
    597       8.2715      0.00000
    598       8.2772      0.00000
    599       8.2851      0.00000
    600       8.2865      0.00000
    601       8.2967      0.00000
    602       8.2989      0.00000
    603       8.3006      0.00000
    604       8.3123      0.00000
    605       8.3175      0.00000
    606       8.3241      0.00000
    607       8.5160      0.00000
    608       8.5173      0.00000
    609       8.5366      0.00000
    610       8.5423      0.00000
    611       8.5544      0.00000
    612       8.5545      0.00000
    613       8.5552      0.00000
    614       8.5556      0.00000
    615       8.5561      0.00000
    616       8.5566      0.00000
    617       8.5572      0.00000
    618       8.5604      0.00000
    619       8.5618      0.00000
    620       8.5629      0.00000
    621       8.5646      0.00000
    622       8.5649      0.00000
    623       8.5664      0.00000
    624       8.5698      0.00000
    625       8.5821      0.00000
    626       8.5831      0.00000
    627       8.5865      0.00000
    628       8.5913      0.00000
    629       8.5963      0.00000
    630       8.6751      0.00000
    631       8.7774      0.00000
    632       8.7786      0.00000
    633       8.7820      0.00000
    634       8.9368      0.00000
    635       8.9370      0.00000
    636       8.9389      0.00000
    637       8.9505      0.00000
    638       8.9552      0.00000
    639       9.0351      0.00000
    640       9.2094      0.00000
    641       9.2100      0.00000
    642       9.2238      0.00000
    643       9.2258      0.00000
    644       9.2272      0.00000
    645       9.2319      0.00000
    646       9.2471      0.00000
    647       9.2498      0.00000
    648       9.2548      0.00000
    649       9.2574      0.00000
    650       9.2706      0.00000
    651       9.3568      0.00000
    652      10.1497      0.00000
    653      10.1755      0.00000
    654      10.1768      0.00000
    655      10.1776      0.00000
    656      10.1801      0.00000
    657      10.1943      0.00000
    658      10.2934      0.00000
    659      10.3032      0.00000
    660      10.3064      0.00000
    661      10.3081      0.00000
    662      10.3089      0.00000
    663      10.3093      0.00000
    664      10.3110      0.00000
    665      10.3120      0.00000
    666      10.3146      0.00000
    667      10.3276      0.00000
    668      10.3341      0.00000
    669      10.4638      0.00000
    670      10.6029      0.00000
    671      10.6234      0.00000
    672      10.6522      0.00000
    673      10.6536      0.00000
    674      10.6544      0.00000
    675      10.6719      0.00000
    676      10.6746      0.00000
    677      10.7051      0.00000
    678      11.1252      0.00000
    679      11.1274      0.00000
    680      11.1310      0.00000
    681      11.1490      0.00000
    682      11.1521      0.00000
    683      11.1698      0.00000
    684      11.1883      0.00000
    685      11.1910      0.00000
    686      11.1952      0.00000
    687      11.1966      0.00000
    688      11.1986      0.00000
    689      11.2000      0.00000
    690      11.2118      0.00000
    691      11.2127      0.00000
    692      11.2139      0.00000
    693      11.2146      0.00000
    694      11.2159      0.00000
    695      11.2172      0.00000
    696      11.2176      0.00000
    697      11.2237      0.00000
    698      11.2288      0.00000
    699      11.2345      0.00000
    700      11.2764      0.00000
    701      11.2863      0.00000
    702      11.2993      0.00000
    703      11.2997      0.00000
    704      11.3041      0.00000
    705      11.3048      0.00000
    706      11.3054      0.00000
    707      11.3130      0.00000
    708      11.3137      0.00000
    709      11.3174      0.00000
    710      11.3196      0.00000
    711      11.3293      0.00000
    712      11.4434      0.00000
    713      11.6383      0.00000
    714      11.8832      0.00000
    715      11.8837      0.00000
    716      11.8936      0.00000
    717      11.8981      0.00000
    718      11.9036      0.00000
    719      11.9868      0.00000
    720      12.0222      0.00000
    721      12.0234      0.00000
    722      12.0372      0.00000
    723      12.0427      0.00000
    724      12.0456      0.00000
    725      12.3922      0.00000
    726      12.9257      0.00000
    727      12.9260      0.00000
    728      12.9361      0.00000
    729      13.3339      0.00000
    730      13.3360      0.00000
    731      13.3526      0.00000
    732      13.3589      0.00000
    733      13.3609      0.00000
    734      13.3617      0.00000
    735      13.3703      0.00000
    736      13.3732      0.00000
    737      13.3784      0.00000
    738      13.3817      0.00000
    739      13.3826      0.00000
    740      13.3910      0.00000
    741      13.3915      0.00000
    742      13.3918      0.00000
    743      13.3977      0.00000
    744      13.3983      0.00000
    745      13.4001      0.00000
    746      13.4083      0.00000
    747      13.4114      0.00000
    748      13.4123      0.00000
    749      13.4163      0.00000
    750      13.4163      0.00000
    751      13.4240      0.00000
    752      13.4762      0.00000
    753      13.4785      0.00000
    754      13.5439      0.00000
    755      13.5990      0.00000
    756      13.6006      0.00000
    757      13.6025      0.00000
    758      13.6043      0.00000
    759      13.6062      0.00000
    760      13.6065      0.00000
    761      13.6106      0.00000
    762      13.6109      0.00000
    763      13.6231      0.00000
    764      13.6287      0.00000
    765      13.6440      0.00000
    766      13.6465      0.00000
    767      13.6475      0.00000
    768      13.6944      0.00000
    769      13.6967      0.00000
    770      13.7243      0.00000
    771      13.7253      0.00000
    772      13.7524      0.00000
    773      13.8001      0.00000
    774      13.8025      0.00000
    775      13.9040      0.00000
    776      13.9348      0.00000
    777      14.2523      0.00000
    778      14.2719      0.00000
    779      14.2728      0.00000
    780      14.2741      0.00000
    781      14.2746      0.00000
    782      14.2816      0.00000
    783      14.2855      0.00000
    784      14.2893      0.00000
    785      14.2930      0.00000
    786      14.2967      0.00000
    787      14.3034      0.00000
    788      14.3782      0.00000
    789      14.5577      0.00000
    790      14.5581      0.00000
    791      14.6127      0.00000
    792      14.6144      0.00000
    793      14.6166      0.00000
    794      14.6375      0.00000
    795      14.7964      0.00000
    796      14.7973      0.00000
    797      14.8269      0.00000
    798      14.8290      0.00000
    799      14.8300      0.00000
    800      14.8330      0.00000
    801      14.8360      0.00000
    802      14.8363      0.00000
    803      14.8489      0.00000
    804      14.8560      0.00000
    805      14.8565      0.00000
    806      14.8583      0.00000
    807      14.8779      0.00000
    808      14.8792      0.00000
    809      14.8891      0.00000
    810      14.9407      0.00000
    811      14.9453      0.00000
    812      14.9830      0.00000
    813      14.9848      0.00000
    814      14.9878      0.00000
    815      15.0017      0.00000
    816      15.0022      0.00000
    817      15.0836      0.00000
    818      15.0839      0.00000
    819      15.1059      0.00000
    820      15.1244      0.00000
    821      15.1309      0.00000
