
 Fermi energy:         1.4057785494

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -19.0545      1.00000
      2     -18.9823      1.00000
      3     -18.7040      1.00000
      4     -18.6499      1.00000
      5     -18.5903      1.00000
      6     -18.4864      1.00000
      7     -18.4612      1.00000
      8     -18.4489      1.00000
      9     -18.4487      1.00000
     10     -18.4456      1.00000
     11     -18.4406      1.00000
     12     -18.4327      1.00000
     13     -18.3572      1.00000
     14     -18.3213      1.00000
     15     -18.2665      1.00000
     16     -18.2609      1.00000
     17     -18.1507      1.00000
     18     -18.1248      1.00000
     19     -18.1182      1.00000
     20     -18.0876      1.00000
     21     -18.0842      1.00000
     22     -18.0835      1.00000
     23     -18.0720      1.00000
     24     -18.0617      1.00000
     25     -18.0535      1.00000
     26     -18.0261      1.00000
     27     -18.0187      1.00000
     28     -17.9992      1.00000
     29     -17.4046      1.00000
     30     -17.3976      1.00000
     31     -17.3671      1.00000
     32     -17.3654      1.00000
     33     -17.3600      1.00000
     34     -17.3241      1.00000
     35     -17.3128      1.00000
     36     -17.3067      1.00000
     37     -17.2950      1.00000
     38     -17.2730      1.00000
     39     -17.2471      1.00000
     40     -17.0540      1.00000
     41     -17.0055      1.00000
     42     -17.0010      1.00000
     43     -16.9986      1.00000
     44     -16.9939      1.00000
     45     -16.9928      1.00000
     46     -16.9910      1.00000
     47     -16.9682      1.00000
     48     -16.9651      1.00000
     49     -16.9508      1.00000
     50     -16.9486      1.00000
     51     -16.9476      1.00000
     52     -16.9151      1.00000
     53     -16.8852      1.00000
     54     -16.8804      1.00000
     55     -16.8797      1.00000
     56     -16.8793      1.00000
     57     -16.8555      1.00000
     58     -16.8117      1.00000
     59     -16.7963      1.00000
     60     -16.7834      1.00000
     61     -16.7665      1.00000
     62     -16.7593      1.00000
     63     -16.7438      1.00000
     64     -16.5129      1.00000
     65     -16.5097      1.00000
     66     -16.5092      1.00000
     67     -16.5082      1.00000
     68     -16.5078      1.00000
     69     -16.5075      1.00000
     70     -16.5059      1.00000
     71     -16.4778      1.00000
     72     -16.4762      1.00000
     73     -16.4711      1.00000
     74     -16.4702      1.00000
     75     -16.4656      1.00000
     76     -16.3505      1.00000
     77     -16.0178      1.00000
     78     -15.7948      1.00000
     79     -15.7042      1.00000
     80     -15.7019      1.00000
     81     -15.6989      1.00000
     82     -15.6956      1.00000
     83     -15.6932      1.00000
     84     -15.6922      1.00000
     85     -15.6899      1.00000
     86     -15.6715      1.00000
     87     -15.6363      1.00000
     88     -15.6319      1.00000
     89     -15.6295      1.00000
     90     -15.6234      1.00000
     91     -15.6227      1.00000
     92     -15.6196      1.00000
     93     -15.6151      1.00000
     94     -15.5526      1.00000
     95     -15.5523      1.00000
     96     -15.5521      1.00000
     97     -15.5518      1.00000
     98     -15.5321      1.00000
     99     -15.5022      1.00000
    100     -15.4682      1.00000
    101     -15.4535      1.00000
    102     -15.4526      1.00000
    103     -15.4264      1.00000
    104     -15.4020      1.00000
    105     -15.3880      1.00000
    106     -15.3818      1.00000
    107     -15.3660      1.00000
    108     -15.3651      1.00000
    109     -15.3490      1.00000
    110     -15.3480      1.00000
    111     -15.3473      1.00000
    112     -15.3421      1.00000
    113     -15.3356      1.00000
    114     -15.3344      1.00000
    115     -15.3301      1.00000
    116     -15.3229      1.00000
    117     -15.3195      1.00000
    118     -15.3122      1.00000
    119     -15.3109      1.00000
    120     -15.3081      1.00000
    121     -15.3067      1.00000
    122     -15.2964      1.00000
    123     -15.2964      1.00000
    124     -15.2954      1.00000
    125     -15.2946      1.00000
    126     -15.2919      1.00000
    127     -15.2873      1.00000
    128     -15.2796      1.00000
    129     -15.2791      1.00000
    130     -15.2129      1.00000
    131     -15.2121      1.00000
    132     -15.2109      1.00000
    133     -15.2073      1.00000
    134     -15.2062      1.00000
    135     -15.2048      1.00000
    136     -14.9424      1.00000
    137     -14.8702      1.00000
    138     -14.8332      1.00000
    139     -14.8061      1.00000
    140     -14.5701      1.00000
    141     -14.5697      1.00000
    142     -14.5696      1.00000
    143     -14.5693      1.00000
    144      -9.6418      1.00000
    145      -9.1041      1.00000
    146      -9.0427      1.00000
    147      -9.0427      1.00000
    148      -9.0426      1.00000
    149      -8.9386      1.00000
    150      -8.9135      1.00000
    151      -8.7579      1.00000
    152      -8.7569      1.00000
    153      -8.7559      1.00000
    154      -8.7482      1.00000
    155      -8.7454      1.00000
    156      -8.7450      1.00000
    157      -8.3541      1.00000
    158      -8.2579      1.00000
    159      -8.1524      1.00000
    160      -8.1160      1.00000
    161      -8.1152      1.00000
    162      -8.1150      1.00000
    163      -8.1148      1.00000
    164      -8.1143      1.00000
    165      -8.1120      1.00000
    166      -8.1070      1.00000
    167      -8.1026      1.00000
    168      -8.1012      1.00000
    169      -8.1011      1.00000
    170      -8.1005      1.00000
    171      -8.1001      1.00000
    172      -8.0996      1.00000
    173      -8.0750      1.00000
    174      -8.0241      1.00000
    175      -8.0071      1.00000
    176      -7.9862      1.00000
    177      -7.9816      1.00000
    178      -7.9049      1.00000
    179      -7.8923      1.00000
    180      -7.8909      1.00000
    181      -7.8660      1.00000
    182      -7.8448      1.00000
    183      -7.8410      1.00000
    184      -7.8356      1.00000
    185      -7.8356      1.00000
    186      -7.8345      1.00000
    187      -7.8304      1.00000
    188      -7.8247      1.00000
    189      -7.8233      1.00000
    190      -7.8165      1.00000
    191      -7.8126      1.00000
    192      -7.8104      1.00000
    193      -7.8090      1.00000
    194      -7.8064      1.00000
    195      -7.8055      1.00000
    196      -7.7982      1.00000
    197      -7.7957      1.00000
    198      -7.7926      1.00000
    199      -7.7924      1.00000
    200      -7.7911      1.00000
    201      -7.7904      1.00000
    202      -7.7880      1.00000
    203      -7.7847      1.00000
    204      -7.7821      1.00000
    205      -7.7813      1.00000
    206      -7.7655      1.00000
    207      -7.7093      1.00000
    208      -7.5798      1.00000
    209      -7.5798      1.00000
    210      -7.5560      1.00000
    211      -7.5555      1.00000
    212      -7.4874      1.00000
    213      -7.1264      1.00000
    214      -7.1264      1.00000
    215      -7.0604      1.00000
    216      -7.0583      1.00000
    217      -6.8403      1.00000
    218      -6.8400      1.00000
    219      -6.8331      1.00000
    220      -6.8330      1.00000
    221      -6.7971      1.00000
    222      -6.7933      1.00000
    223      -6.7928      1.00000
    224      -6.7679      1.00000
    225      -6.7678      1.00000
    226      -6.7674      1.00000
    227      -6.7674      1.00000
    228      -6.7649      1.00000
    229      -6.7503      1.00000
    230      -6.5909      1.00000
    231      -6.5138      1.00000
    232      -6.4788      1.00000
    233      -6.4781      1.00000
    234      -6.4773      1.00000
    235      -6.4759      1.00000
    236      -6.4757      1.00000
    237      -6.4744      1.00000
    238      -6.4726      1.00000
    239      -6.4649      1.00000
    240      -6.4641      1.00000
    241      -6.4623      1.00000
    242      -6.4601      1.00000
    243      -6.4520      1.00000
    244      -6.1599      1.00000
    245      -5.7857      1.00000
    246      -5.3906      1.00000
    247      -5.3068      1.00000
    248      -5.2852      1.00000
    249      -5.2637      1.00000
    250      -5.2634      1.00000
    251      -5.2633      1.00000
    252      -5.2359      1.00000
    253      -5.2319      1.00000
    254      -5.2283      1.00000
    255      -5.2274      1.00000
    256      -5.2268      1.00000
    257      -5.1317      1.00000
    258      -5.0409      1.00000
    259      -5.0176      1.00000
    260      -5.0066      1.00000
    261      -5.0065      1.00000
    262      -5.0061      1.00000
    263      -5.0056      1.00000
    264      -5.0054      1.00000
    265      -5.0023      1.00000
    266      -5.0014      1.00000
    267      -4.9942      1.00000
    268      -4.9919      1.00000
    269      -4.9918      1.00000
    270      -4.9903      1.00000
    271      -4.9901      1.00000
    272      -4.9900      1.00000
    273      -4.9624      1.00000
    274      -4.9469      1.00000
    275      -4.9468      1.00000
    276      -4.9461      1.00000
    277      -4.9454      1.00000
    278      -4.9452      1.00000
    279      -4.9449      1.00000
    280      -4.9448      1.00000
    281      -4.9370      1.00000
    282      -4.9362      1.00000
    283      -4.9362      1.00000
    284      -4.9349      1.00000
    285      -4.9347      1.00000
    286      -4.9344      1.00000
    287      -4.9325      1.00000
    288      -4.9320      1.00000
    289      -4.9175      1.00000
    290      -4.9087      1.00000
    291      -4.9046      1.00000
    292      -4.8877      1.00000
    293      -4.8815      1.00000
    294      -4.8700      1.00000
    295      -4.8657      1.00000
    296      -4.8564      1.00000
    297      -4.8539      1.00000
    298      -4.7247      1.00000
    299      -4.7224      1.00000
    300      -4.7215      1.00000
    301      -4.7190      1.00000
    302      -4.7155      1.00000
    303      -4.7148      1.00000
    304      -4.7123      1.00000
    305      -4.7092      1.00000
    306      -4.7024      1.00000
    307      -4.6972      1.00000
    308      -4.6959      1.00000
    309      -4.6887      1.00000
    310      -4.6867      1.00000
    311      -4.6853      1.00000
    312      -4.6784      1.00000
    313      -4.6766      1.00000
    314      -4.6746      1.00000
    315      -4.6720      1.00000
    316      -4.6706      1.00000
    317      -4.6699      1.00000
    318      -4.6675      1.00000
    319      -4.6639      1.00000
    320      -4.6623      1.00000
    321      -4.6613      1.00000
    322      -4.6545      1.00000
    323      -4.5596      1.00000
    324      -4.4250      1.00000
    325      -4.2261      1.00000
    326      -4.1869      1.00000
    327      -4.1159      1.00000
    328      -4.0617      1.00000
    329      -4.0420      1.00000
    330      -4.0203      1.00000
    331      -4.0106      1.00000
    332      -3.8708      1.00000
    333      -3.8606      1.00000
    334      -3.8376      1.00000
    335      -3.8241      1.00000
    336      -3.8205      1.00000
    337      -3.8060      1.00000
    338      -3.6912      1.00000
    339      -3.6866      1.00000
    340      -3.6865      1.00000
    341      -3.6863      1.00000
    342      -3.6233      1.00000
    343      -3.6204      1.00000
    344      -3.6007      1.00000
    345      -3.5185      1.00000
    346      -3.4441      1.00000
    347      -3.4438      1.00000
    348      -3.4437      1.00000
    349      -3.4360      1.00000
    350      -3.4095      1.00000
    351      -3.4094      1.00000
    352      -3.4094      1.00000
    353      -3.3759      1.00000
    354      -3.3751      1.00000
    355      -3.3747      1.00000
    356      -3.3724      1.00000
    357      -3.3710      1.00000
    358      -3.3705      1.00000
    359      -3.3686      1.00000
    360      -3.3531      1.00000
    361      -3.3314      1.00000
    362      -3.3205      1.00000
    363      -3.3107      1.00000
    364      -3.3028      1.00000
    365      -3.2974      1.00000
    366      -3.2397      1.00000
    367      -3.1806      1.00000
    368      -3.1649      1.00000
    369      -3.1288      1.00000
    370      -3.1280      1.00000
    371      -3.1274      1.00000
    372      -3.1265      1.00000
    373      -3.1264      1.00000
    374      -3.1224      1.00000
    375      -3.1172      1.00000
    376      -3.1144      1.00000
    377      -3.1139      1.00000
    378      -3.1129      1.00000
    379      -3.1122      1.00000
    380      -3.1109      1.00000
    381      -3.0791      1.00000
    382      -3.0783      1.00000
    383      -3.0533      1.00000
    384      -3.0533      1.00000
    385      -3.0529      1.00000
    386      -3.0529      1.00000
    387      -3.0014      1.00000
    388      -2.9982      1.00000
    389      -2.9754      1.00000
    390      -2.9653      1.00000
    391      -2.9514      1.00000
    392      -2.9334      1.00000
    393      -2.8368      1.00000
    394      -2.7788      1.00000
    395      -2.7583      1.00000
    396      -2.7491      1.00000
    397      -2.7484      1.00000
    398      -2.7478      1.00000
    399      -2.7471      1.00000
    400      -2.7460      1.00000
    401      -2.7457      1.00000
    402      -2.7457      1.00000
    403      -2.7451      1.00000
    404      -2.7444      1.00000
    405      -2.7433      1.00000
    406      -2.7423      1.00000
    407      -2.7420      1.00000
    408      -2.7414      1.00000
    409      -2.7413      1.00000
    410      -2.7406      1.00000
    411      -2.7385      1.00000
    412      -2.7378      1.00000
    413      -2.7355      1.00000
    414      -2.7351      1.00000
    415      -2.7200      1.00000
    416      -2.6957      1.00000
    417      -2.6939      1.00000
    418      -2.6901      1.00000
    419      -2.6389      1.00000
    420      -2.6160      1.00000
    421      -2.6101      1.00000
    422      -2.5870      1.00000
    423      -2.5776      1.00000
    424      -2.5367      1.00000
    425      -2.5362      1.00000
    426      -2.5149      1.00000
    427      -2.5033      1.00000
    428      -2.4931      1.00000
    429      -2.4822      1.00000
    430      -2.4751      1.00000
    431      -2.4494      1.00000
    432      -2.4466      1.00000
    433      -2.4439      1.00000
    434      -2.4347      1.00000
    435      -2.4301      1.00000
    436      -2.4300      1.00000
    437      -2.4296      1.00000
    438      -2.4235      1.00000
    439      -2.4172      1.00000
    440      -2.4166      1.00000
    441      -2.4098      1.00000
    442      -2.4039      1.00000
    443      -2.2988      1.00000
    444      -2.2858      1.00000
    445      -2.2692      1.00000
    446      -2.2637      1.00000
    447      -2.2580      1.00000
    448      -2.2576      1.00000
    449      -2.2550      1.00000
    450      -2.1871      1.00000
    451      -1.9981      1.00000
    452      -1.8931      1.00000
    453      -1.8904      1.00000
    454      -1.8830      1.00000
    455      -1.8407      1.00000
    456      -1.8382      1.00000
    457      -1.7764      1.00000
    458      -1.6550      1.00000
    459      -1.6083      1.00000
    460      -1.5804      1.00000
    461      -1.5764      1.00000
    462      -1.5752      1.00000
    463      -1.5737      1.00000
    464      -1.5718      1.00000
    465      -1.5708      1.00000
    466      -1.5409      1.00000
    467      -1.5402      1.00000
    468      -1.5393      1.00000
    469      -1.5356      1.00000
    470      -1.5344      1.00000
    471      -1.5329      1.00000
    472      -1.4301      1.00000
    473      -1.4223      1.00000
    474      -1.3616      1.00000
    475      -1.3555      1.00000
    476      -1.3499      1.00000
    477      -1.3322      1.00000
    478      -1.3203      1.00000
    479      -1.3148      1.00000
    480      -1.2360      1.00000
    481      -1.2338      1.00000
    482      -1.2338      1.00000
    483      -1.2327      1.00000
    484      -1.2298      1.00000
    485      -1.2291      1.00000
    486      -1.2284      1.00000
    487      -1.2122      1.00000
    488      -1.2098      1.00000
    489      -1.2095      1.00000
    490      -1.2072      1.00000
    491      -1.2011      1.00000
    492      -1.1978      1.00000
    493      -0.8135      1.00000
    494      -0.7847      1.00000
    495      -0.7651      1.00000
    496      -0.7406      1.00000
    497      -0.7258      1.00000
    498      -0.7092      1.00000
    499      -0.6960      1.00000
    500      -0.6910      1.00000
    501      -0.6894      1.00000
    502      -0.6781      1.00000
    503      -0.6780      1.00000
    504      -0.6379      1.00000
    505      -0.6331      1.00000
    506      -0.6248      1.00000
    507      -0.6201      1.00000
    508      -0.6171      1.00000
    509      -0.5839      1.00000
    510      -0.5822      1.00000
    511      -0.5681      1.00000
    512      -0.5510      1.00000
    513      -0.5509      1.00000
    514      -0.4708      1.00000
    515      -0.3843      1.00000
    516      -0.3721      1.00000
    517      -0.3440      1.00000
    518      -0.2768      1.00000
    519      -0.2307      1.00000
    520      -0.2303      1.00000
    521      -0.2298      1.00000
    522      -0.2291      1.00000
    523      -0.2046      1.00000
    524      -0.1901      1.00000
    525      -0.1142      1.00000
    526      -0.1028      1.00000
    527      -0.0918      1.00000
    528      -0.0809      1.00000
    529      -0.0710      1.00000
    530      -0.0564      1.00000
    531      -0.0421      1.00000
    532      -0.0322      1.00000
    533      -0.0029      1.00000
    534       0.0741      1.00000
    535       0.0777      1.00000
    536       0.0875      1.00000
    537       0.1107      1.00000
    538       0.1156      1.00000
    539       0.1382      1.00000
    540       0.1386      1.00000
    541       0.1529      1.00000
    542       0.1541      1.00000
    543       0.1732      1.00000
    544       0.1753      1.00000
    545       0.1852      1.00000
    546       0.1875      1.00000
    547       0.1937      1.00000
    548       0.1955      1.00000
    549       0.3289      1.00000
    550       0.3303      1.00000
    551       0.3323      1.00000
    552       0.4092      1.00000
    553       0.5867      1.00000
    554       0.6021      1.00000
    555       0.6190      1.00000
    556       0.6551      1.00000
    557       0.6812      1.00000
    558       0.6874      1.00000
    559       0.6953      1.00000
    560       0.6989      1.00000
    561       0.7164      1.00000
    562       0.7273      1.00000
    563       0.7304      1.00000
    564       0.7336      1.00000
    565       0.7510      1.00000
    566       0.7565      1.00000
    567       0.7590      1.00000
    568       0.8710      1.00000
    569       1.0158      1.00000
    570       1.0828      1.00000
    571       1.1383      1.00000
    572       1.2835      1.00000
    573       1.2845      1.00000
    574       1.3546      1.00000
    575       1.3565      1.00000
    576       3.7713      0.00000
    577       7.2240      0.00000
    578       7.2560      0.00000
    579       7.2737      0.00000
    580       7.5943      0.00000
    581       7.6518      0.00000
    582       7.6664      0.00000
    583       7.6928      0.00000
    584       7.7045      0.00000
