
 Fermi energy:         2.8808951064

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -20.4152      1.00000
      2     -19.5446      1.00000
      3     -18.9274      1.00000
      4     -18.8078      1.00000
      5     -18.7561      1.00000
      6     -18.6347      1.00000
      7     -18.5347      1.00000
      8     -18.3700      1.00000
      9     -18.3522      1.00000
     10     -18.3279      1.00000
     11     -18.3138      1.00000
     12     -18.3034      1.00000
     13     -18.2838      1.00000
     14     -18.2444      1.00000
     15     -18.2409      1.00000
     16     -18.2401      1.00000
     17     -18.2205      1.00000
     18     -18.2200      1.00000
     19     -18.2061      1.00000
     20     -18.1883      1.00000
     21     -18.1715      1.00000
     22     -18.1635      1.00000
     23     -18.1234      1.00000
     24     -18.1145      1.00000
     25     -18.0905      1.00000
     26     -18.0803      1.00000
     27     -18.0672      1.00000
     28     -18.0344      1.00000
     29     -17.7517      1.00000
     30     -17.5104      1.00000
     31     -17.4883      1.00000
     32     -17.3480      1.00000
     33     -17.2273      1.00000
     34     -17.2009      1.00000
     35     -17.1849      1.00000
     36     -17.1832      1.00000
     37     -17.1771      1.00000
     38     -17.1693      1.00000
     39     -17.1228      1.00000
     40     -17.1074      1.00000
     41     -17.1055      1.00000
     42     -17.1039      1.00000
     43     -17.1002      1.00000
     44     -17.0977      1.00000
     45     -17.0930      1.00000
     46     -17.0598      1.00000
     47     -17.0211      1.00000
     48     -17.0186      1.00000
     49     -17.0102      1.00000
     50     -17.0063      1.00000
     51     -16.9891      1.00000
     52     -16.9531      1.00000
     53     -16.9225      1.00000
     54     -16.8626      1.00000
     55     -16.7886      1.00000
     56     -16.7243      1.00000
     57     -16.7017      1.00000
     58     -16.6877      1.00000
     59     -16.6811      1.00000
     60     -16.6785      1.00000
     61     -16.6704      1.00000
     62     -16.6332      1.00000
     63     -16.6174      1.00000
     64     -16.6167      1.00000
     65     -16.6153      1.00000
     66     -16.6115      1.00000
     67     -16.6091      1.00000
     68     -16.6071      1.00000
     69     -16.5735      1.00000
     70     -16.5373      1.00000
     71     -16.5314      1.00000
     72     -16.5282      1.00000
     73     -16.5265      1.00000
     74     -16.5168      1.00000
     75     -16.4736      1.00000
     76     -16.2527      1.00000
     77     -16.1361      1.00000
     78     -15.9720      1.00000
     79     -15.7416      1.00000
     80     -15.7080      1.00000
     81     -15.6025      1.00000
     82     -15.5650      1.00000
     83     -15.5140      1.00000
     84     -15.5077      1.00000
     85     -15.4995      1.00000
     86     -15.4930      1.00000
     87     -15.4886      1.00000
     88     -15.4836      1.00000
     89     -15.4799      1.00000
     90     -15.4783      1.00000
     91     -15.4722      1.00000
     92     -15.4676      1.00000
     93     -15.4641      1.00000
     94     -15.4641      1.00000
     95     -15.4634      1.00000
     96     -15.4629      1.00000
     97     -15.4604      1.00000
     98     -15.4562      1.00000
     99     -15.4526      1.00000
    100     -15.4402      1.00000
    101     -15.4393      1.00000
    102     -15.4393      1.00000
    103     -15.4304      1.00000
    104     -15.4246      1.00000
    105     -15.4224      1.00000
    106     -15.4148      1.00000
    107     -15.4127      1.00000
    108     -15.4107      1.00000
    109     -15.4042      1.00000
