
 Fermi energy:         7.1329243530

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -19.1069      1.00000
      2     -18.9909      1.00000
      3     -18.8665      1.00000
      4     -18.7908      1.00000
      5     -18.5540      1.00000
      6     -18.4301      1.00000
      7     -18.4221      1.00000
      8     -18.4216      1.00000
      9     -18.4044      1.00000
     10     -18.4035      1.00000
     11     -18.3764      1.00000
     12     -18.2977      1.00000
     13     -18.2868      1.00000
     14     -18.2859      1.00000
     15     -18.2599      1.00000
     16     -18.2589      1.00000
     17     -18.2561      1.00000
     18     -18.2457      1.00000
     19     -18.2452      1.00000
     20     -18.2343      1.00000
     21     -18.2211      1.00000
     22     -18.2204      1.00000
     23     -18.1571      1.00000
     24     -18.0868      1.00000
     25     -18.0667      1.00000
     26     -18.0661      1.00000
     27     -18.0158      1.00000
     28     -18.0153      1.00000
     29     -17.3375      1.00000
     30     -17.2895      1.00000
     31     -17.2866      1.00000
     32     -17.2849      1.00000
     33     -17.2837      1.00000
     34     -17.2824      1.00000
     35     -17.2518      1.00000
     36     -17.1665      1.00000
     37     -17.1661      1.00000
     38     -17.1614      1.00000
     39     -17.1577      1.00000
     40     -17.1560      1.00000
     41     -17.1547      1.00000
     42     -17.1351      1.00000
     43     -17.1341      1.00000
     44     -17.1283      1.00000
     45     -17.1247      1.00000
     46     -17.1232      1.00000
     47     -17.0791      1.00000
     48     -16.9834      1.00000
     49     -16.9829      1.00000
     50     -16.9378      1.00000
     51     -16.9361      1.00000
     52     -16.9337      1.00000
     53     -16.7912      1.00000
     54     -16.7896      1.00000
     55     -16.7893      1.00000
     56     -16.7879      1.00000
     57     -16.7876      1.00000
     58     -16.7873      1.00000
     59     -16.6913      1.00000
     60     -16.6761      1.00000
     61     -16.6746      1.00000
     62     -16.6744      1.00000
     63     -16.6721      1.00000
     64     -16.6718      1.00000
     65     -16.6666      1.00000
     66     -16.6562      1.00000
     67     -16.6560      1.00000
     68     -16.6419      1.00000
     69     -16.6402      1.00000
     70     -16.6399      1.00000
     71     -16.5739      1.00000
     72     -16.5236      1.00000
     73     -16.5234      1.00000
     74     -16.4565      1.00000
     75     -16.4469      1.00000
     76     -16.4467      1.00000
     77     -15.5880      1.00000
     78     -15.5851      1.00000
     79     -15.5822      1.00000
     80     -15.5795      1.00000
     81     -15.5773      1.00000
     82     -15.5761      1.00000
     83     -15.5743      1.00000
     84     -15.5729      1.00000
     85     -15.5709      1.00000
     86     -15.5652      1.00000
     87     -15.5632      1.00000
     88     -15.5624      1.00000
     89     -15.5242      1.00000
     90     -15.5205      1.00000
