
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -21.4027      1.00000
      2     -18.9132      1.00000
      3     -18.7733      1.00000
      4     -18.7712      1.00000
      5     -18.7250      1.00000
      6     -18.7109      1.00000
      7     -18.6161      1.00000
      8     -18.3612      1.00000
      9     -18.3603      1.00000
     10     -18.3180      1.00000
     11     -18.2806      1.00000
     12     -18.2567      1.00000
     13     -18.2561      1.00000
     14     -18.2049      1.00000
     15     -18.2045      1.00000
     16     -18.2040      1.00000
     17     -18.1868      1.00000
     18     -18.1854      1.00000
     19     -18.1804      1.00000
     20     -18.1630      1.00000
     21     -18.1611      1.00000
     22     -18.1526      1.00000
     23     -18.0763      1.00000
     24     -18.0589      1.00000
     25     -18.0582      1.00000
     26     -18.0284      1.00000
     27     -18.0271      1.00000
     28     -18.0154      1.00000
     29     -17.8067      1.00000
     30     -17.7739      1.00000
     31     -17.7725      1.00000
     32     -17.3454      1.00000
     33     -17.3419      1.00000
     34     -17.2786      1.00000
     35     -17.1411      1.00000
     36     -17.1398      1.00000
     37     -17.1387      1.00000
     38     -17.1154      1.00000
     39     -17.1137      1.00000
     40     -17.1041      1.00000
     41     -17.0704      1.00000
     42     -17.0698      1.00000
     43     -17.0660      1.00000
     44     -17.0644      1.00000
     45     -17.0618      1.00000
     46     -17.0605      1.00000
     47     -16.9839      1.00000
     48     -16.9796      1.00000
     49     -16.9696      1.00000
     50     -16.9519      1.00000
     51     -16.9502      1.00000
     52     -16.9457      1.00000
     53     -16.9081      1.00000
     54     -16.8983      1.00000
     55     -16.8705      1.00000
     56     -16.8197      1.00000
     57     -16.8087      1.00000
     58     -16.7997      1.00000
     59     -16.6353      1.00000
     60     -16.6353      1.00000
     61     -16.6295      1.00000
     62     -16.6199      1.00000
     63     -16.6190      1.00000
     64     -16.6185      1.00000
     65     -16.5796      1.00000
     66     -16.5791      1.00000
     67     -16.5789      1.00000
     68     -16.5774      1.00000
     69     -16.5774      1.00000
     70     -16.5764      1.00000
     71     -16.4835      1.00000
     72     -16.4832      1.00000
     73     -16.4785      1.00000
     74     -16.4734      1.00000
     75     -16.4733      1.00000
     76     -16.4731      1.00000
     77     -16.2927      1.00000
     78     -16.2871      1.00000
     79     -15.9561      1.00000
     80     -15.7430      1.00000
     81     -15.7105      1.00000
     82     -15.6588      1.00000
     83     -15.5977      1.00000
     84     -15.5577      1.00000
     85     -15.5470      1.00000
     86     -15.5312      1.00000
     87     -15.4962      1.00000
     88     -15.4919      1.00000
     89     -15.4483      1.00000
     90     -15.4413      1.00000
     91     -15.4389      1.00000
     92     -15.4358      1.00000
     93     -15.4280      1.00000
     94     -15.4268      1.00000
     95     -15.4257      1.00000
     96     -15.4230      1.00000
     97     -15.4223      1.00000
     98     -15.4191      1.00000
     99     -15.4185      1.00000
    100     -15.4111      1.00000
    101     -15.4064      1.00000
    102     -15.4043      1.00000
    103     -15.4038      1.00000
    104     -15.4032      1.00000
    105     -15.4023      1.00000
    106     -15.3995      1.00000
    107     -15.3945      1.00000
    108     -15.3911      1.00000
    109     -15.3887      1.00000
    110     -15.3858      1.00000
    111     -15.3838      1.00000
    112     -15.3830      1.00000
    113     -15.3811      1.00000
    114     -15.3749      1.00000
    115     -15.3734      1.00000
    116     -15.3395      1.00000
    117     -15.3357      1.00000
    118     -15.3345      1.00000
    119     -15.3343      1.00000
    120     -15.3299      1.00000
    121     -15.3278      1.00000
    122     -15.3223      1.00000
    123     -15.3200      1.00000
    124     -15.3159      1.00000
    125     -15.3151      1.00000
    126     -15.3132      1.00000
    127     -15.3131      1.00000
    128     -15.2970      1.00000
    129     -15.2945      1.00000
    130     -15.2908      1.00000
    131     -15.2887      1.00000
    132     -15.2846      1.00000
    133     -15.2814      1.00000
    134     -15.2410      1.00000
    135     -15.2389      1.00000
    136     -15.2372      1.00000
    137     -14.8523      1.00000
    138     -14.8521      1.00000
    139     -14.6384      1.00000
    140     -14.6383      1.00000
    141     -14.6381      1.00000
    142     -14.6379      1.00000
    143     -14.6058      1.00000
    144     -14.6058      1.00000
    145     -11.0211      1.00000
    146      -9.4701      1.00000
    147      -9.4584      1.00000
    148      -8.8385      1.00000
    149      -8.8373      1.00000
    150      -8.8341      1.00000
    151      -8.8295      1.00000
    152      -8.8285      1.00000
    153      -8.8259      1.00000
    154      -8.7814      1.00000
    155      -8.7798      1.00000
    156      -8.7775      1.00000
    157      -8.7484      1.00000
    158      -8.7380      1.00000
    159      -8.6889      1.00000
    160      -8.2689      1.00000
    161      -8.2305      1.00000
    162      -8.2262      1.00000
    163      -8.1293      1.00000
    164      -8.1189      1.00000
    165      -8.0484      1.00000
    166      -8.0198      1.00000
    167      -8.0169      1.00000
    168      -8.0028      1.00000
    169      -7.9094      1.00000
    170      -7.9087      1.00000
    171      -7.9054      1.00000
    172      -7.9036      1.00000
    173      -7.9028      1.00000
    174      -7.9025      1.00000
    175      -7.9002      1.00000
    176      -7.8982      1.00000
    177      -7.8974      1.00000
    178      -7.8944      1.00000
    179      -7.8888      1.00000
    180      -7.8875      1.00000
    181      -7.8861      1.00000
    182      -7.8851      1.00000
    183      -7.8838      1.00000
    184      -7.8834      1.00000
    185      -7.8832      1.00000
    186      -7.8820      1.00000
    187      -7.8817      1.00000
    188      -7.8795      1.00000
    189      -7.8717      1.00000
    190      -7.8700      1.00000
    191      -7.8696      1.00000
    192      -7.8679      1.00000
    193      -7.8565      1.00000
    194      -7.8557      1.00000
    195      -7.8371      1.00000
    196      -7.8361      1.00000
    197      -7.8351      1.00000
    198      -7.8347      1.00000
    199      -7.8343      1.00000
    200      -7.8333      1.00000
    201      -7.8277      1.00000
    202      -7.8272      1.00000
    203      -7.8265      1.00000
    204      -7.8260      1.00000
    205      -7.8253      1.00000
    206      -7.8247      1.00000
    207      -7.6854      1.00000
    208      -7.6853      1.00000
    209      -7.6522      1.00000
    210      -7.6522      1.00000
    211      -7.5724      1.00000
    212      -7.5724      1.00000
    213      -7.2759      1.00000
    214      -7.1216      1.00000
    215      -7.0454      1.00000
    216      -7.0416      1.00000
    217      -6.9180      1.00000
    218      -6.9116      1.00000
    219      -6.9116      1.00000
    220      -6.9045      1.00000
    221      -6.9045      1.00000
    222      -6.8734      1.00000
    223      -6.8733      1.00000
    224      -6.8079      1.00000
    225      -6.8048      1.00000
    226      -6.7870      1.00000
    227      -6.5593      1.00000
    228      -6.5591      1.00000
    229      -6.5583      1.00000
    230      -6.5563      1.00000
    231      -6.5561      1.00000
    232      -6.5560      1.00000
    233      -6.5492      1.00000
    234      -6.5481      1.00000
    235      -6.5476      1.00000
    236      -6.5466      1.00000
    237      -6.5463      1.00000
    238      -6.5460      1.00000
    239      -6.4911      1.00000
    240      -6.4911      1.00000
    241      -6.4907      1.00000
    242      -6.4898      1.00000
    243      -6.4896      1.00000
    244      -6.4896      1.00000
    245      -6.2167      1.00000
    246      -6.0707      1.00000
    247      -6.0666      1.00000
    248      -5.5631      1.00000
    249      -5.5620      1.00000
    250      -5.3232      1.00000
    251      -5.3128      1.00000
    252      -5.2908      1.00000
    253      -5.2224      1.00000
    254      -5.2194      1.00000
    255      -5.1758      1.00000
    256      -5.1436      1.00000
    257      -5.0206      1.00000
    258      -5.0184      1.00000
    259      -5.0175      1.00000
    260      -5.0172      1.00000
    261      -5.0151      1.00000
    262      -5.0146      1.00000
    263      -5.0129      1.00000
    264      -5.0122      1.00000
    265      -5.0082      1.00000
    266      -5.0080      1.00000
    267      -5.0066      1.00000
    268      -5.0062      1.00000
    269      -5.0042      1.00000
    270      -5.0038      1.00000
    271      -4.9782      1.00000
    272      -4.9762      1.00000
    273      -4.9745      1.00000
    274      -4.9744      1.00000
    275      -4.9741      1.00000
    276      -4.9739      1.00000
    277      -4.9731      1.00000
    278      -4.9729      1.00000
    279      -4.9433      1.00000
    280      -4.9369      1.00000
    281      -4.8902      1.00000
    282      -4.8893      1.00000
    283      -4.8831      1.00000
    284      -4.8690      1.00000
    285      -4.8638      1.00000
    286      -4.8563      1.00000
    287      -4.8515      1.00000
    288      -4.7919      1.00000
    289      -4.7913      1.00000
    290      -4.7869      1.00000
    291      -4.7865      1.00000
    292      -4.7864      1.00000
    293      -4.7831      1.00000
    294      -4.7827      1.00000
    295      -4.7804      1.00000
