
 Fermi energy:         1.4871840192

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -21.6257      1.00000
      2     -18.9810      1.00000
      3     -18.9142      1.00000
      4     -18.9142      1.00000
      5     -18.7636      1.00000
      6     -18.7484      1.00000
      7     -18.5461      1.00000
      8     -18.4659      1.00000
      9     -18.4659      1.00000
     10     -18.3891      1.00000
     11     -18.2434      1.00000
     12     -18.2128      1.00000
     13     -18.2128      1.00000
     14     -18.1884      1.00000
     15     -18.1668      1.00000
     16     -18.1668      1.00000
     17     -18.1616      1.00000
     18     -18.1616      1.00000
     19     -18.1426      1.00000
     20     -18.1336      1.00000
     21     -18.1336      1.00000
     22     -18.1200      1.00000
     23     -18.0022      1.00000
     24     -17.9835      1.00000
     25     -17.9835      1.00000
     26     -17.9505      1.00000
     27     -17.9505      1.00000
     28     -17.9411      1.00000
     29     -17.9404      1.00000
     30     -17.9304      1.00000
     31     -17.9304      1.00000
     32     -17.4899      1.00000
     33     -17.4899      1.00000
     34     -17.4109      1.00000
     35     -17.1283      1.00000
     36     -17.1283      1.00000
     37     -17.1014      1.00000
     38     -17.0695      1.00000
     39     -17.0694      1.00000
     40     -17.0608      1.00000
     41     -17.0462      1.00000
     42     -17.0443      1.00000
     43     -17.0443      1.00000
     44     -17.0400      1.00000
     45     -17.0400      1.00000
     46     -17.0380      1.00000
     47     -17.0259      1.00000
     48     -17.0258      1.00000
     49     -17.0090      1.00000
     50     -16.9464      1.00000
     51     -16.9359      1.00000
     52     -16.9359      1.00000
     53     -16.8630      1.00000
     54     -16.8630      1.00000
     55     -16.8626      1.00000
     56     -16.8622      1.00000
     57     -16.8622      1.00000
     58     -16.8619      1.00000
     59     -16.5954      1.00000
     60     -16.5953      1.00000
     61     -16.5810      1.00000
     62     -16.5747      1.00000
     63     -16.5744      1.00000
     64     -16.5744      1.00000
     65     -16.5552      1.00000
     66     -16.5546      1.00000
     67     -16.5546      1.00000
     68     -16.5540      1.00000
     69     -16.5540      1.00000
     70     -16.5532      1.00000
     71     -16.4551      1.00000
     72     -16.4550      1.00000
     73     -16.3865      1.00000
     74     -16.3849      1.00000
     75     -16.3849      1.00000
     76     -16.3848      1.00000
     77     -16.3806      1.00000
     78     -16.3805      1.00000
     79     -16.1139      1.00000
     80     -15.8945      1.00000
     81     -15.8945      1.00000
     82     -15.8214      1.00000
     83     -15.7414      1.00000
     84     -15.6854      1.00000
     85     -15.6853      1.00000
     86     -15.6575      1.00000
     87     -15.6012      1.00000
     88     -15.6012      1.00000
     89     -15.5312      1.00000
     90     -15.5312      1.00000
     91     -15.5227      1.00000
     92     -15.4207      1.00000
     93     -15.4142      1.00000
     94     -15.4099      1.00000
     95     -15.4035      1.00000
     96     -15.3998      1.00000
     97     -15.3997      1.00000
     98     -15.3930      1.00000
     99     -15.3930      1.00000
    100     -15.3921      1.00000
    101     -15.3921      1.00000
    102     -15.3839      1.00000
    103     -15.3839      1.00000
    104     -15.3677      1.00000
    105     -15.3677      1.00000
    106     -15.3642      1.00000
    107     -15.3642      1.00000
    108     -15.3583      1.00000
    109     -15.3583      1.00000
    110     -15.3556      1.00000
    111     -15.3556      1.00000
    112     -15.3549      1.00000
    113     -15.3543      1.00000
    114     -15.3447      1.00000
    115     -15.3433      1.00000
    116     -15.2649      1.00000
    117     -15.2643      1.00000
    118     -15.2643      1.00000
    119     -15.2595      1.00000
    120     -15.2588      1.00000
    121     -15.2588      1.00000
    122     -15.2348      1.00000
    123     -15.2348      1.00000
    124     -15.2305      1.00000
    125     -15.2305      1.00000
    126     -15.2281      1.00000
    127     -15.2281      1.00000
    128     -15.2200      1.00000
    129     -15.2200      1.00000
    130     -15.2183      1.00000
    131     -15.2176      1.00000
    132     -15.2149      1.00000
    133     -15.2149      1.00000
    134     -15.1290      1.00000
    135     -15.1290      1.00000
    136     -15.1290      1.00000
    137     -14.9891      1.00000
    138     -14.9891      1.00000
    139     -14.6154      1.00000
    140     -14.6153      1.00000
    141     -14.6150      1.00000
    142     -14.6149      1.00000
    143     -14.4850      1.00000
    144     -14.4850      1.00000
    145     -11.2453      1.00000
    146      -9.6609      1.00000
    147      -9.6609      1.00000
    148      -8.9127      1.00000
    149      -8.9127      1.00000
    150      -8.8337      1.00000
    151      -8.8026      1.00000
    152      -8.8026      1.00000
    153      -8.8024      1.00000
    154      -8.7969      1.00000
    155      -8.7969      1.00000
    156      -8.7903      1.00000
    157      -8.6622      1.00000
    158      -8.6622      1.00000
    159      -8.6621      1.00000
    160      -8.4416      1.00000
    161      -8.3894      1.00000
    162      -8.3894      1.00000
    163      -8.2720      1.00000
    164      -8.2720      1.00000
    165      -8.1818      1.00000
    166      -8.1500      1.00000
    167      -8.1500      1.00000
    168      -8.1275      1.00000
    169      -7.9835      1.00000
    170      -7.9835      1.00000
    171      -7.8831      1.00000
    172      -7.8831      1.00000
    173      -7.8817      1.00000
    174      -7.8817      1.00000
    175      -7.8793      1.00000
    176      -7.8793      1.00000
    177      -7.8774      1.00000
    178      -7.8774      1.00000
    179      -7.8643      1.00000
    180      -7.8635      1.00000
    181      -7.8597      1.00000
    182      -7.8596      1.00000
    183      -7.8556      1.00000
    184      -7.8541      1.00000
    185      -7.8534      1.00000
    186      -7.8515      1.00000
    187      -7.8414      1.00000
    188      -7.8414      1.00000
    189      -7.8410      1.00000
    190      -7.8410      1.00000
    191      -7.8394      1.00000
    192      -7.8394      1.00000
    193      -7.8391      1.00000
    194      -7.8391      1.00000
    195      -7.7262      1.00000
    196      -7.7254      1.00000
    197      -7.7252      1.00000
    198      -7.7252      1.00000
    199      -7.7213      1.00000
    200      -7.7213      1.00000
    201      -7.7175      1.00000
    202      -7.7175      1.00000
    203      -7.7142      1.00000
    204      -7.7142      1.00000
