
 Fermi energy:         1.5118937647

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -20.9016      1.00000
      2     -18.9850      1.00000
      3     -18.8655      1.00000
      4     -18.7732      1.00000
      5     -18.7580      1.00000
      6     -18.5883      1.00000
      7     -18.5557      1.00000
      8     -18.4781      1.00000
      9     -18.4429      1.00000
     10     -18.4076      1.00000
     11     -18.2504      1.00000
     12     -18.2207      1.00000
     13     -18.2013      1.00000
     14     -18.1990      1.00000
     15     -18.1773      1.00000
     16     -18.1760      1.00000
     17     -18.1702      1.00000
     18     -18.1687      1.00000
     19     -18.1532      1.00000
     20     -18.1433      1.00000
     21     -18.1419      1.00000
     22     -18.1290      1.00000
     23     -18.0009      1.00000
     24     -17.9890      1.00000
     25     -17.9761      1.00000
     26     -17.9591      1.00000
     27     -17.9591      1.00000
     28     -17.9506      1.00000
     29     -17.9328      1.00000
     30     -17.9166      1.00000
     31     -17.5098      1.00000
     32     -17.4688      1.00000
     33     -17.4208      1.00000
     34     -17.2631      1.00000
     35     -17.1386      1.00000
     36     -17.1101      1.00000
     37     -17.0806      1.00000
     38     -17.0755      1.00000
     39     -17.0701      1.00000
     40     -17.0629      1.00000
     41     -17.0559      1.00000
     42     -17.0547      1.00000
     43     -17.0539      1.00000
     44     -17.0500      1.00000
     45     -17.0492      1.00000
     46     -17.0471      1.00000
     47     -17.0369      1.00000
     48     -17.0088      1.00000
     49     -16.9506      1.00000
     50     -16.9385      1.00000
     51     -16.9334      1.00000
     52     -16.8732      1.00000
     53     -16.8730      1.00000
     54     -16.8727      1.00000
     55     -16.8720      1.00000
     56     -16.8718      1.00000
     57     -16.8713      1.00000
     58     -16.7351      1.00000
     59     -16.6044      1.00000
     60     -16.5898      1.00000
     61     -16.5843      1.00000
     62     -16.5833      1.00000
     63     -16.5831      1.00000
     64     -16.5679      1.00000
     65     -16.5650      1.00000
     66     -16.5649      1.00000
     67     -16.5642      1.00000
     68     -16.5637      1.00000
     69     -16.5631      1.00000
     70     -16.5625      1.00000
     71     -16.4629      1.00000
     72     -16.3959      1.00000
     73     -16.3945      1.00000
     74     -16.3942      1.00000
     75     -16.3942      1.00000
     76     -16.3935      1.00000
     77     -16.3900      1.00000
     78     -16.0832      1.00000
     79     -15.8928      1.00000
     80     -15.8697      1.00000
     81     -15.8246      1.00000
     82     -15.7254      1.00000
     83     -15.6966      1.00000
     84     -15.6729      1.00000
     85     -15.6620      1.00000
     86     -15.6137      1.00000
     87     -15.6106      1.00000
     88     -15.5525      1.00000
     89     -15.5517      1.00000
     90     -15.5418      1.00000
     91     -15.4326      1.00000
     92     -15.4260      1.00000
     93     -15.4210      1.00000
     94     -15.4149      1.00000
     95     -15.4125      1.00000
     96     -15.4094      1.00000
     97     -15.4037      1.00000
     98     -15.4037      1.00000
     99     -15.4023      1.00000
    100     -15.4015      1.00000
    101     -15.3943      1.00000
    102     -15.3940      1.00000
    103     -15.3778      1.00000
    104     -15.3764      1.00000
    105     -15.3742      1.00000
    106     -15.3732      1.00000
    107     -15.3678      1.00000
    108     -15.3673      1.00000
    109     -15.3647      1.00000
