
 Fermi energy:         1.5336506259

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -21.1366      1.00000
      2     -20.4357      1.00000
      3     -19.0016      1.00000
      4     -18.8238      1.00000
      5     -18.7767      1.00000
      6     -18.7566      1.00000
      7     -18.5617      1.00000
      8     -18.5566      1.00000
      9     -18.5007      1.00000
     10     -18.4270      1.00000
     11     -18.3344      1.00000
     12     -18.2362      1.00000
     13     -18.2088      1.00000
     14     -18.1926      1.00000
     15     -18.1884      1.00000
     16     -18.1840      1.00000
     17     -18.1797      1.00000
     18     -18.1740      1.00000
     19     -18.1633      1.00000
     20     -18.1620      1.00000
     21     -18.1505      1.00000
     22     -18.1438      1.00000
     23     -18.1362      1.00000
     24     -18.0352      1.00000
     25     -17.9799      1.00000
     26     -17.9786      1.00000
     27     -17.9677      1.00000
     28     -17.9638      1.00000
     29     -17.9623      1.00000
     30     -17.9553      1.00000
     31     -17.8420      1.00000
     32     -17.6324      1.00000
     33     -17.4817      1.00000
     34     -17.3601      1.00000
     35     -17.1801      1.00000
     36     -17.1584      1.00000
     37     -17.1364      1.00000
     38     -17.0953      1.00000
     39     -17.0858      1.00000
     40     -17.0760      1.00000
     41     -17.0618      1.00000
     42     -17.0572      1.00000
     43     -17.0560      1.00000
     44     -17.0549      1.00000
     45     -17.0535      1.00000
     46     -17.0516      1.00000
     47     -17.0490      1.00000
     48     -17.0481      1.00000
     49     -17.0470      1.00000
     50     -17.0439      1.00000
     51     -16.9526      1.00000
     52     -16.8747      1.00000
     53     -16.8743      1.00000
     54     -16.8736      1.00000
     55     -16.8718      1.00000
     56     -16.8717      1.00000
     57     -16.8702      1.00000
     58     -16.6504      1.00000
     59     -16.6466      1.00000
     60     -16.5940      1.00000
     61     -16.5926      1.00000
     62     -16.5888      1.00000
     63     -16.5846      1.00000
     64     -16.5682      1.00000
     65     -16.5651      1.00000
     66     -16.5648      1.00000
     67     -16.5639      1.00000
     68     -16.5632      1.00000
     69     -16.5590      1.00000
     70     -16.5483      1.00000
     71     -16.5454      1.00000
     72     -16.3970      1.00000
     73     -16.3963      1.00000
     74     -16.3954      1.00000
     75     -16.3942      1.00000
     76     -16.3928      1.00000
     77     -16.3923      1.00000
     78     -16.2144      1.00000
     79     -16.1928      1.00000
     80     -15.8715      1.00000
     81     -15.8517      1.00000
     82     -15.8331      1.00000
     83     -15.7397      1.00000
     84     -15.6987      1.00000
     85     -15.6966      1.00000
     86     -15.6474      1.00000
     87     -15.6097      1.00000
     88     -15.5970      1.00000
     89     -15.4215      1.00000
     90     -15.4167      1.00000
     91     -15.4157      1.00000
     92     -15.4149      1.00000
     93     -15.4127      1.00000
     94     -15.4057      1.00000
     95     -15.4029      1.00000
     96     -15.3999      1.00000
     97     -15.3970      1.00000
     98     -15.3939      1.00000
     99     -15.3873      1.00000
    100     -15.3865      1.00000
    101     -15.3844      1.00000
    102     -15.3826      1.00000
    103     -15.3800      1.00000
    104     -15.3760      1.00000
    105     -15.3757      1.00000
    106     -15.3742      1.00000
    107     -15.3720      1.00000
    108     -15.3715      1.00000
    109     -15.3687      1.00000
    110     -15.3655      1.00000
    111     -15.3608      1.00000
    112     -15.3593      1.00000
    113     -15.2813      1.00000
    114     -15.2795      1.00000
    115     -15.2762      1.00000
    116     -15.2739      1.00000
    117     -15.2697      1.00000
    118     -15.2695      1.00000
    119     -15.2560      1.00000
    120     -15.2458      1.00000
    121     -15.2409      1.00000
    122     -15.2398      1.00000
    123     -15.2395      1.00000
    124     -15.2376      1.00000
    125     -15.2344      1.00000
    126     -15.2322      1.00000
    127     -15.2319      1.00000
    128     -15.2290      1.00000
    129     -15.2288      1.00000
    130     -15.2270      1.00000
    131     -15.2252      1.00000
    132     -15.2241      1.00000
    133     -15.1392      1.00000
    134     -15.1387      1.00000
    135     -15.1386      1.00000
    136     -14.8979      1.00000
    137     -14.6256      1.00000
    138     -14.6252      1.00000
    139     -14.6251      1.00000
    140     -14.6249      1.00000
    141     -14.5385      1.00000
    142     -14.4945      1.00000
    143     -14.4945      1.00000
    144     -14.4689      1.00000
    145     -11.6477      1.00000
    146     -10.3943      1.00000
    147      -9.3109      1.00000
    148      -9.2069      1.00000
    149      -8.9907      1.00000
    150      -8.9480      1.00000
    151      -8.8135      1.00000
    152      -8.8123      1.00000
    153      -8.8116      1.00000
    154      -8.8110      1.00000
    155      -8.8091      1.00000
    156      -8.8079      1.00000
    157      -8.7825      1.00000
    158      -8.7613      1.00000
    159      -8.6716      1.00000
    160      -8.6716      1.00000
    161      -8.6715      1.00000
    162      -8.4134      1.00000
    163      -8.3430      1.00000
    164      -8.2775      1.00000
    165      -8.2452      1.00000
    166      -8.2282      1.00000
    167      -8.1470      1.00000
    168      -8.0916      1.00000
    169      -7.9448      1.00000
    170      -7.8883      1.00000
    171      -7.8871      1.00000
    172      -7.8870      1.00000
    173      -7.8867      1.00000
    174      -7.8861      1.00000
    175      -7.8860      1.00000
    176      -7.8823      1.00000
    177      -7.8821      1.00000
    178      -7.8713      1.00000
    179      -7.8709      1.00000
    180      -7.8703      1.00000
    181      -7.8698      1.00000
    182      -7.8680      1.00000
    183      -7.8670      1.00000
    184      -7.8626      1.00000
    185      -7.8596      1.00000
    186      -7.8571      1.00000
    187      -7.8562      1.00000
    188      -7.8545      1.00000
    189      -7.8536      1.00000
    190      -7.8535      1.00000
    191      -7.8531      1.00000
    192      -7.8500      1.00000
    193      -7.8499      1.00000
    194      -7.7348      1.00000
    195      -7.7342      1.00000
    196      -7.7333      1.00000
    197      -7.7326      1.00000
    198      -7.7302      1.00000
    199      -7.7296      1.00000
    200      -7.7286      1.00000
    201      -7.7278      1.00000
    202      -7.7257      1.00000
    203      -7.7248      1.00000
    204      -7.7241      1.00000
    205      -7.7235      1.00000
    206      -7.6864      1.00000
    207      -7.6525      1.00000
    208      -7.6476      1.00000
    209      -7.6374      1.00000
    210      -7.6373      1.00000
    211      -7.5123      1.00000
    212      -7.4848      1.00000
    213      -7.4844      1.00000
    214      -7.4263      1.00000
    215      -7.2694      1.00000
    216      -7.1745      1.00000
    217      -7.1229      1.00000
    218      -7.0865      1.00000
    219      -6.9977      1.00000
    220      -6.8958      1.00000
    221      -6.8955      1.00000
    222      -6.8886      1.00000
    223      -6.8884      1.00000
    224      -6.7604      1.00000
    225      -6.7604      1.00000
    226      -6.5365      1.00000
    227      -6.5344      1.00000
    228      -6.5340      1.00000
    229      -6.5339      1.00000
    230      -6.5333      1.00000
    231      -6.5318      1.00000
    232      -6.5316      1.00000
    233      -6.5310      1.00000
    234      -6.5307      1.00000
    235      -6.5307      1.00000
    236      -6.5299      1.00000
    237      -6.5292      1.00000
    238      -6.4610      1.00000
    239      -6.3905      1.00000
    240      -6.3901      1.00000
    241      -6.3901      1.00000
    242      -6.3900      1.00000
    243      -6.3898      1.00000
    244      -6.3896      1.00000
    245      -6.2885      1.00000
    246      -6.2837      1.00000
    247      -6.2402      1.00000
    248      -6.0062      1.00000
    249      -5.8102      1.00000
