
 Fermi energy:         6.5980048929

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -19.2181      1.00000
      2     -18.9742      1.00000
      3     -18.9475      1.00000
      4     -18.8561      1.00000
      5     -18.6500      1.00000
      6     -18.6377      1.00000
      7     -18.6330      1.00000
      8     -18.6045      1.00000
      9     -18.5989      1.00000
     10     -18.5725      1.00000
     11     -18.4153      1.00000
     12     -18.4028      1.00000
     13     -18.3912      1.00000
     14     -18.3821      1.00000
     15     -18.3742      1.00000
     16     -18.3671      1.00000
     17     -18.3332      1.00000
     18     -18.3182      1.00000
     19     -18.3038      1.00000
     20     -18.2889      1.00000
     21     -18.2539      1.00000
     22     -18.2241      1.00000
     23     -18.1859      1.00000
     24     -18.0338      1.00000
     25     -17.9974      1.00000
     26     -17.8739      1.00000
     27     -17.6980      1.00000
     28     -17.5014      1.00000
     29     -17.5003      1.00000
     30     -17.4996      1.00000
     31     -17.4976      1.00000
     32     -17.4961      1.00000
     33     -17.4937      1.00000
     34     -17.4600      1.00000
     35     -17.2528      1.00000
     36     -17.2428      1.00000
     37     -17.2404      1.00000
     38     -17.2373      1.00000
     39     -17.2306      1.00000
     40     -17.2286      1.00000
     41     -17.2248      1.00000
     42     -17.2199      1.00000
     43     -17.2198      1.00000
     44     -17.2152      1.00000
     45     -17.2122      1.00000
     46     -17.1990      1.00000
     47     -17.1252      1.00000
     48     -17.0078      1.00000
     49     -17.0064      1.00000
     50     -17.0053      1.00000
     51     -17.0035      1.00000
     52     -17.0021      1.00000
     53     -16.9989      1.00000
     54     -16.9165      1.00000
     55     -16.8086      1.00000
     56     -16.7505      1.00000
     57     -16.7470      1.00000
     58     -16.7425      1.00000
     59     -16.7384      1.00000
     60     -16.7342      1.00000
     61     -16.7319      1.00000
     62     -16.7300      1.00000
     63     -16.7267      1.00000
     64     -16.7262      1.00000
     65     -16.7164      1.00000
     66     -16.7161      1.00000
     67     -16.7077      1.00000
     68     -16.6832      1.00000
     69     -16.6434      1.00000
     70     -16.5995      1.00000
     71     -16.4350      1.00000
     72     -16.3436      1.00000
     73     -16.1888      1.00000
     74     -16.1073      1.00000
     75     -15.8719      1.00000
     76     -15.8361      1.00000
     77     -15.8345      1.00000
     78     -15.8273      1.00000
     79     -15.8252      1.00000
     80     -15.8242      1.00000
     81     -15.8221      1.00000
     82     -15.8013      1.00000
     83     -15.7991      1.00000
     84     -15.7978      1.00000
     85     -15.7948      1.00000
     86     -15.7867      1.00000
     87     -15.7826      1.00000
     88     -15.7234      1.00000
     89     -15.6903      1.00000
     90     -15.6900      1.00000
     91     -15.6853      1.00000
     92     -15.6271      1.00000
     93     -15.6271      1.00000
     94     -15.6242      1.00000
     95     -15.6186      1.00000
     96     -15.6110      1.00000
     97     -15.6092      1.00000
     98     -15.6072      1.00000
     99     -15.6034      1.00000
    100     -15.6021      1.00000
    101     -15.5972      1.00000
    102     -15.5963      1.00000
    103     -15.5926      1.00000
    104     -15.5545      1.00000
    105     -15.5498      1.00000
    106     -15.5474      1.00000
    107     -15.5429      1.00000
    108     -15.5418      1.00000
    109     -15.5369      1.00000
    110     -15.5334      1.00000
    111     -15.5264      1.00000
    112     -15.5150      1.00000
    113     -15.5123      1.00000
    114     -15.5057      1.00000
    115     -15.5016      1.00000
    116     -15.4588      1.00000
    117     -15.4012      1.00000
    118     -15.3984      1.00000
    119     -15.3828      1.00000
    120     -15.3792      1.00000
    121     -15.3772      1.00000
    122     -15.3745      1.00000
    123     -15.3028      1.00000
    124     -15.2506      1.00000
    125     -15.2238      1.00000
    126     -15.1831      1.00000
    127     -15.1767      1.00000
    128     -15.1282      1.00000
    129     -15.0624      1.00000
    130     -15.0425      1.00000
    131     -15.0419      1.00000
    132     -15.0003      1.00000
    133     -14.9778      1.00000
    134     -14.7884      1.00000
    135     -14.7881      1.00000
    136     -14.7879      1.00000
    137     -14.7877      1.00000
    138     -14.7793      1.00000
    139     -14.6174      1.00000
    140     -14.4695      1.00000
    141     -14.3007      1.00000
    142     -13.8966      1.00000
    143     -12.4198      1.00000
    144      -9.6837      1.00000
    145      -9.2322      1.00000
    146      -9.2320      1.00000
    147      -9.2317      1.00000
    148      -8.9984      1.00000
    149      -8.9970      1.00000
    150      -8.9962      1.00000
    151      -8.9906      1.00000
    152      -8.9903      1.00000
    153      -8.9885      1.00000
    154      -8.7192      1.00000
    155      -8.5196      1.00000
    156      -8.3097      1.00000
    157      -8.3092      1.00000
    158      -8.3082      1.00000
    159      -8.3079      1.00000
    160      -8.2980      1.00000
    161      -8.2961      1.00000
    162      -8.2949      1.00000
    163      -8.2897      1.00000
    164      -8.2852      1.00000
    165      -8.2763      1.00000
    166      -8.2754      1.00000
    167      -8.2701      1.00000
    168      -8.2699      1.00000
    169      -8.1010      1.00000
    170      -8.0987      1.00000
    171      -8.0967      1.00000
    172      -8.0962      1.00000
    173      -8.0949      1.00000
    174      -8.0917      1.00000
    175      -8.0914      1.00000
    176      -8.0881      1.00000
    177      -8.0742      1.00000
    178      -8.0738      1.00000
    179      -8.0629      1.00000
    180      -8.0626      1.00000
    181      -8.0588      1.00000
    182      -8.0570      1.00000
    183      -8.0469      1.00000
    184      -8.0446      1.00000
    185      -8.0408      1.00000
    186      -8.0382      1.00000
    187      -8.0349      1.00000
    188      -8.0137      1.00000
    189      -8.0121      1.00000
    190      -8.0082      1.00000
    191      -8.0057      1.00000
    192      -8.0040      1.00000
    193      -7.9933      1.00000
    194      -7.9842      1.00000
    195      -7.9760      1.00000
    196      -7.8539      1.00000
    197      -7.7986      1.00000
    198      -7.7980      1.00000
    199      -7.7899      1.00000
    200      -7.7870      1.00000
    201      -7.7019      1.00000
    202      -7.6661      1.00000
    203      -7.6300      1.00000
    204      -7.6106      1.00000
    205      -7.5348      1.00000
    206      -7.4960      1.00000
    207      -7.4227      1.00000
    208      -7.3116      1.00000
    209      -7.3114      1.00000
    210      -7.3071      1.00000
    211      -7.2026      1.00000
    212      -7.0852      1.00000
    213      -7.0727      1.00000
    214      -7.0679      1.00000
    215      -7.0655      1.00000
    216      -7.0613      1.00000
    217      -7.0237      1.00000
    218      -6.9535      1.00000
    219      -6.9531      1.00000
    220      -6.9530      1.00000
    221      -6.9521      1.00000
    222      -6.9516      1.00000
    223      -6.9515      1.00000
    224      -6.8530      1.00000
    225      -6.7143      1.00000
    226      -6.7129      1.00000
    227      -6.7112      1.00000
    228      -6.7076      1.00000
    229      -6.7067      1.00000
    230      -6.7059      1.00000
    231      -6.7048      1.00000
    232      -6.7027      1.00000
    233      -6.7016      1.00000
    234      -6.7003      1.00000
    235      -6.6976      1.00000
    236      -6.6931      1.00000
    237      -6.6083      1.00000
    238      -6.4657      1.00000
    239      -6.2627      1.00000
    240      -6.1569      1.00000
    241      -6.0848      1.00000
    242      -5.9283      1.00000
    243      -5.8959      1.00000
    244      -5.7427      1.00000
    245      -5.4193      1.00000
    246      -5.4161      1.00000
    247      -5.4156      1.00000
    248      -5.4154      1.00000
    249      -5.4144      1.00000
    250      -5.4142      1.00000
    251      -5.4107      1.00000
    252      -5.1941      1.00000
    253      -5.1940      1.00000
    254      -5.1920      1.00000
    255      -5.1919      1.00000
    256      -5.1849      1.00000
    257      -5.1828      1.00000
    258      -5.1815      1.00000
    259      -5.1815      1.00000
    260      -5.1814      1.00000
    261      -5.1801      1.00000
    262      -5.1788      1.00000
    263      -5.1777      1.00000
    264      -5.1761      1.00000
    265      -5.1733      1.00000
    266      -5.1722      1.00000
    267      -5.1710      1.00000
    268      -5.1700      1.00000
    269      -5.1689      1.00000
    270      -5.1653      1.00000
    271      -5.1649      1.00000
    272      -5.1543      1.00000
    273      -5.1534      1.00000
    274      -5.1513      1.00000
    275      -5.1508      1.00000
    276      -5.1144      1.00000
    277      -5.0881      1.00000
    278      -5.0849      1.00000
    279      -5.0370      1.00000
    280      -5.0333      1.00000
    281      -4.9987      1.00000
    282      -4.9814      1.00000
    283      -4.9809      1.00000
    284      -4.9795      1.00000
    285      -4.9764      1.00000
    286      -4.9764      1.00000
    287      -4.9752      1.00000
    288      -4.9747      1.00000
    289      -4.9716      1.00000
    290      -4.9616      1.00000
    291      -4.9515      1.00000
    292      -4.9509      1.00000
    293      -4.9482      1.00000
    294      -4.9464      1.00000
    295      -4.9160      1.00000
    296      -4.9133      1.00000
    297      -4.9108      1.00000
    298      -4.9085      1.00000
    299      -4.8780      1.00000
    300      -4.8761      1.00000
    301      -4.8735      1.00000
    302      -4.8722      1.00000
    303      -4.8699      1.00000
    304      -4.8678      1.00000
    305      -4.8668      1.00000
    306      -4.8648      1.00000
    307      -4.8636      1.00000
    308      -4.8202      1.00000
    309      -4.7550      1.00000
    310      -4.7514      1.00000
    311      -4.6921      1.00000
    312      -4.6510      1.00000
    313      -4.6270      1.00000
    314      -4.5529      1.00000
    315      -4.5245      1.00000
    316      -4.4218      1.00000
    317      -4.4070      1.00000
    318      -4.3676      1.00000
    319      -4.3360      1.00000
    320      -4.3066      1.00000
    321      -4.2433      1.00000
    322      -4.1582      1.00000
    323      -4.1456      1.00000
    324      -4.1411      1.00000
    325      -4.1142      1.00000
    326      -4.1029      1.00000
    327      -4.0681      1.00000
    328      -4.0475      1.00000
    329      -4.0291      1.00000
    330      -4.0105      1.00000
    331      -3.9819      1.00000
    332      -3.9186      1.00000
    333      -3.9062      1.00000
    334      -3.8620      1.00000
    335      -3.8546      1.00000
    336      -3.8541      1.00000
    337      -3.8538      1.00000
    338      -3.7353      1.00000
    339      -3.7123      1.00000
    340      -3.6123      1.00000
    341      -3.6103      1.00000
    342      -3.6097      1.00000
    343      -3.6075      1.00000
    344      -3.6071      1.00000
    345      -3.6048      1.00000
    346      -3.5985      1.00000
    347      -3.5981      1.00000
    348      -3.5976      1.00000
    349      -3.5971      1.00000
    350      -3.5970      1.00000
    351      -3.5964      1.00000
    352      -3.5361      1.00000
    353      -3.4376      1.00000
    354      -3.4267      1.00000
    355      -3.4208      1.00000
    356      -3.4120      1.00000
    357      -3.4073      1.00000
    358      -3.3775      1.00000
    359      -3.3598      1.00000
    360      -3.3580      1.00000
    361      -3.3575      1.00000
    362      -3.3570      1.00000
    363      -3.3548      1.00000
    364      -3.3528      1.00000
    365      -3.3515      1.00000
    366      -3.3509      1.00000
    367      -3.3491      1.00000
    368      -3.3403      1.00000
    369      -3.3321      1.00000
    370      -3.3050      1.00000
    371      -3.3016      1.00000
    372      -3.2280      1.00000
    373      -3.2278      1.00000
    374      -3.2274      1.00000
    375      -3.2250      1.00000
    376      -3.2247      1.00000
    377      -3.2242      1.00000
    378      -3.0225      1.00000
    379      -3.0108      1.00000
    380      -2.9848      1.00000
    381      -2.9835      1.00000
    382      -2.9834      1.00000
    383      -2.9823      1.00000
    384      -2.9788      1.00000
    385      -2.9778      1.00000
