
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -20.1757      1.00000
      2     -19.1663      1.00000
      3     -18.9447      1.00000
      4     -18.8265      1.00000
      5     -18.7656      1.00000
      6     -18.6391      1.00000
      7     -18.4312      1.00000
      8     -18.3817      1.00000
      9     -18.3554      1.00000
     10     -18.3359      1.00000
     11     -18.3308      1.00000
     12     -18.3173      1.00000
     13     -18.2911      1.00000
     14     -18.2535      1.00000
     15     -18.2502      1.00000
     16     -18.2493      1.00000
     17     -18.2380      1.00000
     18     -18.2259      1.00000
     19     -18.2158      1.00000
     20     -18.2061      1.00000
     21     -18.2042      1.00000
     22     -18.1576      1.00000
     23     -18.1379      1.00000
     24     -18.1239      1.00000
     25     -18.1138      1.00000
     26     -18.0999      1.00000
     27     -18.0670      1.00000
     28     -18.0068      1.00000
     29     -17.8298      1.00000
     30     -17.4910      1.00000
     31     -17.4007      1.00000
     32     -17.2481      1.00000
     33     -17.2278      1.00000
     34     -17.2180      1.00000
     35     -17.2058      1.00000
     36     -17.1987      1.00000
     37     -17.1915      1.00000
     38     -17.1411      1.00000
     39     -17.1254      1.00000
     40     -17.1244      1.00000
     41     -17.1219      1.00000
     42     -17.1209      1.00000
     43     -17.1186      1.00000
     44     -17.1176      1.00000
     45     -17.0983      1.00000
     46     -17.0719      1.00000
     47     -17.0389      1.00000
     48     -17.0325      1.00000
     49     -17.0258      1.00000
     50     -17.0084      1.00000
     51     -16.9888      1.00000
     52     -16.9676      1.00000
     53     -16.8564      1.00000
     54     -16.8304      1.00000
     55     -16.7591      1.00000
     56     -16.7363      1.00000
     57     -16.7181      1.00000
     58     -16.7110      1.00000
     59     -16.6978      1.00000
     60     -16.6942      1.00000
     61     -16.6703      1.00000
     62     -16.6366      1.00000
     63     -16.6361      1.00000
     64     -16.6352      1.00000
     65     -16.6333      1.00000
     66     -16.6329      1.00000
     67     -16.6322      1.00000
     68     -16.6308      1.00000
     69     -16.5773      1.00000
     70     -16.5613      1.00000
     71     -16.5497      1.00000
     72     -16.5478      1.00000
     73     -16.5398      1.00000
     74     -16.5250      1.00000
     75     -16.4565      1.00000
     76     -16.3230      1.00000
     77     -16.1022      1.00000
     78     -15.8300      1.00000
     79     -15.6621      1.00000
     80     -15.6413      1.00000
     81     -15.5792      1.00000
     82     -15.5470      1.00000
     83     -15.5189      1.00000
     84     -15.5136      1.00000
     85     -15.5100      1.00000
     86     -15.5045      1.00000
     87     -15.5023      1.00000
     88     -15.4977      1.00000
     89     -15.4947      1.00000
     90     -15.4944      1.00000
     91     -15.4917      1.00000
     92     -15.4908      1.00000
     93     -15.4860      1.00000
     94     -15.4795      1.00000
     95     -15.4738      1.00000
     96     -15.4711      1.00000
     97     -15.4692      1.00000
     98     -15.4683      1.00000
     99     -15.4578      1.00000
    100     -15.4571      1.00000
    101     -15.4499      1.00000
    102     -15.4491      1.00000
    103     -15.4467      1.00000
    104     -15.4460      1.00000
    105     -15.4399      1.00000
    106     -15.4381      1.00000
    107     -15.4368      1.00000
    108     -15.4334      1.00000
    109     -15.4322      1.00000
    110     -15.4141      1.00000
    111     -15.4129      1.00000
    112     -15.4121      1.00000
    113     -15.4068      1.00000
    114     -15.4055      1.00000
    115     -15.4042      1.00000
    116     -15.4000      1.00000
    117     -15.3981      1.00000
    118     -15.3946      1.00000
    119     -15.3913      1.00000
    120     -15.3803      1.00000
    121     -15.3759      1.00000
    122     -15.3706      1.00000
    123     -15.3675      1.00000
    124     -15.3625      1.00000
    125     -15.3428      1.00000
    126     -15.3415      1.00000
    127     -15.3413      1.00000
    128     -15.3401      1.00000
    129     -15.3231      1.00000
    130     -15.3158      1.00000
    131     -15.3115      1.00000
    132     -15.2998      1.00000
    133     -15.2655      1.00000
    134     -15.1966      1.00000
    135     -14.8634      1.00000
    136     -14.7482      1.00000
    137     -14.6959      1.00000
    138     -14.6956      1.00000
