
 Fermi energy:         7.0550018430

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -19.0539      1.00000
      2     -18.8944      1.00000
      3     -18.8551      1.00000
      4     -18.6341      1.00000
      5     -18.4791      1.00000
      6     -18.4687      1.00000
      7     -18.4648      1.00000
      8     -18.4449      1.00000
      9     -18.4356      1.00000
     10     -18.4186      1.00000
     11     -18.3373      1.00000
     12     -18.3236      1.00000
     13     -18.3184      1.00000
     14     -18.3056      1.00000
     15     -18.2899      1.00000
     16     -18.2854      1.00000
     17     -18.2840      1.00000
     18     -18.2733      1.00000
     19     -18.2577      1.00000
     20     -18.2359      1.00000
     21     -18.2264      1.00000
     22     -18.1930      1.00000
     23     -18.1316      1.00000
     24     -18.1025      1.00000
     25     -18.0967      1.00000
     26     -18.0406      1.00000
     27     -17.8636      1.00000
     28     -17.7051      1.00000
     29     -17.3310      1.00000
     30     -17.3267      1.00000
     31     -17.3255      1.00000
     32     -17.3251      1.00000
     33     -17.3228      1.00000
     34     -17.3200      1.00000
     35     -17.1934      1.00000
     36     -17.1909      1.00000
     37     -17.1903      1.00000
     38     -17.1876      1.00000
     39     -17.1844      1.00000
     40     -17.1830      1.00000
     41     -17.1782      1.00000
     42     -17.1571      1.00000
     43     -17.1558      1.00000
     44     -17.1507      1.00000
     45     -17.1425      1.00000
     46     -17.1389      1.00000
     47     -17.0572      1.00000
     48     -16.9363      1.00000
     49     -16.9274      1.00000
     50     -16.8950      1.00000
     51     -16.8529      1.00000
     52     -16.8443      1.00000
     53     -16.8311      1.00000
     54     -16.8295      1.00000
     55     -16.8286      1.00000
     56     -16.8265      1.00000
     57     -16.8148      1.00000
     58     -16.8066      1.00000
     59     -16.7029      1.00000
     60     -16.7013      1.00000
     61     -16.6992      1.00000
     62     -16.6950      1.00000
     63     -16.6949      1.00000
     64     -16.6908      1.00000
     65     -16.6897      1.00000
     66     -16.6702      1.00000
     67     -16.6684      1.00000
     68     -16.6608      1.00000
     69     -16.6445      1.00000
     70     -16.6441      1.00000
     71     -16.5676      1.00000
     72     -16.4152      1.00000
     73     -16.4045      1.00000
     74     -16.3357      1.00000
     75     -16.0617      1.00000
     76     -16.0576      1.00000
     77     -15.6328      1.00000
     78     -15.6322      1.00000
     79     -15.6313      1.00000
     80     -15.6304      1.00000
     81     -15.6251      1.00000
     82     -15.6248      1.00000
     83     -15.6148      1.00000
     84     -15.6138      1.00000
     85     -15.6087      1.00000
     86     -15.6081      1.00000
     87     -15.6062      1.00000
     88     -15.6050      1.00000
     89     -15.5522      1.00000
     90     -15.5509      1.00000
     91     -15.5413      1.00000
     92     -15.5396      1.00000
     93     -15.5356      1.00000
     94     -15.5341      1.00000
     95     -15.5316      1.00000
     96     -15.5314      1.00000
     97     -15.5260      1.00000
     98     -15.5250      1.00000
     99     -15.5192      1.00000
    100     -15.5164      1.00000
    101     -15.5057      1.00000
    102     -15.5053      1.00000
    103     -15.5030      1.00000
    104     -15.5014      1.00000
    105     -15.4971      1.00000
    106     -15.4964      1.00000
    107     -15.4959      1.00000
    108     -15.4903      1.00000
    109     -15.4867      1.00000
    110     -15.4857      1.00000
    111     -15.4822      1.00000
    112     -15.4820      1.00000
    113     -15.4785      1.00000
    114     -15.4768      1.00000
    115     -15.4669      1.00000
    116     -15.3993      1.00000
    117     -15.3906      1.00000
    118     -15.3905      1.00000
    119     -15.3890      1.00000
    120     -15.3879      1.00000
    121     -15.3856      1.00000
    122     -15.3814      1.00000
    123     -15.3622      1.00000
    124     -15.3553      1.00000
    125     -15.3533      1.00000
    126     -15.3468      1.00000
    127     -15.3306      1.00000
    128     -15.3245      1.00000
    129     -15.2700      1.00000
    130     -15.1958      1.00000
    131     -15.1489      1.00000
    132     -15.1315      1.00000
    133     -15.0701      1.00000
    134     -14.9204      1.00000
    135     -14.8387      1.00000
    136     -14.8387      1.00000
    137     -14.7541      1.00000
    138     -14.7540      1.00000
    139     -14.7538      1.00000
    140     -14.7537      1.00000
    141     -14.6238      1.00000
    142     -14.5419      1.00000
    143     -12.4679      1.00000
    144     -10.2091      1.00000
    145      -9.0380      1.00000
    146      -9.0336      1.00000
    147      -9.0334      1.00000
    148      -8.9536      1.00000
    149      -8.9502      1.00000
    150      -8.9497      1.00000
    151      -8.9444      1.00000
    152      -8.9396      1.00000
    153      -8.9382      1.00000
    154      -8.7918      1.00000
    155      -8.6723      1.00000
    156      -8.6525      1.00000
    157      -8.1024      1.00000
    158      -8.1024      1.00000
    159      -8.1014      1.00000
    160      -8.1010      1.00000
    161      -8.0980      1.00000
    162      -8.0976      1.00000
    163      -8.0913      1.00000
    164      -8.0905      1.00000
    165      -8.0888      1.00000
    166      -8.0875      1.00000
    167      -8.0861      1.00000
    168      -8.0852      1.00000
    169      -8.0356      1.00000
    170      -8.0336      1.00000
    171      -8.0336      1.00000
    172      -8.0323      1.00000
    173      -8.0310      1.00000
    174      -8.0202      1.00000
    175      -8.0201      1.00000
    176      -8.0186      1.00000
    177      -8.0172      1.00000
    178      -8.0136      1.00000
    179      -8.0128      1.00000
    180      -8.0062      1.00000
    181      -8.0044      1.00000
    182      -8.0025      1.00000
    183      -7.9964      1.00000
    184      -7.9953      1.00000
    185      -7.9855      1.00000
    186      -7.9827      1.00000
    187      -7.9816      1.00000
    188      -7.9795      1.00000
    189      -7.9774      1.00000
    190      -7.9750      1.00000
    191      -7.9726      1.00000
    192      -7.9638      1.00000
    193      -7.9605      1.00000
    194      -7.8857      1.00000
    195      -7.8851      1.00000
    196      -7.8426      1.00000
    197      -7.8303      1.00000
    198      -7.8283      1.00000
    199      -7.7720      1.00000
    200      -7.7703      1.00000
    201      -7.7700      1.00000
    202      -7.7666      1.00000
    203      -7.7416      1.00000
    204      -7.7352      1.00000
    205      -7.7272      1.00000
    206      -7.7209      1.00000
    207      -7.6713      1.00000
    208      -7.6118      1.00000
    209      -7.5579      1.00000
    210      -7.5168      1.00000
    211      -7.2514      1.00000
    212      -7.1316      1.00000
    213      -7.1121      1.00000
    214      -7.1120      1.00000
    215      -7.0325      1.00000
    216      -7.0308      1.00000
    217      -7.0254      1.00000
    218      -7.0234      1.00000
    219      -6.9269      1.00000
    220      -6.7573      1.00000
    221      -6.7567      1.00000
    222      -6.7565      1.00000
    223      -6.7564      1.00000
    224      -6.7559      1.00000
    225      -6.7558      1.00000
    226      -6.6702      1.00000
    227      -6.6693      1.00000
    228      -6.6675      1.00000
    229      -6.6675      1.00000
    230      -6.6652      1.00000
    231      -6.6652      1.00000
    232      -6.6570      1.00000
    233      -6.6569      1.00000
    234      -6.6538      1.00000
    235      -6.6527      1.00000
    236      -6.6524      1.00000
    237      -6.6517      1.00000
