
 Fermi energy:         4.7507096595

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -19.1029      1.00000
      2     -18.9139      1.00000
      3     -18.8823      1.00000
      4     -18.6190      1.00000
      5     -18.5267      1.00000
      6     -18.5181      1.00000
      7     -18.5133      1.00000
      8     -18.4936      1.00000
      9     -18.4879      1.00000
     10     -18.4703      1.00000
     11     -18.3592      1.00000
     12     -18.3446      1.00000
     13     -18.3387      1.00000
     14     -18.3378      1.00000
     15     -18.3225      1.00000
     16     -18.3080      1.00000
     17     -18.3034      1.00000
     18     -18.2918      1.00000
     19     -18.2693      1.00000
     20     -18.2541      1.00000
     21     -18.2510      1.00000
     22     -18.2075      1.00000
     23     -18.1350      1.00000
     24     -18.1041      1.00000
     25     -18.0462      1.00000
     26     -17.9155      1.00000
     27     -17.7983      1.00000
     28     -17.4043      1.00000
     29     -17.3811      1.00000
     30     -17.3805      1.00000
     31     -17.3790      1.00000
     32     -17.3773      1.00000
     33     -17.3760      1.00000
     34     -17.3582      1.00000
     35     -17.2120      1.00000
     36     -17.2114      1.00000
     37     -17.2082      1.00000
     38     -17.2051      1.00000
     39     -17.2018      1.00000
     40     -17.1984      1.00000
     41     -17.1882      1.00000
     42     -17.1878      1.00000
     43     -17.1791      1.00000
     44     -17.1737      1.00000
     45     -17.1710      1.00000
     46     -17.1503      1.00000
     47     -16.9362      1.00000
     48     -16.9208      1.00000
     49     -16.8859      1.00000
     50     -16.8856      1.00000
     51     -16.8850      1.00000
     52     -16.8838      1.00000
     53     -16.8830      1.00000
     54     -16.8813      1.00000
     55     -16.8407      1.00000
     56     -16.8216      1.00000
     57     -16.8195      1.00000
     58     -16.7364      1.00000
     59     -16.7233      1.00000
     60     -16.7206      1.00000
     61     -16.7195      1.00000
     62     -16.7145      1.00000
     63     -16.7112      1.00000
     64     -16.7084      1.00000
     65     -16.7007      1.00000
     66     -16.6949      1.00000
     67     -16.6906      1.00000
     68     -16.6776      1.00000
     69     -16.6717      1.00000
     70     -16.6315      1.00000
     71     -16.3920      1.00000
     72     -16.3578      1.00000
     73     -16.3097      1.00000
     74     -16.1017      1.00000
     75     -15.9676      1.00000
     76     -15.6952      1.00000
     77     -15.6944      1.00000
     78     -15.6915      1.00000
     79     -15.6910      1.00000
     80     -15.6876      1.00000
     81     -15.6875      1.00000
     82     -15.6762      1.00000
     83     -15.6757      1.00000
     84     -15.6722      1.00000
     85     -15.6720      1.00000
     86     -15.6670      1.00000
     87     -15.6660      1.00000
     88     -15.5758      1.00000
     89     -15.5743      1.00000
     90     -15.5677      1.00000
     91     -15.5668      1.00000
     92     -15.5645      1.00000
     93     -15.5644      1.00000
     94     -15.5634      1.00000
     95     -15.5623      1.00000
     96     -15.5609      1.00000
     97     -15.5578      1.00000
     98     -15.5561      1.00000
     99     -15.5560      1.00000
    100     -15.5530      1.00000
    101     -15.5484      1.00000
    102     -15.5448      1.00000
    103     -15.5404      1.00000
    104     -15.5265      1.00000
    105     -15.5264      1.00000
    106     -15.5225      1.00000
    107     -15.5165      1.00000
    108     -15.5153      1.00000
    109     -15.5131      1.00000
    110     -15.5077      1.00000
    111     -15.5074      1.00000
    112     -15.5062      1.00000
    113     -15.4978      1.00000
    114     -15.4904      1.00000
    115     -15.4828      1.00000
    116     -15.4166      1.00000
    117     -15.4100      1.00000
    118     -15.4079      1.00000
    119     -15.4075      1.00000
    120     -15.4064      1.00000
    121     -15.3986      1.00000
    122     -15.3891      1.00000
    123     -15.3716      1.00000
    124     -15.3409      1.00000
    125     -15.3398      1.00000
    126     -15.3303      1.00000
    127     -15.2746      1.00000
    128     -15.2640      1.00000
    129     -15.1203      1.00000
    130     -15.0896      1.00000
    131     -15.0613      1.00000
    132     -14.9544      1.00000
    133     -14.9543      1.00000
    134     -14.9090      1.00000
    135     -14.9089      1.00000
    136     -14.7754      1.00000
    137     -14.7751      1.00000
    138     -14.7749      1.00000
    139     -14.7746      1.00000
    140     -14.5641      1.00000
    141     -14.5390      1.00000
    142     -13.1266      1.00000
    143     -10.0926      1.00000
    144      -9.0972      1.00000
    145      -9.0972      1.00000
    146      -9.0971      1.00000
    147      -8.9688      1.00000
    148      -8.9681      1.00000
    149      -8.9680      1.00000
    150      -8.9611      1.00000
    151      -8.9594      1.00000
    152      -8.9589      1.00000
    153      -8.6874      1.00000
    154      -8.6457      1.00000
    155      -8.5927      1.00000
    156      -8.1664      1.00000
    157      -8.1663      1.00000
    158      -8.1659      1.00000
    159      -8.1652      1.00000
    160      -8.1607      1.00000
    161      -8.1600      1.00000
    162      -8.1557      1.00000
    163      -8.1542      1.00000
    164      -8.1502      1.00000
    165      -8.1487      1.00000
    166      -8.1478      1.00000
    167      -8.1468      1.00000
    168      -8.1340      1.00000
    169      -8.0538      1.00000
    170      -8.0536      1.00000
    171      -8.0518      1.00000
    172      -8.0511      1.00000
    173      -8.0448      1.00000
    174      -8.0425      1.00000
    175      -8.0422      1.00000
    176      -8.0387      1.00000
    177      -8.0324      1.00000
    178      -8.0316      1.00000
    179      -8.0255      1.00000
    180      -8.0244      1.00000
    181      -8.0228      1.00000
    182      -8.0199      1.00000
    183      -8.0159      1.00000
    184      -8.0111      1.00000
    185      -8.0031      1.00000
    186      -7.9997      1.00000
    187      -7.9985      1.00000
    188      -7.9949      1.00000
    189      -7.9925      1.00000
    190      -7.9887      1.00000
    191      -7.9862      1.00000
    192      -7.9816      1.00000
    193      -7.9444      1.00000
    194      -7.9438      1.00000
    195      -7.8276      1.00000
    196      -7.8229      1.00000
    197      -7.8189      1.00000
    198      -7.7892      1.00000
    199      -7.7890      1.00000
    200      -7.7834      1.00000
    201      -7.7781      1.00000
    202      -7.7748      1.00000
    203      -7.7177      1.00000
    204      -7.6890      1.00000
    205      -7.6029      1.00000
    206      -7.5722      1.00000
    207      -7.5352      1.00000
    208      -7.4746      1.00000
    209      -7.4250      1.00000
    210      -7.1766      1.00000
    211      -7.1766      1.00000
    212      -7.0496      1.00000
    213      -7.0479      1.00000
    214      -7.0436      1.00000
    215      -7.0408      1.00000
    216      -7.0027      1.00000
    217      -6.8642      1.00000
    218      -6.8202      1.00000
    219      -6.8201      1.00000
    220      -6.8200      1.00000
    221      -6.8197      1.00000
    222      -6.8197      1.00000
    223      -6.8196      1.00000
    224      -6.6981      1.00000
    225      -6.6885      1.00000
    226      -6.6885      1.00000
    227      -6.6871      1.00000
    228      -6.6855      1.00000
    229      -6.6836      1.00000
    230      -6.6835      1.00000
    231      -6.6788      1.00000
    232      -6.6766      1.00000
    233      -6.6750      1.00000
    234      -6.6744      1.00000
    235      -6.6729      1.00000
    236      -6.6675      1.00000
    237      -6.6367      1.00000
    238      -6.5413      1.00000
    239      -6.3621      1.00000
    240      -6.2193      1.00000
    241      -6.0425      1.00000
    242      -5.9308      1.00000
    243      -5.8376      1.00000
    244      -5.7889      1.00000
    245      -5.3092      1.00000
    246      -5.2799      1.00000
    247      -5.2798      1.00000
    248      -5.2798      1.00000
    249      -5.2795      1.00000
    250      -5.2794      1.00000
    251      -5.2786      1.00000
    252      -5.1566      1.00000
    253      -5.1557      1.00000
    254      -5.1552      1.00000
    255      -5.1541      1.00000
    256      -5.1535      1.00000
    257      -5.1534      1.00000
    258      -5.1476      1.00000
    259      -5.1468      1.00000
    260      -5.1461      1.00000
    261      -5.1450      1.00000
    262      -5.1445      1.00000
    263      -5.1445      1.00000
    264      -5.0511      1.00000
    265      -5.0506      1.00000
    266      -5.0505      1.00000
    267      -5.0492      1.00000
    268      -5.0489      1.00000
    269      -5.0446      1.00000
    270      -5.0443      1.00000
    271      -5.0363      1.00000
    272      -5.0356      1.00000
    273      -5.0319      1.00000
    274      -5.0308      1.00000
    275      -5.0297      1.00000
    276      -5.0292      1.00000
    277      -5.0285      1.00000
    278      -5.0212      1.00000
    279      -4.9629      1.00000
    280      -4.9420      1.00000
    281      -4.9368      1.00000
    282      -4.9357      1.00000
    283      -4.9345      1.00000
    284      -4.9330      1.00000
    285      -4.9317      1.00000
    286      -4.9315      1.00000
    287      -4.9273      1.00000
    288      -4.9266      1.00000
    289      -4.9182      1.00000
    290      -4.9176      1.00000
    291      -4.9136      1.00000
    292      -4.9133      1.00000
    293      -4.9132      1.00000
    294      -4.8998      1.00000
    295      -4.8961      1.00000
    296      -4.8935      1.00000
    297      -4.8893      1.00000
    298      -4.8750      1.00000
    299      -4.8748      1.00000
    300      -4.8737      1.00000
    301      -4.8703      1.00000
    302      -4.8700      1.00000
    303      -4.8693      1.00000
    304      -4.8690      1.00000
    305      -4.8653      1.00000
    306      -4.8511      1.00000
    307      -4.8418      1.00000
    308      -4.8304      1.00000
    309      -4.7887      1.00000
    310      -4.7822      1.00000
    311      -4.7442      1.00000
    312      -4.7318      1.00000
    313      -4.7074      1.00000
    314      -4.6511      1.00000
    315      -4.5979      1.00000
    316      -4.5841      1.00000
    317      -4.4977      1.00000
    318      -4.4904      1.00000
    319      -4.4343      1.00000
    320      -4.3161      1.00000
    321      -4.0914      1.00000
    322      -4.0766      1.00000
    323      -4.0684      1.00000
    324      -4.0604      1.00000
    325      -4.0545      1.00000
    326      -4.0326      1.00000
