
 Fermi energy:         3.8291776235

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -19.1092      1.00000
      2     -19.0189      1.00000
      3     -18.9111      1.00000
      4     -18.8445      1.00000
      5     -18.5475      1.00000
      6     -18.5258      1.00000
      7     -18.5138      1.00000
      8     -18.5120      1.00000
      9     -18.4859      1.00000
     10     -18.4823      1.00000
     11     -18.4611      1.00000
     12     -18.3591      1.00000
     13     -18.3433      1.00000
     14     -18.3393      1.00000
     15     -18.3387      1.00000
     16     -18.3173      1.00000
     17     -18.3118      1.00000
     18     -18.2965      1.00000
     19     -18.2896      1.00000
     20     -18.2584      1.00000
     21     -18.2451      1.00000
     22     -18.2391      1.00000
     23     -18.1936      1.00000
     24     -18.1401      1.00000
     25     -18.0954      1.00000
     26     -18.0729      1.00000
     27     -17.9031      1.00000
     28     -17.7318      1.00000
     29     -17.3793      1.00000
     30     -17.3782      1.00000
     31     -17.3777      1.00000
     32     -17.3754      1.00000
     33     -17.3734      1.00000
     34     -17.3713      1.00000
     35     -17.2488      1.00000
     36     -17.2101      1.00000
     37     -17.2077      1.00000
     38     -17.2063      1.00000
     39     -17.2003      1.00000
     40     -17.1986      1.00000
     41     -17.1929      1.00000
     42     -17.1925      1.00000
     43     -17.1882      1.00000
     44     -17.1801      1.00000
     45     -17.1721      1.00000
     46     -17.1622      1.00000
     47     -17.1116      1.00000
     48     -16.9874      1.00000
     49     -16.9385      1.00000
     50     -16.8993      1.00000
     51     -16.8858      1.00000
     52     -16.8833      1.00000
     53     -16.8822      1.00000
     54     -16.8812      1.00000
     55     -16.8789      1.00000
     56     -16.8780      1.00000
     57     -16.8647      1.00000
     58     -16.8058      1.00000
     59     -16.7208      1.00000
     60     -16.7170      1.00000
     61     -16.7153      1.00000
     62     -16.7111      1.00000
     63     -16.7099      1.00000
     64     -16.7077      1.00000
     65     -16.7060      1.00000
     66     -16.7013      1.00000
     67     -16.6935      1.00000
     68     -16.6885      1.00000
     69     -16.6754      1.00000
     70     -16.6575      1.00000
     71     -16.5691      1.00000
     72     -16.5051      1.00000
     73     -16.3848      1.00000
     74     -16.3292      1.00000
     75     -16.1912      1.00000
     76     -15.8149      1.00000
     77     -15.6930      1.00000
     78     -15.6924      1.00000
     79     -15.6896      1.00000
     80     -15.6891      1.00000
     81     -15.6855      1.00000
     82     -15.6854      1.00000
     83     -15.6728      1.00000
     84     -15.6724      1.00000
     85     -15.6691      1.00000
     86     -15.6678      1.00000
     87     -15.6629      1.00000
     88     -15.6623      1.00000
     89     -15.5861      1.00000
     90     -15.5758      1.00000
     91     -15.5729      1.00000
     92     -15.5660      1.00000
     93     -15.5649      1.00000
     94     -15.5636      1.00000
     95     -15.5617      1.00000
     96     -15.5602      1.00000
     97     -15.5598      1.00000
     98     -15.5579      1.00000
     99     -15.5572      1.00000
    100     -15.5552      1.00000
    101     -15.5525      1.00000
    102     -15.5502      1.00000
    103     -15.5447      1.00000
    104     -15.5365      1.00000
    105     -15.5248      1.00000
    106     -15.5212      1.00000
    107     -15.5167      1.00000
    108     -15.5164      1.00000
    109     -15.5137      1.00000
    110     -15.5133      1.00000
    111     -15.5040      1.00000
    112     -15.5030      1.00000
    113     -15.5019      1.00000
    114     -15.4920      1.00000
    115     -15.4889      1.00000
    116     -15.4733      1.00000
    117     -15.4075      1.00000
    118     -15.4036      1.00000
    119     -15.4017      1.00000
    120     -15.4015      1.00000
    121     -15.3972      1.00000
    122     -15.3895      1.00000
    123     -15.3853      1.00000
    124     -15.3846      1.00000
    125     -15.3738      1.00000
    126     -15.3603      1.00000
    127     -15.3508      1.00000
    128     -15.3205      1.00000
    129     -15.2805      1.00000
    130     -15.2502      1.00000
    131     -15.2163      1.00000
    132     -15.0683      1.00000
    133     -15.0095      1.00000
    134     -14.9060      1.00000
    135     -14.9059      1.00000
    136     -14.7709      1.00000
    137     -14.7706      1.00000
    138     -14.7695      1.00000
    139     -14.7692      1.00000
    140     -14.7077      1.00000
    141     -14.5876      1.00000
    142     -13.6647      1.00000
    143     -13.1233      1.00000
    144     -12.0525      1.00000
    145      -9.0943      1.00000
    146      -9.0942      1.00000
    147      -9.0942      1.00000
    148      -9.0140      1.00000
    149      -8.9655      1.00000
    150      -8.9648      1.00000
    151      -8.9647      1.00000
    152      -8.9567      1.00000
    153      -8.9560      1.00000
    154      -8.9441      1.00000
    155      -8.6937      1.00000
    156      -8.6031      1.00000
    157      -8.2756      1.00000
    158      -8.1641      1.00000
    159      -8.1638      1.00000
    160      -8.1633      1.00000
    161      -8.1631      1.00000
    162      -8.1578      1.00000
    163      -8.1574      1.00000
    164      -8.1523      1.00000
    165      -8.1511      1.00000
    166      -8.1461      1.00000
    167      -8.1456      1.00000
    168      -8.1443      1.00000
    169      -8.1425      1.00000
    170      -8.0526      1.00000
    171      -8.0523      1.00000
    172      -8.0505      1.00000
    173      -8.0499      1.00000
    174      -8.0449      1.00000
    175      -8.0431      1.00000
    176      -8.0412      1.00000
    177      -8.0400      1.00000
    178      -8.0306      1.00000
    179      -8.0282      1.00000
    180      -8.0253      1.00000
    181      -8.0229      1.00000
    182      -8.0220      1.00000
    183      -8.0142      1.00000
    184      -8.0128      1.00000
    185      -8.0042      1.00000
    186      -7.9981      1.00000
    187      -7.9974      1.00000
    188      -7.9972      1.00000
    189      -7.9940      1.00000
    190      -7.9850      1.00000
    191      -7.9800      1.00000
    192      -7.9799      1.00000
    193      -7.9728      1.00000
    194      -7.9579      1.00000
    195      -7.9401      1.00000
    196      -7.9385      1.00000
    197      -7.8569      1.00000
    198      -7.8486      1.00000
    199      -7.8269      1.00000
    200      -7.7843      1.00000
    201      -7.7841      1.00000
    202      -7.7835      1.00000
    203      -7.7779      1.00000
    204      -7.7514      1.00000
    205      -7.7418      1.00000
    206      -7.7042      1.00000
    207      -7.6782      1.00000
    208      -7.6023      1.00000
    209      -7.5828      1.00000
    210      -7.3365      1.00000
    211      -7.1811      1.00000
    212      -7.1736      1.00000
    213      -7.1733      1.00000
    214      -7.1221      1.00000
    215      -7.0451      1.00000
    216      -7.0443      1.00000
    217      -7.0382      1.00000
    218      -7.0372      1.00000
    219      -6.9133      1.00000
    220      -6.8174      1.00000
    221      -6.8170      1.00000
    222      -6.8169      1.00000
    223      -6.8168      1.00000
    224      -6.8167      1.00000
    225      -6.8164      1.00000
    226      -6.6854      1.00000
    227      -6.6849      1.00000
    228      -6.6841      1.00000
    229      -6.6809      1.00000
    230      -6.6793      1.00000
    231      -6.6787      1.00000
    232      -6.6764      1.00000
    233      -6.6758      1.00000
    234      -6.6733      1.00000
    235      -6.6726      1.00000
    236      -6.6692      1.00000
    237      -6.6680      1.00000
    238      -6.5946      1.00000
    239      -6.4765      1.00000
    240      -6.4239      1.00000
    241      -6.2639      1.00000
    242      -6.2380      1.00000
    243      -6.1428      1.00000
    244      -5.8474      1.00000
    245      -5.5776      1.00000
    246      -5.2771      1.00000
    247      -5.2769      1.00000
    248      -5.2768      1.00000
    249      -5.2766      1.00000
    250      -5.2765      1.00000
    251      -5.2765      1.00000
    252      -5.1535      1.00000
    253      -5.1525      1.00000
    254      -5.1522      1.00000
    255      -5.1501      1.00000
    256      -5.1498      1.00000
    257      -5.1491      1.00000
    258      -5.1470      1.00000
    259      -5.1437      1.00000
    260      -5.1432      1.00000
    261      -5.1425      1.00000
    262      -5.1412      1.00000
    263      -5.1402      1.00000
    264      -5.1366      1.00000
    265      -5.0556      1.00000
    266      -5.0500      1.00000
    267      -5.0481      1.00000
    268      -5.0472      1.00000
    269      -5.0470      1.00000
    270      -5.0466      1.00000
    271      -5.0464      1.00000
    272      -5.0419      1.00000
    273      -5.0413      1.00000
    274      -5.0328      1.00000
    275      -5.0324      1.00000
    276      -5.0270      1.00000
    277      -5.0267      1.00000
    278      -5.0258      1.00000
    279      -5.0253      1.00000
    280      -5.0249      1.00000
    281      -4.9945      1.00000
    282      -4.9554      1.00000
    283      -4.9356      1.00000
    284      -4.9347      1.00000
    285      -4.9333      1.00000
    286      -4.9313      1.00000
    287      -4.9307      1.00000
    288      -4.9294      1.00000
    289      -4.9274      1.00000
    290      -4.9243      1.00000
    291      -4.9162      1.00000
    292      -4.9155      1.00000
    293      -4.9126      1.00000
    294      -4.9117      1.00000
    295      -4.9042      1.00000
    296      -4.8965      1.00000
    297      -4.8949      1.00000
    298      -4.8909      1.00000
    299      -4.8894      1.00000
    300      -4.8829      1.00000
    301      -4.8763      1.00000
    302      -4.8700      1.00000
    303      -4.8685      1.00000
    304      -4.8646      1.00000
    305      -4.8644      1.00000
    306      -4.8628      1.00000
    307      -4.8628      1.00000
    308      -4.8609      1.00000
    309      -4.8581      1.00000
    310      -4.8534      1.00000
    311      -4.8377      1.00000
    312      -4.8320      1.00000
    313      -4.7872      1.00000
    314      -4.7542      1.00000
    315      -4.7538      1.00000
    316      -4.7165      1.00000
    317      -4.6730      1.00000
    318      -4.6481      1.00000
    319      -4.6307      1.00000
    320      -4.5587      1.00000
    321      -4.4601      1.00000
    322      -4.3517      1.00000
    323      -4.1099      1.00000
    324      -4.0982      1.00000
    325      -4.0843      1.00000
    326      -4.0673      1.00000
    327      -4.0592      1.00000
    328      -4.0564      1.00000
    329      -4.0270      1.00000
    330      -4.0243      1.00000
    331      -4.0082      1.00000
    332      -3.9975      1.00000
    333      -3.9805      1.00000
    334      -3.9228      1.00000
    335      -3.9124      1.00000
    336      -3.7807      1.00000
    337      -3.7175      1.00000
    338      -3.7174      1.00000
    339      -3.7173      1.00000
    340      -3.5828      1.00000
    341      -3.5826      1.00000
    342      -3.5817      1.00000
    343      -3.5811      1.00000
    344      -3.5796      1.00000
    345      -3.5782      1.00000
    346      -3.5483      1.00000
    347      -3.4906      1.00000
    348      -3.4601      1.00000
    349      -3.4601      1.00000
    350      -3.4600      1.00000
    351      -3.4599      1.00000
    352      -3.4598      1.00000
    353      -3.4597      1.00000
    354      -3.3976      1.00000
    355      -3.3764      1.00000
    356      -3.3737      1.00000
    357      -3.3623      1.00000
    358      -3.3518      1.00000
    359      -3.3393      1.00000
    360      -3.3316      1.00000
    361      -3.3300      1.00000
    362      -3.3283      1.00000
    363      -3.3271      1.00000
    364      -3.3258      1.00000
    365      -3.3245      1.00000
    366      -3.3226      1.00000
    367      -3.3224      1.00000
    368      -3.3220      1.00000
    369      -3.3206      1.00000
    370      -3.3130      1.00000
    371      -3.3109      1.00000
    372      -3.2723      1.00000
    373      -3.2717      1.00000
    374      -3.2139      1.00000
    375      -3.1298      1.00000
    376      -3.0917      1.00000
    377      -3.0910      1.00000
    378      -3.0909      1.00000
    379      -3.0906      1.00000
    380      -3.0898      1.00000
    381      -3.0896      1.00000
    382      -3.0888      1.00000
    383      -3.0248      1.00000
    384      -2.9857      1.00000
    385      -2.9573      1.00000
    386      -2.9570      1.00000
    387      -2.9552      1.00000
