
 Fermi energy:         1.6855397567

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -22.2182      1.00000
      2     -19.9016      1.00000
      3     -19.3429      1.00000
      4     -19.0973      1.00000
      5     -18.8808      1.00000
      6     -18.8280      1.00000
      7     -18.7329      1.00000
      8     -18.7209      1.00000
      9     -18.6594      1.00000
     10     -18.6258      1.00000
     11     -18.4092      1.00000
     12     -18.3198      1.00000
     13     -18.2375      1.00000
     14     -18.1779      1.00000
     15     -18.1706      1.00000
     16     -18.1591      1.00000
     17     -18.1512      1.00000
     18     -18.1302      1.00000
     19     -18.1301      1.00000
     20     -18.1123      1.00000
     21     -18.0946      1.00000
     22     -18.0937      1.00000
     23     -18.0825      1.00000
     24     -18.0813      1.00000
     25     -18.0634      1.00000
     26     -17.8766      1.00000
     27     -17.8393      1.00000
     28     -17.8321      1.00000
     29     -17.8292      1.00000
     30     -17.8221      1.00000
     31     -17.8061      1.00000
     32     -17.8027      1.00000
     33     -17.7955      1.00000
     34     -17.7084      1.00000
     35     -17.5429      1.00000
     36     -17.3638      1.00000
     37     -17.3327      1.00000
     38     -17.2866      1.00000
     39     -17.2168      1.00000
     40     -17.1344      1.00000
     41     -17.0308      1.00000
     42     -17.0287      1.00000
     43     -17.0219      1.00000
     44     -17.0208      1.00000
     45     -17.0193      1.00000
     46     -17.0189      1.00000
     47     -17.0158      1.00000
     48     -17.0124      1.00000
     49     -17.0095      1.00000
     50     -17.0061      1.00000
     51     -17.0035      1.00000
     52     -17.0007      1.00000
     53     -16.8590      1.00000
     54     -16.7198      1.00000
     55     -16.7193      1.00000
     56     -16.7166      1.00000
     57     -16.7160      1.00000
     58     -16.7151      1.00000
     59     -16.7145      1.00000
     60     -16.6517      1.00000
     61     -16.5413      1.00000
     62     -16.5324      1.00000
     63     -16.5312      1.00000
     64     -16.5292      1.00000
     65     -16.5263      1.00000
     66     -16.5235      1.00000
     67     -16.5207      1.00000
     68     -16.5194      1.00000
     69     -16.5182      1.00000
     70     -16.5176      1.00000
     71     -16.5170      1.00000
     72     -16.5143      1.00000
     73     -16.4769      1.00000
     74     -16.3338      1.00000
     75     -16.2354      1.00000
     76     -16.2351      1.00000
     77     -16.2350      1.00000
     78     -16.2344      1.00000
     79     -16.2342      1.00000
     80     -16.2336      1.00000
     81     -16.1989      1.00000
     82     -16.1074      1.00000
     83     -16.0701      1.00000
     84     -15.9685      1.00000
     85     -15.9138      1.00000
     86     -15.8811      1.00000
     87     -15.8145      1.00000
     88     -15.8026      1.00000
     89     -15.7745      1.00000
     90     -15.7194      1.00000
     91     -15.4224      1.00000
     92     -15.4185      1.00000
     93     -15.3984      1.00000
     94     -15.3959      1.00000
     95     -15.3846      1.00000
     96     -15.3809      1.00000
     97     -15.3781      1.00000
     98     -15.3767      1.00000
     99     -15.3689      1.00000
    100     -15.3610      1.00000
    101     -15.3589      1.00000
    102     -15.3472      1.00000
    103     -15.3277      1.00000
    104     -15.3234      1.00000
    105     -15.3206      1.00000
    106     -15.3187      1.00000
    107     -15.3163      1.00000
    108     -15.3155      1.00000
    109     -15.3106      1.00000
    110     -15.3099      1.00000
    111     -15.3064      1.00000
    112     -15.2977      1.00000
    113     -15.2951      1.00000
    114     -15.2924      1.00000
    115     -15.2896      1.00000
    116     -15.2375      1.00000
    117     -15.2166      1.00000
    118     -15.2162      1.00000
    119     -15.2157      1.00000
    120     -15.2130      1.00000
    121     -15.2102      1.00000
    122     -15.2074      1.00000
    123     -15.0830      1.00000
    124     -15.0819      1.00000
    125     -15.0767      1.00000
    126     -15.0752      1.00000
    127     -15.0708      1.00000
    128     -15.0692      1.00000
    129     -15.0599      1.00000
    130     -15.0593      1.00000
    131     -15.0561      1.00000
    132     -15.0550      1.00000
    133     -15.0505      1.00000
    134     -15.0503      1.00000
    135     -14.9640      1.00000
    136     -14.9633      1.00000
