
 Fermi energy:         4.3359403656

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -19.1283      1.00000
      2     -18.9512      1.00000
      3     -18.9372      1.00000
      4     -18.8300      1.00000
      5     -18.5521      1.00000
      6     -18.5451      1.00000
      7     -18.5381      1.00000
      8     -18.5280      1.00000
      9     -18.5116      1.00000
     10     -18.5034      1.00000
     11     -18.4794      1.00000
     12     -18.3852      1.00000
     13     -18.3697      1.00000
     14     -18.3636      1.00000
     15     -18.3594      1.00000
     16     -18.3351      1.00000
     17     -18.3286      1.00000
     18     -18.3247      1.00000
     19     -18.3139      1.00000
     20     -18.2804      1.00000
     21     -18.2670      1.00000
     22     -18.2663      1.00000
     23     -18.2150      1.00000
     24     -18.1440      1.00000
     25     -18.0757      1.00000
     26     -18.0377      1.00000
     27     -17.8332      1.00000
     28     -17.6676      1.00000
     29     -17.4043      1.00000
     30     -17.4038      1.00000
     31     -17.4023      1.00000
     32     -17.4002      1.00000
     33     -17.3992      1.00000
     34     -17.3973      1.00000
     35     -17.2358      1.00000
     36     -17.2345      1.00000
     37     -17.2318      1.00000
     38     -17.2272      1.00000
     39     -17.2257      1.00000
     40     -17.2245      1.00000
     41     -17.2192      1.00000
     42     -17.2120      1.00000
     43     -17.2083      1.00000
     44     -17.2006      1.00000
     45     -17.1946      1.00000
     46     -17.1856      1.00000
     47     -17.0808      1.00000
     48     -16.9672      1.00000
     49     -16.9155      1.00000
     50     -16.9095      1.00000
     51     -16.9083      1.00000
     52     -16.9068      1.00000
     53     -16.9065      1.00000
     54     -16.9037      1.00000
     55     -16.9001      1.00000
     56     -16.8559      1.00000
     57     -16.8125      1.00000
     58     -16.7601      1.00000
     59     -16.7469      1.00000
     60     -16.7434      1.00000
     61     -16.7421      1.00000
     62     -16.7363      1.00000
     63     -16.7331      1.00000
     64     -16.7279      1.00000
     65     -16.7267      1.00000
     66     -16.7214      1.00000
     67     -16.7140      1.00000
     68     -16.7098      1.00000
     69     -16.6955      1.00000
     70     -16.6646      1.00000
     71     -16.5263      1.00000
     72     -16.4759      1.00000
     73     -16.3314      1.00000
     74     -16.2582      1.00000
     75     -16.0705      1.00000
     76     -15.7195      1.00000
     77     -15.7187      1.00000
     78     -15.7159      1.00000
     79     -15.7154      1.00000
     80     -15.7116      1.00000
     81     -15.7112      1.00000
     82     -15.7054      1.00000
     83     -15.6990      1.00000
     84     -15.6960      1.00000
     85     -15.6950      1.00000
     86     -15.6902      1.00000
     87     -15.6886      1.00000
     88     -15.6872      1.00000
     89     -15.6018      1.00000
     90     -15.5995      1.00000
     91     -15.5921      1.00000
     92     -15.5912      1.00000
     93     -15.5900      1.00000
     94     -15.5883      1.00000
     95     -15.5867      1.00000
     96     -15.5853      1.00000
     97     -15.5843      1.00000
     98     -15.5829      1.00000
     99     -15.5803      1.00000
    100     -15.5789      1.00000
    101     -15.5759      1.00000
    102     -15.5735      1.00000
    103     -15.5683      1.00000
    104     -15.5509      1.00000
    105     -15.5464      1.00000
    106     -15.5457      1.00000
    107     -15.5410      1.00000
    108     -15.5379      1.00000
    109     -15.5375      1.00000
    110     -15.5355      1.00000
    111     -15.5285      1.00000
    112     -15.5277      1.00000
    113     -15.5164      1.00000
    114     -15.5152      1.00000
    115     -15.5130      1.00000
    116     -15.4606      1.00000
    117     -15.4297      1.00000
    118     -15.4294      1.00000
    119     -15.4271      1.00000
    120     -15.4234      1.00000
    121     -15.4168      1.00000
    122     -15.4126      1.00000
    123     -15.4054      1.00000
    124     -15.3850      1.00000
    125     -15.3669      1.00000
    126     -15.3348      1.00000
    127     -15.3079      1.00000
    128     -15.2990      1.00000
    129     -15.2895      1.00000
    130     -15.1935      1.00000
    131     -15.0702      1.00000
    132     -14.9998      1.00000
    133     -14.9323      1.00000
    134     -14.9321      1.00000
    135     -14.9059      1.00000
    136     -14.7971      1.00000
    137     -14.7969      1.00000
    138     -14.7960      1.00000
    139     -14.7957      1.00000
    140     -14.6211      1.00000
    141     -14.4846      1.00000
    142     -12.9629      1.00000
    143     -11.3497      1.00000
    144      -9.1205      1.00000
    145      -9.1205      1.00000
    146      -9.1204      1.00000
    147      -8.9917      1.00000
    148      -8.9909      1.00000
    149      -8.9907      1.00000
    150      -8.9860      1.00000
    151      -8.9834      1.00000
    152      -8.9815      1.00000
    153      -8.8329      1.00000
    154      -8.6772      1.00000
    155      -8.5803      1.00000
    156      -8.1993      1.00000
    157      -8.1903      1.00000
    158      -8.1901      1.00000
    159      -8.1897      1.00000
    160      -8.1889      1.00000
    161      -8.1840      1.00000
    162      -8.1835      1.00000
    163      -8.1786      1.00000
    164      -8.1771      1.00000
    165      -8.1728      1.00000
    166      -8.1712      1.00000
    167      -8.1704      1.00000
    168      -8.1691      1.00000
    169      -8.0789      1.00000
    170      -8.0784      1.00000
    171      -8.0765      1.00000
    172      -8.0761      1.00000
    173      -8.0760      1.00000
    174      -8.0697      1.00000
    175      -8.0669      1.00000
    176      -8.0657      1.00000
    177      -8.0561      1.00000
    178      -8.0559      1.00000
    179      -8.0545      1.00000
    180      -8.0489      1.00000
    181      -8.0484      1.00000
