
 Fermi energy:         3.2279603804

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -19.0913      1.00000
      2     -18.9401      1.00000
      3     -18.8426      1.00000
      4     -18.7734      1.00000
      5     -18.6641      1.00000
      6     -18.4077      1.00000
      7     -18.4023      1.00000
      8     -18.3866      1.00000
      9     -18.3702      1.00000
     10     -18.3543      1.00000
     11     -18.3352      1.00000
     12     -18.2764      1.00000
     13     -18.2717      1.00000
     14     -18.2597      1.00000
     15     -18.2570      1.00000
     16     -18.2548      1.00000
     17     -18.2467      1.00000
     18     -18.2448      1.00000
     19     -18.2436      1.00000
     20     -18.2305      1.00000
     21     -18.2162      1.00000
     22     -18.1719      1.00000
     23     -18.1365      1.00000
     24     -18.1202      1.00000
     25     -18.1169      1.00000
     26     -18.1049      1.00000
     27     -18.0822      1.00000
     28     -18.0007      1.00000
     29     -17.5394      1.00000
     30     -17.2711      1.00000
     31     -17.2619      1.00000
     32     -17.2487      1.00000
     33     -17.2362      1.00000
     34     -17.2331      1.00000
     35     -17.2161      1.00000
     36     -17.1599      1.00000
     37     -17.1488      1.00000
     38     -17.1415      1.00000
     39     -17.1403      1.00000
     40     -17.1399      1.00000
     41     -17.1377      1.00000
     42     -17.1367      1.00000
     43     -17.1339      1.00000
     44     -17.1192      1.00000
     45     -17.0897      1.00000
     46     -17.0780      1.00000
     47     -17.0483      1.00000
     48     -17.0252      1.00000
     49     -17.0209      1.00000
     50     -17.0044      1.00000
     51     -16.9802      1.00000
     52     -16.9540      1.00000
     53     -16.8392      1.00000
     54     -16.7685      1.00000
     55     -16.7610      1.00000
     56     -16.7502      1.00000
     57     -16.7313      1.00000
     58     -16.7284      1.00000
     59     -16.7092      1.00000
     60     -16.6690      1.00000
     61     -16.6571      1.00000
     62     -16.6540      1.00000
     63     -16.6538      1.00000
     64     -16.6533      1.00000
     65     -16.6510      1.00000
     66     -16.6503      1.00000
     67     -16.6487      1.00000
     68     -16.6348      1.00000
     69     -16.5831      1.00000
     70     -16.5785      1.00000
     71     -16.5625      1.00000
     72     -16.5497      1.00000
     73     -16.5451      1.00000
     74     -16.5322      1.00000
     75     -16.3734      1.00000
     76     -16.2927      1.00000
     77     -15.7041      1.00000
     78     -15.5813      1.00000
     79     -15.5751      1.00000
     80     -15.5636      1.00000
     81     -15.5486      1.00000
     82     -15.5461      1.00000
     83     -15.5359      1.00000
     84     -15.5333      1.00000
     85     -15.5282      1.00000
     86     -15.5225      1.00000
     87     -15.5176      1.00000
     88     -15.5155      1.00000
     89     -15.5074      1.00000
     90     -15.5019      1.00000
     91     -15.5014      1.00000
     92     -15.4973      1.00000
     93     -15.4903      1.00000
     94     -15.4817      1.00000
     95     -15.4797      1.00000
     96     -15.4791      1.00000
     97     -15.4771      1.00000
     98     -15.4767      1.00000
     99     -15.4762      1.00000
    100     -15.4750      1.00000
    101     -15.4743      1.00000
    102     -15.4670      1.00000
    103     -15.4656      1.00000
    104     -15.4654      1.00000
    105     -15.4647      1.00000
    106     -15.4644      1.00000
    107     -15.4635      1.00000
    108     -15.4559      1.00000
    109     -15.4547      1.00000
    110     -15.4537      1.00000
    111     -15.4315      1.00000
    112     -15.4268      1.00000
    113     -15.4205      1.00000
    114     -15.4187      1.00000
    115     -15.4146      1.00000
    116     -15.4141      1.00000
    117     -15.4134      1.00000
    118     -15.4111      1.00000
    119     -15.4102      1.00000
    120     -15.4034      1.00000
    121     -15.4008      1.00000
    122     -15.3995      1.00000
    123     -15.3911      1.00000
    124     -15.3891      1.00000
    125     -15.3861      1.00000
    126     -15.3698      1.00000
    127     -15.3632      1.00000
    128     -15.3620      1.00000
    129     -15.3612      1.00000
    130     -15.3430      1.00000
    131     -15.3358      1.00000
    132     -15.3324      1.00000
    133     -15.3143      1.00000
    134     -15.2602      1.00000
    135     -14.8414      1.00000
    136     -14.7949      1.00000
    137     -14.7137      1.00000
    138     -14.7136      1.00000
    139     -14.7135      1.00000
    140     -14.7134      1.00000
    141     -14.7134      1.00000
    142     -14.7131      1.00000
    143     -12.7135      1.00000
    144      -9.2320      1.00000
    145      -8.9496      1.00000
    146      -8.9205      1.00000
    147      -8.9179      1.00000
    148      -8.9113      1.00000
    149      -8.8996      1.00000
    150      -8.8992      1.00000
    151      -8.8988      1.00000
    152      -8.8791      1.00000
    153      -8.8712      1.00000
    154      -8.8645      1.00000
    155      -8.8298      1.00000
    156      -8.6920      1.00000
    157      -8.2164      1.00000
    158      -8.0731      1.00000
    159      -8.0328      1.00000
    160      -8.0104      1.00000
    161      -8.0005      1.00000
    162      -7.9946      1.00000
    163      -7.9898      1.00000
    164      -7.9867      1.00000
    165      -7.9839      1.00000
    166      -7.9830      1.00000
    167      -7.9812      1.00000
    168      -7.9804      1.00000
    169      -7.9791      1.00000
    170      -7.9774      1.00000
    171      -7.9753      1.00000
    172      -7.9731      1.00000
    173      -7.9683      1.00000
    174      -7.9654      1.00000
    175      -7.9648      1.00000
    176      -7.9644      1.00000
    177      -7.9638      1.00000
    178      -7.9624      1.00000
    179      -7.9597      1.00000
    180      -7.9589      1.00000
    181      -7.9588      1.00000
    182      -7.9579      1.00000
    183      -7.9562      1.00000
    184      -7.9510      1.00000
    185      -7.9493      1.00000
    186      -7.9486      1.00000
    187      -7.9451      1.00000
    188      -7.9441      1.00000
    189      -7.9378      1.00000
    190      -7.9293      1.00000
    191      -7.9289      1.00000
    192      -7.9271      1.00000
    193      -7.9264      1.00000
    194      -7.9243      1.00000
    195      -7.9228      1.00000
    196      -7.9208      1.00000
    197      -7.9189      1.00000
    198      -7.9155      1.00000
    199      -7.9125      1.00000
    200      -7.9038      1.00000
    201      -7.8911      1.00000
    202      -7.8169      1.00000
    203      -7.7985      1.00000
    204      -7.7597      1.00000
