
 Fermi energy:         1.7303308398

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.9296      1.00000
      2     -21.9374      1.00000
      3     -19.1379      1.00000
      4     -19.0436      1.00000
      5     -18.7777      1.00000
      6     -18.7409      1.00000
      7     -18.7259      1.00000
      8     -18.6155      1.00000
      9     -18.5397      1.00000
     10     -18.4740      1.00000
     11     -18.4456      1.00000
     12     -18.2401      1.00000
     13     -18.2173      1.00000
     14     -18.2072      1.00000
     15     -18.1905      1.00000
     16     -18.1736      1.00000
     17     -18.1642      1.00000
     18     -18.1590      1.00000
     19     -18.1547      1.00000
     20     -18.1524      1.00000
     21     -18.1340      1.00000
     22     -18.1321      1.00000
     23     -18.1316      1.00000
     24     -18.1209      1.00000
     25     -18.0370      1.00000
     26     -17.9867      1.00000
     27     -17.9708      1.00000
     28     -17.9561      1.00000
     29     -17.9512      1.00000
     30     -17.9452      1.00000
     31     -17.9403      1.00000
     32     -17.9295      1.00000
     33     -17.8324      1.00000
     34     -17.5267      1.00000
     35     -17.2747      1.00000
     36     -17.2637      1.00000
     37     -17.1939      1.00000
     38     -17.1188      1.00000
     39     -17.0936      1.00000
     40     -17.0659      1.00000
     41     -17.0620      1.00000
     42     -17.0562      1.00000
     43     -17.0488      1.00000
     44     -17.0389      1.00000
     45     -17.0383      1.00000
     46     -17.0365      1.00000
     47     -17.0342      1.00000
     48     -17.0340      1.00000
     49     -17.0317      1.00000
     50     -17.0303      1.00000
     51     -17.0128      1.00000
     52     -17.0053      1.00000
     53     -16.8590      1.00000
     54     -16.8582      1.00000
     55     -16.8576      1.00000
     56     -16.8570      1.00000
     57     -16.8566      1.00000
     58     -16.8559      1.00000
     59     -16.7421      1.00000
     60     -16.6880      1.00000
     61     -16.5839      1.00000
     62     -16.5779      1.00000
     63     -16.5726      1.00000
     64     -16.5718      1.00000
     65     -16.5657      1.00000
     66     -16.5551      1.00000
     67     -16.5501      1.00000
     68     -16.5493      1.00000
     69     -16.5491      1.00000
     70     -16.5484      1.00000
     71     -16.5479      1.00000
     72     -16.5456      1.00000
     73     -16.3891      1.00000
     74     -16.3821      1.00000
     75     -16.3794      1.00000
     76     -16.3793      1.00000
     77     -16.3789      1.00000
     78     -16.3781      1.00000
     79     -16.3439      1.00000
     80     -16.2798      1.00000
     81     -15.9999      1.00000
     82     -15.9461      1.00000
     83     -15.8210      1.00000
     84     -15.7840      1.00000
     85     -15.7650      1.00000
     86     -15.7487      1.00000
     87     -15.6559      1.00000
     88     -15.6486      1.00000
     89     -15.6328      1.00000
     90     -15.6027      1.00000
     91     -15.5462      1.00000
     92     -15.4048      1.00000
     93     -15.3994      1.00000
     94     -15.3964      1.00000
     95     -15.3922      1.00000
     96     -15.3908      1.00000
     97     -15.3885      1.00000
     98     -15.3872      1.00000
     99     -15.3832      1.00000
    100     -15.3822      1.00000
    101     -15.3781      1.00000
    102     -15.3770      1.00000
    103     -15.3726      1.00000
    104     -15.3663      1.00000
    105     -15.3657      1.00000
    106     -15.3637      1.00000
    107     -15.3630      1.00000
    108     -15.3557      1.00000
    109     -15.3557      1.00000
    110     -15.3553      1.00000
    111     -15.3553      1.00000
    112     -15.3542      1.00000
    113     -15.3529      1.00000
    114     -15.3444      1.00000
    115     -15.3437      1.00000
    116     -15.2614      1.00000
    117     -15.2612      1.00000
    118     -15.2605      1.00000
    119     -15.2562      1.00000
    120     -15.2559      1.00000
    121     -15.2554      1.00000
    122     -15.2269      1.00000
    123     -15.2261      1.00000
    124     -15.2233      1.00000
    125     -15.2231      1.00000
    126     -15.2215      1.00000
    127     -15.2211      1.00000
    128     -15.2151      1.00000
    129     -15.2149      1.00000
    130     -15.2135      1.00000
    131     -15.2132      1.00000
    132     -15.2110      1.00000
    133     -15.2109      1.00000
    134     -15.1232      1.00000
    135     -15.1232      1.00000
    136     -15.1232      1.00000
    137     -15.0838      1.00000
    138     -15.0765      1.00000
    139     -14.6100      1.00000
    140     -14.6098      1.00000
    141     -14.6096      1.00000
    142     -14.6093      1.00000
    143     -14.4788      1.00000
    144     -14.4788      1.00000
    145     -14.0911      1.00000
    146     -11.2457      1.00000
    147      -9.9268      1.00000
    148      -9.6327      1.00000
    149      -9.4201      1.00000
    150      -9.2110      1.00000
    151      -8.9510      1.00000
    152      -8.9152      1.00000
    153      -8.7964      1.00000
    154      -8.7959      1.00000
    155      -8.7956      1.00000
    156      -8.7946      1.00000
    157      -8.7914      1.00000
    158      -8.7910      1.00000
    159      -8.6979      1.00000
    160      -8.6559      1.00000
    161      -8.6559      1.00000
    162      -8.6557      1.00000
    163      -8.4662      1.00000
    164      -8.3878      1.00000
    165      -8.3692      1.00000
    166      -8.2631      1.00000
    167      -8.2286      1.00000
    168      -8.2140      1.00000
    169      -8.0924      1.00000
    170      -8.0858      1.00000
    171      -7.8721      1.00000
    172      -7.8717      1.00000
    173      -7.8706      1.00000
    174      -7.8705      1.00000
    175      -7.8683      1.00000
    176      -7.8680      1.00000
    177      -7.8677      1.00000
    178      -7.8673      1.00000
    179      -7.8567      1.00000
    180      -7.8557      1.00000
    181      -7.8551      1.00000
    182      -7.8543      1.00000
    183      -7.8510      1.00000
    184      -7.8502      1.00000
    185      -7.8491      1.00000
    186      -7.8481      1.00000
    187      -7.8405      1.00000
    188      -7.8397      1.00000
    189      -7.8392      1.00000
    190      -7.8390      1.00000
    191      -7.8386      1.00000
    192      -7.8383      1.00000
    193      -7.8378      1.00000
    194      -7.8375      1.00000
    195      -7.7676      1.00000
    196      -7.7184      1.00000
    197      -7.7182      1.00000
    198      -7.7178      1.00000
    199      -7.7175      1.00000
    200      -7.7149      1.00000
    201      -7.7145      1.00000
    202      -7.7120      1.00000
    203      -7.7118      1.00000
    204      -7.7092      1.00000
    205      -7.7090      1.00000
    206      -7.7086      1.00000
    207      -7.7085      1.00000
    208      -7.6566      1.00000
    209      -7.6384      1.00000
    210      -7.6324      1.00000
    211      -7.6219      1.00000
    212      -7.6218      1.00000
    213      -7.4689      1.00000
    214      -7.4689      1.00000
    215      -7.4247      1.00000
    216      -7.3212      1.00000
    217      -7.2848      1.00000
    218      -7.1626      1.00000
    219      -7.1058      1.00000
    220      -7.0498      1.00000
    221      -6.8801      1.00000
    222      -6.8799      1.00000
    223      -6.8731      1.00000
    224      -6.8728      1.00000
    225      -6.7447      1.00000
    226      -6.7447      1.00000
    227      -6.6470      1.00000
    228      -6.6333      1.00000
    229      -6.5604      1.00000
    230      -6.5185      1.00000
    231      -6.5173      1.00000
    232      -6.5171      1.00000
    233      -6.5167      1.00000
    234      -6.5160      1.00000
    235      -6.5159      1.00000
    236      -6.5155      1.00000
    237      -6.5154      1.00000
    238      -6.5146      1.00000
    239      -6.5139      1.00000
    240      -6.5123      1.00000
    241      -6.5110      1.00000
    242      -6.3745      1.00000
    243      -6.3744      1.00000
    244      -6.3744      1.00000
    245      -6.3743      1.00000
    246      -6.3742      1.00000
    247      -6.3741      1.00000
    248      -6.1434      1.00000
    249      -5.9790      1.00000
    250      -5.9242      1.00000
    251      -5.9096      1.00000
    252      -5.6685      1.00000
    253      -5.6339      1.00000
    254      -5.5844      1.00000
    255      -5.5556      1.00000
    256      -5.5262      1.00000
    257      -5.4209      1.00000
    258      -5.3758      1.00000
    259      -5.2770      1.00000
    260      -5.2528      1.00000
    261      -5.2153      1.00000
    262      -5.0915      1.00000
    263      -5.0707      1.00000
    264      -5.0535      1.00000
    265      -5.0487      1.00000
    266      -5.0346      1.00000
    267      -4.9856      1.00000
    268      -4.9854      1.00000
    269      -4.9847      1.00000
    270      -4.9844      1.00000
    271      -4.9838      1.00000
    272      -4.9828      1.00000
    273      -4.9757      1.00000
    274      -4.9756      1.00000
    275      -4.9754      1.00000
    276      -4.9753      1.00000
    277      -4.9749      1.00000
    278      -4.9745      1.00000
    279      -4.9324      1.00000
