
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.3484      1.00000
      2     -19.2716      1.00000
      3     -18.9140      1.00000
      4     -18.7843      1.00000
      5     -18.7825      1.00000
      6     -18.6349      1.00000
      7     -18.5626      1.00000
      8     -18.3559      1.00000
      9     -18.3497      1.00000
     10     -18.3403      1.00000
     11     -18.3246      1.00000
     12     -18.2804      1.00000
     13     -18.2669      1.00000
     14     -18.2203      1.00000
     15     -18.2152      1.00000
     16     -18.2133      1.00000
     17     -18.2067      1.00000
     18     -18.1985      1.00000
     19     -18.1926      1.00000
     20     -18.1925      1.00000
     21     -18.1812      1.00000
     22     -18.1773      1.00000
     23     -18.1747      1.00000
     24     -18.0841      1.00000
     25     -18.0740      1.00000
     26     -18.0644      1.00000
     27     -18.0474      1.00000
     28     -18.0462      1.00000
     29     -18.0364      1.00000
     30     -17.6803      1.00000
     31     -17.4996      1.00000
     32     -17.3374      1.00000
     33     -17.3130      1.00000
     34     -17.2631      1.00000
     35     -17.1754      1.00000
     36     -17.1541      1.00000
     37     -17.1490      1.00000
     38     -17.1375      1.00000
     39     -17.1331      1.00000
     40     -17.1208      1.00000
     41     -17.0847      1.00000
     42     -17.0826      1.00000
     43     -17.0802      1.00000
     44     -17.0777      1.00000
     45     -17.0768      1.00000
     46     -17.0747      1.00000
     47     -17.0307      1.00000
     48     -16.9871      1.00000
     49     -16.9843      1.00000
     50     -16.9764      1.00000
     51     -16.9730      1.00000
     52     -16.9661      1.00000
     53     -16.9359      1.00000
     54     -16.8672      1.00000
     55     -16.8460      1.00000
     56     -16.8014      1.00000
     57     -16.7845      1.00000
     58     -16.7647      1.00000
     59     -16.6672      1.00000
     60     -16.6487      1.00000
     61     -16.6477      1.00000
     62     -16.6407      1.00000
     63     -16.6382      1.00000
     64     -16.6311      1.00000
     65     -16.5952      1.00000
     66     -16.5944      1.00000
     67     -16.5924      1.00000
     68     -16.5919      1.00000
     69     -16.5910      1.00000
     70     -16.5909      1.00000
     71     -16.5202      1.00000
     72     -16.5000      1.00000
     73     -16.4993      1.00000
     74     -16.4963      1.00000
     75     -16.4962      1.00000
     76     -16.4921      1.00000
     77     -16.3861      1.00000
     78     -16.0851      1.00000
     79     -15.8868      1.00000
     80     -15.8081      1.00000
     81     -15.6826      1.00000
     82     -15.6474      1.00000
     83     -15.5306      1.00000
     84     -15.5215      1.00000
     85     -15.5131      1.00000
     86     -15.5103      1.00000
     87     -15.4938      1.00000
     88     -15.4817      1.00000
     89     -15.4603      1.00000
     90     -15.4566      1.00000
     91     -15.4557      1.00000
     92     -15.4500      1.00000
     93     -15.4441      1.00000
     94     -15.4433      1.00000
     95     -15.4345      1.00000
     96     -15.4336      1.00000
     97     -15.4312      1.00000
     98     -15.4281      1.00000
     99     -15.4281      1.00000
    100     -15.4258      1.00000
    101     -15.4200      1.00000
    102     -15.4187      1.00000
    103     -15.4174      1.00000
    104     -15.4155      1.00000
    105     -15.4136      1.00000
    106     -15.4120      1.00000
    107     -15.4043      1.00000
    108     -15.4010      1.00000
    109     -15.4005      1.00000
    110     -15.3996      1.00000
    111     -15.3973      1.00000
    112     -15.3963      1.00000
    113     -15.3961      1.00000
    114     -15.3844      1.00000
    115     -15.3779      1.00000
    116     -15.3610      1.00000
    117     -15.3588      1.00000
    118     -15.3561      1.00000
    119     -15.3555      1.00000
    120     -15.3512      1.00000
    121     -15.3494      1.00000
    122     -15.3424      1.00000
    123     -15.3422      1.00000
    124     -15.3408      1.00000
    125     -15.3376      1.00000
    126     -15.3365      1.00000
    127     -15.3337      1.00000
    128     -15.3158      1.00000
    129     -15.3149      1.00000
    130     -15.3136      1.00000
    131     -15.3027      1.00000
    132     -15.3014      1.00000
    133     -15.3011      1.00000
    134     -15.2653      1.00000
    135     -15.2650      1.00000
    136     -15.2646      1.00000
    137     -14.8301      1.00000
    138     -14.8216      1.00000
    139     -14.6539      1.00000
    140     -14.6535      1.00000
    141     -14.6534      1.00000
    142     -14.6530      1.00000
    143     -14.6371      1.00000
    144     -14.6371      1.00000
    145     -11.3250      1.00000
    146     -10.0520      1.00000
    147      -9.3636      1.00000
    148      -8.8585      1.00000
    149      -8.8528      1.00000
    150      -8.8526      1.00000
    151      -8.8427      1.00000
    152      -8.8405      1.00000
    153      -8.8403      1.00000
    154      -8.8196      1.00000
    155      -8.8042      1.00000
    156      -8.8038      1.00000
    157      -8.7920      1.00000
    158      -8.6915      1.00000
    159      -8.6671      1.00000
    160      -8.2904      1.00000
    161      -8.2381      1.00000
    162      -8.2164      1.00000
    163      -8.1485      1.00000
    164      -8.0482      1.00000
    165      -8.0418      1.00000
    166      -8.0330      1.00000
    167      -7.9719      1.00000
    168      -7.9710      1.00000
    169      -7.9240      1.00000
    170      -7.9207      1.00000
    171      -7.9192      1.00000
    172      -7.9163      1.00000
    173      -7.9152      1.00000
    174      -7.9151      1.00000
    175      -7.9133      1.00000
    176      -7.9108      1.00000
    177      -7.9096      1.00000
    178      -7.9095      1.00000
    179      -7.9075      1.00000
    180      -7.9071      1.00000
    181      -7.9060      1.00000
    182      -7.9057      1.00000
    183      -7.9046      1.00000
    184      -7.9038      1.00000
    185      -7.8996      1.00000
    186      -7.8972      1.00000
    187      -7.8962      1.00000
    188      -7.8946      1.00000
    189      -7.8889      1.00000
    190      -7.8884      1.00000
    191      -7.8881      1.00000
    192      -7.8872      1.00000
    193      -7.8637      1.00000
    194      -7.8627      1.00000
    195      -7.8626      1.00000
    196      -7.8599      1.00000
    197      -7.8594      1.00000
    198      -7.8590      1.00000
    199      -7.8546      1.00000
    200      -7.8536      1.00000
    201      -7.8525      1.00000
    202      -7.8519      1.00000
    203      -7.8518      1.00000
    204      -7.8511      1.00000
    205      -7.8338      1.00000
    206      -7.8326      1.00000
    207      -7.7061      1.00000
    208      -7.7051      1.00000
    209      -7.6677      1.00000
    210      -7.6676      1.00000
    211      -7.5964      1.00000
    212      -7.5957      1.00000
    213      -7.2867      1.00000
    214      -7.2417      1.00000
    215      -7.0422      1.00000
    216      -6.9543      1.00000
    217      -6.9261      1.00000
    218      -6.9247      1.00000
    219      -6.9205      1.00000
    220      -6.9181      1.00000
    221      -6.9177      1.00000
    222      -6.9040      1.00000
    223      -6.9037      1.00000
    224      -6.8690      1.00000
    225      -6.7872      1.00000
    226      -6.7739      1.00000
    227      -6.5791      1.00000
    228      -6.5783      1.00000
    229      -6.5777      1.00000
    230      -6.5769      1.00000
    231      -6.5768      1.00000
    232      -6.5754      1.00000
    233      -6.5690      1.00000
    234      -6.5620      1.00000
    235      -6.5613      1.00000
    236      -6.5612      1.00000
    237      -6.5601      1.00000
    238      -6.5599      1.00000
    239      -6.5171      1.00000
    240      -6.5162      1.00000
    241      -6.5161      1.00000
    242      -6.5152      1.00000
    243      -6.5152      1.00000
    244      -6.5143      1.00000
    245      -6.4337      1.00000
    246      -6.1816      1.00000
    247      -5.9097      1.00000
    248      -5.8046      1.00000
    249      -5.6457      1.00000
    250      -5.5289      1.00000
    251      -5.3149      1.00000
    252      -5.3118      1.00000
    253      -5.2512      1.00000
    254      -5.1834      1.00000
    255      -5.1330      1.00000
    256      -5.1315      1.00000
    257      -5.0337      1.00000
    258      -5.0303      1.00000
    259      -5.0299      1.00000
    260      -5.0296      1.00000
    261      -5.0291      1.00000
    262      -5.0278      1.00000
    263      -5.0274      1.00000
    264      -5.0235      1.00000
    265      -5.0226      1.00000
    266      -5.0226      1.00000
    267      -5.0221      1.00000
    268      -5.0208      1.00000
    269      -5.0206      1.00000
    270      -5.0038      1.00000
    271      -5.0038      1.00000
    272      -5.0035      1.00000
    273      -5.0030      1.00000
    274      -5.0027      1.00000
    275      -5.0026      1.00000
    276      -4.9733      1.00000
    277      -4.9658      1.00000
    278      -4.9337      1.00000
    279      -4.9202      1.00000
    280      -4.8977      1.00000
    281      -4.8962      1.00000
    282      -4.8910      1.00000
    283      -4.8810      1.00000
    284      -4.8554      1.00000
    285      -4.8500      1.00000
    286      -4.8431      1.00000
    287      -4.8331      1.00000
    288      -4.8057      1.00000
    289      -4.8044      1.00000
    290      -4.8044      1.00000
    291      -4.8006      1.00000
    292      -4.7988      1.00000
    293      -4.7974      1.00000
    294      -4.7944      1.00000
    295      -4.7933      1.00000
    296      -4.7916      1.00000
    297      -4.7913      1.00000
    298      -4.7883      1.00000
    299      -4.7882      1.00000
    300      -4.7877      1.00000
    301      -4.7862      1.00000
    302      -4.7853      1.00000
    303      -4.7828      1.00000
    304      -4.7825      1.00000
    305      -4.7807      1.00000
    306      -4.7806      1.00000
    307      -4.7753      1.00000
    308      -4.7743      1.00000
    309      -4.7706      1.00000
    310      -4.7690      1.00000
    311      -4.7682      1.00000
    312      -4.7663      1.00000
    313      -4.7474      1.00000
    314      -4.7466      1.00000
    315      -4.7454      1.00000
    316      -4.7435      1.00000
    317      -4.7432      1.00000
    318      -4.7425      1.00000
    319      -4.7352      1.00000
    320      -4.7351      1.00000
    321      -4.7334      1.00000
    322      -4.7332      1.00000
    323      -4.7311      1.00000
    324      -4.7299      1.00000
    325      -4.7245      1.00000
    326      -4.5654      1.00000
    327      -4.0764      1.00000
    328      -4.0707      1.00000
    329      -4.0390      1.00000
    330      -4.0054      1.00000
    331      -3.9563      1.00000
    332      -3.9384      1.00000
    333      -3.9334      1.00000
    334      -3.9218      1.00000
    335      -3.9186      1.00000
    336      -3.9166      1.00000
    337      -3.9094      1.00000
    338      -3.9048      1.00000
    339      -3.9000      1.00000
    340      -3.8524      1.00000
    341      -3.7011      1.00000
    342      -3.6292      1.00000
    343      -3.5774      1.00000
    344      -3.4881      1.00000
    345      -3.4867      1.00000
    346      -3.4830      1.00000
    347      -3.4769      1.00000
    348      -3.4672      1.00000
    349      -3.4654      1.00000
    350      -3.4608      1.00000
    351      -3.4595      1.00000
    352      -3.4575      1.00000
    353      -3.4357      1.00000
    354      -3.4304      1.00000
    355      -3.4248      1.00000
    356      -3.4237      1.00000
    357      -3.4160      1.00000
    358      -3.3715      1.00000
    359      -3.3364      1.00000
    360      -3.2921      1.00000
    361      -3.2921      1.00000
    362      -3.2781      1.00000
    363      -3.2155      1.00000
    364      -3.2154      1.00000
    365      -3.2141      1.00000
    366      -3.2134      1.00000
    367      -3.2130      1.00000
    368      -3.2124      1.00000
    369      -3.2092      1.00000
    370      -3.2089      1.00000
    371      -3.2075      1.00000
    372      -3.2069      1.00000
    373      -3.2066      1.00000
    374      -3.2053      1.00000
    375      -3.1741      1.00000
    376      -3.1740      1.00000
    377      -3.1726      1.00000
    378      -3.1725      1.00000
    379      -3.1719      1.00000
    380      -3.1716      1.00000
    381      -3.1054      1.00000
    382      -3.0816      1.00000
    383      -3.0794      1.00000
    384      -3.0397      1.00000
    385      -3.0134      1.00000
    386      -3.0027      1.00000
    387      -2.9847      1.00000
    388      -2.8736      1.00000
    389      -2.8665      1.00000
    390      -2.8475      1.00000
    391      -2.8469      1.00000
    392      -2.8466      1.00000
    393      -2.8458      1.00000
    394      -2.8455      1.00000
    395      -2.8407      1.00000
    396      -2.8380      1.00000
    397      -2.8345      1.00000
    398      -2.8338      1.00000
    399      -2.8332      1.00000
    400      -2.8325      1.00000
    401      -2.8319      1.00000
    402      -2.8299      1.00000
    403      -2.8239      1.00000
    404      -2.8002      1.00000
    405      -2.7999      1.00000
    406      -2.7997      1.00000
    407      -2.7997      1.00000
    408      -2.7992      1.00000
    409      -2.7982      1.00000
    410      -2.7781      1.00000
    411      -2.7254      1.00000
    412      -2.7099      1.00000
