
 Fermi energy:         3.5189512419

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -19.6451      1.00000
      2     -19.1046      1.00000
      3     -18.9184      1.00000
      4     -18.8742      1.00000
      5     -18.5616      1.00000
      6     -18.5341      1.00000
      7     -18.5228      1.00000
      8     -18.5186      1.00000
      9     -18.4932      1.00000
     10     -18.4916      1.00000
     11     -18.4698      1.00000
     12     -18.3672      1.00000
     13     -18.3529      1.00000
     14     -18.3505      1.00000
     15     -18.3439      1.00000
     16     -18.3250      1.00000
     17     -18.3133      1.00000
     18     -18.3048      1.00000
     19     -18.2945      1.00000
     20     -18.2623      1.00000
     21     -18.2570      1.00000
     22     -18.2450      1.00000
     23     -18.2027      1.00000
     24     -18.1596      1.00000
     25     -18.0978      1.00000
     26     -18.0475      1.00000
     27     -17.8701      1.00000
     28     -17.7481      1.00000
     29     -17.3866      1.00000
     30     -17.3859      1.00000
     31     -17.3845      1.00000
     32     -17.3824      1.00000
     33     -17.3812      1.00000
     34     -17.3788      1.00000
     35     -17.2573      1.00000
     36     -17.2172      1.00000
     37     -17.2153      1.00000
     38     -17.2133      1.00000
     39     -17.2069      1.00000
     40     -17.2063      1.00000
     41     -17.2054      1.00000
     42     -17.1994      1.00000
     43     -17.1952      1.00000
     44     -17.1849      1.00000
     45     -17.1812      1.00000
     46     -17.1697      1.00000
     47     -17.1244      1.00000
     48     -17.0276      1.00000
     49     -16.9607      1.00000
     50     -16.8987      1.00000
     51     -16.8904      1.00000
     52     -16.8898      1.00000
     53     -16.8886      1.00000
     54     -16.8873      1.00000
     55     -16.8853      1.00000
     56     -16.8783      1.00000
     57     -16.8681      1.00000
     58     -16.7913      1.00000
     59     -16.7281      1.00000
     60     -16.7237      1.00000
     61     -16.7222      1.00000
     62     -16.7179      1.00000
     63     -16.7171      1.00000
     64     -16.7149      1.00000
     65     -16.7122      1.00000
     66     -16.7074      1.00000
     67     -16.6994      1.00000
     68     -16.6954      1.00000
     69     -16.6840      1.00000
     70     -16.6652      1.00000
     71     -16.5790      1.00000
     72     -16.5111      1.00000
     73     -16.3755      1.00000
     74     -16.3544      1.00000
     75     -16.1979      1.00000
     76     -15.9114      1.00000
     77     -15.7008      1.00000
     78     -15.7002      1.00000
     79     -15.6985      1.00000
     80     -15.6975      1.00000
     81     -15.6929      1.00000
     82     -15.6925      1.00000
     83     -15.6816      1.00000
     84     -15.6800      1.00000
     85     -15.6764      1.00000
     86     -15.6751      1.00000
     87     -15.6710      1.00000
     88     -15.6700      1.00000
     89     -15.6549      1.00000
     90     -15.5835      1.00000
     91     -15.5814      1.00000
     92     -15.5761      1.00000
     93     -15.5727      1.00000
     94     -15.5706      1.00000
     95     -15.5706      1.00000
     96     -15.5704      1.00000
     97     -15.5691      1.00000
     98     -15.5680      1.00000
     99     -15.5634      1.00000
    100     -15.5615      1.00000
    101     -15.5606      1.00000
    102     -15.5562      1.00000
    103     -15.5539      1.00000
    104     -15.5489      1.00000
    105     -15.5319      1.00000
    106     -15.5273      1.00000
    107     -15.5261      1.00000
    108     -15.5233      1.00000
    109     -15.5198      1.00000
    110     -15.5165      1.00000
    111     -15.5137      1.00000
    112     -15.5112      1.00000
    113     -15.5078      1.00000
    114     -15.5012      1.00000
    115     -15.4974      1.00000
    116     -15.4888      1.00000
    117     -15.4605      1.00000
    118     -15.4351      1.00000
    119     -15.4187      1.00000
    120     -15.4098      1.00000
    121     -15.4073      1.00000
    122     -15.4064      1.00000
    123     -15.4014      1.00000
    124     -15.3903      1.00000
    125     -15.3860      1.00000
    126     -15.3384      1.00000
    127     -15.3108      1.00000
    128     -15.2878      1.00000
    129     -15.2728      1.00000
    130     -15.2196      1.00000
    131     -15.1566      1.00000
    132     -15.0871      1.00000
    133     -15.0222      1.00000
    134     -14.9136      1.00000
    135     -14.9135      1.00000
    136     -14.8974      1.00000
    137     -14.7778      1.00000
    138     -14.7775      1.00000
    139     -14.7762      1.00000
    140     -14.7759      1.00000
    141     -14.6759      1.00000
    142     -14.5443      1.00000
    143     -13.9520      1.00000
    144     -13.5974      1.00000
    145      -9.4548      1.00000
    146      -9.1018      1.00000
    147      -9.1018      1.00000
    148      -9.1017      1.00000
    149      -8.9728      1.00000
    150      -8.9720      1.00000
