
 Fermi energy:         1.4009248043

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -21.0455      1.00000
      2     -19.0562      1.00000
      3     -19.0002      1.00000
      4     -18.7074      1.00000
      5     -18.6995      1.00000
      6     -18.6357      1.00000
      7     -18.5774      1.00000
      8     -18.4767      1.00000
      9     -18.4539      1.00000
     10     -18.4526      1.00000
     11     -18.4502      1.00000
     12     -18.4487      1.00000
     13     -18.4434      1.00000
     14     -18.4272      1.00000
     15     -18.3789      1.00000
     16     -18.3179      1.00000
     17     -18.1346      1.00000
     18     -18.1267      1.00000
     19     -18.1131      1.00000
     20     -18.1077      1.00000
     21     -18.1073      1.00000
     22     -18.1000      1.00000
     23     -18.0947      1.00000
     24     -18.0833      1.00000
     25     -18.0656      1.00000
     26     -18.0567      1.00000
     27     -18.0402      1.00000
     28     -18.0285      1.00000
     29     -17.8790      1.00000
     30     -17.6952      1.00000
     31     -17.5778      1.00000
     32     -17.4607      1.00000
     33     -17.3976      1.00000
     34     -17.3678      1.00000
     35     -17.3671      1.00000
     36     -17.3602      1.00000
     37     -17.3055      1.00000
     38     -17.3038      1.00000
     39     -17.3019      1.00000
     40     -17.2434      1.00000
     41     -17.0732      1.00000
     42     -17.0218      1.00000
     43     -17.0079      1.00000
     44     -17.0062      1.00000
     45     -17.0054      1.00000
     46     -17.0042      1.00000
     47     -17.0026      1.00000
     48     -16.9988      1.00000
     49     -16.9964      1.00000
     50     -16.9734      1.00000
     51     -16.9668      1.00000
     52     -16.9548      1.00000
     53     -16.9517      1.00000
     54     -16.9373      1.00000
     55     -16.9173      1.00000
     56     -16.9084      1.00000
     57     -16.9059      1.00000
     58     -16.8934      1.00000
     59     -16.8429      1.00000
     60     -16.8370      1.00000
     61     -16.8327      1.00000
     62     -16.7957      1.00000
     63     -16.7946      1.00000
     64     -16.7640      1.00000
     65     -16.5198      1.00000
     66     -16.5193      1.00000
     67     -16.5180      1.00000
     68     -16.5150      1.00000
     69     -16.5138      1.00000
     70     -16.5114      1.00000
     71     -16.5000      1.00000
     72     -16.4978      1.00000
     73     -16.4877      1.00000
     74     -16.4838      1.00000
     75     -16.4803      1.00000
     76     -16.4778      1.00000
     77     -16.3426      1.00000
     78     -16.2246      1.00000
     79     -15.9981      1.00000
     80     -15.9416      1.00000
     81     -15.7710      1.00000
     82     -15.7008      1.00000
     83     -15.7003      1.00000
     84     -15.6986      1.00000
     85     -15.6958      1.00000
     86     -15.6954      1.00000
     87     -15.6931      1.00000
     88     -15.6917      1.00000
     89     -15.6821      1.00000
     90     -15.6500      1.00000
     91     -15.6319      1.00000
     92     -15.6309      1.00000
     93     -15.6277      1.00000
     94     -15.6276      1.00000
     95     -15.6245      1.00000
     96     -15.6237      1.00000
     97     -15.5853      1.00000
     98     -15.5541      1.00000
     99     -15.5536      1.00000
    100     -15.5535      1.00000
    101     -15.5510      1.00000
    102     -15.5387      1.00000
    103     -15.5094      1.00000
    104     -15.4628      1.00000
    105     -15.4205      1.00000
    106     -15.3806      1.00000
    107     -15.3551      1.00000
    108     -15.3533      1.00000
    109     -15.3476      1.00000
    110     -15.3443      1.00000
    111     -15.3421      1.00000
    112     -15.3390      1.00000
    113     -15.3364      1.00000
    114     -15.3355      1.00000
    115     -15.3333      1.00000
    116     -15.3308      1.00000
    117     -15.3287      1.00000
    118     -15.3238      1.00000
    119     -15.3231      1.00000
    120     -15.3229      1.00000
    121     -15.3210      1.00000
    122     -15.3198      1.00000
    123     -15.3188      1.00000
    124     -15.3177      1.00000
    125     -15.3172      1.00000
    126     -15.3159      1.00000
    127     -15.3089      1.00000
    128     -15.3042      1.00000
    129     -15.3024      1.00000
    130     -15.2956      1.00000
    131     -15.2274      1.00000
    132     -15.2251      1.00000
    133     -15.2244      1.00000
    134     -15.2222      1.00000
    135     -15.2201      1.00000
    136     -15.2190      1.00000
    137     -14.9433      1.00000
    138     -14.9163      1.00000
    139     -14.8716      1.00000
    140     -14.8633      1.00000
    141     -14.5790      1.00000
    142     -14.5783      1.00000
    143     -14.5777      1.00000
    144     -14.5771      1.00000
    145     -10.5589      1.00000
    146      -9.3059      1.00000
    147      -9.0445      1.00000
    148      -9.0438      1.00000
    149      -9.0437      1.00000
    150      -9.0418      1.00000
    151      -8.8358      1.00000
    152      -8.7630      1.00000
    153      -8.7622      1.00000
    154      -8.7613      1.00000
    155      -8.7590      1.00000
    156      -8.7539      1.00000
    157      -8.7488      1.00000
    158      -8.7044      1.00000
    159      -8.5505      1.00000
    160      -8.2963      1.00000
    161      -8.2281      1.00000
    162      -8.2076      1.00000
    163      -8.1386      1.00000
    164      -8.1162      1.00000
    165      -8.1155      1.00000
    166      -8.1150      1.00000
    167      -8.1147      1.00000
    168      -8.1143      1.00000
    169      -8.1135      1.00000
    170      -8.1034      1.00000
    171      -8.1032      1.00000
    172      -8.1028      1.00000
    173      -8.1023      1.00000
    174      -8.1020      1.00000
    175      -8.1018      1.00000
    176      -8.0849      1.00000
    177      -8.0821      1.00000
    178      -8.0532      1.00000
    179      -7.9911      1.00000
    180      -7.9211      1.00000
    181      -7.8927      1.00000
    182      -7.8895      1.00000
    183      -7.8502      1.00000
    184      -7.8367      1.00000
    185      -7.8325      1.00000
    186      -7.8288      1.00000
    187      -7.8276      1.00000
    188      -7.8275      1.00000
    189      -7.8236      1.00000
    190      -7.8213      1.00000
    191      -7.8208      1.00000
    192      -7.8198      1.00000
    193      -7.8194      1.00000
    194      -7.8180      1.00000
    195      -7.8162      1.00000
    196      -7.8126      1.00000
    197      -7.8107      1.00000
    198      -7.8106      1.00000
    199      -7.8103      1.00000
    200      -7.8102      1.00000
    201      -7.8085      1.00000
    202      -7.8065      1.00000
    203      -7.8061      1.00000
    204      -7.8027      1.00000
    205      -7.8009      1.00000
    206      -7.7993      1.00000
    207      -7.7939      1.00000
    208      -7.6286      1.00000
    209      -7.5884      1.00000
    210      -7.5883      1.00000
    211      -7.5687      1.00000
    212      -7.5651      1.00000
    213      -7.3464      1.00000
    214      -7.1621      1.00000
    215      -7.1274      1.00000
    216      -7.1271      1.00000
    217      -7.0539      1.00000
    218      -6.9972      1.00000
    219      -6.8937      1.00000
    220      -6.8618      1.00000
    221      -6.8476      1.00000
    222      -6.8469      1.00000
    223      -6.8403      1.00000
    224      -6.8396      1.00000
    225      -6.7910      1.00000
    226      -6.7909      1.00000
    227      -6.7797      1.00000
    228      -6.7796      1.00000
    229      -6.7613      1.00000
    230      -6.7609      1.00000
    231      -6.7384      1.00000
    232      -6.4862      1.00000
    233      -6.4846      1.00000
    234      -6.4840      1.00000
    235      -6.4834      1.00000
    236      -6.4817      1.00000
    237      -6.4810      1.00000
    238      -6.4759      1.00000
    239      -6.4738      1.00000
    240      -6.4732      1.00000
    241      -6.4722      1.00000
    242      -6.4707      1.00000
    243      -6.4683      1.00000
    244      -6.3192      1.00000
    245      -6.0377      1.00000
    246      -5.9519      1.00000
    247      -5.8558      1.00000
    248      -5.6479      1.00000
    249      -5.5129      1.00000
    250      -5.4124      1.00000
    251      -5.3485      1.00000
    252      -5.3334      1.00000
    253      -5.2821      1.00000
    254      -5.2651      1.00000
    255      -5.2650      1.00000
    256      -5.2645      1.00000
    257      -5.2292      1.00000
    258      -5.2290      1.00000
    259      -5.2289      1.00000
    260      -5.2027      1.00000
    261      -5.1181      1.00000
    262      -5.0949      1.00000
    263      -5.0672      1.00000
    264      -5.0547      1.00000
    265      -5.0071      1.00000
    266      -5.0064      1.00000
    267      -5.0061      1.00000
    268      -5.0055      1.00000
    269      -5.0050      1.00000
    270      -5.0045      1.00000
    271      -4.9945      1.00000
    272      -4.9940      1.00000
    273      -4.9934      1.00000
    274      -4.9929      1.00000
    275      -4.9921      1.00000
    276      -4.9921      1.00000
    277      -4.9851      1.00000
    278      -4.9543      1.00000
    279      -4.9529      1.00000
    280      -4.9526      1.00000
    281      -4.9520      1.00000
    282      -4.9516      1.00000
    283      -4.9514      1.00000
    284      -4.9510      1.00000
    285      -4.9442      1.00000
    286      -4.9423      1.00000
    287      -4.9422      1.00000
    288      -4.9421      1.00000
    289      -4.9418      1.00000
    290      -4.9408      1.00000
    291      -4.9403      1.00000
    292      -4.9354      1.00000
    293      -4.9265      1.00000
    294      -4.9255      1.00000
    295      -4.9193      1.00000
    296      -4.9065      1.00000
    297      -4.8845      1.00000
    298      -4.7618      1.00000
    299      -4.7258      1.00000
    300      -4.7178      1.00000
    301      -4.7138      1.00000
    302      -4.7125      1.00000
    303      -4.7103      1.00000
    304      -4.7101      1.00000
    305      -4.7067      1.00000
    306      -4.7037      1.00000
    307      -4.7032      1.00000
    308      -4.7022      1.00000
    309      -4.7005      1.00000
    310      -4.6992      1.00000
    311      -4.6982      1.00000
    312      -4.6949      1.00000
    313      -4.6937      1.00000
    314      -4.6925      1.00000
    315      -4.6914      1.00000
    316      -4.6908      1.00000
    317      -4.6895      1.00000
    318      -4.6886      1.00000
    319      -4.6866      1.00000
    320      -4.6833      1.00000
    321      -4.6820      1.00000
    322      -4.6784      1.00000
    323      -4.6781      1.00000
    324      -4.6562      1.00000
    325      -4.5426      1.00000
    326      -4.2971      1.00000
    327      -4.1728      1.00000
    328      -4.1572      1.00000
    329      -4.0986      1.00000
    330      -4.0902      1.00000
    331      -4.0705      1.00000
    332      -4.0483      1.00000
    333      -3.8945      1.00000
    334      -3.8851      1.00000
    335      -3.8707      1.00000
    336      -3.8531      1.00000
    337      -3.8428      1.00000
    338      -3.8395      1.00000
    339      -3.8289      1.00000
    340      -3.7573      1.00000
    341      -3.6994      1.00000
    342      -3.6877      1.00000
    343      -3.6876      1.00000
    344      -3.6874      1.00000
    345      -3.6641      1.00000
    346      -3.6483      1.00000
    347      -3.5710      1.00000
    348      -3.5593      1.00000
    349      -3.4452      1.00000
    350      -3.4449      1.00000
    351      -3.4448      1.00000
    352      -3.4105      1.00000
    353      -3.4104      1.00000
