
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -20.2791      1.00000
      2     -18.9543      1.00000
      3     -18.8306      1.00000
      4     -18.7867      1.00000
      5     -18.6575      1.00000
      6     -18.5077      1.00000
      7     -18.3999      1.00000
      8     -18.3635      1.00000
      9     -18.3533      1.00000
     10     -18.3506      1.00000
     11     -18.3298      1.00000
     12     -18.3160      1.00000
     13     -18.2689      1.00000
     14     -18.2540      1.00000
     15     -18.2503      1.00000
     16     -18.2411      1.00000
     17     -18.2316      1.00000
     18     -18.2225      1.00000
     19     -18.2162      1.00000
     20     -18.2149      1.00000
     21     -18.2070      1.00000
     22     -18.1988      1.00000
     23     -18.1351      1.00000
     24     -18.1283      1.00000
     25     -18.1102      1.00000
     26     -18.0785      1.00000
     27     -18.0706      1.00000
     28     -18.0630      1.00000
     29     -17.6187      1.00000
     30     -17.5939      1.00000
     31     -17.2801      1.00000
     32     -17.2534      1.00000
     33     -17.2290      1.00000
     34     -17.2215      1.00000
     35     -17.2087      1.00000
     36     -17.2051      1.00000
     37     -17.1663      1.00000
     38     -17.1428      1.00000
     39     -17.1294      1.00000
     40     -17.1288      1.00000
     41     -17.1257      1.00000
     42     -17.1253      1.00000
     43     -17.1239      1.00000
     44     -17.1228      1.00000
     45     -17.0907      1.00000
     46     -17.0709      1.00000
     47     -17.0439      1.00000
     48     -17.0381      1.00000
     49     -17.0187      1.00000
     50     -17.0103      1.00000
     51     -16.9774      1.00000
     52     -16.9560      1.00000
     53     -16.8817      1.00000
     54     -16.8208      1.00000
     55     -16.7667      1.00000
     56     -16.7390      1.00000
     57     -16.7339      1.00000
     58     -16.7173      1.00000
     59     -16.7054      1.00000
     60     -16.6950      1.00000
     61     -16.6680      1.00000
     62     -16.6411      1.00000
     63     -16.6406      1.00000
     64     -16.6396      1.00000
     65     -16.6389      1.00000
     66     -16.6383      1.00000
     67     -16.6368      1.00000
     68     -16.6305      1.00000
     69     -16.6173      1.00000
     70     -16.5692      1.00000
     71     -16.5568      1.00000
     72     -16.5509      1.00000
     73     -16.5409      1.00000
     74     -16.5250      1.00000
     75     -16.5178      1.00000
     76     -16.3666      1.00000
     77     -16.0693      1.00000
     78     -15.7580      1.00000
     79     -15.6700      1.00000
     80     -15.5889      1.00000
     81     -15.5528      1.00000
     82     -15.5427      1.00000
     83     -15.5286      1.00000
     84     -15.5158      1.00000
     85     -15.5129      1.00000
     86     -15.5076      1.00000
     87     -15.5071      1.00000
     88     -15.5053      1.00000
     89     -15.5026      1.00000
     90     -15.4985      1.00000
     91     -15.4965      1.00000
     92     -15.4936      1.00000
     93     -15.4854      1.00000
     94     -15.4780      1.00000
     95     -15.4754      1.00000
     96     -15.4710      1.00000
     97     -15.4691      1.00000
     98     -15.4689      1.00000
     99     -15.4649      1.00000
    100     -15.4607      1.00000
    101     -15.4600      1.00000
    102     -15.4539      1.00000
    103     -15.4534      1.00000
    104     -15.4452      1.00000
    105     -15.4450      1.00000
    106     -15.4438      1.00000
    107     -15.4424      1.00000
    108     -15.4421      1.00000
    109     -15.4411      1.00000
