
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -20.0494      1.00000
      2     -19.0474      1.00000
      3     -18.8672      1.00000
      4     -18.7980      1.00000
      5     -18.7696      1.00000
      6     -18.6217      1.00000
      7     -18.5661      1.00000
      8     -18.5365      1.00000
      9     -18.5200      1.00000
     10     -18.4513      1.00000
     11     -18.2449      1.00000
     12     -18.2246      1.00000
     13     -18.2175      1.00000
     14     -18.1970      1.00000
     15     -18.1919      1.00000
     16     -18.1900      1.00000
     17     -18.1875      1.00000
     18     -18.1861      1.00000
     19     -18.1754      1.00000
     20     -18.1626      1.00000
     21     -18.1618      1.00000
     22     -18.1513      1.00000
     23     -18.0062      1.00000
     24     -17.9898      1.00000
     25     -17.9896      1.00000
     26     -17.9757      1.00000
     27     -17.9749      1.00000
     28     -17.9683      1.00000
     29     -17.9393      1.00000
     30     -17.7435      1.00000
     31     -17.5772      1.00000
     32     -17.5678      1.00000
     33     -17.4780      1.00000
     34     -17.3072      1.00000
     35     -17.1368      1.00000
     36     -17.1301      1.00000
     37     -17.1007      1.00000
     38     -17.0981      1.00000
     39     -17.0871      1.00000
     40     -17.0786      1.00000
     41     -17.0679      1.00000
     42     -17.0660      1.00000
     43     -17.0652      1.00000
     44     -17.0647      1.00000
     45     -17.0644      1.00000
     46     -17.0641      1.00000
     47     -17.0634      1.00000
     48     -17.0610      1.00000
     49     -17.0419      1.00000
     50     -16.9988      1.00000
     51     -16.9861      1.00000
     52     -16.8850      1.00000
     53     -16.8849      1.00000
     54     -16.8849      1.00000
     55     -16.8847      1.00000
     56     -16.8845      1.00000
     57     -16.8834      1.00000
     58     -16.7721      1.00000
     59     -16.6056      1.00000
     60     -16.6044      1.00000
     61     -16.6000      1.00000
     62     -16.5992      1.00000
     63     -16.5983      1.00000
     64     -16.5840      1.00000
     65     -16.5788      1.00000
     66     -16.5783      1.00000
     67     -16.5781      1.00000
     68     -16.5775      1.00000
     69     -16.5771      1.00000
     70     -16.5760      1.00000
     71     -16.4098      1.00000
     72     -16.4081      1.00000
     73     -16.4071      1.00000
     74     -16.4069      1.00000
     75     -16.4067      1.00000
     76     -16.4056      1.00000
     77     -16.3461      1.00000
     78     -16.2087      1.00000
     79     -16.0708      1.00000
     80     -15.9562      1.00000
     81     -15.9192      1.00000
     82     -15.7987      1.00000
