
 Fermi energy:         1.6324198053

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -18.9684      1.00000
      2     -18.8283      1.00000
      3     -18.8172      1.00000
      4     -18.6684      1.00000
      5     -18.3778      1.00000
      6     -18.3778      1.00000
      7     -18.3761      1.00000
      8     -18.3702      1.00000
      9     -18.3702      1.00000
     10     -18.3436      1.00000
     11     -18.2455      1.00000
     12     -18.2455      1.00000
     13     -18.2424      1.00000
     14     -18.2362      1.00000
     15     -18.2349      1.00000
     16     -18.2349      1.00000
     17     -18.2340      1.00000
     18     -18.2337      1.00000
     19     -18.2337      1.00000
     20     -18.2312      1.00000
     21     -18.2311      1.00000
     22     -18.1530      1.00000
     23     -18.0939      1.00000
     24     -18.0939      1.00000
     25     -18.0927      1.00000
     26     -18.0874      1.00000
     27     -18.0874      1.00000
     28     -17.9242      1.00000
     29     -17.2499      1.00000
     30     -17.2448      1.00000
     31     -17.2448      1.00000
     32     -17.2367      1.00000
     33     -17.2367      1.00000
     34     -17.2181      1.00000
     35     -17.1375      1.00000
     36     -17.1289      1.00000
     37     -17.1289      1.00000
     38     -17.1250      1.00000
     39     -17.1247      1.00000
     40     -17.1247      1.00000
     41     -17.1242      1.00000
     42     -17.1242      1.00000
     43     -17.1238      1.00000
     44     -17.1114      1.00000
     45     -17.1114      1.00000
     46     -17.0593      1.00000
     47     -17.0062      1.00000
     48     -17.0028      1.00000
     49     -17.0028      1.00000
     50     -16.9939      1.00000
     51     -16.9939      1.00000
     52     -16.9274      1.00000
     53     -16.7467      1.00000
     54     -16.7467      1.00000
     55     -16.7447      1.00000
     56     -16.7377      1.00000
     57     -16.7376      1.00000
     58     -16.7132      1.00000
     59     -16.6431      1.00000
     60     -16.6431      1.00000
     61     -16.6391      1.00000
     62     -16.6388      1.00000
     63     -16.6386      1.00000
     64     -16.6386      1.00000
     65     -16.6378      1.00000
     66     -16.6378      1.00000
     67     -16.6378      1.00000
     68     -16.6233      1.00000
     69     -16.6233      1.00000
     70     -16.5633      1.00000
     71     -16.5298      1.00000
     72     -16.5298      1.00000
     73     -16.5281      1.00000
     74     -16.5195      1.00000
     75     -16.5195      1.00000
     76     -16.2335      1.00000
     77     -15.5288      1.00000
     78     -15.5278      1.00000
     79     -15.5278      1.00000
     80     -15.5244      1.00000
     81     -15.5244      1.00000
     82     -15.5224      1.00000
     83     -15.5220      1.00000
     84     -15.5197      1.00000
     85     -15.5197      1.00000
     86     -15.5120      1.00000
     87     -15.5119      1.00000
     88     -15.5039      1.00000
