
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -23.4391      1.00000
      2     -18.9441      1.00000
      3     -18.8063      1.00000
      4     -18.7962      1.00000
      5     -18.6500      1.00000
      6     -18.4477      1.00000
      7     -18.3626      1.00000
      8     -18.3558      1.00000
      9     -18.3428      1.00000
     10     -18.3368      1.00000
     11     -18.3256      1.00000
     12     -18.2760      1.00000
     13     -18.2381      1.00000
     14     -18.2315      1.00000
     15     -18.2266      1.00000
     16     -18.2221      1.00000
     17     -18.2162      1.00000
     18     -18.2091      1.00000
     19     -18.2024      1.00000
     20     -18.1972      1.00000
     21     -18.1926      1.00000
     22     -18.1915      1.00000
     23     -18.1298      1.00000
     24     -18.0936      1.00000
     25     -18.0715      1.00000
     26     -18.0652      1.00000
     27     -18.0591      1.00000
     28     -18.0520      1.00000
     29     -17.8600      1.00000
     30     -17.3247      1.00000
     31     -17.2745      1.00000
     32     -17.2511      1.00000
     33     -17.2349      1.00000
     34     -17.1967      1.00000
     35     -17.1892      1.00000
     36     -17.1584      1.00000
     37     -17.1445      1.00000
     38     -17.1336      1.00000
     39     -17.1215      1.00000
     40     -17.1076      1.00000
     41     -17.1042      1.00000
     42     -17.1017      1.00000
     43     -17.0987      1.00000
     44     -17.0980      1.00000
     45     -17.0970      1.00000
     46     -17.0484      1.00000
     47     -17.0255      1.00000
     48     -16.9989      1.00000
     49     -16.9917      1.00000
     50     -16.9871      1.00000
     51     -16.9830      1.00000
     52     -16.9428      1.00000
     53     -16.8918      1.00000
     54     -16.7782      1.00000
     55     -16.7666      1.00000
     56     -16.7555      1.00000
     57     -16.7361      1.00000
     58     -16.6905      1.00000
     59     -16.6814      1.00000
     60     -16.6568      1.00000
     61     -16.6521      1.00000
     62     -16.6467      1.00000
     63     -16.6338      1.00000
     64     -16.6174      1.00000
     65     -16.6164      1.00000
     66     -16.6147      1.00000
     67     -16.6130      1.00000
     68     -16.6120      1.00000
     69     -16.6118      1.00000
     70     -16.5440      1.00000
     71     -16.5320      1.00000
     72     -16.5187      1.00000
     73     -16.5160      1.00000
     74     -16.5143      1.00000
     75     -16.5097      1.00000
     76     -16.3833      1.00000
     77     -16.1708      1.00000
     78     -15.6883      1.00000
     79     -15.6252      1.00000
     80     -15.5742      1.00000
     81     -15.5654      1.00000
     82     -15.5238      1.00000
     83     -15.5115      1.00000
     84     -15.5067      1.00000
     85     -15.4968      1.00000
     86     -15.4941      1.00000
     87     -15.4910      1.00000
     88     -15.4829      1.00000
     89     -15.4799      1.00000
     90     -15.4732      1.00000
     91     -15.4706      1.00000
     92     -15.4655      1.00000
     93     -15.4595      1.00000
     94     -15.4577      1.00000
     95     -15.4546      1.00000
     96     -15.4504      1.00000
     97     -15.4452      1.00000
     98     -15.4422      1.00000
     99     -15.4408      1.00000
    100     -15.4400      1.00000
    101     -15.4365      1.00000
    102     -15.4355      1.00000
    103     -15.4296      1.00000
    104     -15.4276      1.00000
    105     -15.4249      1.00000
    106     -15.4248      1.00000
    107     -15.4237      1.00000
    108     -15.4193      1.00000
    109     -15.4190      1.00000
    110     -15.4138      1.00000
    111     -15.4136      1.00000
    112     -15.4015      1.00000
    113     -15.3946      1.00000
    114     -15.3911      1.00000
    115     -15.3865      1.00000
    116     -15.3838      1.00000
    117     -15.3813      1.00000
    118     -15.3780      1.00000
    119     -15.3727      1.00000
    120     -15.3706      1.00000
    121     -15.3654      1.00000
    122     -15.3642      1.00000
    123     -15.3576      1.00000
    124     -15.3566      1.00000
    125     -15.3559      1.00000
    126     -15.3529      1.00000
    127     -15.3383      1.00000
    128     -15.3361      1.00000
    129     -15.3340      1.00000
    130     -15.3234      1.00000
    131     -15.3223      1.00000
    132     -15.3216      1.00000
    133     -15.2901      1.00000
    134     -15.2890      1.00000
    135     -15.2885      1.00000
