
 Fermi energy:         7.1404687412

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -18.9850      1.00000
      2     -18.8408      1.00000
      3     -18.8357      1.00000
      4     -18.6820      1.00000
      5     -18.4089      1.00000
      6     -18.4089      1.00000
      7     -18.3878      1.00000
      8     -18.3767      1.00000
      9     -18.3767      1.00000
     10     -18.3601      1.00000
     11     -18.2735      1.00000
     12     -18.2735      1.00000
     13     -18.2591      1.00000
     14     -18.2565      1.00000
     15     -18.2420      1.00000
     16     -18.2420      1.00000
     17     -18.2366      1.00000
     18     -18.2366      1.00000
     19     -18.2353      1.00000
     20     -18.2353      1.00000
     21     -18.2331      1.00000
     22     -18.1671      1.00000
     23     -18.1030      1.00000
     24     -18.1030      1.00000
     25     -18.0958      1.00000
     26     -18.0916      1.00000
     27     -18.0916      1.00000
     28     -17.9929      1.00000
     29     -17.2747      1.00000
     30     -17.2658      1.00000
     31     -17.2658      1.00000
     32     -17.2389      1.00000
     33     -17.2389      1.00000
     34     -17.2292      1.00000
     35     -17.1582      1.00000
     36     -17.1502      1.00000
     37     -17.1502      1.00000
     38     -17.1393      1.00000
     39     -17.1311      1.00000
     40     -17.1311      1.00000
     41     -17.1277      1.00000
     42     -17.1253      1.00000
     43     -17.1253      1.00000
     44     -17.1087      1.00000
     45     -17.1087      1.00000
     46     -17.0745      1.00000
     47     -17.0127      1.00000
     48     -17.0087      1.00000
     49     -17.0087      1.00000
     50     -16.9956      1.00000
     51     -16.9956      1.00000
     52     -16.9742      1.00000
     53     -16.7729      1.00000
     54     -16.7729      1.00000
     55     -16.7495      1.00000
     56     -16.7335      1.00000
     57     -16.7335      1.00000
     58     -16.7183      1.00000
     59     -16.6666      1.00000
     60     -16.6666      1.00000
     61     -16.6500      1.00000
     62     -16.6447      1.00000
     63     -16.6424      1.00000
     64     -16.6424      1.00000
     65     -16.6418      1.00000
     66     -16.6417      1.00000
     67     -16.6392      1.00000
     68     -16.6078      1.00000
     69     -16.6078      1.00000
     70     -16.5670      1.00000
     71     -16.5376      1.00000
     72     -16.5375      1.00000
     73     -16.5295      1.00000
     74     -16.5102      1.00000
     75     -16.5102      1.00000
     76     -16.3273      1.00000
     77     -15.5759      1.00000
     78     -15.5759      1.00000
     79     -15.5345      1.00000
     80     -15.5284      1.00000
     81     -15.5284      1.00000
     82     -15.5259      1.00000
     83     -15.5246      1.00000
     84     -15.5183      1.00000
     85     -15.5183      1.00000
     86     -15.5159      1.00000
     87     -15.5055      1.00000
     88     -15.5055      1.00000
     89     -15.4830      1.00000
     90     -15.4815      1.00000
     91     -15.4815      1.00000
     92     -15.4667      1.00000
     93     -15.4666      1.00000
     94     -15.4666      1.00000
     95     -15.4661      1.00000
     96     -15.4621      1.00000
     97     -15.4615      1.00000
     98     -15.4615      1.00000
     99     -15.4587      1.00000
    100     -15.4582      1.00000
    101     -15.4582      1.00000
    102     -15.4539      1.00000
    103     -15.4539      1.00000
    104     -15.4525      1.00000
    105     -15.4525      1.00000
    106     -15.4520      1.00000
    107     -15.4520      1.00000
    108     -15.4504      1.00000
    109     -15.4499      1.00000
    110     -15.4158      1.00000
    111     -15.4158      1.00000
    112     -15.4154      1.00000
    113     -15.4037      1.00000
    114     -15.3997      1.00000
    115     -15.3997      1.00000
    116     -15.3945      1.00000
    117     -15.3933      1.00000
    118     -15.3933      1.00000
    119     -15.3859      1.00000
    120     -15.3859      1.00000
    121     -15.3856      1.00000
    122     -15.3841      1.00000
    123     -15.3707      1.00000
    124     -15.3707      1.00000
    125     -15.3573      1.00000
    126     -15.3528      1.00000
    127     -15.3515      1.00000
    128     -15.3515      1.00000
    129     -15.3503      1.00000
    130     -15.3503      1.00000
    131     -15.3151      1.00000
    132     -15.3151      1.00000
    133     -15.3137      1.00000
    134     -15.1260      1.00000
    135     -15.1260      1.00000
    136     -15.0603      1.00000
    137     -14.7015      1.00000
    138     -14.7012      1.00000
    139     -14.7005      1.00000
    140     -14.7002      1.00000
    141     -14.6869      1.00000
    142     -14.6869      1.00000
    143     -14.5992      1.00000
    144     -14.5992      1.00000
    145      -8.9266      1.00000
    146      -8.9266      1.00000
    147      -8.9086      1.00000
    148      -8.8981      1.00000
    149      -8.8981      1.00000
    150      -8.8949      1.00000
    151      -8.8949      1.00000
    152      -8.8930      1.00000
    153      -8.8628      1.00000
    154      -8.8525      1.00000
    155      -8.8525      1.00000
    156      -8.8114      1.00000
    157      -8.0995      1.00000
    158      -8.0658      1.00000
    159      -8.0658      1.00000
    160      -7.9886      1.00000
    161      -7.9885      1.00000
    162      -7.9865      1.00000
    163      -7.9843      1.00000
    164      -7.9793      1.00000
    165      -7.9793      1.00000
    166      -7.9706      1.00000
    167      -7.9706      1.00000
    168      -7.9706      1.00000
    169      -7.9648      1.00000
    170      -7.9639      1.00000
    171      -7.9639      1.00000
