
 Fermi energy:         1.3878332845

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -19.0035      1.00000
      2     -18.8753      1.00000
      3     -18.7583      1.00000
      4     -18.6565      1.00000
      5     -18.4119      1.00000
      6     -18.4096      1.00000
      7     -18.4022      1.00000
      8     -18.4019      1.00000
      9     -18.4017      1.00000
     10     -18.4013      1.00000
     11     -18.3317      1.00000
     12     -18.3234      1.00000
     13     -18.2971      1.00000
     14     -18.2695      1.00000
     15     -18.2650      1.00000
     16     -18.1858      1.00000
     17     -18.1763      1.00000
     18     -18.1658      1.00000
     19     -18.1658      1.00000
     20     -18.1568      1.00000
     21     -18.1564      1.00000
     22     -18.1539      1.00000
     23     -18.0782      1.00000
     24     -18.0759      1.00000
     25     -18.0664      1.00000
     26     -18.0650      1.00000
     27     -18.0631      1.00000
     28     -17.9755      1.00000
     29     -17.2899      1.00000
     30     -17.2863      1.00000
     31     -17.2834      1.00000
     32     -17.2753      1.00000
     33     -17.2722      1.00000
     34     -17.2702      1.00000
     35     -17.2168      1.00000
     36     -17.2025      1.00000
     37     -17.1869      1.00000
     38     -17.1397      1.00000
     39     -17.1156      1.00000
     40     -17.0768      1.00000
     41     -17.0630      1.00000
     42     -17.0551      1.00000
     43     -17.0548      1.00000
     44     -17.0511      1.00000
     45     -17.0507      1.00000
     46     -17.0495      1.00000
     47     -16.9862      1.00000
     48     -16.9850      1.00000
     49     -16.9801      1.00000
     50     -16.9725      1.00000
     51     -16.9614      1.00000
     52     -16.9495      1.00000
     53     -16.7995      1.00000
     54     -16.7963      1.00000
     55     -16.7805      1.00000
     56     -16.7773      1.00000
     57     -16.7760      1.00000
     58     -16.7758      1.00000
     59     -16.7288      1.00000
     60     -16.7005      1.00000
     61     -16.6779      1.00000
     62     -16.6255      1.00000
     63     -16.6104      1.00000
     64     -16.5748      1.00000
     65     -16.5674      1.00000
     66     -16.5671      1.00000
     67     -16.5664      1.00000
     68     -16.5662      1.00000
     69     -16.5635      1.00000
     70     -16.5525      1.00000
     71     -16.5119      1.00000
     72     -16.5062      1.00000
     73     -16.5017      1.00000
     74     -16.4863      1.00000
     75     -16.4772      1.00000
     76     -16.3111      1.00000
     77     -15.5897      1.00000
     78     -15.5890      1.00000
     79     -15.5880      1.00000
     80     -15.5867      1.00000
     81     -15.5863      1.00000
     82     -15.5853      1.00000
     83     -15.5762      1.00000
     84     -15.5752      1.00000
     85     -15.5742      1.00000
     86     -15.5718      1.00000
     87     -15.5717      1.00000
     88     -15.5707      1.00000
     89     -15.5516      1.00000
     90     -15.5487      1.00000
     91     -15.4975      1.00000
     92     -15.4943      1.00000
     93     -15.4852      1.00000
     94     -15.4796      1.00000
     95     -15.4732      1.00000
     96     -15.4708      1.00000
     97     -15.4658      1.00000
     98     -15.4657      1.00000
     99     -15.4654      1.00000
    100     -15.4546      1.00000
    101     -15.4138      1.00000
    102     -15.4062      1.00000
    103     -15.4023      1.00000
    104     -15.4014      1.00000
    105     -15.3954      1.00000
    106     -15.3900      1.00000
    107     -15.3898      1.00000
    108     -15.3858      1.00000
    109     -15.3857      1.00000
    110     -15.3783      1.00000
    111     -15.3778      1.00000
    112     -15.3773      1.00000
    113     -15.3772      1.00000
    114     -15.3763      1.00000
    115     -15.3755      1.00000
    116     -15.3747      1.00000
    117     -15.3686      1.00000
    118     -15.3664      1.00000
    119     -15.3652      1.00000
    120     -15.3557      1.00000
    121     -15.3555      1.00000
    122     -15.3512      1.00000
    123     -15.3478      1.00000
    124     -15.3465      1.00000
    125     -15.3454      1.00000
    126     -15.3309      1.00000
    127     -15.3298      1.00000
    128     -15.2789      1.00000
    129     -15.2777      1.00000
    130     -15.2777      1.00000
    131     -15.2719      1.00000
    132     -15.2714      1.00000
    133     -15.2686      1.00000
    134     -15.1200      1.00000
    135     -15.1063      1.00000
    136     -15.0450      1.00000
    137     -14.8184      1.00000
    138     -14.8035      1.00000
    139     -14.6300      1.00000
    140     -14.6295      1.00000
    141     -14.6291      1.00000
    142     -14.6285      1.00000
    143     -14.6002      1.00000
    144     -14.5708      1.00000
    145      -9.0001      1.00000
