
 Fermi energy:         5.2751764539

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -19.0902      1.00000
      2     -18.9014      1.00000
      3     -18.8696      1.00000
      4     -18.6034      1.00000
      5     -18.5104      1.00000
      6     -18.5016      1.00000
      7     -18.5006      1.00000
      8     -18.4811      1.00000
      9     -18.4793      1.00000
     10     -18.4635      1.00000
     11     -18.3402      1.00000
     12     -18.3260      1.00000
     13     -18.3253      1.00000
     14     -18.3190      1.00000
     15     -18.3039      1.00000
     16     -18.2972      1.00000
     17     -18.2898      1.00000
     18     -18.2879      1.00000
     19     -18.2592      1.00000
     20     -18.2562      1.00000
     21     -18.2503      1.00000
     22     -18.2109      1.00000
     23     -18.1094      1.00000
     24     -18.0833      1.00000
     25     -18.0474      1.00000
     26     -17.9462      1.00000
     27     -17.8456      1.00000
     28     -17.4846      1.00000
     29     -17.3680      1.00000
     30     -17.3673      1.00000
     31     -17.3668      1.00000
     32     -17.3653      1.00000
     33     -17.3645      1.00000
     34     -17.3600      1.00000
     35     -17.1990      1.00000
     36     -17.1975      1.00000
     37     -17.1969      1.00000
     38     -17.1942      1.00000
     39     -17.1929      1.00000
     40     -17.1897      1.00000
     41     -17.1753      1.00000
     42     -17.1734      1.00000
     43     -17.1705      1.00000
     44     -17.1653      1.00000
     45     -17.1621      1.00000
     46     -17.1495      1.00000
     47     -16.9112      1.00000
     48     -16.9046      1.00000
     49     -16.8855      1.00000
     50     -16.8760      1.00000
     51     -16.8735      1.00000
     52     -16.8729      1.00000
     53     -16.8721      1.00000
     54     -16.8707      1.00000
     55     -16.8686      1.00000
     56     -16.8445      1.00000
     57     -16.8415      1.00000
     58     -16.7536      1.00000
     59     -16.7102      1.00000
     60     -16.7090      1.00000
     61     -16.7087      1.00000
     62     -16.7057      1.00000
     63     -16.7040      1.00000
     64     -16.7014      1.00000
     65     -16.6885      1.00000
     66     -16.6846      1.00000
     67     -16.6820      1.00000
     68     -16.6746      1.00000
     69     -16.6659      1.00000
     70     -16.6430      1.00000
     71     -16.4036      1.00000
     72     -16.3686      1.00000
     73     -16.3403      1.00000
     74     -16.2555      1.00000
     75     -16.1056      1.00000
     76     -15.6912      1.00000
     77     -15.6797      1.00000
     78     -15.6792      1.00000
     79     -15.6765      1.00000
     80     -15.6760      1.00000
     81     -15.6738      1.00000
     82     -15.6738      1.00000
     83     -15.6633      1.00000
     84     -15.6633      1.00000
     85     -15.6606      1.00000
     86     -15.6598      1.00000
     87     -15.6563      1.00000
     88     -15.6535      1.00000
     89     -15.5572      1.00000
     90     -15.5553      1.00000
     91     -15.5525      1.00000
     92     -15.5519      1.00000
     93     -15.5516      1.00000
     94     -15.5458      1.00000
     95     -15.5458      1.00000
     96     -15.5452      1.00000
     97     -15.5431      1.00000
     98     -15.5424      1.00000
     99     -15.5420      1.00000
    100     -15.5360      1.00000
    101     -15.5358      1.00000
    102     -15.5338      1.00000
    103     -15.5316      1.00000
    104     -15.5152      1.00000
    105     -15.5149      1.00000
    106     -15.5110      1.00000
    107     -15.5102      1.00000
    108     -15.5053      1.00000
    109     -15.5044      1.00000
    110     -15.5013      1.00000
    111     -15.5003      1.00000
    112     -15.4958      1.00000
    113     -15.4921      1.00000
    114     -15.4894      1.00000
    115     -15.4840      1.00000
    116     -15.4071      1.00000
    117     -15.4044      1.00000
    118     -15.4039      1.00000
    119     -15.4028      1.00000
    120     -15.4002      1.00000
    121     -15.3997      1.00000
    122     -15.3661      1.00000
    123     -15.3417      1.00000
    124     -15.3302      1.00000
    125     -15.3230      1.00000
    126     -15.2972      1.00000
    127     -15.2874      1.00000
    128     -15.2196      1.00000
    129     -15.1762      1.00000
    130     -15.1463      1.00000
    131     -15.1050      1.00000
    132     -15.0642      1.00000
    133     -15.0392      1.00000
    134     -14.8960      1.00000
    135     -14.8958      1.00000
    136     -14.7671      1.00000
    137     -14.7668      1.00000
    138     -14.7660      1.00000
    139     -14.7657      1.00000
    140     -14.6896      1.00000
    141     -14.5963      1.00000
    142     -14.2674      1.00000
    143     -13.8967      1.00000
    144      -9.0842      1.00000
    145      -9.0840      1.00000
    146      -9.0840      1.00000
    147      -8.9574      1.00000
    148      -8.9571      1.00000
    149      -8.9566      1.00000
    150      -8.9490      1.00000
    151      -8.9486      1.00000
    152      -8.9477      1.00000
    153      -8.6648      1.00000
    154      -8.6008      1.00000
    155      -8.5850      1.00000
    156      -8.1519      1.00000
    157      -8.1517      1.00000
    158      -8.1512      1.00000
    159      -8.1511      1.00000
    160      -8.1469      1.00000
    161      -8.1465      1.00000
    162      -8.1427      1.00000
    163      -8.1415      1.00000
    164      -8.1378      1.00000
    165      -8.1374      1.00000
    166      -8.1355      1.00000
    167      -8.1353      1.00000
    168      -8.0381      1.00000
    169      -8.0370      1.00000
    170      -8.0364      1.00000
    171      -8.0352      1.00000
    172      -8.0350      1.00000
    173      -8.0282      1.00000
    174      -8.0272      1.00000
    175      -8.0257      1.00000
    176      -8.0204      1.00000
    177      -8.0184      1.00000
    178      -8.0136      1.00000
    179      -8.0132      1.00000
    180      -8.0125      1.00000
    181      -8.0088      1.00000
    182      -8.0040      1.00000
    183      -7.9998      1.00000
    184      -7.9946      1.00000
    185      -7.9940      1.00000
    186      -7.9928      1.00000
    187      -7.9917      1.00000
    188      -7.9893      1.00000
    189      -7.9876      1.00000
    190      -7.9863      1.00000
    191      -7.9854      1.00000
    192      -7.9648      1.00000
    193      -7.9329      1.00000
    194      -7.9328      1.00000
    195      -7.8148      1.00000
    196      -7.7932      1.00000
    197      -7.7845      1.00000
    198      -7.7811      1.00000
    199      -7.7808      1.00000
    200      -7.7739      1.00000
    201      -7.7738      1.00000
    202      -7.7636      1.00000
    203      -7.7307      1.00000
    204      -7.6820      1.00000
    205      -7.6455      1.00000
    206      -7.6367      1.00000
    207      -7.5929      1.00000
    208      -7.5684      1.00000
    209      -7.2632      1.00000
    210      -7.1635      1.00000
    211      -7.1634      1.00000
    212      -7.0829      1.00000
    213      -7.0396      1.00000
    214      -7.0382      1.00000
    215      -7.0346      1.00000
    216      -7.0327      1.00000
    217      -7.0277      1.00000
    218      -6.8074      1.00000
    219      -6.8073      1.00000
    220      -6.8070      1.00000
    221      -6.8070      1.00000
    222      -6.8067      1.00000
    223      -6.8066      1.00000
    224      -6.7799      1.00000
    225      -6.6775      1.00000
    226      -6.6770      1.00000
    227      -6.6764      1.00000
    228      -6.6755      1.00000
    229      -6.6752      1.00000
    230      -6.6739      1.00000
    231      -6.6675      1.00000
    232      -6.6663      1.00000
    233      -6.6648      1.00000
    234      -6.6647      1.00000
    235      -6.6640      1.00000
    236      -6.6599      1.00000
    237      -6.5932      1.00000
    238      -6.5158      1.00000
    239      -6.3199      1.00000
    240      -6.2311      1.00000
    241      -6.1667      1.00000
    242      -5.9638      1.00000
    243      -5.8282      1.00000
    244      -5.6226      1.00000
    245      -5.3106      1.00000
    246      -5.2668      1.00000
    247      -5.2667      1.00000
    248      -5.2666      1.00000
    249      -5.2663      1.00000
    250      -5.2663      1.00000
    251      -5.2655      1.00000
    252      -5.1454      1.00000
    253      -5.1448      1.00000
    254      -5.1444      1.00000
    255      -5.1437      1.00000
    256      -5.1435      1.00000
    257      -5.1422      1.00000
    258      -5.1363      1.00000
    259      -5.1357      1.00000
    260      -5.1353      1.00000
    261      -5.1346      1.00000
    262      -5.1344      1.00000
    263      -5.1327      1.00000
    264      -5.0359      1.00000
    265      -5.0358      1.00000
    266      -5.0347      1.00000
    267      -5.0346      1.00000
    268      -5.0309      1.00000
    269      -5.0308      1.00000
    270      -5.0304      1.00000
    271      -5.0237      1.00000
    272      -5.0230      1.00000
    273      -5.0189      1.00000
    274      -5.0185      1.00000
    275      -5.0174      1.00000
    276      -5.0173      1.00000
    277      -5.0145      1.00000
    278      -5.0077      1.00000
    279      -4.9618      1.00000
    280      -4.9447      1.00000
    281      -4.9195      1.00000
    282      -4.9195      1.00000
    283      -4.9185      1.00000
    284      -4.9172      1.00000
    285      -4.9146      1.00000
    286      -4.9146      1.00000
    287      -4.9137      1.00000
    288      -4.9115      1.00000
    289      -4.9114      1.00000
    290      -4.9051      1.00000
    291      -4.9049      1.00000
    292      -4.9015      1.00000
    293      -4.9004      1.00000
    294      -4.8881      1.00000
    295      -4.8875      1.00000
    296      -4.8818      1.00000
    297      -4.8812      1.00000
    298      -4.8724      1.00000
    299      -4.8716      1.00000
    300      -4.8704      1.00000
    301      -4.8680      1.00000
    302      -4.8677      1.00000
    303      -4.8671      1.00000
    304      -4.8624      1.00000
    305      -4.8624      1.00000
    306      -4.8594      1.00000
    307      -4.8388      1.00000
    308      -4.8350      1.00000
    309      -4.8274      1.00000
    310      -4.7692      1.00000
    311      -4.7650      1.00000
    312      -4.7150      1.00000
    313      -4.6972      1.00000
    314      -4.6769      1.00000
    315      -4.6640      1.00000
    316      -4.6354      1.00000
    317      -4.6174      1.00000
    318      -4.5447      1.00000
    319      -4.5150      1.00000
    320      -4.4166      1.00000
    321      -4.1744      1.00000
    322      -4.0641      1.00000
    323      -4.0565      1.00000
    324      -4.0474      1.00000
    325      -4.0466      1.00000
    326      -4.0324      1.00000
    327      -4.0131      1.00000
    328      -4.0032      1.00000
    329      -4.0023      1.00000
    330      -3.9952      1.00000
    331      -3.9702      1.00000
    332      -3.9286      1.00000
    333      -3.8796      1.00000
    334      -3.7947      1.00000
    335      -3.7340      1.00000
    336      -3.7074      1.00000
    337      -3.7073      1.00000
    338      -3.7072      1.00000
    339      -3.5765      1.00000
    340      -3.5754      1.00000
    341      -3.5753      1.00000
    342      -3.5731      1.00000
    343      -3.5720      1.00000
    344      -3.5711      1.00000
    345      -3.4825      1.00000
    346      -3.4505      1.00000
    347      -3.4501      1.00000
    348      -3.4498      1.00000
    349      -3.4497      1.00000
    350      -3.4497      1.00000
    351      -3.4496      1.00000
    352      -3.4301      1.00000
    353      -3.3628      1.00000
    354      -3.3594      1.00000
    355      -3.3573      1.00000
    356      -3.3519      1.00000
    357      -3.3420      1.00000
    358      -3.3314      1.00000
    359      -3.3203      1.00000
    360      -3.3174      1.00000
    361      -3.3173      1.00000
    362      -3.3165      1.00000
    363      -3.3164      1.00000
    364      -3.3152      1.00000
    365      -3.3150      1.00000
    366      -3.3129      1.00000
    367      -3.3110      1.00000
    368      -3.3078      1.00000
    369      -3.3051      1.00000
    370      -3.2775      1.00000
    371      -3.2716      1.00000
    372      -3.2668      1.00000
    373      -3.1554      1.00000
    374      -3.0808      1.00000
    375      -3.0808      1.00000
    376      -3.0807      1.00000
    377      -3.0801      1.00000
    378      -3.0800      1.00000
    379      -3.0798      1.00000
    380      -3.0244      1.00000
    381      -2.9925      1.00000
    382      -2.9518      1.00000
    383      -2.9501      1.00000
    384      -2.9497      1.00000
    385      -2.9488      1.00000
