
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -18.9804      1.00000
      2     -18.8400      1.00000
      3     -18.8330      1.00000
      4     -18.6844      1.00000
      5     -18.4218      1.00000
      6     -18.4080      1.00000
      7     -18.3879      1.00000
      8     -18.3688      1.00000
      9     -18.3664      1.00000
     10     -18.3490      1.00000
     11     -18.2887      1.00000
     12     -18.2767      1.00000
     13     -18.2624      1.00000
     14     -18.2564      1.00000
     15     -18.2517      1.00000
     16     -18.2507      1.00000
     17     -18.2416      1.00000
     18     -18.2352      1.00000
     19     -18.2331      1.00000
     20     -18.2268      1.00000
     21     -18.2063      1.00000
     22     -18.1553      1.00000
     23     -18.1206      1.00000
     24     -18.1154      1.00000
     25     -18.1033      1.00000
     26     -18.0854      1.00000
     27     -18.0724      1.00000
     28     -17.8395      1.00000
     29     -17.2780      1.00000
     30     -17.2661      1.00000
     31     -17.2525      1.00000
     32     -17.2434      1.00000
     33     -17.2363      1.00000
     34     -17.2273      1.00000
     35     -17.1662      1.00000
     36     -17.1562      1.00000
     37     -17.1425      1.00000
     38     -17.1372      1.00000
     39     -17.1369      1.00000
     40     -17.1353      1.00000
     41     -17.1332      1.00000
     42     -17.1331      1.00000
     43     -17.1317      1.00000
     44     -17.1182      1.00000
     45     -17.0955      1.00000
     46     -17.0628      1.00000
     47     -17.0235      1.00000
     48     -17.0205      1.00000
     49     -17.0108      1.00000
     50     -17.0033      1.00000
     51     -16.9902      1.00000
     52     -16.9165      1.00000
     53     -16.7596      1.00000
     54     -16.7563      1.00000
     55     -16.7550      1.00000
     56     -16.7391      1.00000
     57     -16.7299      1.00000
     58     -16.7207      1.00000
     59     -16.6587      1.00000
     60     -16.6553      1.00000
     61     -16.6531      1.00000
     62     -16.6522      1.00000
     63     -16.6503      1.00000
     64     -16.6500      1.00000
     65     -16.6469      1.00000
     66     -16.6468      1.00000
     67     -16.6463      1.00000
     68     -16.6138      1.00000
     69     -16.5847      1.00000
     70     -16.5709      1.00000
     71     -16.5424      1.00000
     72     -16.5410      1.00000
     73     -16.5398      1.00000
     74     -16.5137      1.00000
     75     -16.4362      1.00000
     76     -16.1016      1.00000
     77     -15.6697      1.00000
     78     -15.5980      1.00000
     79     -15.5620      1.00000
     80     -15.5511      1.00000
     81     -15.5416      1.00000
