
 Fermi energy:         1.3941308691

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -19.0697      1.00000
      2     -19.0161      1.00000
      3     -18.7181      1.00000
      4     -18.6646      1.00000
      5     -18.6403      1.00000
      6     -18.5196      1.00000
      7     -18.4680      1.00000
      8     -18.4563      1.00000
      9     -18.4526      1.00000
     10     -18.4491      1.00000
     11     -18.4484      1.00000
     12     -18.4432      1.00000
     13     -18.3414      1.00000
     14     -18.2843      1.00000
     15     -18.2440      1.00000
     16     -18.1757      1.00000
     17     -18.1612      1.00000
     18     -18.1394      1.00000
     19     -18.1342      1.00000
     20     -18.0999      1.00000
     21     -18.0936      1.00000
     22     -18.0893      1.00000
     23     -18.0885      1.00000
     24     -18.0738      1.00000
     25     -18.0481      1.00000
     26     -18.0176      1.00000
     27     -18.0031      1.00000
     28     -17.9565      1.00000
     29     -17.4660      1.00000
     30     -17.4065      1.00000
     31     -17.3745      1.00000
     32     -17.3696      1.00000
     33     -17.3680      1.00000
     34     -17.3314      1.00000
     35     -17.3146      1.00000
     36     -17.3091      1.00000
     37     -17.3070      1.00000
     38     -17.2160      1.00000
     39     -17.1662      1.00000
     40     -17.0468      1.00000
     41     -17.0216      1.00000
     42     -17.0137      1.00000
     43     -17.0135      1.00000
     44     -17.0033      1.00000
     45     -17.0028      1.00000
     46     -16.9994      1.00000
     47     -16.9815      1.00000
     48     -16.9794      1.00000
     49     -16.9639      1.00000
     50     -16.9527      1.00000
     51     -16.9496      1.00000
     52     -16.9154      1.00000
     53     -16.8851      1.00000
     54     -16.8850      1.00000
     55     -16.8843      1.00000
     56     -16.8828      1.00000
     57     -16.7962      1.00000
     58     -16.7922      1.00000
     59     -16.7893      1.00000
     60     -16.7561      1.00000
     61     -16.7468      1.00000
     62     -16.7437      1.00000
     63     -16.6115      1.00000
     64     -16.5260      1.00000
     65     -16.5214      1.00000
     66     -16.5210      1.00000
     67     -16.5165      1.00000
     68     -16.5164      1.00000
     69     -16.5151      1.00000
     70     -16.5142      1.00000
     71     -16.4838      1.00000
     72     -16.4835      1.00000
     73     -16.4809      1.00000
     74     -16.4755      1.00000
     75     -16.4550      1.00000
     76     -16.2773      1.00000
     77     -16.0512      1.00000
     78     -15.8221      1.00000
     79     -15.7241      1.00000
     80     -15.7099      1.00000
     81     -15.7065      1.00000
     82     -15.7046      1.00000
     83     -15.6976      1.00000
     84     -15.6962      1.00000
     85     -15.6933      1.00000
     86     -15.6467      1.00000
     87     -15.6371      1.00000
     88     -15.6365      1.00000
     89     -15.6286      1.00000
     90     -15.6271      1.00000
     91     -15.6237      1.00000
     92     -15.5664      1.00000
     93     -15.5579      1.00000
     94     -15.5579      1.00000
     95     -15.5576      1.00000
     96     -15.5572      1.00000
     97     -15.5248      1.00000
     98     -15.4668      1.00000
     99     -15.4350      1.00000
    100     -15.4274      1.00000
    101     -15.4039      1.00000
    102     -15.4026      1.00000
    103     -15.4019      1.00000
    104     -15.3885      1.00000
    105     -15.3861      1.00000
    106     -15.3675      1.00000
    107     -15.3616      1.00000
    108     -15.3607      1.00000
    109     -15.3586      1.00000
    110     -15.3568      1.00000
    111     -15.3478      1.00000
    112     -15.3458      1.00000
    113     -15.3402      1.00000
    114     -15.3304      1.00000
    115     -15.3201      1.00000
    116     -15.3199      1.00000
    117     -15.3165      1.00000
    118     -15.3160      1.00000
    119     -15.3100      1.00000
    120     -15.3019      1.00000
    121     -15.2989      1.00000
    122     -15.2980      1.00000
    123     -15.2968      1.00000
    124     -15.2892      1.00000
    125     -15.2885      1.00000
    126     -15.2779      1.00000
    127     -15.2727      1.00000
    128     -15.2197      1.00000
    129     -15.2176      1.00000
    130     -15.2164      1.00000
    131     -15.2161      1.00000
    132     -15.2154      1.00000
    133     -15.2114      1.00000
    134     -15.1642      1.00000
    135     -15.1525      1.00000
    136     -14.9477      1.00000
    137     -14.8764      1.00000
    138     -14.7762      1.00000
    139     -14.6322      1.00000
    140     -14.5800      1.00000
    141     -14.5796      1.00000
    142     -14.5793      1.00000
    143     -14.5789      1.00000
    144      -9.1498      1.00000
    145      -9.0491      1.00000
    146      -9.0490      1.00000
    147      -9.0489      1.00000
    148      -8.9360      1.00000
    149      -8.9089      1.00000
    150      -8.7706      1.00000
    151      -8.7687      1.00000
    152      -8.7678      1.00000
    153      -8.7676      1.00000
    154      -8.7574      1.00000
    155      -8.7567      1.00000
    156      -8.7060      1.00000
    157      -8.3896      1.00000
    158      -8.2643      1.00000
    159      -8.1531      1.00000
    160      -8.1233      1.00000
    161      -8.1231      1.00000
    162      -8.1225      1.00000
    163      -8.1221      1.00000
    164      -8.1210      1.00000
    165      -8.1179      1.00000
    166      -8.1088      1.00000
    167      -8.1065      1.00000
    168      -8.1064      1.00000
    169      -8.1056      1.00000
    170      -8.1051      1.00000
    171      -8.1049      1.00000
    172      -8.0736      1.00000
    173      -8.0379      1.00000
    174      -7.9770      1.00000
    175      -7.9668      1.00000
    176      -7.9073      1.00000
    177      -7.8971      1.00000
    178      -7.8965      1.00000
    179      -7.8766      1.00000
    180      -7.8653      1.00000
    181      -7.8588      1.00000
    182      -7.8581      1.00000
    183      -7.8579      1.00000
    184      -7.8571      1.00000
    185      -7.8509      1.00000
    186      -7.8441      1.00000
    187      -7.8396      1.00000
    188      -7.8268      1.00000
    189      -7.8234      1.00000
    190      -7.8194      1.00000
    191      -7.8185      1.00000
    192      -7.8162      1.00000
    193      -7.8161      1.00000
    194      -7.8058      1.00000
    195      -7.8037      1.00000
    196      -7.8011      1.00000
    197      -7.7990      1.00000
    198      -7.7968      1.00000
    199      -7.7959      1.00000
    200      -7.7951      1.00000
    201      -7.7916      1.00000
    202      -7.7893      1.00000
    203      -7.7864      1.00000
    204      -7.7835      1.00000
    205      -7.6353      1.00000
    206      -7.6000      1.00000
    207      -7.5891      1.00000
    208      -7.5890      1.00000
    209      -7.5696      1.00000
    210      -7.5265      1.00000
    211      -7.5145      1.00000
    212      -7.2005      1.00000
    213      -7.1326      1.00000
    214      -7.1325      1.00000
    215      -7.0468      1.00000
    216      -6.9436      1.00000
    217      -6.8508      1.00000
    218      -6.8506      1.00000
    219      -6.8437      1.00000
    220      -6.8435      1.00000
    221      -6.7994      1.00000
    222      -6.7987      1.00000
    223      -6.7743      1.00000
    224      -6.7740      1.00000
