
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -19.0863      1.00000
      2     -18.8295      1.00000
      3     -18.7902      1.00000
      4     -18.6279      1.00000
      5     -18.6094      1.00000
      6     -18.5455      1.00000
      7     -18.5169      1.00000
      8     -18.4944      1.00000
      9     -18.4369      1.00000
     10     -18.3068      1.00000
     11     -18.2452      1.00000
     12     -18.2364      1.00000
     13     -18.2289      1.00000
     14     -18.2261      1.00000
     15     -18.2242      1.00000
     16     -18.2185      1.00000
     17     -18.2026      1.00000
     18     -18.2006      1.00000
     19     -18.1830      1.00000
     20     -18.1824      1.00000
     21     -18.1759      1.00000
     22     -18.1181      1.00000
     23     -18.0472      1.00000
     24     -18.0465      1.00000
     25     -18.0368      1.00000
     26     -18.0322      1.00000
     27     -18.0293      1.00000
     28     -18.0202      1.00000
     29     -17.4665      1.00000
     30     -17.4346      1.00000
     31     -17.3970      1.00000
     32     -17.3533      1.00000
     33     -17.2958      1.00000
     34     -17.1905      1.00000
     35     -17.1221      1.00000
     36     -17.1175      1.00000
     37     -17.1172      1.00000
     38     -17.1129      1.00000
     39     -17.1118      1.00000
     40     -17.0944      1.00000
     41     -17.0877      1.00000
     42     -17.0870      1.00000
     43     -17.0859      1.00000
     44     -17.0822      1.00000
     45     -17.0809      1.00000
     46     -17.0799      1.00000
     47     -16.9519      1.00000
     48     -16.9516      1.00000
     49     -16.9482      1.00000
     50     -16.9467      1.00000
     51     -16.9464      1.00000
     52     -16.9450      1.00000
     53     -16.9412      1.00000
     54     -16.9229      1.00000
     55     -16.8993      1.00000
     56     -16.8365      1.00000
     57     -16.7153      1.00000
     58     -16.6474      1.00000
     59     -16.6282      1.00000
     60     -16.6270      1.00000
     61     -16.6259      1.00000
     62     -16.6203      1.00000
     63     -16.6041      1.00000
     64     -16.5998      1.00000
     65     -16.5997      1.00000
     66     -16.5987      1.00000
     67     -16.5959      1.00000
     68     -16.5958      1.00000
     69     -16.5951      1.00000
     70     -16.4805      1.00000
     71     -16.4706      1.00000
     72     -16.4695      1.00000
     73     -16.4684      1.00000
     74     -16.4676      1.00000
