
 Fermi energy:         6.0894905504

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -18.9859      1.00000
      2     -18.8408      1.00000
      3     -18.7871      1.00000
      4     -18.6510      1.00000
      5     -18.4268      1.00000
      6     -18.4268      1.00000
      7     -18.3740      1.00000
      8     -18.3608      1.00000
      9     -18.3608      1.00000
     10     -18.3593      1.00000
     11     -18.2593      1.00000
     12     -18.2592      1.00000
     13     -18.2413      1.00000
     14     -18.2309      1.00000
     15     -18.2309      1.00000
     16     -18.2306      1.00000
     17     -18.1959      1.00000
     18     -18.1949      1.00000
     19     -18.1949      1.00000
     20     -18.1930      1.00000
     21     -18.1930      1.00000
     22     -18.1882      1.00000
     23     -18.0720      1.00000
     24     -18.0720      1.00000
     25     -18.0643      1.00000
     26     -18.0625      1.00000
     27     -18.0625      1.00000
     28     -18.0587      1.00000
     29     -17.3123      1.00000
     30     -17.3123      1.00000
     31     -17.2724      1.00000
     32     -17.2199      1.00000
     33     -17.2199      1.00000
     34     -17.2101      1.00000
     35     -17.1456      1.00000
     36     -17.1456      1.00000
     37     -17.1361      1.00000
     38     -17.1093      1.00000
     39     -17.1093      1.00000
     40     -17.1005      1.00000
     41     -17.0839      1.00000
     42     -17.0839      1.00000
     43     -17.0839      1.00000
     44     -17.0834      1.00000
     45     -17.0834      1.00000
     46     -17.0806      1.00000
     47     -16.9821      1.00000
     48     -16.9821      1.00000
     49     -16.9790      1.00000
     50     -16.9699      1.00000
     51     -16.9699      1.00000
     52     -16.9647      1.00000
     53     -16.8068      1.00000
     54     -16.8068      1.00000
     55     -16.7458      1.00000
     56     -16.7208      1.00000
     57     -16.7208      1.00000
     58     -16.7020      1.00000
     59     -16.6530      1.00000
     60     -16.6530      1.00000
     61     -16.6376      1.00000
     62     -16.6214      1.00000
     63     -16.6214      1.00000
     64     -16.5998      1.00000
     65     -16.5982      1.00000
     66     -16.5975      1.00000
     67     -16.5975      1.00000
     68     -16.5972      1.00000
     69     -16.5972      1.00000
     70     -16.5941      1.00000
     71     -16.5060      1.00000
     72     -16.5060      1.00000
     73     -16.5016      1.00000
     74     -16.4959      1.00000
     75     -16.4959      1.00000
     76     -16.4866      1.00000
     77     -15.6362      1.00000
     78     -15.6362      1.00000
     79     -15.5535      1.00000
     80     -15.5502      1.00000
     81     -15.5502      1.00000
     82     -15.5311      1.00000
     83     -15.5106      1.00000
     84     -15.5018      1.00000
     85     -15.5018      1.00000
     86     -15.4754      1.00000
     87     -15.4754      1.00000
     88     -15.4692      1.00000
     89     -15.4535      1.00000
     90     -15.4535      1.00000
     91     -15.4494      1.00000
     92     -15.4485      1.00000
     93     -15.4485      1.00000
     94     -15.4472      1.00000
     95     -15.4410      1.00000
     96     -15.4368      1.00000
     97     -15.4368      1.00000
     98     -15.4239      1.00000
     99     -15.4165      1.00000
    100     -15.4162      1.00000
    101     -15.4155      1.00000
    102     -15.4155      1.00000
    103     -15.4152      1.00000
    104     -15.4152      1.00000
    105     -15.4138      1.00000
    106     -15.4138      1.00000
    107     -15.4133      1.00000
    108     -15.4133      1.00000
    109     -15.4127      1.00000
    110     -15.4065      1.00000
    111     -15.4044      1.00000
    112     -15.4044      1.00000
    113     -15.3872      1.00000
    114     -15.3872      1.00000
    115     -15.3678      1.00000
    116     -15.3611      1.00000
    117     -15.3611      1.00000
    118     -15.3582      1.00000
    119     -15.3576      1.00000
    120     -15.3576      1.00000
    121     -15.3575      1.00000
    122     -15.3566      1.00000
    123     -15.3555      1.00000
    124     -15.3555      1.00000
    125     -15.3414      1.00000
    126     -15.3414      1.00000
    127     -15.3320      1.00000
    128     -15.3283      1.00000
    129     -15.3283      1.00000
    130     -15.3093      1.00000
    131     -15.3093      1.00000
    132     -15.3073      1.00000
    133     -15.2932      1.00000
    134     -15.2778      1.00000
    135     -15.2778      1.00000
    136     -15.2745      1.00000
    137     -14.7154      1.00000
    138     -14.7153      1.00000
    139     -14.6591      1.00000
    140     -14.6588      1.00000
    141     -14.6584      1.00000
    142     -14.6581      1.00000
    143     -14.6567      1.00000
    144     -14.6567      1.00000
    145      -8.9629      1.00000
    146      -8.9629      1.00000
    147      -8.9556      1.00000
    148      -8.8604      1.00000
    149      -8.8604      1.00000
    150      -8.8604      1.00000
    151      -8.8441      1.00000
    152      -8.8441      1.00000
    153      -8.8440      1.00000
    154      -8.8125      1.00000
    155      -8.8123      1.00000
    156      -8.8123      1.00000
    157      -8.1912      1.00000
    158      -8.1474      1.00000
    159      -8.1474      1.00000
    160      -8.0408      1.00000
    161      -8.0201      1.00000
    162      -8.0201      1.00000
    163      -7.9756      1.00000
    164      -7.9543      1.00000
    165      -7.9498      1.00000
    166      -7.9498      1.00000
    167      -7.9318      1.00000
    168      -7.9318      1.00000
    169      -7.9247      1.00000
    170      -7.9247      1.00000
    171      -7.9244      1.00000
    172      -7.9225      1.00000
    173      -7.9225      1.00000
    174      -7.9217      1.00000
    175      -7.9195      1.00000
    176      -7.9188      1.00000
    177      -7.9131      1.00000
    178      -7.9131      1.00000
    179      -7.9037      1.00000
    180      -7.9037      1.00000
    181      -7.9035      1.00000
    182      -7.9035      1.00000
    183      -7.9029      1.00000
    184      -7.9027      1.00000
    185      -7.9024      1.00000
    186      -7.9016      1.00000
    187      -7.9010      1.00000
    188      -7.9010      1.00000
    189      -7.8990      1.00000
    190      -7.8990      1.00000
    191      -7.8925      1.00000
    192      -7.8925      1.00000
    193      -7.8697      1.00000
    194      -7.8696      1.00000
    195      -7.8696      1.00000
    196      -7.8679      1.00000
    197      -7.8679      1.00000
    198      -7.8670      1.00000
    199      -7.8666      1.00000
    200      -7.8658      1.00000
    201      -7.8629      1.00000
    202      -7.8629      1.00000
    203      -7.8515      1.00000
    204      -7.8515      1.00000
    205      -7.7950      1.00000
    206      -7.7950      1.00000
    207      -7.7084      1.00000
    208      -7.7084      1.00000
    209      -7.6728      1.00000
    210      -7.6728      1.00000
    211      -7.6028      1.00000
    212      -7.6028      1.00000
    213      -7.2288      1.00000
    214      -6.9288      1.00000
    215      -6.9288      1.00000
    216      -6.9236      1.00000
    217      -6.9236      1.00000
    218      -6.9218      1.00000
    219      -6.9218      1.00000
    220      -6.8952      1.00000
    221      -6.7713      1.00000
    222      -6.7713      1.00000
    223      -6.6577      1.00000
    224      -6.6083      1.00000
    225      -6.5977      1.00000
    226      -6.5977      1.00000
    227      -6.5884      1.00000
    228      -6.5884      1.00000
    229      -6.5861      1.00000
    230      -6.5778      1.00000
    231      -6.5658      1.00000
    232      -6.5656      1.00000
    233      -6.5655      1.00000
    234      -6.5653      1.00000
    235      -6.5644      1.00000
    236      -6.5644      1.00000
    237      -6.5558      1.00000
    238      -6.5558      1.00000
    239      -6.5265      1.00000
    240      -6.5265      1.00000
    241      -6.5244      1.00000
    242      -6.5221      1.00000
    243      -6.5097      1.00000
    244      -6.5096      1.00000
    245      -5.7587      1.00000
    246      -5.4369      1.00000
    247      -5.2277      1.00000
    248      -5.2277      1.00000
    249      -5.1637      1.00000
    250      -5.1287      1.00000
    251      -5.1287      1.00000
    252      -5.0391      1.00000
    253      -5.0339      1.00000
    254      -5.0330      1.00000
    255      -5.0329      1.00000
    256      -5.0329      1.00000
    257      -5.0329      1.00000
    258      -5.0323      1.00000
    259      -5.0323      1.00000
    260      -5.0320      1.00000
    261      -5.0318      1.00000
    262      -5.0318      1.00000
    263      -5.0313      1.00000
    264      -5.0313      1.00000
    265      -5.0174      1.00000
    266      -5.0174      1.00000
    267      -5.0173      1.00000
    268      -5.0172      1.00000
    269      -5.0172      1.00000
    270      -5.0162      1.00000
    271      -4.9925      1.00000
    272      -4.9925      1.00000
    273      -4.9238      1.00000
    274      -4.9238      1.00000
    275      -4.9151      1.00000
    276      -4.9069      1.00000
    277      -4.9069      1.00000
    278      -4.9067      1.00000
    279      -4.8834      1.00000
    280      -4.8580      1.00000
    281      -4.8515      1.00000
    282      -4.8515      1.00000
    283      -4.8096      1.00000
    284      -4.8096      1.00000
    285      -4.8083      1.00000
    286      -4.8078      1.00000
    287      -4.8078      1.00000
    288      -4.8077      1.00000
    289      -4.8076      1.00000
    290      -4.8076      1.00000
    291      -4.8062      1.00000
    292      -4.8031      1.00000
    293      -4.8022      1.00000
    294      -4.8022      1.00000
    295      -4.7858      1.00000
    296      -4.7858      1.00000
    297      -4.7856      1.00000
    298      -4.7856      1.00000
    299      -4.7849      1.00000
    300      -4.7848      1.00000
    301      -4.7835      1.00000
    302      -4.7834      1.00000
    303      -4.7834      1.00000
    304      -4.7834      1.00000
    305      -4.7804      1.00000
    306      -4.7803      1.00000
    307      -4.7579      1.00000
    308      -4.7579      1.00000
    309      -4.7560      1.00000
    310      -4.7536      1.00000
    311      -4.7535      1.00000
    312      -4.7534      1.00000
    313      -4.7534      1.00000
    314      -4.7534      1.00000
    315      -4.7521      1.00000
    316      -4.7516      1.00000
    317      -4.7507      1.00000
    318      -4.7502      1.00000
    319      -4.7501      1.00000
    320      -4.7217      1.00000
    321      -4.6683      1.00000
    322      -4.6683      1.00000
    323      -4.6066      1.00000
    324      -4.6066      1.00000
    325      -4.4504      1.00000
    326      -3.9839      1.00000
    327      -3.9839      1.00000
    328      -3.9519      1.00000
    329      -3.9519      1.00000
    330      -3.9491      1.00000
    331      -3.9202      1.00000
    332      -3.9193      1.00000
    333      -3.9193      1.00000
    334      -3.9172      1.00000
    335      -3.9172      1.00000
    336      -3.9132      1.00000
    337      -3.9012      1.00000
    338      -3.5886      1.00000
    339      -3.5612      1.00000
    340      -3.5612      1.00000
    341      -3.5448      1.00000
    342      -3.4883      1.00000
    343      -3.4839      1.00000
    344      -3.4838      1.00000
    345      -3.4832      1.00000
    346      -3.4647      1.00000
    347      -3.4643      1.00000
    348      -3.4643      1.00000
    349      -3.4365      1.00000
    350      -3.4365      1.00000
    351      -3.4364      1.00000
    352      -3.3982      1.00000
    353      -3.3982      1.00000
    354      -3.2969      1.00000
    355      -3.2969      1.00000
    356      -3.2863      1.00000
    357      -3.2691      1.00000
    358      -3.2691      1.00000
    359      -3.2374      1.00000
    360      -3.2264      1.00000
    361      -3.2258      1.00000
    362      -3.2257      1.00000
    363      -3.2257      1.00000
    364      -3.2252      1.00000
    365      -3.2252      1.00000
    366      -3.2125      1.00000
    367      -3.2125      1.00000
    368      -3.2124      1.00000
    369      -3.2114      1.00000
    370      -3.2111      1.00000
    371      -3.2111      1.00000
    372      -3.1901      1.00000
    373      -3.1877      1.00000
    374      -3.1877      1.00000
    375      -3.1852      1.00000
    376      -3.1841      1.00000
    377      -3.1841      1.00000
    378      -3.1239      1.00000
    379      -3.0776      1.00000
    380      -3.0776      1.00000
    381      -2.9706      1.00000
    382      -2.9294      1.00000
    383      -2.9293      1.00000
    384      -2.8767      1.00000
    385      -2.8641      1.00000
    386      -2.8641      1.00000
    387      -2.8578      1.00000
    388      -2.8568      1.00000
    389      -2.8567      1.00000
    390      -2.8468      1.00000
    391      -2.8388      1.00000
    392      -2.8388      1.00000
    393      -2.8383      1.00000
    394      -2.8380      1.00000
    395      -2.8377      1.00000
    396      -2.8377      1.00000
    397      -2.8336      1.00000
    398      -2.8335      1.00000
    399      -2.8126      1.00000
    400      -2.8124      1.00000
    401      -2.8123      1.00000
    402      -2.8091      1.00000
    403      -2.8077      1.00000
    404      -2.8077      1.00000
    405      -2.7397      1.00000
    406      -2.7397      1.00000
    407      -2.7217      1.00000
    408      -2.7217      1.00000
    409      -2.7213      1.00000
    410      -2.6957      1.00000
    411      -2.6551      1.00000
    412      -2.6550      1.00000
    413      -2.5594      1.00000
    414      -2.5593      1.00000
    415      -2.5492      1.00000
    416      -2.5372      1.00000
    417      -2.5364      1.00000
    418      -2.5364      1.00000
    419      -2.5332      1.00000
    420      -2.5332      1.00000
    421      -2.5262      1.00000
    422      -2.5225      1.00000
    423      -2.5225      1.00000
    424      -2.5134      1.00000
    425      -2.5131      1.00000
    426      -2.5081      1.00000
    427      -2.5073      1.00000
    428      -2.5073      1.00000
    429      -2.5051      1.00000
    430      -2.5050      1.00000
    431      -2.5033      1.00000
    432      -2.5025      1.00000
    433      -2.5025      1.00000
    434      -2.5017      1.00000
    435      -2.5007      1.00000
    436      -2.5007      1.00000
    437      -2.4946      1.00000
    438      -2.4058      1.00000
    439      -2.4006      1.00000
    440      -2.4006      1.00000
    441      -2.3878      1.00000
    442      -2.3547      1.00000
    443      -2.3547      1.00000
    444      -2.3365      1.00000
    445      -2.3360      1.00000
    446      -2.3360      1.00000
    447      -2.3336      1.00000
    448      -2.3336      1.00000
    449      -2.3170      1.00000
    450      -2.2630      1.00000
    451      -2.1994      1.00000
    452      -2.1993      1.00000
    453      -1.7334      1.00000
    454      -1.7334      1.00000
    455      -1.6782      1.00000
    456      -1.6750      1.00000
    457      -1.6750      1.00000
    458      -1.6541      1.00000
    459      -1.6541      1.00000
    460      -1.6540      1.00000
    461      -1.6536      1.00000
    462      -1.6536      1.00000
    463      -1.6486      1.00000
    464      -1.5988      1.00000
    465      -1.5620      1.00000
    466      -1.3740      1.00000
    467      -1.3740      1.00000
    468      -1.3348      1.00000
    469      -1.3266      1.00000
    470      -1.3266      1.00000
    471      -1.3259      1.00000
    472      -1.3240      1.00000
    473      -1.3240      1.00000
    474      -1.3181      1.00000
    475      -1.3181      1.00000
    476      -1.3128      1.00000
    477      -1.3107      1.00000
    478      -1.3105      1.00000
    479      -1.3105      1.00000
    480      -1.3077      1.00000
    481      -1.3055      1.00000
    482      -1.3055      1.00000
    483      -1.3049      1.00000
    484      -1.2902      1.00000
    485      -1.2902      1.00000
    486      -1.2894      1.00000
    487      -1.2893      1.00000
    488      -1.2891      1.00000
    489      -1.2879      1.00000
    490      -1.2879      1.00000
    491      -1.2832      1.00000
    492      -1.2427      1.00000
    493      -1.0398      1.00000
    494      -1.0397      1.00000
    495      -0.7171      1.00000
    496      -0.7171      1.00000
    497      -0.6870      1.00000
    498      -0.6869      1.00000
    499      -0.6869      1.00000
    500      -0.6641      1.00000
    501      -0.6181      1.00000
    502      -0.6181      1.00000
    503      -0.5917      1.00000
    504      -0.5917      1.00000
    505      -0.5814      1.00000
    506      -0.5694      1.00000
    507      -0.5686      1.00000
    508      -0.5686      1.00000
    509      -0.5661      1.00000
    510      -0.5505      1.00000
    511      -0.5505      1.00000
    512      -0.4839      1.00000
    513      -0.3343      1.00000
    514      -0.3343      1.00000
    515      -0.3217      1.00000
    516      -0.3217      1.00000
    517      -0.3109      1.00000
    518      -0.3108      1.00000
    519      -0.3073      1.00000
    520      -0.3072      1.00000
    521      -0.2978      1.00000
    522      -0.2797      1.00000
    523      -0.2797      1.00000
    524      -0.0161      1.00000
    525      -0.0161      1.00000
    526       0.0308      1.00000
    527       0.0308      1.00000
    528       0.0398      1.00000
    529       0.0677      1.00000
    530       0.0685      1.00000
    531       0.0685      1.00000
    532       0.0731      1.00000
    533       0.0802      1.00000
    534       0.0806      1.00000
    535       0.0808      1.00000
    536       0.0808      1.00000
    537       0.0815      1.00000
    538       0.0815      1.00000
    539       0.0821      1.00000
    540       0.0821      1.00000
    541       0.0834      1.00000
    542       0.0840      1.00000
    543       0.0840      1.00000
    544       0.0940      1.00000
    545       0.1008      1.00000
    546       0.1008      1.00000
    547       0.1674      1.00000
    548       0.2166      1.00000
    549       0.2166      1.00000
    550       0.2419      1.00000
    551       0.2419      1.00000
    552       0.2447      1.00000
    553       0.2892      1.00000
    554       0.6957      1.00000
    555       0.6957      1.00000
    556       0.7106      1.00000
    557       0.7123      1.00000
    558       0.7123      1.00000
    559       0.7241      1.00000
    560       0.7241      1.00000
    561       0.7253      1.00000
    562       0.7260      1.00000
    563       0.7329      1.00000
    564       0.7345      1.00000
    565       0.7345      1.00000
    566       0.7411      1.00000
    567       0.7411      1.00000
    568       0.7897      1.00000
    569       1.1786      1.00000
    570       1.1786      1.00000
    571       1.2034      1.00000
    572       1.2062      1.00000
    573       1.2588      1.00000
    574       1.2588      1.00000
    575       1.2719      1.00000
    576       1.2736      1.00000
    577       7.2775      0.00000
    578       7.2775      0.00000
    579       7.3013      0.00000
    580       7.7598      0.00000
    581       7.7617      0.00000
    582       7.7790      0.00000
    583       7.7790      0.00000
    584       7.7827      0.00000
    585       7.7827      0.00000
    586       7.7885      0.00000
    587       7.7889      0.00000
    588       7.7889      0.00000
    589       7.8237      0.00000
    590       7.9917      0.00000
    591       7.9929      0.00000
    592       8.0161      0.00000
    593       8.0161      0.00000
    594       8.0521      0.00000
    595       8.2745      0.00000
    596       8.2873      0.00000
    597       8.3159      0.00000
    598       8.3159      0.00000
    599       8.3329      0.00000
    600       8.3329      0.00000
    601       8.3349      0.00000
    602       8.3349      0.00000
    603       8.3409      0.00000
    604       8.3574      0.00000
    605       8.3574      0.00000
    606       8.4003      0.00000
    607       8.4791      0.00000
    608       8.5226      0.00000
    609       8.5751      0.00000
    610       8.5751      0.00000
    611       8.5907      0.00000
    612       8.5933      0.00000
    613       8.5933      0.00000
    614       8.5946      0.00000
    615       8.5946      0.00000
    616       8.5995      0.00000
    617       8.6005      0.00000
    618       8.6005      0.00000
    619       8.6017      0.00000
    620       8.6017      0.00000
    621       8.6033      0.00000
    622       8.6036      0.00000
    623       8.6036      0.00000
    624       8.6048      0.00000
    625       8.6164      0.00000
    626       8.6300      0.00000
    627       8.6300      0.00000
    628       8.6352      0.00000
    629       8.6823      0.00000
    630       8.6823      0.00000
    631       8.6962      0.00000
    632       8.8068      0.00000
    633       8.8128      0.00000
    634       8.8128      0.00000
    635       8.9645      0.00000
    636       8.9645      0.00000
    637       8.9837      0.00000
    638       8.9837      0.00000
    639       8.9860      0.00000
    640       9.2022      0.00000
    641       9.2360      0.00000
    642       9.2560      0.00000
    643       9.2560      0.00000
    644       9.2751      0.00000
    645       9.2751      0.00000
    646       9.2850      0.00000
    647       9.2856      0.00000
    648       9.3016      0.00000
    649       9.3016      0.00000
    650       9.3346      0.00000
    651       9.3346      0.00000
    652       9.8451      0.00000
    653      10.0877      0.00000
    654      10.2105      0.00000
    655      10.2105      0.00000
    656      10.2298      0.00000
    657      10.2335      0.00000
    658      10.2335      0.00000
    659      10.2835      0.00000
    660      10.3386      0.00000
    661      10.3386      0.00000
    662      10.3497      0.00000
    663      10.3503      0.00000
    664      10.3503      0.00000
    665      10.3518      0.00000
    666      10.3518      0.00000
    667      10.3523      0.00000
    668      10.3806      0.00000
    669      10.4282      0.00000
    670      10.4282      0.00000
    671      10.6507      0.00000
    672      10.6586      0.00000
    673      10.6638      0.00000
    674      10.6638      0.00000
    675      10.6924      0.00000
    676      10.6924      0.00000
    677      10.6944      0.00000
    678      10.8798      0.00000
    679      11.0446      0.00000
    680      11.1701      0.00000
    681      11.1701      0.00000
    682      11.1740      0.00000
    683      11.1793      0.00000
    684      11.1793      0.00000
    685      11.2185      0.00000
    686      11.2185      0.00000
    687      11.2290      0.00000
    688      11.2370      0.00000
    689      11.2370      0.00000
    690      11.2478      0.00000
    691      11.2478      0.00000
    692      11.2525      0.00000
    693      11.2564      0.00000
    694      11.2564      0.00000
    695      11.2607      0.00000
    696      11.2634      0.00000
    697      11.2634      0.00000
    698      11.2685      0.00000
    699      11.2685      0.00000
    700      11.2691      0.00000
    701      11.3374      0.00000
    702      11.3374      0.00000
    703      11.3388      0.00000
    704      11.3388      0.00000
    705      11.3420      0.00000
    706      11.3458      0.00000
    707      11.3465      0.00000
    708      11.3465      0.00000
    709      11.3546      0.00000
    710      11.3702      0.00000
    711      11.3817      0.00000
    712      11.3984      0.00000
    713      11.3984      0.00000
    714      11.9154      0.00000
    715      11.9231      0.00000
    716      11.9231      0.00000
    717      11.9333      0.00000
    718      11.9521      0.00000
    719      11.9553      0.00000
    720      11.9553      0.00000
    721      12.0609      0.00000
    722      12.0609      0.00000
    723      12.0838      0.00000
    724      12.1006      0.00000
    725      12.1089      0.00000
    726      12.1089      0.00000
    727      12.7725      0.00000
    728      12.7725      0.00000
    729      13.0104      0.00000
    730      13.0414      0.00000
    731      13.0414      0.00000
    732      13.3656      0.00000
    733      13.3679      0.00000
    734      13.3679      0.00000
    735      13.3720      0.00000
    736      13.4022      0.00000
    737      13.4022      0.00000
    738      13.4042      0.00000
    739      13.4042      0.00000
    740      13.4166      0.00000
    741      13.4187      0.00000
    742      13.4187      0.00000
    743      13.4234      0.00000
    744      13.4234      0.00000
    745      13.4311      0.00000
    746      13.4373      0.00000
    747      13.4381      0.00000
    748      13.4381      0.00000
    749      13.4416      0.00000
    750      13.4428      0.00000
    751      13.4428      0.00000
    752      13.4604      0.00000
    753      13.4604      0.00000
    754      13.4617      0.00000
    755      13.4996      0.00000
    756      13.6010      0.00000
    757      13.6010      0.00000
    758      13.6286      0.00000
    759      13.6395      0.00000
    760      13.6462      0.00000
    761      13.6462      0.00000
    762      13.6510      0.00000
    763      13.6510      0.00000
    764      13.6536      0.00000
    765      13.6558      0.00000
    766      13.6558      0.00000
    767      13.6675      0.00000
    768      13.7057      0.00000
    769      13.7057      0.00000
    770      13.7250      0.00000
    771      13.7250      0.00000
    772      13.7514      0.00000
    773      13.7536      0.00000
    774      13.7536      0.00000
    775      13.7902      0.00000
    776      13.8145      0.00000
    777      14.1006      0.00000
    778      14.1006      0.00000
    779      14.1538      0.00000
    780      14.2888      0.00000
    781      14.2888      0.00000
    782      14.3177      0.00000
    783      14.3177      0.00000
    784      14.3189      0.00000
    785      14.3189      0.00000
    786      14.3322      0.00000
    787      14.3373      0.00000
    788      14.3463      0.00000
    789      14.3463      0.00000
    790      14.4524      0.00000
    791      14.5148      0.00000
    792      14.5647      0.00000
    793      14.5647      0.00000
    794      14.6663      0.00000
    795      14.6808      0.00000
    796      14.6809      0.00000
    797      14.7327      0.00000
    798      14.8031      0.00000
    799      14.8031      0.00000
    800      14.8588      0.00000
    801      14.8604      0.00000
    802      14.8604      0.00000
    803      14.8680      0.00000
    804      14.8745      0.00000
    805      14.8745      0.00000
    806      14.8792      0.00000
    807      14.8812      0.00000
    808      14.8812      0.00000
    809      14.9016      0.00000
    810      14.9016      0.00000
    811      14.9021      0.00000
    812      14.9100      0.00000
    813      14.9100      0.00000
    814      14.9650      0.00000
    815      15.0426      0.00000
    816      15.0426      0.00000
    817      15.0670      0.00000
    818      15.0670      0.00000
    819      15.0851      0.00000
    820      15.1168      0.00000
    821      15.1168      0.00000
    822      15.1474      0.00000
    823      15.1877      0.00000
    824      15.1877      0.00000
    825      15.1938      0.00000
    826      15.2101      0.00000
    827      15.2225      0.00000
    828      15.2225      0.00000
    829      15.2369      0.00000
    830      15.2369      0.00000
    831      15.2440      0.00000
    832      15.2440      0.00000
    833      15.2521      0.00000
    834      15.2533      0.00000
    835      15.2686      0.00000
    836      15.2771      0.00000
    837      15.2771      0.00000
    838      15.2840      0.00000
    839      15.2840      0.00000
    840      15.2860      0.00000
    841      15.2860      0.00000
    842      15.2890      0.00000
    843      15.2893      0.00000
    844      15.2907      0.00000
    845      15.2907      0.00000
    846      15.3024      0.00000
    847      15.3079      0.00000
    848      15.3079      0.00000
    849      15.3107      0.00000
    850      15.3107      0.00000
    851      15.3410      0.00000
    852      15.3410      0.00000
    853      15.3572      0.00000
    854      15.3572      0.00000
    855      15.3608      0.00000
    856      15.3666      0.00000
    857      15.3752      0.00000
    858      15.3752      0.00000
    859      15.4026      0.00000
    860      15.4027      0.00000
    861      15.5065      0.00000
    862      15.5066      0.00000
    863      15.5276      0.00000
    864      15.5645      0.00000
    865      15.5645      0.00000
    866      15.6145      0.00000
    867      15.6145      0.00000
