
 Fermi energy:         7.1413136480

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -19.0009      1.00000
      2     -18.8867      1.00000
      3     -18.7945      1.00000
      4     -18.6775      1.00000
      5     -18.4824      1.00000
      6     -18.4410      1.00000
      7     -18.4198      1.00000
      8     -18.4043      1.00000
      9     -18.3803      1.00000
     10     -18.3192      1.00000
     11     -18.3161      1.00000
     12     -18.3117      1.00000
     13     -18.3038      1.00000
     14     -18.2926      1.00000
     15     -18.2770      1.00000
     16     -18.2278      1.00000
     17     -18.2186      1.00000
     18     -18.2180      1.00000
     19     -18.1911      1.00000
     20     -18.1867      1.00000
     21     -18.1445      1.00000
     22     -18.1156      1.00000
     23     -18.1140      1.00000
     24     -18.1110      1.00000
     25     -18.1032      1.00000
     26     -18.0843      1.00000
     27     -18.0789      1.00000
     28     -17.8960      1.00000
     29     -17.3883      1.00000
     30     -17.2970      1.00000
     31     -17.2603      1.00000
     32     -17.2416      1.00000
     33     -17.2348      1.00000
     34     -17.2124      1.00000
     35     -17.2018      1.00000
     36     -17.1889      1.00000
     37     -17.1706      1.00000
     38     -17.1525      1.00000
     39     -17.1406      1.00000
     40     -17.0976      1.00000
     41     -17.0955      1.00000
     42     -17.0920      1.00000
     43     -17.0877      1.00000
     44     -17.0855      1.00000
     45     -17.0803      1.00000
     46     -17.0718      1.00000
     47     -17.0155      1.00000
     48     -17.0080      1.00000
     49     -17.0034      1.00000
     50     -16.9930      1.00000
     51     -16.9883      1.00000
     52     -16.9702      1.00000
     53     -16.8285      1.00000
     54     -16.7986      1.00000
     55     -16.7506      1.00000
     56     -16.7279      1.00000
     57     -16.7252      1.00000
     58     -16.7106      1.00000
     59     -16.7041      1.00000
     60     -16.6986      1.00000
     61     -16.6725      1.00000
     62     -16.6188      1.00000
     63     -16.6136      1.00000
     64     -16.6073      1.00000
     65     -16.6062      1.00000
     66     -16.6042      1.00000
     67     -16.5975      1.00000
     68     -16.5954      1.00000
     69     -16.5899      1.00000
     70     -16.5365      1.00000
     71     -16.5348      1.00000
     72     -16.5306      1.00000
     73     -16.5232      1.00000
     74     -16.4977      1.00000
     75     -16.4944      1.00000
     76     -15.9784      1.00000
     77     -15.7201      1.00000
     78     -15.6551      1.00000
     79     -15.6156      1.00000
     80     -15.5971      1.00000
     81     -15.5718      1.00000
     82     -15.5358      1.00000
     83     -15.5313      1.00000
     84     -15.5165      1.00000
     85     -15.5141      1.00000
     86     -15.5117      1.00000
     87     -15.5092      1.00000
     88     -15.5066      1.00000
     89     -15.5065      1.00000
     90     -15.5022      1.00000
     91     -15.4994      1.00000
     92     -15.4974      1.00000
     93     -15.4964      1.00000
     94     -15.4912      1.00000
     95     -15.4881      1.00000
     96     -15.4718      1.00000
     97     -15.4619      1.00000
     98     -15.4530      1.00000
     99     -15.4457      1.00000
