
 Fermi energy:         1.6493299124

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -19.6770      1.00000
      2     -19.3575      1.00000
      3     -19.1393      1.00000
      4     -18.8329      1.00000
      5     -18.7422      1.00000
      6     -18.7364      1.00000
      7     -18.7314      1.00000
      8     -18.7040      1.00000
      9     -18.5446      1.00000
     10     -18.4053      1.00000
     11     -18.2098      1.00000
     12     -18.2086      1.00000
     13     -18.1729      1.00000
     14     -18.1682      1.00000
     15     -18.1516      1.00000
     16     -18.1515      1.00000
     17     -18.0913      1.00000
     18     -18.0898      1.00000
     19     -18.0678      1.00000
     20     -18.0667      1.00000
     21     -18.0539      1.00000
     22     -18.0347      1.00000
     23     -17.9805      1.00000
     24     -17.9691      1.00000
     25     -17.9214      1.00000
     26     -17.8429      1.00000
     27     -17.8216      1.00000
     28     -17.8213      1.00000
     29     -17.7897      1.00000
     30     -17.7888      1.00000
     31     -17.7751      1.00000
     32     -17.7513      1.00000
     33     -17.7484      1.00000
     34     -17.4153      1.00000
     35     -17.3348      1.00000
     36     -17.3292      1.00000
     37     -17.2360      1.00000
     38     -17.1290      1.00000
     39     -17.1216      1.00000
     40     -17.0346      1.00000
     41     -17.0340      1.00000
     42     -17.0227      1.00000
     43     -17.0198      1.00000
     44     -17.0178      1.00000
     45     -17.0159      1.00000
     46     -17.0102      1.00000
     47     -17.0075      1.00000
     48     -17.0051      1.00000
     49     -16.9994      1.00000
     50     -16.9983      1.00000
     51     -16.9910      1.00000
     52     -16.8928      1.00000
     53     -16.7150      1.00000
     54     -16.7137      1.00000
     55     -16.7104      1.00000
     56     -16.7090      1.00000
     57     -16.7051      1.00000
     58     -16.7049      1.00000
     59     -16.6987      1.00000
     60     -16.5272      1.00000
     61     -16.5253      1.00000
     62     -16.5230      1.00000
     63     -16.5221      1.00000
     64     -16.5220      1.00000
     65     -16.5156      1.00000
     66     -16.5144      1.00000
     67     -16.5135      1.00000
     68     -16.5127      1.00000
     69     -16.5092      1.00000
     70     -16.5085      1.00000
     71     -16.5059      1.00000
     72     -16.3870      1.00000
     73     -16.2281      1.00000
     74     -16.2260      1.00000
     75     -16.2245      1.00000
     76     -16.2238      1.00000
     77     -16.2235      1.00000
     78     -16.2226      1.00000
     79     -16.2205      1.00000
     80     -16.1562      1.00000
     81     -16.1237      1.00000
     82     -15.9377      1.00000
     83     -15.9274      1.00000
     84     -15.8569      1.00000
     85     -15.8507      1.00000
     86     -15.7705      1.00000
     87     -15.7481      1.00000
     88     -15.7430      1.00000
     89     -15.6997      1.00000
     90     -15.6552      1.00000
     91     -15.4703      1.00000
     92     -15.4682      1.00000
     93     -15.4444      1.00000
     94     -15.4440      1.00000
     95     -15.3970      1.00000
     96     -15.3926      1.00000
     97     -15.3754      1.00000
     98     -15.3743      1.00000
     99     -15.3698      1.00000
    100     -15.3681      1.00000
    101     -15.3601      1.00000
    102     -15.3550      1.00000
    103     -15.3111      1.00000
    104     -15.3059      1.00000
    105     -15.3004      1.00000
    106     -15.2985      1.00000
    107     -15.2945      1.00000
    108     -15.2938      1.00000
    109     -15.2923      1.00000
    110     -15.2895      1.00000
    111     -15.2689      1.00000
    112     -15.2683      1.00000
    113     -15.2627      1.00000
    114     -15.2620      1.00000
    115     -15.1964      1.00000
    116     -15.1954      1.00000
    117     -15.1952      1.00000
    118     -15.1928      1.00000
    119     -15.1920      1.00000
    120     -15.1885      1.00000
    121     -15.1872      1.00000
