
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -19.0119      1.00000
      2     -18.8514      1.00000
      3     -18.7877      1.00000
      4     -18.6542      1.00000
      5     -18.4928      1.00000
      6     -18.4741      1.00000
      7     -18.4365      1.00000
      8     -18.4148      1.00000
      9     -18.4139      1.00000
     10     -18.2884      1.00000
     11     -18.2723      1.00000
     12     -18.2716      1.00000
     13     -18.2611      1.00000
     14     -18.2593      1.00000
     15     -18.2526      1.00000
     16     -18.2101      1.00000
     17     -18.2076      1.00000
     18     -18.2027      1.00000
     19     -18.1919      1.00000
     20     -18.1847      1.00000
     21     -18.1593      1.00000
     22     -18.1194      1.00000
     23     -18.0832      1.00000
     24     -18.0822      1.00000
     25     -18.0776      1.00000
     26     -18.0704      1.00000
     27     -18.0626      1.00000
     28     -17.9888      1.00000
     29     -17.3996      1.00000
     30     -17.3365      1.00000
     31     -17.3308      1.00000
     32     -17.2710      1.00000
     33     -17.2527      1.00000
     34     -17.1828      1.00000
     35     -17.1551      1.00000
     36     -17.1488      1.00000
     37     -17.1480      1.00000
     38     -17.1360      1.00000
     39     -17.1302      1.00000
     40     -17.0893      1.00000
     41     -17.0877      1.00000
     42     -17.0862      1.00000
     43     -17.0810      1.00000
     44     -17.0794      1.00000
     45     -17.0768      1.00000
     46     -17.0731      1.00000
     47     -16.9880      1.00000
     48     -16.9840      1.00000
     49     -16.9839      1.00000
     50     -16.9759      1.00000
     51     -16.9733      1.00000
     52     -16.9626      1.00000
     53     -16.8812      1.00000
     54     -16.8483      1.00000
     55     -16.7851      1.00000
     56     -16.7765      1.00000
     57     -16.7484      1.00000
     58     -16.6673      1.00000
     59     -16.6605      1.00000
     60     -16.6571      1.00000
     61     -16.6495      1.00000
     62     -16.6470      1.00000
     63     -16.6393      1.00000
     64     -16.6007      1.00000
     65     -16.6002      1.00000
     66     -16.5987      1.00000
     67     -16.5940      1.00000
     68     -16.5921      1.00000
     69     -16.5891      1.00000
     70     -16.5134      1.00000
     71     -16.5097      1.00000
     72     -16.5072      1.00000
     73     -16.5055      1.00000
     74     -16.5017      1.00000
     75     -16.4981      1.00000
     76     -16.1958      1.00000
     77     -15.8862      1.00000
     78     -15.6824      1.00000
     79     -15.6640      1.00000
     80     -15.6431      1.00000
     81     -15.6138      1.00000
     82     -15.5937      1.00000
     83     -15.5830      1.00000
     84     -15.5606      1.00000
     85     -15.5523      1.00000
     86     -15.5140      1.00000
     87     -15.5011      1.00000
     88     -15.4768      1.00000
     89     -15.4639      1.00000
     90     -15.4621      1.00000
     91     -15.4583      1.00000
     92     -15.4581      1.00000
     93     -15.4578      1.00000
     94     -15.4557      1.00000
