
 Fermi energy:         1.7362670617

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -19.7014      1.00000
      2     -19.3525      1.00000
      3     -19.3525      1.00000
      4     -18.9154      1.00000
      5     -18.9154      1.00000
      6     -18.8629      1.00000
      7     -18.6866      1.00000
      8     -18.6702      1.00000
      9     -18.6437      1.00000
     10     -18.3585      1.00000
     11     -18.1381      1.00000
     12     -18.1247      1.00000
     13     -18.1208      1.00000
     14     -18.1208      1.00000
     15     -18.0989      1.00000
     16     -18.0989      1.00000
     17     -18.0959      1.00000
     18     -18.0959      1.00000
     19     -18.0874      1.00000
     20     -18.0369      1.00000
     21     -18.0369      1.00000
     22     -18.0356      1.00000
     23     -18.0356      1.00000
     24     -18.0307      1.00000
     25     -18.0111      1.00000
     26     -17.9283      1.00000
     27     -17.9283      1.00000
     28     -17.7891      1.00000
     29     -17.7774      1.00000
     30     -17.7774      1.00000
     31     -17.7548      1.00000
     32     -17.7548      1.00000
     33     -17.7439      1.00000
     34     -17.4728      1.00000
     35     -17.4728      1.00000
     36     -17.4721      1.00000
     37     -17.3361      1.00000
     38     -17.2265      1.00000
     39     -17.2265      1.00000
     40     -17.0314      1.00000
     41     -16.9834      1.00000
     42     -16.9747      1.00000
     43     -16.9747      1.00000
     44     -16.9708      1.00000
     45     -16.9708      1.00000
     46     -16.9645      1.00000
     47     -16.9619      1.00000
     48     -16.9619      1.00000
     49     -16.9562      1.00000
     50     -16.9562      1.00000
     51     -16.9531      1.00000
     52     -16.9524      1.00000
     53     -16.9225      1.00000
     54     -16.6675      1.00000
     55     -16.6673      1.00000
     56     -16.6673      1.00000
     57     -16.6659      1.00000
     58     -16.6659      1.00000
     59     -16.6650      1.00000
     60     -16.5017      1.00000
     61     -16.5017      1.00000
     62     -16.4821      1.00000
     63     -16.4787      1.00000
     64     -16.4787      1.00000
     65     -16.4748      1.00000
     66     -16.4702      1.00000
     67     -16.4692      1.00000
     68     -16.4692      1.00000
     69     -16.4665      1.00000
     70     -16.4665      1.00000
     71     -16.4656      1.00000
     72     -16.4396      1.00000
     73     -16.4396      1.00000
     74     -16.2592      1.00000
     75     -16.2592      1.00000
     76     -16.1846      1.00000
     77     -16.1845      1.00000
     78     -16.1845      1.00000
     79     -16.1843      1.00000
     80     -16.1843      1.00000
     81     -16.1842      1.00000
     82     -16.0428      1.00000
     83     -16.0428      1.00000
     84     -15.9355      1.00000
     85     -15.9100      1.00000
     86     -15.9100      1.00000
     87     -15.8247      1.00000
     88     -15.8177      1.00000
     89     -15.7945      1.00000
     90     -15.7945      1.00000
     91     -15.3574      1.00000
     92     -15.3574      1.00000
     93     -15.3543      1.00000
     94     -15.3543      1.00000
     95     -15.3337      1.00000
     96     -15.3239      1.00000
     97     -15.3198      1.00000
     98     -15.3198      1.00000
     99     -15.3180      1.00000
    100     -15.3166      1.00000
    101     -15.3166      1.00000
    102     -15.3077      1.00000
    103     -15.2834      1.00000
    104     -15.2680      1.00000
    105     -15.2679      1.00000
    106     -15.2673      1.00000
    107     -15.2673      1.00000
    108     -15.2609      1.00000
    109     -15.2609      1.00000
    110     -15.2594      1.00000
    111     -15.2593      1.00000
    112     -15.2529      1.00000
    113     -15.2433      1.00000
    114     -15.2433      1.00000
    115     -15.2370      1.00000
    116     -15.2370      1.00000
    117     -15.1651      1.00000
    118     -15.1651      1.00000
    119     -15.1634      1.00000
    120     -15.1622      1.00000
    121     -15.1622      1.00000
    122     -15.1602      1.00000
    123     -15.0345      1.00000
    124     -15.0319      1.00000
    125     -15.0252      1.00000
    126     -15.0252      1.00000
    127     -15.0228      1.00000
    128     -15.0228      1.00000
    129     -15.0078      1.00000
    130     -15.0078      1.00000
    131     -15.0066      1.00000
    132     -15.0066      1.00000
    133     -14.9994      1.00000
    134     -14.9994      1.00000
    135     -14.9135      1.00000
    136     -14.9133      1.00000
    137     -14.9133      1.00000
    138     -14.5270      1.00000
    139     -14.5270      1.00000
    140     -14.5267      1.00000
    141     -14.5267      1.00000
    142     -14.2683      1.00000
    143     -14.2682      1.00000
    144     -10.3639      1.00000
    145      -9.8887      1.00000
    146      -9.4694      1.00000
    147      -9.4693      1.00000
    148      -9.2938      1.00000
    149      -9.2937      1.00000
    150      -8.8529      1.00000
    151      -8.7213      1.00000
    152      -8.7200      1.00000
    153      -8.7200      1.00000
    154      -8.7185      1.00000
    155      -8.7151      1.00000
    156      -8.7151      1.00000
    157      -8.6603      1.00000
    158      -8.6104      1.00000
    159      -8.5645      1.00000
    160      -8.5645      1.00000
    161      -8.4700      1.00000
    162      -8.4700      1.00000
    163      -8.4471      1.00000
    164      -8.4471      1.00000
    165      -8.4470      1.00000
    166      -8.3799      1.00000
    167      -8.3799      1.00000
