
 Fermi energy:         3.8094394244

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -18.9661      1.00000
      2     -18.8271      1.00000
      3     -18.8145      1.00000
      4     -18.6662      1.00000
      5     -18.4320      1.00000
      6     -18.3919      1.00000
      7     -18.3760      1.00000
      8     -18.3607      1.00000
      9     -18.3460      1.00000
     10     -18.3266      1.00000
     11     -18.2799      1.00000
     12     -18.2606      1.00000
     13     -18.2464      1.00000
     14     -18.2277      1.00000
     15     -18.2264      1.00000
     16     -18.2252      1.00000
     17     -18.2226      1.00000
     18     -18.2193      1.00000
     19     -18.2158      1.00000
     20     -18.2141      1.00000
     21     -18.1966      1.00000
     22     -18.1373      1.00000
     23     -18.0978      1.00000
     24     -18.0929      1.00000
     25     -18.0868      1.00000
     26     -18.0771      1.00000
     27     -18.0612      1.00000
     28     -17.9377      1.00000
     29     -17.2827      1.00000
     30     -17.2564      1.00000
     31     -17.2494      1.00000
     32     -17.2318      1.00000
     33     -17.2169      1.00000
     34     -17.2037      1.00000
     35     -17.1582      1.00000
     36     -17.1441      1.00000
     37     -17.1394      1.00000
     38     -17.1179      1.00000
     39     -17.1122      1.00000
     40     -17.1111      1.00000
     41     -17.1103      1.00000
     42     -17.1101      1.00000
     43     -17.1096      1.00000
     44     -17.1095      1.00000
     45     -17.0881      1.00000
     46     -17.0440      1.00000
     47     -17.0042      1.00000
     48     -16.9997      1.00000
     49     -16.9986      1.00000
     50     -16.9903      1.00000
     51     -16.9780      1.00000
     52     -16.9143      1.00000
     53     -16.7637      1.00000
     54     -16.7505      1.00000
     55     -16.7471      1.00000
     56     -16.7295      1.00000
     57     -16.7105      1.00000
     58     -16.6988      1.00000
     59     -16.6603      1.00000
     60     -16.6515      1.00000
     61     -16.6475      1.00000
     62     -16.6265      1.00000
     63     -16.6249      1.00000
     64     -16.6242      1.00000
     65     -16.6239      1.00000
     66     -16.6237      1.00000
     67     -16.6235      1.00000
     68     -16.6234      1.00000
     69     -16.5744      1.00000
     70     -16.5484      1.00000
     71     -16.5268      1.00000
     72     -16.5242      1.00000
     73     -16.5228      1.00000
     74     -16.5144      1.00000
     75     -16.4661      1.00000
     76     -16.2251      1.00000
     77     -15.6615      1.00000
     78     -15.5742      1.00000
     79     -15.5740      1.00000
     80     -15.5303      1.00000
     81     -15.5254      1.00000
     82     -15.5234      1.00000
     83     -15.5151      1.00000
     84     -15.5066      1.00000
     85     -15.5026      1.00000
     86     -15.4972      1.00000
     87     -15.4897      1.00000
     88     -15.4867      1.00000
     89     -15.4823      1.00000
     90     -15.4763      1.00000
     91     -15.4761      1.00000
     92     -15.4708      1.00000
     93     -15.4636      1.00000
     94     -15.4610      1.00000
     95     -15.4535      1.00000
     96     -15.4476      1.00000
     97     -15.4465      1.00000
     98     -15.4463      1.00000
     99     -15.4449      1.00000
    100     -15.4447      1.00000
    101     -15.4439      1.00000
    102     -15.4432      1.00000
    103     -15.4421      1.00000
