
 Fermi energy:         2.5988727044

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -19.0981      1.00000
      2     -18.7970      1.00000
      3     -18.7738      1.00000
      4     -18.7185      1.00000
      5     -18.5701      1.00000
      6     -18.5487      1.00000
      7     -18.4711      1.00000
      8     -18.4433      1.00000
      9     -18.3995      1.00000
     10     -18.3825      1.00000
     11     -18.2343      1.00000
     12     -18.2227      1.00000
     13     -18.2189      1.00000
     14     -18.2059      1.00000
     15     -18.1912      1.00000
     16     -18.1908      1.00000
     17     -18.1721      1.00000
     18     -18.1714      1.00000
     19     -18.1540      1.00000
     20     -18.1465      1.00000
     21     -18.1457      1.00000
     22     -18.1293      1.00000
     23     -18.0060      1.00000
     24     -17.9903      1.00000
     25     -17.9886      1.00000
     26     -17.9658      1.00000
     27     -17.9652      1.00000
     28     -17.9551      1.00000
     29     -17.5011      1.00000
     30     -17.4482      1.00000
     31     -17.4428      1.00000
     32     -17.3820      1.00000
     33     -17.3211      1.00000
     34     -17.1770      1.00000
     35     -17.0925      1.00000
     36     -17.0883      1.00000
     37     -17.0819      1.00000
     38     -17.0800      1.00000
     39     -17.0783      1.00000
     40     -17.0768      1.00000
     41     -17.0689      1.00000
     42     -17.0680      1.00000
     43     -17.0585      1.00000
     44     -17.0578      1.00000
     45     -17.0540      1.00000
     46     -17.0444      1.00000
     47     -16.9624      1.00000
     48     -16.9239      1.00000
     49     -16.9088      1.00000
     50     -16.8912      1.00000
     51     -16.8892      1.00000
     52     -16.8854      1.00000
     53     -16.8824      1.00000
     54     -16.8815      1.00000
     55     -16.8800      1.00000
     56     -16.8764      1.00000
     57     -16.8227      1.00000
     58     -16.6353      1.00000
     59     -16.5924      1.00000
     60     -16.5922      1.00000
     61     -16.5918      1.00000
     62     -16.5900      1.00000
     63     -16.5871      1.00000
     64     -16.5827      1.00000
     65     -16.5759      1.00000
     66     -16.5759      1.00000
     67     -16.5722      1.00000
     68     -16.5722      1.00000
     69     -16.5698      1.00000
     70     -16.5006      1.00000
     71     -16.4061      1.00000
     72     -16.4052      1.00000
     73     -16.4046      1.00000
     74     -16.4045      1.00000
     75     -16.4042      1.00000
     76     -16.4017      1.00000
     77     -16.0332      1.00000
     78     -15.8602      1.00000
     79     -15.8204      1.00000
     80     -15.7141      1.00000
     81     -15.6772      1.00000
     82     -15.6699      1.00000
     83     -15.6425      1.00000
     84     -15.6375      1.00000
     85     -15.5949      1.00000
     86     -15.5847      1.00000
     87     -15.5826      1.00000
     88     -15.5583      1.00000
     89     -15.5155      1.00000
     90     -15.4844      1.00000
     91     -15.4694      1.00000
     92     -15.4629      1.00000
     93     -15.4554      1.00000
     94     -15.4526      1.00000
     95     -15.4319      1.00000
     96     -15.4228      1.00000
     97     -15.4165      1.00000
     98     -15.4147      1.00000
     99     -15.4138      1.00000
    100     -15.4102      1.00000
    101     -15.4100      1.00000
    102     -15.4034      1.00000
    103     -15.3822      1.00000
    104     -15.3808      1.00000
    105     -15.3805      1.00000
    106     -15.3755      1.00000
    107     -15.3745      1.00000
    108     -15.3701      1.00000
    109     -15.3687      1.00000
    110     -15.3679      1.00000
    111     -15.3646      1.00000
    112     -15.3640      1.00000
    113     -15.3538      1.00000
    114     -15.3535      1.00000
    115     -15.2817      1.00000
    116     -15.2804      1.00000
    117     -15.2798      1.00000
    118     -15.2739      1.00000
    119     -15.2730      1.00000
    120     -15.2726      1.00000
    121     -15.2625      1.00000
    122     -15.2580      1.00000
    123     -15.2536      1.00000
    124     -15.2528      1.00000
    125     -15.2494      1.00000
    126     -15.2490      1.00000
    127     -15.2379      1.00000
    128     -15.2377      1.00000
    129     -15.2349      1.00000
    130     -15.2348      1.00000
    131     -15.2312      1.00000
    132     -15.2304      1.00000
    133     -15.1484      1.00000
    134     -15.1482      1.00000
    135     -15.1482      1.00000
    136     -14.9693      1.00000
    137     -14.8905      1.00000
    138     -14.6352      1.00000
    139     -14.6348      1.00000
    140     -14.6344      1.00000
    141     -14.6341      1.00000
    142     -14.5053      1.00000
    143     -14.5052      1.00000
    144      -9.3111      1.00000
    145      -9.1284      1.00000
    146      -9.0368      1.00000
    147      -8.9708      1.00000
    148      -8.8269      1.00000
    149      -8.8251      1.00000
    150      -8.8236      1.00000
    151      -8.8221      1.00000
    152      -8.8207      1.00000
    153      -8.8187      1.00000
    154      -8.6830      1.00000
    155      -8.6828      1.00000
    156      -8.6828      1.00000
    157      -8.4495      1.00000
    158      -8.3374      1.00000
    159      -8.2270      1.00000
    160      -8.1989      1.00000
    161      -8.1539      1.00000
    162      -8.1255      1.00000
    163      -8.1165      1.00000
    164      -8.0836      1.00000
    165      -8.0523      1.00000
    166      -7.9703      1.00000
    167      -7.9240      1.00000
