
 Fermi energy:         7.1800734246

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -18.9583      1.00000
      2     -18.8142      1.00000
      3     -18.8069      1.00000
      4     -18.6540      1.00000
      5     -18.3971      1.00000
      6     -18.3971      1.00000
      7     -18.3612      1.00000
      8     -18.3453      1.00000
      9     -18.3453      1.00000
     10     -18.3311      1.00000
     11     -18.2484      1.00000
     12     -18.2484      1.00000
     13     -18.2421      1.00000
     14     -18.2280      1.00000
     15     -18.2136      1.00000
     16     -18.2136      1.00000
     17     -18.2030      1.00000
     18     -18.2030      1.00000
     19     -18.2016      1.00000
     20     -18.2016      1.00000
     21     -18.1977      1.00000
     22     -18.1320      1.00000
     23     -18.0717      1.00000
     24     -18.0717      1.00000
     25     -18.0618      1.00000
     26     -18.0595      1.00000
     27     -18.0595      1.00000
     28     -17.9152      1.00000
     29     -17.2581      1.00000
     30     -17.2449      1.00000
     31     -17.2449      1.00000
     32     -17.2035      1.00000
     33     -17.2035      1.00000
     34     -17.1965      1.00000
     35     -17.1313      1.00000
     36     -17.1223      1.00000
     37     -17.1223      1.00000
     38     -17.1155      1.00000
     39     -17.1017      1.00000
     40     -17.1017      1.00000
     41     -17.0959      1.00000
     42     -17.0945      1.00000
     43     -17.0945      1.00000
     44     -17.0677      1.00000
     45     -17.0677      1.00000
     46     -17.0372      1.00000
     47     -16.9808      1.00000
     48     -16.9777      1.00000
     49     -16.9777      1.00000
     50     -16.9607      1.00000
     51     -16.9607      1.00000
     52     -16.9476      1.00000
     53     -16.7510      1.00000
     54     -16.7510      1.00000
     55     -16.7182      1.00000
     56     -16.6954      1.00000
     57     -16.6954      1.00000
     58     -16.6823      1.00000
     59     -16.6371      1.00000
     60     -16.6371      1.00000
     61     -16.6246      1.00000
     62     -16.6124      1.00000
     63     -16.6124      1.00000
     64     -16.6120      1.00000
     65     -16.6115      1.00000
     66     -16.6114      1.00000
     67     -16.6072      1.00000
     68     -16.5591      1.00000
     69     -16.5590      1.00000
     70     -16.5299      1.00000
     71     -16.5057      1.00000
     72     -16.5057      1.00000
     73     -16.4966      1.00000
     74     -16.4621      1.00000
     75     -16.4620      1.00000
     76     -16.1457      1.00000
     77     -15.5709      1.00000
     78     -15.5709      1.00000
     79     -15.5044      1.00000
     80     -15.5000      1.00000
     81     -15.4996      1.00000
     82     -15.4996      1.00000
     83     -15.4917      1.00000
     84     -15.4915      1.00000
     85     -15.4843      1.00000
     86     -15.4843      1.00000
     87     -15.4717      1.00000
     88     -15.4717      1.00000
     89     -15.4717      1.00000
     90     -15.4491      1.00000
     91     -15.4491      1.00000
     92     -15.4426      1.00000
     93     -15.4399      1.00000
     94     -15.4399      1.00000
     95     -15.4353      1.00000
     96     -15.4353      1.00000
     97     -15.4322      1.00000
     98     -15.4315      1.00000
     99     -15.4293      1.00000
    100     -15.4293      1.00000
    101     -15.4200      1.00000
    102     -15.4197      1.00000
    103     -15.4197      1.00000
    104     -15.4190      1.00000
    105     -15.4190      1.00000
    106     -15.4183      1.00000
    107     -15.4183      1.00000
    108     -15.4153      1.00000
    109     -15.4145      1.00000
    110     -15.3848      1.00000
    111     -15.3779      1.00000
    112     -15.3779      1.00000
    113     -15.3686      1.00000
    114     -15.3686      1.00000
    115     -15.3669      1.00000
    116     -15.3624      1.00000
    117     -15.3587      1.00000
    118     -15.3587      1.00000
    119     -15.3508      1.00000
    120     -15.3508      1.00000
    121     -15.3497      1.00000
    122     -15.3486      1.00000
    123     -15.3343      1.00000
    124     -15.3343      1.00000
    125     -15.3217      1.00000
    126     -15.3191      1.00000
    127     -15.3190      1.00000
    128     -15.3190      1.00000
    129     -15.2961      1.00000
    130     -15.2960      1.00000
    131     -15.2789      1.00000
    132     -15.2789      1.00000
    133     -15.2781      1.00000
    134     -14.9676      1.00000
    135     -14.9676      1.00000
    136     -14.7841      1.00000
