
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -19.0604      1.00000
      2     -18.8029      1.00000
      3     -18.7431      1.00000
      4     -18.5997      1.00000
      5     -18.5619      1.00000
      6     -18.5164      1.00000
      7     -18.4808      1.00000
      8     -18.4486      1.00000
      9     -18.4272      1.00000
     10     -18.2912      1.00000
     11     -18.2104      1.00000
     12     -18.2070      1.00000
     13     -18.1993      1.00000
     14     -18.1972      1.00000
     15     -18.1948      1.00000
     16     -18.1839      1.00000
     17     -18.1530      1.00000
     18     -18.1502      1.00000
     19     -18.1356      1.00000
     20     -18.1339      1.00000
     21     -18.1293      1.00000
     22     -18.1272      1.00000
     23     -18.0163      1.00000
     24     -18.0133      1.00000
     25     -18.0093      1.00000
     26     -18.0050      1.00000
     27     -18.0044      1.00000
     28     -18.0014      1.00000
     29     -17.4179      1.00000
     30     -17.3889      1.00000
     31     -17.3705      1.00000
     32     -17.2918      1.00000
     33     -17.2515      1.00000
     34     -17.1970      1.00000
     35     -17.0889      1.00000
     36     -17.0875      1.00000
     37     -17.0848      1.00000
     38     -17.0832      1.00000
     39     -17.0805      1.00000
     40     -17.0754      1.00000
     41     -17.0530      1.00000
     42     -17.0431      1.00000
     43     -17.0364      1.00000
     44     -17.0333      1.00000
     45     -17.0298      1.00000
     46     -17.0284      1.00000
     47     -16.9301      1.00000
     48     -16.9223      1.00000
     49     -16.9194      1.00000
     50     -16.9179      1.00000
     51     -16.9173      1.00000
     52     -16.9143      1.00000
     53     -16.9141      1.00000
     54     -16.8827      1.00000
     55     -16.8383      1.00000
     56     -16.7470      1.00000
     57     -16.7199      1.00000
     58     -16.6181      1.00000
     59     -16.5966      1.00000
     60     -16.5940      1.00000
     61     -16.5912      1.00000
     62     -16.5856      1.00000
     63     -16.5786      1.00000
     64     -16.5612      1.00000
     65     -16.5497      1.00000
     66     -16.5491      1.00000
     67     -16.5486      1.00000
     68     -16.5476      1.00000
     69     -16.5440      1.00000
     70     -16.4621      1.00000
     71     -16.4441      1.00000
     72     -16.4420      1.00000
     73     -16.4418      1.00000
     74     -16.4404      1.00000
     75     -16.4373      1.00000
     76     -16.3195      1.00000
     77     -15.7459      1.00000
     78     -15.7415      1.00000
     79     -15.6761      1.00000
     80     -15.6527      1.00000
     81     -15.6471      1.00000
     82     -15.6328      1.00000
     83     -15.6219      1.00000
     84     -15.6189      1.00000
     85     -15.6025      1.00000
     86     -15.5300      1.00000
     87     -15.5059      1.00000
     88     -15.5007      1.00000
     89     -15.4365      1.00000
     90     -15.4165      1.00000
     91     -15.4067      1.00000
     92     -15.4030      1.00000
     93     -15.3996      1.00000
     94     -15.3939      1.00000
     95     -15.3896      1.00000
     96     -15.3882      1.00000
     97     -15.3868      1.00000
     98     -15.3858      1.00000
     99     -15.3845      1.00000
    100     -15.3812      1.00000
    101     -15.3798      1.00000
    102     -15.3787      1.00000
    103     -15.3777      1.00000
    104     -15.3735      1.00000
    105     -15.3693      1.00000
    106     -15.3680      1.00000
    107     -15.3572      1.00000
    108     -15.3569      1.00000
    109     -15.3533      1.00000
    110     -15.3528      1.00000
    111     -15.3496      1.00000
    112     -15.3465      1.00000
    113     -15.3121      1.00000
    114     -15.3047      1.00000
    115     -15.3007      1.00000
    116     -15.2990      1.00000
    117     -15.2964      1.00000
    118     -15.2931      1.00000
    119     -15.2915      1.00000
    120     -15.2896      1.00000
    121     -15.2886      1.00000
    122     -15.2861      1.00000
    123     -15.2851      1.00000
    124     -15.2832      1.00000
    125     -15.2738      1.00000
    126     -15.2673      1.00000
    127     -15.2650      1.00000
    128     -15.2627      1.00000
    129     -15.2564      1.00000
    130     -15.2520      1.00000
    131     -15.2112      1.00000
    132     -15.2064      1.00000
    133     -15.2043      1.00000
    134     -15.1561      1.00000
    135     -15.1388      1.00000
    136     -14.9669      1.00000
    137     -14.6292      1.00000
    138     -14.6106      1.00000
    139     -14.6103      1.00000
    140     -14.6091      1.00000
    141     -14.6088      1.00000
    142     -14.5723      1.00000
    143     -14.5699      1.00000
    144     -14.5597      1.00000
    145      -9.0743      1.00000
    146      -9.0691      1.00000
    147      -8.9541      1.00000
    148      -8.8064      1.00000
    149      -8.8044      1.00000
    150      -8.8028      1.00000
    151      -8.8008      1.00000
    152      -8.8001      1.00000
    153      -8.7961      1.00000
    154      -8.7463      1.00000
    155      -8.7447      1.00000
    156      -8.7422      1.00000
    157      -8.3511      1.00000
    158      -8.2910      1.00000
    159      -8.2812      1.00000
    160      -8.1398      1.00000
    161      -8.1278      1.00000
    162      -8.1191      1.00000
    163      -8.1032      1.00000
    164      -8.0544      1.00000
    165      -8.0479      1.00000
    166      -7.9904      1.00000
    167      -7.9693      1.00000
    168      -7.8888      1.00000
    169      -7.8859      1.00000
    170      -7.8820      1.00000
    171      -7.8786      1.00000
    172      -7.8740      1.00000
    173      -7.8711      1.00000
    174      -7.8692      1.00000
    175      -7.8673      1.00000
    176      -7.8632      1.00000
    177      -7.8617      1.00000
    178      -7.8606      1.00000
    179      -7.8595      1.00000
    180      -7.8583      1.00000
    181      -7.8567      1.00000
    182      -7.8542      1.00000
    183      -7.8536      1.00000
    184      -7.8526      1.00000
    185      -7.8516      1.00000
    186      -7.8510      1.00000
    187      -7.8500      1.00000
    188      -7.8454      1.00000
    189      -7.8441      1.00000
    190      -7.8429      1.00000
    191      -7.8398      1.00000
    192      -7.8132      1.00000
    193      -7.8077      1.00000
    194      -7.8063      1.00000
    195      -7.8030      1.00000
    196      -7.8008      1.00000
    197      -7.8000      1.00000
    198      -7.7975      1.00000
    199      -7.7970      1.00000
    200      -7.7963      1.00000
    201      -7.7958      1.00000
    202      -7.7946      1.00000
    203      -7.7935      1.00000
    204      -7.7918      1.00000
    205      -7.7606      1.00000
    206      -7.7574      1.00000
    207      -7.6522      1.00000
    208      -7.6516      1.00000
    209      -7.6237      1.00000
    210      -7.6236      1.00000
    211      -7.5401      1.00000
    212      -7.5398      1.00000
    213      -7.4406      1.00000
    214      -6.9503      1.00000
    215      -6.8840      1.00000
    216      -6.8835      1.00000
    217      -6.8772      1.00000
    218      -6.8767      1.00000
    219      -6.8485      1.00000
    220      -6.8414      1.00000
    221      -6.8409      1.00000
    222      -6.8226      1.00000
    223      -6.7486      1.00000
    224      -6.6075      1.00000
    225      -6.5833      1.00000
    226      -6.5282      1.00000
    227      -6.5273      1.00000
    228      -6.5265      1.00000
    229      -6.5260      1.00000
    230      -6.5238      1.00000
    231      -6.5227      1.00000
    232      -6.5222      1.00000
    233      -6.5203      1.00000
    234      -6.5187      1.00000
    235      -6.5168      1.00000
    236      -6.5166      1.00000
    237      -6.5160      1.00000
    238      -6.4601      1.00000
    239      -6.4590      1.00000
    240      -6.4577      1.00000
    241      -6.4576      1.00000
    242      -6.4566      1.00000
    243      -6.4562      1.00000
    244      -6.1568      1.00000
    245      -5.7537      1.00000
    246      -5.5758      1.00000
    247      -5.3861      1.00000
    248      -5.3474      1.00000
    249      -5.3233      1.00000
    250      -5.3161      1.00000
    251      -5.2493      1.00000
    252      -5.2036      1.00000
    253      -5.2015      1.00000
    254      -5.1634      1.00000
    255      -5.0947      1.00000
    256      -4.9905      1.00000
    257      -4.9901      1.00000
    258      -4.9870      1.00000
    259      -4.9865      1.00000
    260      -4.9847      1.00000
    261      -4.9827      1.00000
    262      -4.9822      1.00000
    263      -4.9818      1.00000
    264      -4.9788      1.00000
    265      -4.9776      1.00000
    266      -4.9760      1.00000
    267      -4.9744      1.00000
    268      -4.9653      1.00000
    269      -4.9623      1.00000
    270      -4.9613      1.00000
    271      -4.9434      1.00000
    272      -4.9432      1.00000
    273      -4.9427      1.00000
    274      -4.9396      1.00000
    275      -4.9386      1.00000
    276      -4.9384      1.00000
    277      -4.9283      1.00000
    278      -4.9121      1.00000
    279      -4.9047      1.00000
    280      -4.9014      1.00000
    281      -4.8929      1.00000
    282      -4.8780      1.00000
    283      -4.7681      1.00000
    284      -4.7673      1.00000
    285      -4.7594      1.00000
    286      -4.7584      1.00000
    287      -4.7577      1.00000
    288      -4.7576      1.00000
    289      -4.7514      1.00000
    290      -4.7466      1.00000
    291      -4.7460      1.00000
    292      -4.7442      1.00000
    293      -4.7411      1.00000
    294      -4.7405      1.00000
    295      -4.7405      1.00000
    296      -4.7404      1.00000
    297      -4.7382      1.00000
    298      -4.7369      1.00000
    299      -4.7347      1.00000
    300      -4.7342      1.00000
    301      -4.7331      1.00000
    302      -4.7294      1.00000
    303      -4.7293      1.00000
    304      -4.7249      1.00000
    305      -4.7237      1.00000
    306      -4.7215      1.00000
    307      -4.7208      1.00000
    308      -4.6925      1.00000
    309      -4.6902      1.00000
    310      -4.6898      1.00000
    311      -4.6870      1.00000
    312      -4.6859      1.00000
    313      -4.6851      1.00000
    314      -4.6836      1.00000
    315      -4.6789      1.00000
    316      -4.6782      1.00000
    317      -4.6779      1.00000
    318      -4.6772      1.00000
    319      -4.6760      1.00000
    320      -4.6758      1.00000
    321      -4.6167      1.00000
    322      -4.6119      1.00000
    323      -4.4779      1.00000
    324      -4.4648      1.00000
    325      -3.9923      1.00000
    326      -3.9775      1.00000
    327      -3.9627      1.00000
    328      -3.9612      1.00000
    329      -3.9544      1.00000
    330      -3.9459      1.00000
    331      -3.8881      1.00000
    332      -3.8863      1.00000
    333      -3.8719      1.00000
    334      -3.8701      1.00000
    335      -3.8665      1.00000
    336      -3.8474      1.00000
    337      -3.8077      1.00000
    338      -3.7395      1.00000
    339      -3.7298      1.00000
    340      -3.7097      1.00000
    341      -3.6361      1.00000
    342      -3.4982      1.00000
    343      -3.4911      1.00000
    344      -3.4681      1.00000
    345      -3.4277      1.00000
    346      -3.4258      1.00000
    347      -3.4223      1.00000
    348      -3.4182      1.00000
    349      -3.4161      1.00000
    350      -3.4122      1.00000
    351      -3.3676      1.00000
    352      -3.3662      1.00000
    353      -3.3636      1.00000
    354      -3.2829      1.00000
    355      -3.2818      1.00000
    356      -3.2791      1.00000
    357      -3.2487      1.00000
    358      -3.2469      1.00000
    359      -3.2145      1.00000
    360      -3.1754      1.00000
    361      -3.1702      1.00000
    362      -3.1684      1.00000
    363      -3.1683      1.00000
    364      -3.1678      1.00000
    365      -3.1663      1.00000
    366      -3.1661      1.00000
    367      -3.1649      1.00000
    368      -3.1638      1.00000
    369      -3.1607      1.00000
    370      -3.1569      1.00000
    371      -3.1563      1.00000
    372      -3.1537      1.00000
    373      -3.1328      1.00000
    374      -3.1202      1.00000
    375      -3.1170      1.00000
    376      -3.1155      1.00000
    377      -3.1134      1.00000
    378      -3.1127      1.00000
    379      -3.1099      1.00000
    380      -3.1084      1.00000
    381      -3.0528      1.00000
    382      -3.0362      1.00000
    383      -2.9753      1.00000
    384      -2.9674      1.00000
    385      -2.9490      1.00000
    386      -2.8788      1.00000
    387      -2.8000      1.00000
    388      -2.7996      1.00000
    389      -2.7993      1.00000
    390      -2.7970      1.00000
    391      -2.7963      1.00000
    392      -2.7931      1.00000
    393      -2.7922      1.00000
    394      -2.7911      1.00000
    395      -2.7904      1.00000
    396      -2.7872      1.00000
    397      -2.7868      1.00000
    398      -2.7844      1.00000
    399      -2.7428      1.00000
    400      -2.7418      1.00000
    401      -2.7412      1.00000
    402      -2.7399      1.00000
    403      -2.7392      1.00000
    404      -2.7388      1.00000
    405      -2.7148      1.00000
    406      -2.7089      1.00000
    407      -2.7069      1.00000
    408      -2.7007      1.00000
    409      -2.6985      1.00000
    410      -2.6930      1.00000
    411      -2.6923      1.00000
    412      -2.6913      1.00000
    413      -2.6211      1.00000
    414      -2.5438      1.00000
    415      -2.5367      1.00000
    416      -2.5119      1.00000
    417      -2.5026      1.00000
    418      -2.4988      1.00000
    419      -2.4922      1.00000
    420      -2.4903      1.00000
    421      -2.4873      1.00000
    422      -2.4844      1.00000
    423      -2.4762      1.00000
    424      -2.4746      1.00000
    425      -2.4695      1.00000
    426      -2.4688      1.00000
    427      -2.4671      1.00000
    428      -2.4597      1.00000
    429      -2.4547      1.00000
    430      -2.4526      1.00000
    431      -2.4484      1.00000
    432      -2.4286      1.00000
    433      -2.4280      1.00000
    434      -2.4271      1.00000
    435      -2.4241      1.00000
    436      -2.4233      1.00000
    437      -2.4222      1.00000
    438      -2.3895      1.00000
    439      -2.3801      1.00000
    440      -2.3794      1.00000
    441      -2.3522      1.00000
    442      -2.3320      1.00000
    443      -2.3244      1.00000
    444      -2.3009      1.00000
    445      -2.2989      1.00000
    446      -2.2955      1.00000
    447      -2.2927      1.00000
    448      -2.2908      1.00000
    449      -2.1574      1.00000
    450      -1.9067      1.00000
    451      -1.8936      1.00000
    452      -1.7903      1.00000
    453      -1.7309      1.00000
    454      -1.7128      1.00000
    455      -1.7000      1.00000
    456      -1.6655      1.00000
    457      -1.6465      1.00000
    458      -1.6368      1.00000
    459      -1.6203      1.00000
    460      -1.6189      1.00000
    461      -1.6139      1.00000
    462      -1.6118      1.00000
    463      -1.6088      1.00000
    464      -1.5626      1.00000
    465      -1.5417      1.00000
    466      -1.4446      1.00000
    467      -1.4408      1.00000
    468      -1.3945      1.00000
    469      -1.2818      1.00000
    470      -1.2805      1.00000
    471      -1.2760      1.00000
    472      -1.2755      1.00000
    473      -1.2752      1.00000
    474      -1.2729      1.00000
    475      -1.2671      1.00000
    476      -1.2657      1.00000
    477      -1.2643      1.00000
    478      -1.2614      1.00000
    479      -1.2600      1.00000
    480      -1.2579      1.00000
    481      -1.2570      1.00000
    482      -1.2554      1.00000
    483      -1.2480      1.00000
    484      -1.2473      1.00000
    485      -1.2458      1.00000
    486      -1.2185      1.00000
    487      -1.2182      1.00000
    488      -1.2176      1.00000
    489      -1.2137      1.00000
    490      -1.2132      1.00000
    491      -1.2115      1.00000
    492      -1.1642      1.00000
    493      -0.7339      1.00000
    494      -0.7324      1.00000
    495      -0.6946      1.00000
    496      -0.6710      1.00000
    497      -0.6658      1.00000
    498      -0.6538      1.00000
    499      -0.6474      1.00000
    500      -0.6432      1.00000
    501      -0.5977      1.00000
    502      -0.5776      1.00000
    503      -0.5605      1.00000
    504      -0.5563      1.00000
    505      -0.5477      1.00000
    506      -0.5431      1.00000
    507      -0.5222      1.00000
    508      -0.5196      1.00000
    509      -0.5154      1.00000
    510      -0.4812      1.00000
    511      -0.4725      1.00000
    512      -0.3691      1.00000
    513      -0.2778      1.00000
    514      -0.2750      1.00000
    515      -0.2745      1.00000
    516      -0.2729      1.00000
    517      -0.2668      1.00000
    518      -0.2585      1.00000
    519      -0.2566      1.00000
    520      -0.2290      1.00000
    521      -0.2286      1.00000
    522       0.0312      1.00000
    523       0.0504      1.00000
    524       0.0661      1.00000
    525       0.0732      1.00000
    526       0.0792      1.00000
    527       0.0838      1.00000
    528       0.1032      1.00000
    529       0.1044      1.00000
    530       0.1097      1.00000
    531       0.1150      1.00000
    532       0.1204      1.00000
    533       0.1223      1.00000
    534       0.1271      1.00000
    535       0.1309      1.00000
