
 Fermi energy:         1.4625724186

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -19.2128      1.00000
      2     -18.8313      1.00000
      3     -18.8039      1.00000
      4     -18.7618      1.00000
      5     -18.6813      1.00000
      6     -18.5566      1.00000
      7     -18.5140      1.00000
      8     -18.4425      1.00000
      9     -18.3917      1.00000
     10     -18.2732      1.00000
     11     -18.2270      1.00000
     12     -18.2269      1.00000
     13     -18.2174      1.00000
     14     -18.1837      1.00000
     15     -18.1780      1.00000
     16     -18.1775      1.00000
     17     -18.1542      1.00000
     18     -18.1406      1.00000
     19     -18.1307      1.00000
     20     -18.1244      1.00000
     21     -18.1078      1.00000
     22     -18.0852      1.00000
     23     -17.9949      1.00000
     24     -17.9791      1.00000
     25     -17.9726      1.00000
     26     -17.9477      1.00000
     27     -17.9471      1.00000
     28     -17.9351      1.00000
     29     -17.6437      1.00000
     30     -17.5682      1.00000
     31     -17.5145      1.00000
     32     -17.3677      1.00000
     33     -17.3082      1.00000
     34     -17.1695      1.00000
     35     -17.0883      1.00000
     36     -17.0871      1.00000
     37     -17.0734      1.00000
     38     -17.0696      1.00000
     39     -17.0672      1.00000
     40     -17.0632      1.00000
     41     -17.0563      1.00000
     42     -17.0558      1.00000
     43     -17.0532      1.00000
     44     -17.0434      1.00000
     45     -17.0429      1.00000
     46     -17.0382      1.00000
     47     -16.9503      1.00000
     48     -16.9108      1.00000
     49     -16.8996      1.00000
     50     -16.8955      1.00000
     51     -16.8756      1.00000
     52     -16.8706      1.00000
     53     -16.8692      1.00000
     54     -16.8662      1.00000
     55     -16.8653      1.00000
     56     -16.8601      1.00000
     57     -16.7146      1.00000
     58     -16.6021      1.00000
     59     -16.5804      1.00000
     60     -16.5788      1.00000
     61     -16.5787      1.00000
     62     -16.5766      1.00000
     63     -16.5688      1.00000
     64     -16.5619      1.00000
     65     -16.5616      1.00000
     66     -16.5600      1.00000
     67     -16.5564      1.00000
     68     -16.5557      1.00000
     69     -16.5539      1.00000
     70     -16.4005      1.00000
     71     -16.3909      1.00000
     72     -16.3903      1.00000
     73     -16.3901      1.00000
