
 Fermi energy:         6.0102266179

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -19.0394      1.00000
      2     -18.8602      1.00000
      3     -18.8512      1.00000
      4     -18.6837      1.00000
      5     -18.4680      1.00000
      6     -18.4582      1.00000
      7     -18.4582      1.00000
      8     -18.4232      1.00000
      9     -18.4232      1.00000
     10     -18.3966      1.00000
     11     -18.3210      1.00000
     12     -18.3210      1.00000
     13     -18.3209      1.00000
     14     -18.2995      1.00000
     15     -18.2815      1.00000
     16     -18.2815      1.00000
     17     -18.2330      1.00000
     18     -18.2330      1.00000
     19     -18.2179      1.00000
     20     -18.2179      1.00000
     21     -18.1771      1.00000
     22     -18.1557      1.00000
     23     -18.1507      1.00000
     24     -18.1507      1.00000
     25     -18.1317      1.00000
     26     -18.0108      1.00000
     27     -18.0107      1.00000
     28     -17.5890      1.00000
     29     -17.3184      1.00000
     30     -17.3132      1.00000
     31     -17.3132      1.00000
     32     -17.3091      1.00000
     33     -17.3091      1.00000
     34     -17.3028      1.00000
     35     -17.1896      1.00000
     36     -17.1498      1.00000
     37     -17.1473      1.00000
     38     -17.1473      1.00000
     39     -17.1432      1.00000
     40     -17.1432      1.00000
     41     -17.1396      1.00000
     42     -17.1396      1.00000
     43     -17.1320      1.00000
     44     -17.1243      1.00000
     45     -17.1243      1.00000
     46     -17.0968      1.00000
     47     -17.0400      1.00000
     48     -16.9783      1.00000
     49     -16.9783      1.00000
     50     -16.9458      1.00000
     51     -16.9458      1.00000
     52     -16.9077      1.00000
     53     -16.8176      1.00000
     54     -16.8168      1.00000
     55     -16.8168      1.00000
     56     -16.8114      1.00000
     57     -16.8114      1.00000
     58     -16.8043      1.00000
     59     -16.6602      1.00000
     60     -16.6569      1.00000
     61     -16.6569      1.00000
     62     -16.6531      1.00000
     63     -16.6531      1.00000
     64     -16.6479      1.00000
     65     -16.6479      1.00000
     66     -16.6461      1.00000
     67     -16.6411      1.00000
     68     -16.6182      1.00000
     69     -16.6182      1.00000
     70     -16.5957      1.00000
     71     -16.4979      1.00000
     72     -16.4979      1.00000
     73     -16.4478      1.00000
     74     -16.3042      1.00000
     75     -16.3042      1.00000
     76     -15.6516      1.00000
     77     -15.6277      1.00000
     78     -15.6263      1.00000
     79     -15.6234      1.00000
     80     -15.6234      1.00000
     81     -15.6201      1.00000
     82     -15.6201      1.00000
     83     -15.6036      1.00000
     84     -15.6036      1.00000
     85     -15.6002      1.00000
     86     -15.6002      1.00000
     87     -15.5928      1.00000
     88     -15.5888      1.00000
     89     -15.5213      1.00000
