
 Fermi energy:         7.1628274203

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -21.9971      1.00000
      2     -18.9449      1.00000
      3     -18.8123      1.00000
      4     -18.7795      1.00000
      5     -18.6377      1.00000
      6     -18.4355      1.00000
      7     -18.4337      1.00000
      8     -18.3601      1.00000
      9     -18.3600      1.00000
     10     -18.3589      1.00000
     11     -18.3196      1.00000
     12     -18.2886      1.00000
     13     -18.2879      1.00000
     14     -18.2240      1.00000
     15     -18.2238      1.00000
     16     -18.2221      1.00000
     17     -18.2212      1.00000
     18     -18.2211      1.00000
     19     -18.2202      1.00000
     20     -18.2176      1.00000
     21     -18.2174      1.00000
     22     -18.2121      1.00000
     23     -18.1219      1.00000
     24     -18.1022      1.00000
     25     -18.1016      1.00000
     26     -18.0770      1.00000
     27     -18.0769      1.00000
     28     -18.0752      1.00000
     29     -17.6780      1.00000
     30     -17.5038      1.00000
     31     -17.4978      1.00000
     32     -17.2404      1.00000
     33     -17.2400      1.00000
     34     -17.2322      1.00000
     35     -17.1985      1.00000
     36     -17.1931      1.00000
     37     -17.1928      1.00000
     38     -17.1348      1.00000
     39     -17.1285      1.00000
     40     -17.1173      1.00000
     41     -17.1154      1.00000
     42     -17.1147      1.00000
     43     -17.1106      1.00000
     44     -17.1085      1.00000
     45     -17.1023      1.00000
     46     -17.1015      1.00000
     47     -17.0307      1.00000
     48     -17.0270      1.00000
     49     -17.0260      1.00000
     50     -16.9973      1.00000
     51     -16.9957      1.00000
     52     -16.9900      1.00000
     53     -16.8343      1.00000
     54     -16.8312      1.00000
     55     -16.8200      1.00000
     56     -16.7417      1.00000
     57     -16.7399      1.00000
     58     -16.7397      1.00000
     59     -16.6924      1.00000
     60     -16.6919      1.00000
     61     -16.6902      1.00000
     62     -16.6451      1.00000
     63     -16.6429      1.00000
     64     -16.6426      1.00000
     65     -16.6234      1.00000
     66     -16.6234      1.00000
     67     -16.6233      1.00000
     68     -16.6230      1.00000
     69     -16.6228      1.00000
     70     -16.6209      1.00000
     71     -16.5435      1.00000
     72     -16.5431      1.00000
     73     -16.5411      1.00000
     74     -16.5229      1.00000
     75     -16.5221      1.00000
     76     -16.5220      1.00000
     77     -16.0435      1.00000
     78     -16.0428      1.00000
     79     -15.7866      1.00000
     80     -15.5375      1.00000
     81     -15.5342      1.00000
     82     -15.5229      1.00000
     83     -15.5163      1.00000
     84     -15.5133      1.00000
     85     -15.5119      1.00000
     86     -15.5098      1.00000
     87     -15.5087      1.00000
     88     -15.5076      1.00000
     89     -15.4936      1.00000
     90     -15.4902      1.00000
     91     -15.4884      1.00000
     92     -15.4744      1.00000
     93     -15.4712      1.00000
     94     -15.4658      1.00000
     95     -15.4591      1.00000
     96     -15.4496      1.00000
     97     -15.4480      1.00000
     98     -15.4462      1.00000
     99     -15.4461      1.00000
    100     -15.4458      1.00000
    101     -15.4447      1.00000
    102     -15.4441      1.00000
    103     -15.4436      1.00000
    104     -15.4431      1.00000
    105     -15.4415      1.00000
    106     -15.4412      1.00000
    107     -15.4407      1.00000
    108     -15.4403      1.00000
    109     -15.4380      1.00000
    110     -15.4376      1.00000
