
 Fermi energy:         1.9799641640

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.7427      1.00000
      2     -19.3470      1.00000
      3     -19.3470      1.00000
      4     -19.0308      1.00000
      5     -18.7650      1.00000
      6     -18.7433      1.00000
      7     -18.5415      1.00000
      8     -18.4880      1.00000
      9     -18.4880      1.00000
     10     -18.3918      1.00000
     11     -18.2825      1.00000
     12     -18.2825      1.00000
     13     -18.2640      1.00000
     14     -18.1815      1.00000
     15     -18.1666      1.00000
     16     -18.1666      1.00000
     17     -18.1615      1.00000
     18     -18.1615      1.00000
     19     -18.1446      1.00000
     20     -18.1446      1.00000
     21     -18.1397      1.00000
     22     -18.1297      1.00000
     23     -18.1297      1.00000
     24     -18.1165      1.00000
     25     -18.1014      1.00000
     26     -17.9654      1.00000
     27     -17.9601      1.00000
     28     -17.9601      1.00000
     29     -17.9452      1.00000
     30     -17.9452      1.00000
     31     -17.9369      1.00000
     32     -17.5286      1.00000
     33     -17.5286      1.00000
     34     -17.4221      1.00000
     35     -17.1704      1.00000
     36     -17.1704      1.00000
     37     -17.1126      1.00000
     38     -17.0677      1.00000
     39     -17.0677      1.00000
     40     -17.0570      1.00000
     41     -17.0405      1.00000
     42     -17.0392      1.00000
     43     -17.0392      1.00000
     44     -17.0380      1.00000
     45     -17.0380      1.00000
     46     -17.0380      1.00000
     47     -17.0354      1.00000
     48     -17.0354      1.00000
     49     -17.0336      1.00000
     50     -16.9647      1.00000
     51     -16.9485      1.00000
     52     -16.9485      1.00000
     53     -16.8582      1.00000
     54     -16.8582      1.00000
     55     -16.8578      1.00000
     56     -16.8575      1.00000
     57     -16.8575      1.00000
     58     -16.8572      1.00000
     59     -16.6252      1.00000
     60     -16.6252      1.00000
     61     -16.5793      1.00000
     62     -16.5712      1.00000
     63     -16.5705      1.00000
     64     -16.5705      1.00000
     65     -16.5500      1.00000
     66     -16.5499      1.00000
     67     -16.5499      1.00000
     68     -16.5493      1.00000
     69     -16.5493      1.00000
     70     -16.5486      1.00000
     71     -16.5246      1.00000
     72     -16.5246      1.00000
     73     -16.3826      1.00000
     74     -16.3801      1.00000
     75     -16.3801      1.00000
     76     -16.3800      1.00000
     77     -16.3782      1.00000
     78     -16.3782      1.00000
     79     -16.2033      1.00000
     80     -15.9285      1.00000
     81     -15.9284      1.00000
     82     -15.8412      1.00000
     83     -15.7729      1.00000
     84     -15.6966      1.00000
     85     -15.6966      1.00000
     86     -15.6642      1.00000
     87     -15.6044      1.00000
     88     -15.6044      1.00000
     89     -15.5344      1.00000
     90     -15.5344      1.00000
     91     -15.5256      1.00000
     92     -15.4136      1.00000
     93     -15.4063      1.00000
     94     -15.4041      1.00000
     95     -15.3974      1.00000
     96     -15.3945      1.00000
     97     -15.3945      1.00000
     98     -15.3883      1.00000
     99     -15.3883      1.00000
    100     -15.3863      1.00000
    101     -15.3863      1.00000
    102     -15.3788      1.00000
    103     -15.3788      1.00000
    104     -15.3637      1.00000
    105     -15.3637      1.00000
    106     -15.3603      1.00000
    107     -15.3603      1.00000
    108     -15.3541      1.00000
    109     -15.3541      1.00000
    110     -15.3516      1.00000
    111     -15.3516      1.00000
    112     -15.3513      1.00000
    113     -15.3507      1.00000
    114     -15.3410      1.00000
    115     -15.3397      1.00000
    116     -15.2605      1.00000
    117     -15.2601      1.00000
    118     -15.2601      1.00000
    119     -15.2552      1.00000
    120     -15.2546      1.00000
    121     -15.2546      1.00000
    122     -15.2294      1.00000
    123     -15.2294      1.00000
    124     -15.2253      1.00000
    125     -15.2253      1.00000
    126     -15.2230      1.00000
    127     -15.2230      1.00000
    128     -15.2152      1.00000
    129     -15.2152      1.00000
    130     -15.2136      1.00000
    131     -15.2130      1.00000
    132     -15.2104      1.00000
    133     -15.2104      1.00000
    134     -15.1241      1.00000
    135     -15.1241      1.00000
    136     -15.1241      1.00000
    137     -15.0043      1.00000
