
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -21.5217      1.00000
      2     -19.0997      1.00000
      3     -18.8240      1.00000
      4     -18.7733      1.00000
      5     -18.6376      1.00000
      6     -18.5077      1.00000
      7     -18.5072      1.00000
      8     -18.5051      1.00000
      9     -18.5034      1.00000
     10     -18.5029      1.00000
     11     -18.4999      1.00000
     12     -18.3419      1.00000
     13     -18.3030      1.00000
     14     -18.2450      1.00000
     15     -18.2373      1.00000
     16     -18.2369      1.00000
     17     -18.1857      1.00000
     18     -18.1844      1.00000
     19     -18.1829      1.00000
     20     -18.1784      1.00000
     21     -18.1761      1.00000
     22     -18.1684      1.00000
     23     -18.1419      1.00000
     24     -18.1049      1.00000
     25     -18.0921      1.00000
     26     -18.0581      1.00000
     27     -18.0514      1.00000
     28     -18.0492      1.00000
     29     -17.5907      1.00000
     30     -17.4504      1.00000
     31     -17.4191      1.00000
     32     -17.4180      1.00000
     33     -17.4149      1.00000
     34     -17.3625      1.00000
     35     -17.3599      1.00000
     36     -17.3596      1.00000
     37     -17.1779      1.00000
     38     -17.1485      1.00000
     39     -17.1046      1.00000
     40     -17.0864      1.00000
     41     -17.0712      1.00000
     42     -17.0709      1.00000
     43     -17.0700      1.00000
     44     -17.0687      1.00000
     45     -17.0684      1.00000
     46     -17.0660      1.00000
     47     -17.0440      1.00000
     48     -17.0424      1.00000
     49     -16.9965      1.00000
     50     -16.9818      1.00000
     51     -16.9355      1.00000
     52     -16.9324      1.00000
     53     -16.9323      1.00000
     54     -16.9318      1.00000
     55     -16.9312      1.00000
     56     -16.9124      1.00000
     57     -16.8430      1.00000
     58     -16.8415      1.00000
     59     -16.8239      1.00000
     60     -16.7783      1.00000
     61     -16.6890      1.00000
     62     -16.6321      1.00000
     63     -16.6300      1.00000
     64     -16.5843      1.00000
     65     -16.5841      1.00000
     66     -16.5840      1.00000
     67     -16.5823      1.00000
     68     -16.5823      1.00000
     69     -16.5803      1.00000
     70     -16.5762      1.00000
     71     -16.5523      1.00000
     72     -16.5433      1.00000
     73     -16.5194      1.00000
     74     -16.4879      1.00000
     75     -16.4837      1.00000
     76     -16.3246      1.00000
     77     -15.9264      1.00000
     78     -15.7495      1.00000
     79     -15.7493      1.00000
     80     -15.7487      1.00000
     81     -15.7478      1.00000
     82     -15.7472      1.00000
     83     -15.7468      1.00000
     84     -15.7071      1.00000
     85     -15.6830      1.00000
     86     -15.6827      1.00000
     87     -15.6818      1.00000
     88     -15.6805      1.00000
     89     -15.6803      1.00000
     90     -15.6785      1.00000
     91     -15.6061      1.00000
     92     -15.6060      1.00000
     93     -15.6060      1.00000
     94     -15.5569      1.00000
     95     -15.5013      1.00000
     96     -15.4845      1.00000
     97     -15.4707      1.00000
     98     -15.4603      1.00000
     99     -15.4570      1.00000
    100     -15.4351      1.00000
    101     -15.4325      1.00000
    102     -15.4157      1.00000
    103     -15.4062      1.00000
    104     -15.4056      1.00000
    105     -15.4048      1.00000
    106     -15.4043      1.00000
    107     -15.4036      1.00000
    108     -15.4028      1.00000
    109     -15.4001      1.00000
    110     -15.3996      1.00000
    111     -15.3995      1.00000
    112     -15.3982      1.00000
    113     -15.3976      1.00000
    114     -15.3969      1.00000
    115     -15.3915      1.00000
    116     -15.3901      1.00000
    117     -15.3873      1.00000
    118     -15.3834      1.00000
    119     -15.3784      1.00000
    120     -15.3734      1.00000
    121     -15.3725      1.00000
