
 Fermi energy:         1.6253753170

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.9118      1.00000
      2     -20.0521      1.00000
      3     -19.4313      1.00000
      4     -19.1180      1.00000
      5     -18.9360      1.00000
      6     -18.8043      1.00000
      7     -18.7317      1.00000
      8     -18.7179      1.00000
      9     -18.6542      1.00000
     10     -18.6234      1.00000
     11     -18.5184      1.00000
     12     -18.4068      1.00000
     13     -18.1757      1.00000
     14     -18.1695      1.00000
     15     -18.1635      1.00000
     16     -18.1586      1.00000
     17     -18.1457      1.00000
     18     -18.1422      1.00000
     19     -18.1119      1.00000
     20     -18.1084      1.00000
     21     -18.0882      1.00000
     22     -18.0863      1.00000
     23     -18.0804      1.00000
     24     -18.0631      1.00000
     25     -17.9566      1.00000
     26     -17.9259      1.00000
     27     -17.8739      1.00000
     28     -17.8361      1.00000
     29     -17.8265      1.00000
     30     -17.8248      1.00000
     31     -17.8042      1.00000
     32     -17.8031      1.00000
     33     -17.7938      1.00000
     34     -17.5975      1.00000
     35     -17.5047      1.00000
     36     -17.5039      1.00000
     37     -17.3246      1.00000
     38     -17.2725      1.00000
     39     -17.2364      1.00000
     40     -17.0532      1.00000
     41     -17.0459      1.00000
     42     -17.0214      1.00000
     43     -17.0203      1.00000
     44     -17.0197      1.00000
     45     -17.0165      1.00000
     46     -17.0162      1.00000
     47     -17.0119      1.00000
     48     -17.0108      1.00000
     49     -17.0108      1.00000
     50     -17.0066      1.00000
     51     -17.0057      1.00000
     52     -17.0051      1.00000
     53     -17.0021      1.00000
     54     -16.7164      1.00000
     55     -16.7159      1.00000
     56     -16.7157      1.00000
     57     -16.7146      1.00000
     58     -16.7143      1.00000
     59     -16.7137      1.00000
     60     -16.6145      1.00000
     61     -16.5424      1.00000
     62     -16.5312      1.00000
     63     -16.5294      1.00000
     64     -16.5285      1.00000
     65     -16.5250      1.00000
     66     -16.5197      1.00000
     67     -16.5193      1.00000
     68     -16.5180      1.00000
     69     -16.5160      1.00000
     70     -16.5160      1.00000
     71     -16.5144      1.00000
     72     -16.5110      1.00000
     73     -16.4850      1.00000
     74     -16.3903      1.00000
     75     -16.2539      1.00000
     76     -16.2333      1.00000
     77     -16.2332      1.00000
     78     -16.2332      1.00000
     79     -16.2328      1.00000
     80     -16.2327      1.00000
     81     -16.2326      1.00000
     82     -16.0985      1.00000
     83     -16.0489      1.00000
     84     -15.9824      1.00000
     85     -15.9563      1.00000
     86     -15.8561      1.00000
     87     -15.8518      1.00000
     88     -15.8367      1.00000
     89     -15.7998      1.00000
     90     -15.7154      1.00000
     91     -15.4067      1.00000
     92     -15.4035      1.00000
     93     -15.3943      1.00000
     94     -15.3911      1.00000
     95     -15.3818      1.00000
     96     -15.3787      1.00000
     97     -15.3735      1.00000
     98     -15.3724      1.00000
     99     -15.3664      1.00000
    100     -15.3651      1.00000
    101     -15.3597      1.00000
    102     -15.3558      1.00000
    103     -15.3268      1.00000
    104     -15.3227      1.00000
    105     -15.3169      1.00000
    106     -15.3163      1.00000
    107     -15.3153      1.00000
    108     -15.3148      1.00000
    109     -15.3100      1.00000
    110     -15.3092      1.00000
    111     -15.3021      1.00000
    112     -15.2974      1.00000
    113     -15.2955      1.00000
    114     -15.2940      1.00000
    115     -15.2900      1.00000
    116     -15.2885      1.00000
    117     -15.2175      1.00000
    118     -15.2150      1.00000
    119     -15.2149      1.00000
    120     -15.2133      1.00000
    121     -15.2122      1.00000
    122     -15.2105      1.00000
    123     -15.0807      1.00000
    124     -15.0799      1.00000
    125     -15.0729      1.00000
    126     -15.0720      1.00000
    127     -15.0710      1.00000
    128     -15.0708      1.00000
    129     -15.0567      1.00000
    130     -15.0566      1.00000
    131     -15.0564      1.00000
    132     -15.0552      1.00000
    133     -15.0491      1.00000
    134     -15.0491      1.00000
    135     -14.9623      1.00000
    136     -14.9622      1.00000
