
 Fermi energy:         7.1008385898

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -20.1218      1.00000
      2     -19.0394      1.00000
      3     -18.9004      1.00000
      4     -18.8484      1.00000
      5     -18.6606      1.00000
      6     -18.4668      1.00000
      7     -18.4558      1.00000
      8     -18.4549      1.00000
      9     -18.4287      1.00000
     10     -18.4276      1.00000
     11     -18.4020      1.00000
     12     -18.3378      1.00000
     13     -18.3252      1.00000
     14     -18.3239      1.00000
     15     -18.3048      1.00000
     16     -18.2908      1.00000
     17     -18.2895      1.00000
     18     -18.2876      1.00000
     19     -18.2869      1.00000
     20     -18.2540      1.00000
     21     -18.2395      1.00000
     22     -18.2384      1.00000
     23     -18.1863      1.00000
     24     -18.1588      1.00000
     25     -18.1313      1.00000
     26     -18.1303      1.00000
     27     -17.9945      1.00000
     28     -17.9940      1.00000
     29     -17.4743      1.00000
     30     -17.3205      1.00000
     31     -17.3134      1.00000
     32     -17.3131      1.00000
     33     -17.3117      1.00000
     34     -17.3073      1.00000
     35     -17.2968      1.00000
     36     -17.2038      1.00000
     37     -17.2022      1.00000
     38     -17.1971      1.00000
     39     -17.1908      1.00000
     40     -17.1893      1.00000
     41     -17.1847      1.00000
     42     -17.1619      1.00000
     43     -17.1547      1.00000
     44     -17.1537      1.00000
     45     -17.1482      1.00000
     46     -17.1467      1.00000
     47     -17.1206      1.00000
     48     -16.9827      1.00000
     49     -16.9802      1.00000
     50     -16.9800      1.00000
     51     -16.9367      1.00000
     52     -16.9365      1.00000
     53     -16.8396      1.00000
     54     -16.8180      1.00000
     55     -16.8164      1.00000
     56     -16.8159      1.00000
     57     -16.8110      1.00000
     58     -16.8107      1.00000
     59     -16.7750      1.00000
     60     -16.7117      1.00000
     61     -16.7093      1.00000
     62     -16.7085      1.00000
     63     -16.7054      1.00000
     64     -16.7044      1.00000
     65     -16.6994      1.00000
     66     -16.6718      1.00000
     67     -16.6698      1.00000
     68     -16.6694      1.00000
     69     -16.6574      1.00000
     70     -16.6572      1.00000
     71     -16.6269      1.00000
     72     -16.4745      1.00000
     73     -16.4737      1.00000
     74     -16.4734      1.00000
     75     -16.3527      1.00000
     76     -16.3525      1.00000
     77     -15.6214      1.00000
     78     -15.6183      1.00000
     79     -15.6161      1.00000
     80     -15.6127      1.00000
     81     -15.6118      1.00000
     82     -15.6086      1.00000
     83     -15.6074      1.00000
     84     -15.6018      1.00000
     85     -15.5978      1.00000
     86     -15.5953      1.00000
     87     -15.5933      1.00000
     88     -15.5868      1.00000
     89     -15.5752      1.00000
     90     -15.5569      1.00000
     91     -15.5560      1.00000
     92     -15.5471      1.00000
     93     -15.5449      1.00000
     94     -15.5437      1.00000
     95     -15.5410      1.00000
     96     -15.5292      1.00000
     97     -15.5271      1.00000
     98     -15.5245      1.00000
     99     -15.5216      1.00000
    100     -15.5207      1.00000
    101     -15.5194      1.00000
    102     -15.5176      1.00000
    103     -15.5160      1.00000
    104     -15.5141      1.00000
    105     -15.5099      1.00000
    106     -15.5024      1.00000
    107     -15.5003      1.00000
    108     -15.4971      1.00000
    109     -15.4934      1.00000
    110     -15.4926      1.00000
    111     -15.4889      1.00000
    112     -15.4878      1.00000
    113     -15.4792      1.00000
    114     -15.4765      1.00000
    115     -15.4671      1.00000
    116     -15.4604      1.00000
    117     -15.4174      1.00000
    118     -15.4138      1.00000
    119     -15.4124      1.00000
    120     -15.4062      1.00000
    121     -15.4048      1.00000
    122     -15.4045      1.00000
    123     -15.4009      1.00000
    124     -15.3998      1.00000
    125     -15.3988      1.00000
    126     -15.3945      1.00000
    127     -15.3831      1.00000
    128     -15.3702      1.00000
    129     -15.2914      1.00000
    130     -15.2889      1.00000
    131     -15.2335      1.00000
    132     -15.1879      1.00000
    133     -15.1877      1.00000
    134     -15.1118      1.00000
    135     -14.8257      1.00000
    136     -14.8246      1.00000
    137     -14.8171      1.00000
    138     -14.8170      1.00000
    139     -14.7684      1.00000
    140     -14.7680      1.00000
    141     -14.7672      1.00000
    142     -14.7669      1.00000
    143     -14.3234      1.00000
    144     -14.3233      1.00000
    145     -12.8119      1.00000
    146      -9.0142      1.00000
    147      -9.0111      1.00000
    148      -8.9820      1.00000
    149      -8.9608      1.00000
    150      -8.9590      1.00000
    151      -8.9474      1.00000
    152      -8.9449      1.00000
    153      -8.9409      1.00000
    154      -8.9254      1.00000
    155      -8.7360      1.00000
    156      -8.7284      1.00000
    157      -8.6095      1.00000
    158      -8.0823      1.00000
    159      -8.0803      1.00000
    160      -8.0786      1.00000
    161      -8.0755      1.00000
    162      -8.0733      1.00000
    163      -8.0723      1.00000
    164      -8.0606      1.00000
    165      -8.0571      1.00000
    166      -8.0557      1.00000
    167      -8.0546      1.00000
    168      -8.0521      1.00000
    169      -8.0488      1.00000
    170      -8.0399      1.00000
    171      -8.0365      1.00000
    172      -8.0324      1.00000
    173      -8.0256      1.00000
    174      -8.0221      1.00000
    175      -8.0188      1.00000
    176      -8.0176      1.00000
    177      -8.0169      1.00000
    178      -8.0132      1.00000
    179      -8.0094      1.00000
    180      -8.0082      1.00000
    181      -8.0059      1.00000
    182      -8.0042      1.00000
    183      -8.0024      1.00000
    184      -7.9988      1.00000
    185      -7.9940      1.00000
    186      -7.9910      1.00000
    187      -7.9890      1.00000
