
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -22.0462      1.00000
      2     -18.9650      1.00000
      3     -18.8294      1.00000
      4     -18.8157      1.00000
      5     -18.6700      1.00000
      6     -18.5125      1.00000
      7     -18.4390      1.00000
      8     -18.3988      1.00000
      9     -18.3910      1.00000
     10     -18.3802      1.00000
     11     -18.3131      1.00000
     12     -18.2991      1.00000
     13     -18.2824      1.00000
     14     -18.2661      1.00000
     15     -18.2600      1.00000
     16     -18.2510      1.00000
     17     -18.2334      1.00000
     18     -18.2310      1.00000
     19     -18.2270      1.00000
     20     -18.2199      1.00000
     21     -18.2145      1.00000
     22     -18.2026      1.00000
     23     -18.1183      1.00000
     24     -18.1088      1.00000
     25     -18.1011      1.00000
     26     -18.0952      1.00000
     27     -18.0924      1.00000
     28     -18.0882      1.00000
     29     -17.8143      1.00000
     30     -17.4464      1.00000
     31     -17.3512      1.00000
     32     -17.2852      1.00000
     33     -17.2708      1.00000
     34     -17.2660      1.00000
     35     -17.1959      1.00000
     36     -17.1856      1.00000
     37     -17.1751      1.00000
     38     -17.1606      1.00000
     39     -17.1539      1.00000
     40     -17.1513      1.00000
     41     -17.1152      1.00000
     42     -17.1142      1.00000
     43     -17.1128      1.00000
     44     -17.1111      1.00000
     45     -17.1089      1.00000
     46     -17.1061      1.00000
     47     -17.0340      1.00000
     48     -17.0199      1.00000
     49     -17.0121      1.00000
     50     -17.0078      1.00000
     51     -17.0045      1.00000
     52     -17.0035      1.00000
     53     -16.9082      1.00000
     54     -16.8459      1.00000
     55     -16.8347      1.00000
     56     -16.7924      1.00000
     57     -16.7705      1.00000
     58     -16.7645      1.00000
     59     -16.6916      1.00000
     60     -16.6850      1.00000
     61     -16.6815      1.00000
     62     -16.6730      1.00000
     63     -16.6645      1.00000
     64     -16.6612      1.00000
     65     -16.6274      1.00000
     66     -16.6270      1.00000
     67     -16.6262      1.00000
     68     -16.6244      1.00000
     69     -16.6233      1.00000
     70     -16.6208      1.00000
     71     -16.5405      1.00000
     72     -16.5380      1.00000
     73     -16.5352      1.00000
     74     -16.5332      1.00000
     75     -16.5303      1.00000
     76     -16.5281      1.00000
     77     -15.9048      1.00000
     78     -15.8376      1.00000
     79     -15.7639      1.00000
     80     -15.6217      1.00000
     81     -15.6090      1.00000
     82     -15.5641      1.00000
     83     -15.5586      1.00000
     84     -15.5412      1.00000
     85     -15.5391      1.00000
     86     -15.5304      1.00000
     87     -15.5239      1.00000
     88     -15.5227      1.00000
     89     -15.4895      1.00000
     90     -15.4862      1.00000
     91     -15.4854      1.00000
     92     -15.4835      1.00000
     93     -15.4801      1.00000
     94     -15.4768      1.00000
     95     -15.4749      1.00000
     96     -15.4712      1.00000
     97     -15.4687      1.00000
     98     -15.4654      1.00000
     99     -15.4621      1.00000
    100     -15.4608      1.00000
    101     -15.4542      1.00000
    102     -15.4527      1.00000
    103     -15.4506      1.00000
    104     -15.4503      1.00000
    105     -15.4477      1.00000
    106     -15.4465      1.00000
    107     -15.4408      1.00000
    108     -15.4404      1.00000
    109     -15.4377      1.00000
    110     -15.4362      1.00000
    111     -15.4347      1.00000
    112     -15.4322      1.00000
    113     -15.4295      1.00000
    114     -15.4263      1.00000
    115     -15.4249      1.00000
    116     -15.3942      1.00000
    117     -15.3931      1.00000
    118     -15.3927      1.00000
    119     -15.3914      1.00000
    120     -15.3905      1.00000
    121     -15.3891      1.00000
    122     -15.3862      1.00000
    123     -15.3854      1.00000
    124     -15.3807      1.00000
    125     -15.3799      1.00000
    126     -15.3792      1.00000
    127     -15.3786      1.00000
    128     -15.3578      1.00000
    129     -15.3576      1.00000
    130     -15.3567      1.00000
    131     -15.3358      1.00000
    132     -15.3354      1.00000
    133     -15.3333      1.00000
    134     -15.3068      1.00000
    135     -15.3065      1.00000
    136     -15.3060      1.00000
    137     -14.7939      1.00000
    138     -14.7876      1.00000
    139     -14.6868      1.00000
    140     -14.6866      1.00000
    141     -14.6866      1.00000
    142     -14.6864      1.00000
    143     -14.6862      1.00000
    144     -14.6858      1.00000
    145     -13.7678      1.00000
    146      -9.1029      1.00000
    147      -9.0123      1.00000
    148      -8.8923      1.00000
    149      -8.8902      1.00000
    150      -8.8896      1.00000
    151      -8.8729      1.00000
    152      -8.8723      1.00000
    153      -8.8720      1.00000
    154      -8.8470      1.00000
    155      -8.8428      1.00000
    156      -8.8419      1.00000
    157      -8.7395      1.00000
    158      -8.4298      1.00000
    159      -8.2880      1.00000
    160      -8.1794      1.00000
    161      -8.0739      1.00000
    162      -8.0588      1.00000
    163      -8.0345      1.00000
    164      -8.0253      1.00000
    165      -8.0179      1.00000
    166      -8.0165      1.00000
    167      -8.0023      1.00000
    168      -7.9874      1.00000
    169      -7.9558      1.00000
    170      -7.9554      1.00000
    171      -7.9545      1.00000
    172      -7.9532      1.00000
    173      -7.9530      1.00000
    174      -7.9521      1.00000
    175      -7.9511      1.00000
    176      -7.9498      1.00000
    177      -7.9491      1.00000
    178      -7.9475      1.00000
    179      -7.9455      1.00000
    180      -7.9447      1.00000
    181      -7.9392      1.00000
    182      -7.9391      1.00000
    183      -7.9383      1.00000
    184      -7.9368      1.00000
    185      -7.9328      1.00000
    186      -7.9317      1.00000
    187      -7.9313      1.00000
    188      -7.9300      1.00000
    189      -7.9236      1.00000
    190      -7.9219      1.00000
    191      -7.9193      1.00000
    192      -7.9183      1.00000
    193      -7.9028      1.00000
    194      -7.9022      1.00000
    195      -7.9007      1.00000
    196      -7.9004      1.00000
    197      -7.8991      1.00000
    198      -7.8985      1.00000
    199      -7.8980      1.00000
    200      -7.8961      1.00000
    201      -7.8948      1.00000
    202      -7.8925      1.00000
    203      -7.8900      1.00000
    204      -7.8893      1.00000
    205      -7.8683      1.00000
    206      -7.8551      1.00000
    207      -7.7467      1.00000
    208      -7.7443      1.00000
    209      -7.7005      1.00000
    210      -7.7005      1.00000
    211      -7.6360      1.00000
    212      -7.6349      1.00000
    213      -7.3683      1.00000
    214      -7.2115      1.00000
    215      -6.9568      1.00000
    216      -6.9566      1.00000
    217      -6.9533      1.00000
    218      -6.9533      1.00000
    219      -6.9499      1.00000
    220      -6.9497      1.00000
    221      -6.8735      1.00000
    222      -6.8570      1.00000
    223      -6.8038      1.00000
    224      -6.7644      1.00000
    225      -6.7208      1.00000
    226      -6.7110      1.00000
    227      -6.6174      1.00000
    228      -6.6173      1.00000
    229      -6.6167      1.00000
    230      -6.6162      1.00000
    231      -6.6155      1.00000
    232      -6.6153      1.00000
    233      -6.5948      1.00000
    234      -6.5941      1.00000
    235      -6.5938      1.00000
    236      -6.5928      1.00000
    237      -6.5917      1.00000
    238      -6.5914      1.00000
    239      -6.5566      1.00000
    240      -6.5565      1.00000
    241      -6.5558      1.00000
    242      -6.5550      1.00000
    243      -6.5546      1.00000
    244      -6.5542      1.00000
    245      -5.8055      1.00000
    246      -5.6603      1.00000
    247      -5.5958      1.00000
    248      -5.5035      1.00000
    249      -5.4557      1.00000
    250      -5.2983      1.00000
    251      -5.2418      1.00000
