
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.5666      1.00000
      2     -19.0579      1.00000
      3     -18.8913      1.00000
      4     -18.8913      1.00000
      5     -18.7917      1.00000
      6     -18.7702      1.00000
      7     -18.5694      1.00000
      8     -18.5011      1.00000
      9     -18.5011      1.00000
     10     -18.4257      1.00000
     11     -18.2840      1.00000
     12     -18.2264      1.00000
     13     -18.2264      1.00000
     14     -18.1940      1.00000
     15     -18.1940      1.00000
     16     -18.1903      1.00000
     17     -18.1840      1.00000
     18     -18.1840      1.00000
     19     -18.1796      1.00000
     20     -18.1678      1.00000
     21     -18.1678      1.00000
     22     -18.1612      1.00000
     23     -18.1281      1.00000
     24     -17.9924      1.00000
     25     -17.9924      1.00000
     26     -17.9850      1.00000
     27     -17.9791      1.00000
     28     -17.9791      1.00000
     29     -17.9741      1.00000
     30     -17.8496      1.00000
     31     -17.8496      1.00000
     32     -17.4876      1.00000
     33     -17.4876      1.00000
     34     -17.4450      1.00000
     35     -17.1388      1.00000
     36     -17.1294      1.00000
     37     -17.1294      1.00000
     38     -17.0931      1.00000
     39     -17.0931      1.00000
     40     -17.0874      1.00000
     41     -17.0665      1.00000
     42     -17.0665      1.00000
     43     -17.0658      1.00000
     44     -17.0658      1.00000
     45     -17.0657      1.00000
     46     -17.0646      1.00000
     47     -17.0353      1.00000
     48     -17.0328      1.00000
     49     -17.0328      1.00000
     50     -17.0013      1.00000
     51     -16.9430      1.00000
     52     -16.9430      1.00000
     53     -16.8869      1.00000
     54     -16.8869      1.00000
     55     -16.8869      1.00000
     56     -16.8860      1.00000
     57     -16.8860      1.00000
     58     -16.8855      1.00000
     59     -16.6089      1.00000
     60     -16.6081      1.00000
     61     -16.6081      1.00000
     62     -16.6022      1.00000
     63     -16.5983      1.00000
     64     -16.5983      1.00000
     65     -16.5811      1.00000
     66     -16.5793      1.00000
     67     -16.5793      1.00000
     68     -16.5787      1.00000
     69     -16.5787      1.00000
     70     -16.5784      1.00000
     71     -16.4128      1.00000
     72     -16.4128      1.00000
     73     -16.4117      1.00000
     74     -16.4099      1.00000
     75     -16.4092      1.00000
     76     -16.4092      1.00000
     77     -16.3292      1.00000
     78     -16.3292      1.00000
     79     -16.2015      1.00000
     80     -15.8893      1.00000
     81     -15.8893      1.00000
     82     -15.8278      1.00000
     83     -15.8143      1.00000
     84     -15.6864      1.00000
     85     -15.6864      1.00000
     86     -15.6750      1.00000
     87     -15.6187      1.00000
     88     -15.6187      1.00000
     89     -15.5673      1.00000
     90     -15.5672      1.00000
     91     -15.5513      1.00000
     92     -15.4193      1.00000
     93     -15.4184      1.00000
     94     -15.4148      1.00000
     95     -15.4148      1.00000
     96     -15.4107      1.00000
     97     -15.4105      1.00000
     98     -15.4105      1.00000
     99     -15.4092      1.00000
    100     -15.4045      1.00000
    101     -15.4045      1.00000
    102     -15.4032      1.00000
    103     -15.4032      1.00000
    104     -15.3987      1.00000
    105     -15.3987      1.00000
    106     -15.3957      1.00000
    107     -15.3957      1.00000
    108     -15.3923      1.00000
    109     -15.3917      1.00000
    110     -15.3900      1.00000
    111     -15.3900      1.00000
    112     -15.3889      1.00000
    113     -15.3889      1.00000
    114     -15.3838      1.00000
    115     -15.3829      1.00000
    116     -15.2932      1.00000
    117     -15.2932      1.00000
    118     -15.2930      1.00000
    119     -15.2894      1.00000
    120     -15.2894      1.00000
    121     -15.2891      1.00000
    122     -15.2534      1.00000
    123     -15.2534      1.00000
    124     -15.2518      1.00000
    125     -15.2517      1.00000
    126     -15.2506      1.00000
    127     -15.2505      1.00000
    128     -15.2469      1.00000
    129     -15.2469      1.00000
    130     -15.2460      1.00000
    131     -15.2456      1.00000
    132     -15.2444      1.00000
    133     -15.2444      1.00000
    134     -15.1541      1.00000
    135     -15.1540      1.00000
    136     -15.1540      1.00000
    137     -14.9856      1.00000
    138     -14.9856      1.00000
    139     -14.6413      1.00000
    140     -14.6412      1.00000
    141     -14.6408      1.00000
    142     -14.6396      1.00000
    143     -14.5093      1.00000
    144     -14.5093      1.00000
    145     -14.4838      1.00000
    146      -9.6756      1.00000
    147      -9.6756      1.00000
    148      -8.9930      1.00000
    149      -8.9930      1.00000
