
 Fermi energy:         1.5179622720

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -26.9103      1.00000
      2     -19.3242      1.00000
      3     -19.3241      1.00000
      4     -19.0968      1.00000
      5     -18.7692      1.00000
      6     -18.7408      1.00000
      7     -18.5401      1.00000
      8     -18.5258      1.00000
      9     -18.5258      1.00000
     10     -18.4157      1.00000
     11     -18.3223      1.00000
     12     -18.2624      1.00000
     13     -18.2624      1.00000
     14     -18.1754      1.00000
     15     -18.1667      1.00000
     16     -18.1667      1.00000
     17     -18.1646      1.00000
     18     -18.1585      1.00000
     19     -18.1585      1.00000
     20     -18.1427      1.00000
     21     -18.1373      1.00000
     22     -18.1373      1.00000
     23     -18.1296      1.00000
     24     -18.1296      1.00000
     25     -18.1170      1.00000
     26     -17.9653      1.00000
     27     -17.9578      1.00000
     28     -17.9578      1.00000
     29     -17.9445      1.00000
     30     -17.9445      1.00000
     31     -17.9368      1.00000
     32     -17.5742      1.00000
     33     -17.5741      1.00000
     34     -17.4679      1.00000
     35     -17.1766      1.00000
     36     -17.1766      1.00000
     37     -17.1390      1.00000
     38     -17.0772      1.00000
     39     -17.0691      1.00000
     40     -17.0691      1.00000
     41     -17.0579      1.00000
     42     -17.0415      1.00000
     43     -17.0415      1.00000
     44     -17.0374      1.00000
     45     -17.0367      1.00000
     46     -17.0367      1.00000
     47     -17.0338      1.00000
     48     -17.0338      1.00000
     49     -17.0327      1.00000
     50     -17.0020      1.00000
     51     -16.9763      1.00000
     52     -16.9763      1.00000
     53     -16.8565      1.00000
     54     -16.8565      1.00000
     55     -16.8563      1.00000
     56     -16.8561      1.00000
     57     -16.8561      1.00000
     58     -16.8559      1.00000
     59     -16.6233      1.00000
     60     -16.6233      1.00000
     61     -16.5809      1.00000
     62     -16.5713      1.00000
     63     -16.5698      1.00000
     64     -16.5698      1.00000
     65     -16.5482      1.00000
     66     -16.5482      1.00000
     67     -16.5478      1.00000
     68     -16.5475      1.00000
     69     -16.5475      1.00000
     70     -16.5471      1.00000
     71     -16.5293      1.00000
     72     -16.5293      1.00000
     73     -16.3831      1.00000
     74     -16.3784      1.00000
     75     -16.3784      1.00000
     76     -16.3784      1.00000
     77     -16.3768      1.00000
     78     -16.3768      1.00000
     79     -16.2844      1.00000
     80     -15.9795      1.00000
     81     -15.9795      1.00000
     82     -15.8889      1.00000
     83     -15.8477      1.00000
     84     -15.7218      1.00000
     85     -15.7218      1.00000
     86     -15.6915      1.00000
     87     -15.6235      1.00000
     88     -15.6235      1.00000
     89     -15.5638      1.00000
     90     -15.5638      1.00000
     91     -15.5493      1.00000
     92     -15.4077      1.00000
     93     -15.4001      1.00000
     94     -15.3992      1.00000
     95     -15.3925      1.00000
     96     -15.3913      1.00000
     97     -15.3913      1.00000
     98     -15.3859      1.00000
     99     -15.3859      1.00000
    100     -15.3824      1.00000
    101     -15.3824      1.00000
    102     -15.3762      1.00000
    103     -15.3762      1.00000
    104     -15.3637      1.00000
    105     -15.3636      1.00000
    106     -15.3605      1.00000
    107     -15.3605      1.00000
    108     -15.3535      1.00000
    109     -15.3535      1.00000
    110     -15.3518      1.00000
    111     -15.3514      1.00000
    112     -15.3514      1.00000
    113     -15.3514      1.00000
    114     -15.3410      1.00000
    115     -15.3402      1.00000
    116     -15.2597      1.00000
    117     -15.2592      1.00000
    118     -15.2592      1.00000
    119     -15.2544      1.00000
    120     -15.2539      1.00000
    121     -15.2539      1.00000
    122     -15.2267      1.00000
    123     -15.2267      1.00000
    124     -15.2231      1.00000
    125     -15.2231      1.00000
    126     -15.2210      1.00000
    127     -15.2210      1.00000
    128     -15.2138      1.00000
    129     -15.2138      1.00000
    130     -15.2122      1.00000
    131     -15.2117      1.00000
    132     -15.2092      1.00000
    133     -15.2092      1.00000
    134     -15.1224      1.00000
    135     -15.1224      1.00000
    136     -15.1224      1.00000
    137     -15.0258      1.00000
    138     -15.0258      1.00000
    139     -14.6102      1.00000
    140     -14.6091      1.00000
    141     -14.6087      1.00000
    142     -14.6085      1.00000
    143     -14.5176      1.00000
    144     -14.4781      1.00000
    145     -14.4781      1.00000
    146     -10.5354      1.00000
    147     -10.5353      1.00000
    148      -9.2082      1.00000
    149      -9.2082      1.00000
    150      -8.9254      1.00000
    151      -8.7956      1.00000
    152      -8.7956      1.00000
    153      -8.7956      1.00000
    154      -8.7922      1.00000
    155      -8.7922      1.00000
    156      -8.7903      1.00000
    157      -8.6616      1.00000
    158      -8.6554      1.00000
    159      -8.6553      1.00000
    160      -8.6552      1.00000
    161      -8.5573      1.00000
    162      -8.5573      1.00000
    163      -8.3376      1.00000
    164      -8.3376      1.00000
    165      -8.2428      1.00000
    166      -8.2008      1.00000
    167      -8.2008      1.00000
    168      -8.1732      1.00000
    169      -8.0380      1.00000
    170      -8.0380      1.00000
    171      -7.9564      1.00000
    172      -7.8722      1.00000
    173      -7.8722      1.00000
    174      -7.8715      1.00000
    175      -7.8715      1.00000
    176      -7.8702      1.00000
    177      -7.8702      1.00000
    178      -7.8686      1.00000
    179      -7.8686      1.00000
    180      -7.8575      1.00000
    181      -7.8551      1.00000
    182      -7.8543      1.00000
    183      -7.8539      1.00000
    184      -7.8483      1.00000
    185      -7.8480      1.00000
    186      -7.8478      1.00000
    187      -7.8464      1.00000
    188      -7.8372      1.00000
    189      -7.8372      1.00000
    190      -7.8363      1.00000
    191      -7.8363      1.00000
    192      -7.8356      1.00000
    193      -7.8356      1.00000
    194      -7.8351      1.00000
    195      -7.8351      1.00000
    196      -7.7184      1.00000
    197      -7.7179      1.00000
    198      -7.7177      1.00000
    199      -7.7177      1.00000
    200      -7.7142      1.00000
    201      -7.7142      1.00000
    202      -7.7110      1.00000
    203      -7.7110      1.00000
    204      -7.7079      1.00000
    205      -7.7079      1.00000
