
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -23.6515      1.00000
      2     -21.2449      1.00000
      3     -19.0560      1.00000
      4     -18.8649      1.00000
      5     -18.7455      1.00000
      6     -18.6471      1.00000
      7     -18.4819      1.00000
      8     -18.4700      1.00000
      9     -18.4693      1.00000
     10     -18.4670      1.00000
     11     -18.4595      1.00000
     12     -18.4377      1.00000
     13     -18.3292      1.00000
     14     -18.2846      1.00000
     15     -18.2836      1.00000
     16     -18.2781      1.00000
     17     -18.2664      1.00000
     18     -18.2475      1.00000
     19     -18.2344      1.00000
     20     -18.1961      1.00000
     21     -18.1906      1.00000
     22     -18.1784      1.00000
     23     -18.1402      1.00000
     24     -18.0978      1.00000
     25     -18.0889      1.00000
     26     -18.0799      1.00000
     27     -18.0787      1.00000
     28     -18.0734      1.00000
     29     -18.0485      1.00000
     30     -17.5977      1.00000
     31     -17.5131      1.00000
     32     -17.3893      1.00000
     33     -17.3778      1.00000
     34     -17.3650      1.00000
     35     -17.3191      1.00000
     36     -17.3099      1.00000
     37     -17.2929      1.00000
     38     -17.1758      1.00000
     39     -17.1709      1.00000
     40     -17.1602      1.00000
     41     -17.1421      1.00000
     42     -17.1385      1.00000
     43     -17.1345      1.00000
     44     -17.0968      1.00000
     45     -17.0940      1.00000
     46     -17.0656      1.00000
     47     -17.0128      1.00000
     48     -17.0033      1.00000
     49     -17.0029      1.00000
     50     -16.9894      1.00000
     51     -16.9887      1.00000
     52     -16.9802      1.00000
     53     -16.9186      1.00000
     54     -16.9092      1.00000
     55     -16.8997      1.00000
     56     -16.8983      1.00000
     57     -16.8708      1.00000
     58     -16.8311      1.00000
     59     -16.8156      1.00000
     60     -16.7920      1.00000
     61     -16.7412      1.00000
     62     -16.6778      1.00000
     63     -16.6766      1.00000
     64     -16.6685      1.00000
     65     -16.6496      1.00000
     66     -16.6434      1.00000
     67     -16.6388      1.00000
     68     -16.6030      1.00000
     69     -16.6011      1.00000
     70     -16.5879      1.00000
     71     -16.5239      1.00000
     72     -16.5200      1.00000
     73     -16.5194      1.00000
     74     -16.5111      1.00000
     75     -16.5108      1.00000
     76     -16.5069      1.00000
     77     -16.2171      1.00000
     78     -16.0329      1.00000
     79     -15.7213      1.00000
     80     -15.7176      1.00000
     81     -15.7166      1.00000
     82     -15.7158      1.00000
     83     -15.7124      1.00000
     84     -15.7116      1.00000
     85     -15.7036      1.00000
     86     -15.6326      1.00000
     87     -15.6323      1.00000
     88     -15.6305      1.00000
     89     -15.6265      1.00000
     90     -15.6242      1.00000
     91     -15.6053      1.00000
     92     -15.5614      1.00000
     93     -15.5611      1.00000
     94     -15.5575      1.00000
     95     -15.5287      1.00000
     96     -15.5135      1.00000
     97     -15.4785      1.00000
     98     -15.4753      1.00000
     99     -15.4729      1.00000
    100     -15.4721      1.00000
    101     -15.4649      1.00000
    102     -15.4626      1.00000
    103     -15.4600      1.00000
    104     -15.4500      1.00000
    105     -15.4489      1.00000
    106     -15.4483      1.00000
    107     -15.4426      1.00000
    108     -15.4380      1.00000
    109     -15.4217      1.00000
    110     -15.4141      1.00000
    111     -15.4126      1.00000
    112     -15.4003      1.00000
    113     -15.3944      1.00000
    114     -15.3896      1.00000
    115     -15.3888      1.00000
    116     -15.3865      1.00000
    117     -15.3834      1.00000
    118     -15.3615      1.00000
    119     -15.3613      1.00000
    120     -15.3608      1.00000
    121     -15.3593      1.00000
    122     -15.3587      1.00000
    123     -15.3587      1.00000
    124     -15.3583      1.00000
    125     -15.3576      1.00000
    126     -15.3569      1.00000
    127     -15.3550      1.00000
    128     -15.3527      1.00000
    129     -15.3495      1.00000
    130     -15.3401      1.00000
    131     -15.3321      1.00000
    132     -15.3314      1.00000
    133     -15.2753      1.00000
    134     -15.2689      1.00000
    135     -15.2688      1.00000
    136     -15.2643      1.00000
    137     -14.9621      1.00000
    138     -14.8670      1.00000
    139     -14.7576      1.00000
    140     -14.7384      1.00000
    141     -14.6916      1.00000
    142     -14.6718      1.00000
    143     -14.6258      1.00000
    144     -14.6258      1.00000
    145     -13.1198      1.00000
    146      -9.1446      1.00000
    147      -9.0576      1.00000
    148      -9.0510      1.00000
    149      -9.0486      1.00000
    150      -9.0179      1.00000
    151      -8.8695      1.00000
    152      -8.8680      1.00000
    153      -8.8668      1.00000
    154      -8.8023      1.00000
    155      -8.8019      1.00000
    156      -8.8016      1.00000
    157      -8.6660      1.00000
    158      -8.6366      1.00000
    159      -8.4960      1.00000
    160      -8.3127      1.00000
