
 Fermi energy:         1.4822413374

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -27.5012      1.00000
      2     -21.7970      1.00000
      3     -20.0372      1.00000
      4     -19.1373      1.00000
      5     -18.8005      1.00000
      6     -18.7582      1.00000
      7     -18.6729      1.00000
      8     -18.5558      1.00000
      9     -18.5450      1.00000
     10     -18.4715      1.00000
     11     -18.4428      1.00000
     12     -18.4212      1.00000
     13     -18.2482      1.00000
     14     -18.2159      1.00000
     15     -18.1964      1.00000
     16     -18.1952      1.00000
     17     -18.1792      1.00000
     18     -18.1751      1.00000
     19     -18.1742      1.00000
     20     -18.1736      1.00000
     21     -18.1599      1.00000
     22     -18.1468      1.00000
     23     -18.1438      1.00000
     24     -18.1324      1.00000
     25     -18.0331      1.00000
     26     -17.9839      1.00000
     27     -17.9774      1.00000
     28     -17.9650      1.00000
     29     -17.9603      1.00000
     30     -17.9567      1.00000
     31     -17.9528      1.00000
     32     -17.6262      1.00000
     33     -17.5391      1.00000
     34     -17.4615      1.00000
     35     -17.2544      1.00000
     36     -17.2431      1.00000
     37     -17.1438      1.00000
     38     -17.0918      1.00000
     39     -17.0812      1.00000
     40     -17.0738      1.00000
     41     -17.0736      1.00000
     42     -17.0654      1.00000
     43     -17.0558      1.00000
     44     -17.0553      1.00000
     45     -17.0526      1.00000
     46     -17.0511      1.00000
     47     -17.0503      1.00000
     48     -17.0489      1.00000
     49     -17.0476      1.00000
     50     -17.0121      1.00000
     51     -16.9943      1.00000
     52     -16.9612      1.00000
     53     -16.8747      1.00000
     54     -16.8746      1.00000
     55     -16.8733      1.00000
     56     -16.8733      1.00000
     57     -16.8732      1.00000
     58     -16.8727      1.00000
     59     -16.6897      1.00000
     60     -16.6823      1.00000
     61     -16.5927      1.00000
     62     -16.5880      1.00000
     63     -16.5859      1.00000
     64     -16.5859      1.00000
     65     -16.5659      1.00000
     66     -16.5655      1.00000
     67     -16.5648      1.00000
     68     -16.5648      1.00000
     69     -16.5643      1.00000
     70     -16.5641      1.00000
     71     -16.5637      1.00000
     72     -16.5626      1.00000
     73     -16.3969      1.00000
     74     -16.3958      1.00000
     75     -16.3955      1.00000
     76     -16.3954      1.00000
     77     -16.3944      1.00000
     78     -16.3942      1.00000
     79     -16.1522      1.00000
     80     -16.0644      1.00000
     81     -15.9311      1.00000
     82     -15.9033      1.00000
     83     -15.7907      1.00000
     84     -15.7291      1.00000
     85     -15.7204      1.00000
     86     -15.6885      1.00000
     87     -15.6545      1.00000
     88     -15.6338      1.00000
     89     -15.6168      1.00000
     90     -15.6040      1.00000
     91     -15.5253      1.00000
     92     -15.4238      1.00000
     93     -15.4237      1.00000
     94     -15.4165      1.00000
     95     -15.4159      1.00000
     96     -15.4109      1.00000
     97     -15.4095      1.00000
     98     -15.4049      1.00000
     99     -15.4042      1.00000
    100     -15.4000      1.00000
    101     -15.3982      1.00000
    102     -15.3934      1.00000
    103     -15.3931      1.00000
    104     -15.3813      1.00000
    105     -15.3789      1.00000
    106     -15.3778      1.00000
    107     -15.3760      1.00000
    108     -15.3705      1.00000
    109     -15.3703      1.00000
    110     -15.3670      1.00000
    111     -15.3669      1.00000
    112     -15.3668      1.00000
    113     -15.3663      1.00000
    114     -15.3564      1.00000
    115     -15.3560      1.00000
    116     -15.2760      1.00000
    117     -15.2759      1.00000
    118     -15.2757      1.00000
    119     -15.2708      1.00000
    120     -15.2701      1.00000
    121     -15.2699      1.00000
    122     -15.2450      1.00000
    123     -15.2445      1.00000
    124     -15.2409      1.00000
    125     -15.2405      1.00000
    126     -15.2386      1.00000
    127     -15.2378      1.00000
    128     -15.2308      1.00000
    129     -15.2307      1.00000
    130     -15.2287      1.00000
    131     -15.2283      1.00000
    132     -15.2257      1.00000
    133     -15.2255      1.00000
    134     -15.1395      1.00000
    135     -15.1393      1.00000
    136     -15.1393      1.00000
    137     -15.0590      1.00000
    138     -15.0333      1.00000
    139     -14.6266      1.00000
    140     -14.6260      1.00000
    141     -14.6257      1.00000
    142     -14.6255      1.00000
    143     -14.4969      1.00000
    144     -14.4952      1.00000
    145     -14.4952      1.00000
    146     -10.6933      1.00000
    147     -10.2938      1.00000
    148      -9.4864      1.00000
    149      -8.9717      1.00000
    150      -8.9606      1.00000
    151      -8.9189      1.00000
    152      -8.8137      1.00000
    153      -8.8129      1.00000
    154      -8.8126      1.00000
    155      -8.8091      1.00000
    156      -8.8082      1.00000
    157      -8.8073      1.00000
    158      -8.6725      1.00000
    159      -8.6725      1.00000
    160      -8.6724      1.00000
    161      -8.6229      1.00000
    162      -8.4627      1.00000
    163      -8.3825      1.00000
    164      -8.3647      1.00000
    165      -8.2790      1.00000
    166      -8.2088      1.00000
    167      -8.2022      1.00000
    168      -8.1835      1.00000
    169      -8.1586      1.00000
    170      -8.0451      1.00000
    171      -8.0440      1.00000
    172      -7.8910      1.00000
    173      -7.8903      1.00000
    174      -7.8902      1.00000
    175      -7.8889      1.00000
    176      -7.8886      1.00000
    177      -7.8885      1.00000
    178      -7.8876      1.00000
    179      -7.8869      1.00000
    180      -7.8732      1.00000
    181      -7.8730      1.00000
    182      -7.8718      1.00000
    183      -7.8715      1.00000
    184      -7.8656      1.00000
    185      -7.8650      1.00000
    186      -7.8643      1.00000
    187      -7.8640      1.00000
    188      -7.8542      1.00000
    189      -7.8531      1.00000
    190      -7.8528      1.00000
    191      -7.8516      1.00000
    192      -7.8514      1.00000
    193      -7.8509      1.00000
    194      -7.8509      1.00000
    195      -7.8508      1.00000
    196      -7.7668      1.00000
    197      -7.7360      1.00000
    198      -7.7356      1.00000
    199      -7.7354      1.00000
    200      -7.7349      1.00000
    201      -7.7316      1.00000
    202      -7.7313      1.00000
    203      -7.7278      1.00000
    204      -7.7276      1.00000
    205      -7.7247      1.00000
    206      -7.7244      1.00000
    207      -7.7241      1.00000
    208      -7.7240      1.00000
    209      -7.6526      1.00000
    210      -7.6510      1.00000
    211      -7.6377      1.00000
    212      -7.6375      1.00000
    213      -7.5783      1.00000
    214      -7.5097      1.00000
    215      -7.4851      1.00000
    216      -7.4840      1.00000
    217      -7.1644      1.00000
    218      -7.1564      1.00000
    219      -7.1252      1.00000
    220      -6.9994      1.00000
    221      -6.9137      1.00000
    222      -6.8965      1.00000
    223      -6.8958      1.00000
    224      -6.8894      1.00000
    225      -6.8889      1.00000
    226      -6.7612      1.00000
    227      -6.7611      1.00000
    228      -6.5964      1.00000
    229      -6.5334      1.00000
    230      -6.5333      1.00000
    231      -6.5330      1.00000
    232      -6.5329      1.00000
    233      -6.5323      1.00000
    234      -6.5323      1.00000
    235      -6.5323      1.00000
    236      -6.5317      1.00000
    237      -6.5314      1.00000
    238      -6.5309      1.00000
    239      -6.5302      1.00000
    240      -6.5241      1.00000
    241      -6.3910      1.00000
    242      -6.3909      1.00000
    243      -6.3908      1.00000
    244      -6.3907      1.00000
    245      -6.3906      1.00000
    246      -6.3906      1.00000
    247      -6.1937      1.00000
    248      -6.1159      1.00000
    249      -5.9259      1.00000
    250      -5.7414      1.00000
    251      -5.7161      1.00000
    252      -5.5265      1.00000
    253      -5.4965      1.00000
    254      -5.4700      1.00000
    255      -5.4379      1.00000
    256      -5.3212      1.00000
    257      -5.2082      1.00000
    258      -5.2021      1.00000
    259      -5.1500      1.00000
    260      -5.1167      1.00000
    261      -5.1095      1.00000
    262      -5.1012      1.00000
    263      -5.0843      1.00000
    264      -5.0636      1.00000
    265      -5.0571      1.00000
    266      -5.0069      1.00000
    267      -5.0031      1.00000
    268      -5.0017      1.00000
    269      -5.0011      1.00000
    270      -5.0006      1.00000
    271      -4.9998      1.00000
    272      -4.9993      1.00000
    273      -4.9924      1.00000
    274      -4.9922      1.00000
    275      -4.9919      1.00000
    276      -4.9917      1.00000
    277      -4.9912      1.00000
    278      -4.9910      1.00000
    279      -4.9302      1.00000
    280      -4.9136      1.00000
    281      -4.8773      1.00000
    282      -4.8637      1.00000
    283      -4.8636      1.00000
    284      -4.8636      1.00000
    285      -4.8636      1.00000
    286      -4.8636      1.00000
    287      -4.8636      1.00000
    288      -4.8030      1.00000
    289      -4.7748      1.00000
    290      -4.7730      1.00000
    291      -4.7725      1.00000
    292      -4.7722      1.00000
    293      -4.7708      1.00000
    294      -4.7707      1.00000
    295      -4.7706      1.00000
    296      -4.7706      1.00000
    297      -4.7583      1.00000
    298      -4.7578      1.00000
    299      -4.7567      1.00000
    300      -4.7566      1.00000
    301      -4.7452      1.00000
    302      -4.7451      1.00000
    303      -4.7445      1.00000
    304      -4.7445      1.00000
    305      -4.7360      1.00000
    306      -4.7349      1.00000
    307      -4.7344      1.00000
    308      -4.7332      1.00000
    309      -4.7330      1.00000
    310      -4.7328      1.00000
    311      -4.7315      1.00000
    312      -4.7314      1.00000
    313      -4.7304      1.00000
    314      -4.6998      1.00000
    315      -4.6198      1.00000
    316      -4.6194      1.00000
    317      -4.6188      1.00000
    318      -4.6184      1.00000
    319      -4.6152      1.00000
    320      -4.6149      1.00000
    321      -4.6101      1.00000
    322      -4.6099      1.00000
    323      -4.6069      1.00000
    324      -4.6068      1.00000
    325      -4.6059      1.00000
    326      -4.6057      1.00000
    327      -4.4249      1.00000
    328      -4.2126      1.00000
    329      -4.2121      1.00000
    330      -4.0847      1.00000
    331      -4.0781      1.00000
    332      -4.0016      1.00000
    333      -3.9892      1.00000
    334      -3.9580      1.00000
    335      -3.9357      1.00000
    336      -3.9183      1.00000
    337      -3.9095      1.00000
    338      -3.9091      1.00000
    339      -3.8931      1.00000
    340      -3.8777      1.00000
    341      -3.8758      1.00000
    342      -3.8662      1.00000
    343      -3.8498      1.00000
    344      -3.8378      1.00000
    345      -3.8067      1.00000
    346      -3.6937      1.00000
    347      -3.6462      1.00000
    348      -3.6225      1.00000
    349      -3.5226      1.00000
    350      -3.4614      1.00000
    351      -3.4353      1.00000
    352      -3.4339      1.00000
    353      -3.4333      1.00000
    354      -3.4316      1.00000
    355      -3.4312      1.00000
    356      -3.4312      1.00000
    357      -3.3741      1.00000
    358      -3.3697      1.00000
    359      -3.3574      1.00000
    360      -3.3422      1.00000
    361      -3.3172      1.00000
    362      -3.2958      1.00000
    363      -3.2953      1.00000
    364      -3.2953      1.00000
    365      -3.2933      1.00000
    366      -3.1960      1.00000
    367      -3.1839      1.00000
    368      -3.1826      1.00000
    369      -3.1784      1.00000
    370      -3.1782      1.00000
    371      -3.1779      1.00000
    372      -3.1776      1.00000
    373      -3.1774      1.00000
    374      -3.1771      1.00000
    375      -3.1753      1.00000
    376      -3.1750      1.00000
    377      -3.1741      1.00000
    378      -3.1737      1.00000
    379      -3.1686      1.00000
    380      -3.1676      1.00000
    381      -3.1134      1.00000
    382      -3.0903      1.00000
    383      -3.0573      1.00000
    384      -3.0420      1.00000
    385      -3.0417      1.00000
    386      -3.0417      1.00000
    387      -3.0417      1.00000
    388      -3.0416      1.00000
    389      -3.0409      1.00000
    390      -2.9837      1.00000
    391      -2.9722      1.00000
    392      -2.9356      1.00000
    393      -2.9328      1.00000
    394      -2.9094      1.00000
    395      -2.8075      1.00000
    396      -2.8070      1.00000
    397      -2.8067      1.00000
    398      -2.8063      1.00000
    399      -2.8061      1.00000
    400      -2.8060      1.00000
    401      -2.8047      1.00000
    402      -2.8046      1.00000
    403      -2.8042      1.00000
    404      -2.8039      1.00000
    405      -2.8035      1.00000
    406      -2.8035      1.00000
    407      -2.7930      1.00000
    408      -2.7852      1.00000
    409      -2.7073      1.00000
    410      -2.7029      1.00000
    411      -2.6983      1.00000
    412      -2.6737      1.00000
    413      -2.6697      1.00000
    414      -2.6696      1.00000
    415      -2.6696      1.00000
    416      -2.6695      1.00000
    417      -2.6695      1.00000
    418      -2.6694      1.00000
    419      -2.6560      1.00000
    420      -2.6183      1.00000
    421      -2.5920      1.00000
    422      -2.5845      1.00000
    423      -2.5037      1.00000
    424      -2.5008      1.00000
    425      -2.4999      1.00000
    426      -2.4877      1.00000
    427      -2.4865      1.00000
    428      -2.4860      1.00000
    429      -2.4822      1.00000
    430      -2.4818      1.00000
    431      -2.4788      1.00000
    432      -2.4694      1.00000
    433      -2.4675      1.00000
