
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.8487      1.00000
      2     -19.1107      1.00000
      3     -18.9522      1.00000
      4     -18.8712      1.00000
      5     -18.7721      1.00000
      6     -18.6903      1.00000
      7     -18.6052      1.00000
      8     -18.4458      1.00000
      9     -18.4157      1.00000
     10     -18.3811      1.00000
     11     -18.3750      1.00000
     12     -18.3689      1.00000
     13     -18.3423      1.00000
     14     -18.3176      1.00000
     15     -18.3113      1.00000
     16     -18.3052      1.00000
     17     -18.2881      1.00000
     18     -18.2874      1.00000
     19     -18.2665      1.00000
     20     -18.2500      1.00000
     21     -18.2196      1.00000
     22     -18.2111      1.00000
     23     -18.1864      1.00000
     24     -18.1807      1.00000
     25     -18.1555      1.00000
     26     -18.1464      1.00000
     27     -18.1308      1.00000
     28     -18.0737      1.00000
     29     -17.9010      1.00000
     30     -17.7145      1.00000
     31     -17.5211      1.00000
     32     -17.3233      1.00000
     33     -17.2957      1.00000
     34     -17.2647      1.00000
     35     -17.2528      1.00000
     36     -17.2460      1.00000
     37     -17.2413      1.00000
     38     -17.2097      1.00000
     39     -17.1951      1.00000
     40     -17.1735      1.00000
     41     -17.1698      1.00000
     42     -17.1677      1.00000
     43     -17.1616      1.00000
     44     -17.1594      1.00000
     45     -17.1561      1.00000
     46     -17.1538      1.00000
     47     -17.0884      1.00000
     48     -17.0841      1.00000
     49     -17.0759      1.00000
     50     -17.0600      1.00000
     51     -17.0566      1.00000
     52     -17.0468      1.00000
     53     -16.9674      1.00000
     54     -16.9239      1.00000
     55     -16.8177      1.00000
     56     -16.7891      1.00000
     57     -16.7843      1.00000
     58     -16.7484      1.00000
     59     -16.7474      1.00000
     60     -16.7414      1.00000
     61     -16.7302      1.00000
     62     -16.6909      1.00000
     63     -16.6872      1.00000
     64     -16.6828      1.00000
     65     -16.6814      1.00000
     66     -16.6765      1.00000
     67     -16.6742      1.00000
     68     -16.6710      1.00000
     69     -16.6667      1.00000
     70     -16.5991      1.00000
     71     -16.5984      1.00000
