
 Fermi energy:         1.5852576154

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -27.1718      1.00000
      2     -20.0866      1.00000
      3     -19.6974      1.00000
      4     -19.2739      1.00000
      5     -19.0811      1.00000
      6     -18.8444      1.00000
      7     -18.7585      1.00000
      8     -18.7459      1.00000
      9     -18.7254      1.00000
     10     -18.6715      1.00000
     11     -18.5472      1.00000
     12     -18.4381      1.00000
     13     -18.3738      1.00000
     14     -18.2132      1.00000
     15     -18.1980      1.00000
     16     -18.1940      1.00000
     17     -18.1831      1.00000
     18     -18.1682      1.00000
     19     -18.1543      1.00000
     20     -18.1464      1.00000
     21     -18.1302      1.00000
     22     -18.1291      1.00000
     23     -18.1187      1.00000
     24     -18.1140      1.00000
     25     -18.1011      1.00000
     26     -17.9254      1.00000
     27     -17.8741      1.00000
     28     -17.8630      1.00000
     29     -17.8577      1.00000
     30     -17.8493      1.00000
     31     -17.8407      1.00000
     32     -17.8342      1.00000
     33     -17.8287      1.00000
     34     -17.7287      1.00000
     35     -17.5982      1.00000
     36     -17.4553      1.00000
     37     -17.3911      1.00000
     38     -17.3641      1.00000
     39     -17.2209      1.00000
     40     -17.0821      1.00000
     41     -17.0575      1.00000
     42     -17.0526      1.00000
     43     -17.0519      1.00000
     44     -17.0488      1.00000
     45     -17.0473      1.00000
     46     -17.0462      1.00000
     47     -17.0431      1.00000
     48     -17.0392      1.00000
     49     -17.0386      1.00000
     50     -17.0347      1.00000
     51     -17.0326      1.00000
     52     -17.0279      1.00000
     53     -16.9340      1.00000
     54     -16.7490      1.00000
     55     -16.7485      1.00000
     56     -16.7472      1.00000
     57     -16.7463      1.00000
     58     -16.7459      1.00000
     59     -16.7451      1.00000
     60     -16.6401      1.00000
     61     -16.5949      1.00000
     62     -16.5633      1.00000
     63     -16.5607      1.00000
     64     -16.5580      1.00000
     65     -16.5556      1.00000
     66     -16.5523      1.00000
     67     -16.5500      1.00000
     68     -16.5490      1.00000
     69     -16.5482      1.00000
     70     -16.5475      1.00000
     71     -16.5458      1.00000
     72     -16.5421      1.00000
     73     -16.5348      1.00000
     74     -16.2684      1.00000
     75     -16.2658      1.00000
     76     -16.2657      1.00000
     77     -16.2653      1.00000
     78     -16.2649      1.00000
     79     -16.2644      1.00000
     80     -16.2568      1.00000
     81     -16.2063      1.00000
     82     -16.1567      1.00000
     83     -16.0575      1.00000
     84     -15.9792      1.00000
     85     -15.9448      1.00000
     86     -15.9239      1.00000
     87     -15.8802      1.00000
     88     -15.8221      1.00000
     89     -15.7851      1.00000
     90     -15.5036      1.00000
     91     -15.4292      1.00000
     92     -15.4260      1.00000
     93     -15.4205      1.00000
     94     -15.4170      1.00000
     95     -15.4044      1.00000
     96     -15.4022      1.00000
     97     -15.4012      1.00000
     98     -15.3982      1.00000
     99     -15.3884      1.00000
    100     -15.3792      1.00000
    101     -15.3782      1.00000
    102     -15.3716      1.00000
    103     -15.3616      1.00000
    104     -15.3556      1.00000
    105     -15.3540      1.00000
    106     -15.3517      1.00000
    107     -15.3513      1.00000
    108     -15.3454      1.00000
    109     -15.3437      1.00000
    110     -15.3389      1.00000
    111     -15.3366      1.00000
    112     -15.3326      1.00000
    113     -15.3300      1.00000
    114     -15.3272      1.00000
    115     -15.3261      1.00000
    116     -15.2533      1.00000
    117     -15.2505      1.00000
    118     -15.2491      1.00000
    119     -15.2459      1.00000
    120     -15.2447      1.00000
    121     -15.2418      1.00000
    122     -15.1108      1.00000
    123     -15.1092      1.00000
    124     -15.1063      1.00000
    125     -15.1048      1.00000
    126     -15.1007      1.00000
    127     -15.0991      1.00000
    128     -15.0917      1.00000
    129     -15.0916      1.00000
    130     -15.0874      1.00000
    131     -15.0872      1.00000
    132     -15.0836      1.00000
    133     -15.0832      1.00000
    134     -14.9954      1.00000
    135     -14.9948      1.00000
    136     -14.9943      1.00000
    137     -14.7648      1.00000
    138     -14.7238      1.00000
    139     -14.6085      1.00000
    140     -14.6079      1.00000
    141     -14.6074      1.00000
    142     -14.6067      1.00000
    143     -14.3490      1.00000
    144     -14.3490      1.00000
    145     -10.9002      1.00000
    146     -10.6687      1.00000
    147      -9.8531      1.00000
    148      -9.4881      1.00000
    149      -9.3963      1.00000
    150      -9.0838      1.00000
    151      -8.9692      1.00000
    152      -8.8632      1.00000
    153      -8.7993      1.00000
    154      -8.7978      1.00000
    155      -8.7969      1.00000
    156      -8.7942      1.00000
    157      -8.7925      1.00000
    158      -8.7917      1.00000
    159      -8.6726      1.00000
    160      -8.6331      1.00000
    161      -8.5885      1.00000
    162      -8.5400      1.00000
    163      -8.5276      1.00000
    164      -8.5275      1.00000
    165      -8.5274      1.00000
    166      -8.4171      1.00000
    167      -8.3285      1.00000
    168      -8.2525      1.00000
    169      -8.0584      1.00000
    170      -7.8909      1.00000
    171      -7.8895      1.00000
    172      -7.8870      1.00000
    173      -7.8856      1.00000
    174      -7.8839      1.00000
    175      -7.8816      1.00000
    176      -7.8811      1.00000
    177      -7.8786      1.00000
    178      -7.8678      1.00000
    179      -7.8580      1.00000
    180      -7.8566      1.00000
    181      -7.8550      1.00000
    182      -7.8496      1.00000
    183      -7.8481      1.00000
    184      -7.8476      1.00000
    185      -7.8454      1.00000
    186      -7.8449      1.00000
    187      -7.8290      1.00000
    188      -7.8273      1.00000
    189      -7.8269      1.00000
    190      -7.8260      1.00000
    191      -7.8251      1.00000
    192      -7.8231      1.00000
    193      -7.8228      1.00000
    194      -7.8211      1.00000
    195      -7.8093      1.00000
    196      -7.7586      1.00000
    197      -7.6758      1.00000
    198      -7.6251      1.00000
    199      -7.6243      1.00000
    200      -7.6181      1.00000
    201      -7.6178      1.00000
    202      -7.5951      1.00000
    203      -7.5942      1.00000
    204      -7.5940      1.00000
    205      -7.5936      1.00000
    206      -7.5871      1.00000
    207      -7.5862      1.00000
    208      -7.5839      1.00000
    209      -7.5836      1.00000
    210      -7.5775      1.00000
    211      -7.5770      1.00000
    212      -7.5767      1.00000
    213      -7.5761      1.00000
    214      -7.4568      1.00000
    215      -7.3927      1.00000
    216      -7.3472      1.00000
    217      -7.3470      1.00000
    218      -7.2817      1.00000
    219      -7.2454      1.00000
    220      -6.9125      1.00000
    221      -6.8897      1.00000
    222      -6.8801      1.00000
    223      -6.8794      1.00000
    224      -6.8727      1.00000
    225      -6.8721      1.00000
    226      -6.6144      1.00000
    227      -6.6143      1.00000
    228      -6.5591      1.00000
    229      -6.5197      1.00000
    230      -6.5190      1.00000
    231      -6.5177      1.00000
    232      -6.5159      1.00000
    233      -6.5151      1.00000
    234      -6.5148      1.00000
    235      -6.5146      1.00000
    236      -6.5135      1.00000
    237      -6.5133      1.00000
    238      -6.5109      1.00000
    239      -6.5094      1.00000
    240      -6.5086      1.00000
    241      -6.4200      1.00000
    242      -6.2603      1.00000
    243      -6.2475      1.00000
    244      -6.2474      1.00000
    245      -6.2473      1.00000
    246      -6.2470      1.00000
    247      -6.2468      1.00000
    248      -6.2464      1.00000
    249      -6.1124      1.00000
    250      -5.8958      1.00000
    251      -5.8545      1.00000
    252      -5.8327      1.00000
    253      -5.8060      1.00000
    254      -5.6679      1.00000
    255      -5.5999      1.00000
    256      -5.5721      1.00000
    257      -5.4630      1.00000
    258      -5.4497      1.00000
    259      -5.4071      1.00000
    260      -5.3693      1.00000
    261      -5.3159      1.00000
    262      -5.2047      1.00000
    263      -5.1284      1.00000
    264      -5.0366      1.00000
    265      -5.0107      1.00000
    266      -4.9910      1.00000
    267      -4.9871      1.00000
    268      -4.9860      1.00000
    269      -4.9855      1.00000
    270      -4.9851      1.00000
    271      -4.9814      1.00000
    272      -4.9776      1.00000
    273      -4.9775      1.00000
    274      -4.9768      1.00000
    275      -4.9760      1.00000
    276      -4.9751      1.00000
