
 Fermi energy:         6.9639786747

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -23.4920      1.00000
      2     -18.9435      1.00000
      3     -18.8031      1.00000
      4     -18.7936      1.00000
      5     -18.6434      1.00000
      6     -18.4685      1.00000
      7     -18.4685      1.00000
      8     -18.3422      1.00000
      9     -18.3422      1.00000
     10     -18.3305      1.00000
     11     -18.3231      1.00000
     12     -18.2678      1.00000
     13     -18.2678      1.00000
     14     -18.2264      1.00000
     15     -18.2129      1.00000
     16     -18.2129      1.00000
     17     -18.2060      1.00000
     18     -18.2060      1.00000
     19     -18.1983      1.00000
     20     -18.1863      1.00000
     21     -18.1863      1.00000
     22     -18.1814      1.00000
     23     -18.1413      1.00000
     24     -18.0802      1.00000
     25     -18.0802      1.00000
     26     -18.0518      1.00000
     27     -18.0518      1.00000
     28     -18.0442      1.00000
     29     -18.0185      1.00000
     30     -17.3537      1.00000
     31     -17.3536      1.00000
     32     -17.2691      1.00000
     33     -17.2691      1.00000
     34     -17.2459      1.00000
     35     -17.1799      1.00000
     36     -17.1508      1.00000
     37     -17.1508      1.00000
     38     -17.1338      1.00000
     39     -17.1338      1.00000
     40     -17.1233      1.00000
     41     -17.0942      1.00000
     42     -17.0920      1.00000
     43     -17.0920      1.00000
     44     -17.0866      1.00000
     45     -17.0866      1.00000
     46     -17.0829      1.00000
     47     -17.0207      1.00000
     48     -16.9880      1.00000
     49     -16.9880      1.00000
     50     -16.9795      1.00000
     51     -16.9795      1.00000
     52     -16.9733      1.00000
     53     -16.9084      1.00000
     54     -16.7927      1.00000
     55     -16.7927      1.00000
     56     -16.7710      1.00000
     57     -16.7710      1.00000
     58     -16.7495      1.00000
     59     -16.6730      1.00000
     60     -16.6490      1.00000
     61     -16.6490      1.00000
     62     -16.6451      1.00000
     63     -16.6451      1.00000
     64     -16.6356      1.00000
     65     -16.6045      1.00000
     66     -16.6036      1.00000
     67     -16.6035      1.00000
     68     -16.6009      1.00000
     69     -16.6008      1.00000
     70     -16.6005      1.00000
     71     -16.5235      1.00000
     72     -16.5066      1.00000
     73     -16.5066      1.00000
     74     -16.5056      1.00000
     75     -16.5056      1.00000
     76     -16.5013      1.00000
     77     -16.2981      1.00000
     78     -15.8084      1.00000
     79     -15.7398      1.00000
     80     -15.7398      1.00000
     81     -15.6180      1.00000
     82     -15.6180      1.00000
     83     -15.5101      1.00000
     84     -15.5101      1.00000
     85     -15.5064      1.00000
     86     -15.5064      1.00000
     87     -15.4917      1.00000
     88     -15.4845      1.00000
     89     -15.4698      1.00000
     90     -15.4683      1.00000
     91     -15.4683      1.00000
     92     -15.4624      1.00000
     93     -15.4538      1.00000
     94     -15.4538      1.00000
     95     -15.4460      1.00000
     96     -15.4460      1.00000
     97     -15.4370      1.00000
     98     -15.4370      1.00000
     99     -15.4339      1.00000
    100     -15.4339      1.00000
    101     -15.4289      1.00000
    102     -15.4277      1.00000
    103     -15.4277      1.00000
    104     -15.4256      1.00000
    105     -15.4252      1.00000
    106     -15.4202      1.00000
    107     -15.4132      1.00000
    108     -15.4089      1.00000
    109     -15.4089      1.00000
    110     -15.4081      1.00000
    111     -15.4038      1.00000
    112     -15.4038      1.00000
    113     -15.3933      1.00000
    114     -15.3851      1.00000
    115     -15.3851      1.00000
    116     -15.3732      1.00000
    117     -15.3732      1.00000
    118     -15.3690      1.00000
    119     -15.3673      1.00000
    120     -15.3616      1.00000
    121     -15.3616      1.00000
    122     -15.3519      1.00000
    123     -15.3519      1.00000
    124     -15.3509      1.00000
    125     -15.3455      1.00000
    126     -15.3452      1.00000
    127     -15.3452      1.00000
    128     -15.3247      1.00000
    129     -15.3245      1.00000
    130     -15.3245      1.00000
    131     -15.3120      1.00000
    132     -15.3120      1.00000
    133     -15.3102      1.00000
    134     -15.2769      1.00000
    135     -15.2769      1.00000
    136     -15.2762      1.00000
    137     -14.8012      1.00000
    138     -14.7961      1.00000
    139     -14.6644      1.00000
    140     -14.6644      1.00000
    141     -14.6641      1.00000
    142     -14.6641      1.00000
    143     -14.6517      1.00000
    144     -14.6517      1.00000
    145      -9.7549      1.00000
    146      -9.7548      1.00000
    147      -9.0014      1.00000
    148      -8.8633      1.00000
    149      -8.8633      1.00000
    150      -8.8580      1.00000
    151      -8.8498      1.00000
    152      -8.8498      1.00000
    153      -8.8455      1.00000
    154      -8.8157      1.00000
    155      -8.8157      1.00000
    156      -8.8107      1.00000
    157      -8.6382      1.00000
    158      -8.6382      1.00000
    159      -8.1550      1.00000
    160      -8.1550      1.00000
    161      -8.1288      1.00000
    162      -8.0742      1.00000
    163      -8.0545      1.00000
    164      -8.0211      1.00000
    165      -7.9970      1.00000
    166      -7.9970      1.00000
    167      -7.9510      1.00000
    168      -7.9510      1.00000
    169      -7.9320      1.00000
    170      -7.9293      1.00000
    171      -7.9293      1.00000
    172      -7.9277      1.00000
    173      -7.9233      1.00000
    174      -7.9233      1.00000
    175      -7.9227      1.00000
    176      -7.9199      1.00000
    177      -7.9198      1.00000
    178      -7.9187      1.00000
    179      -7.9172      1.00000
    180      -7.9172      1.00000
    181      -7.9161      1.00000
    182      -7.9159      1.00000
    183      -7.9093      1.00000
    184      -7.9093      1.00000
    185      -7.9066      1.00000
    186      -7.9066      1.00000
    187      -7.9025      1.00000
    188      -7.9025      1.00000
    189      -7.8950      1.00000
    190      -7.8944      1.00000
    191      -7.8938      1.00000
    192      -7.8938      1.00000
    193      -7.8746      1.00000
    194      -7.8746      1.00000
    195      -7.8743      1.00000
    196      -7.8724      1.00000
    197      -7.8697      1.00000
    198      -7.8697      1.00000
    199      -7.8637      1.00000
    200      -7.8637      1.00000
    201      -7.8618      1.00000
    202      -7.8616      1.00000
    203      -7.8593      1.00000
    204      -7.8593      1.00000
    205      -7.8128      1.00000
    206      -7.8128      1.00000
    207      -7.7116      1.00000
    208      -7.7116      1.00000
    209      -7.6764      1.00000
    210      -7.6764      1.00000
    211      -7.6055      1.00000
    212      -7.6055      1.00000
    213      -7.1668      1.00000
    214      -7.1668      1.00000
    215      -6.9325      1.00000
    216      -6.9314      1.00000
    217      -6.9254      1.00000
    218      -6.9245      1.00000
    219      -6.9177      1.00000
    220      -6.9177      1.00000
    221      -6.8621      1.00000
    222      -6.8620      1.00000
    223      -6.7950      1.00000
    224      -6.7258      1.00000
    225      -6.7258      1.00000
    226      -6.7177      1.00000
    227      -6.5886      1.00000
    228      -6.5882      1.00000
    229      -6.5881      1.00000
    230      -6.5863      1.00000
    231      -6.5863      1.00000
    232      -6.5851      1.00000
    233      -6.5723      1.00000
    234      -6.5696      1.00000
    235      -6.5696      1.00000
    236      -6.5690      1.00000
    237      -6.5690      1.00000
    238      -6.5680      1.00000
    239      -6.5274      1.00000
    240      -6.5273      1.00000
    241      -6.5273      1.00000
    242      -6.5257      1.00000
    243      -6.5257      1.00000
    244      -6.5248      1.00000
    245      -6.0606      1.00000
    246      -5.7993      1.00000
    247      -5.7993      1.00000
    248      -5.5730      1.00000
    249      -5.3172      1.00000
    250      -5.2944      1.00000
    251      -5.2282      1.00000
    252      -5.2282      1.00000
    253      -5.1026      1.00000
    254      -5.1026      1.00000
    255      -5.0392      1.00000
    256      -5.0392      1.00000
    257      -5.0387      1.00000
    258      -5.0387      1.00000
    259      -5.0378      1.00000
    260      -5.0369      1.00000
    261      -5.0365      1.00000
    262      -5.0365      1.00000
    263      -5.0331      1.00000
    264      -5.0330      1.00000
    265      -5.0330      1.00000
    266      -5.0321      1.00000
    267      -5.0311      1.00000
    268      -5.0311      1.00000
    269      -5.0181      1.00000
    270      -5.0169      1.00000
    271      -5.0166      1.00000
    272      -5.0166      1.00000
    273      -5.0155      1.00000
    274      -5.0155      1.00000
    275      -5.0039      1.00000
    276      -4.9414      1.00000
    277      -4.9414      1.00000
    278      -4.8894      1.00000
    279      -4.8872      1.00000
    280      -4.8872      1.00000
    281      -4.8824      1.00000
    282      -4.8767      1.00000
    283      -4.8762      1.00000
    284      -4.8440      1.00000
    285      -4.8439      1.00000
    286      -4.8332      1.00000
    287      -4.8332      1.00000
    288      -4.8168      1.00000
    289      -4.8159      1.00000
    290      -4.8159      1.00000
    291      -4.8094      1.00000
    292      -4.8094      1.00000
    293      -4.8093      1.00000
    294      -4.8041      1.00000
    295      -4.8029      1.00000
    296      -4.8028      1.00000
    297      -4.7997      1.00000
    298      -4.7975      1.00000
