
 Fermi energy:         1.4179205602

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.0091      1.00000
      2     -19.0336      1.00000
      3     -18.8913      1.00000
      4     -18.6887      1.00000
      5     -18.6115      1.00000
      6     -18.5640      1.00000
      7     -18.5640      1.00000
      8     -18.4474      1.00000
      9     -18.4327      1.00000
     10     -18.4327      1.00000
     11     -18.4309      1.00000
     12     -18.4309      1.00000
     13     -18.4254      1.00000
     14     -18.2754      1.00000
     15     -18.2754      1.00000
     16     -18.2174      1.00000
     17     -18.2064      1.00000
     18     -18.1358      1.00000
     19     -18.1068      1.00000
     20     -18.1068      1.00000
     21     -18.0699      1.00000
     22     -18.0699      1.00000
     23     -18.0562      1.00000
     24     -18.0562      1.00000
     25     -18.0552      1.00000
     26     -18.0382      1.00000
     27     -18.0003      1.00000
     28     -18.0003      1.00000
     29     -17.9735      1.00000
     30     -17.4079      1.00000
     31     -17.4079      1.00000
     32     -17.3523      1.00000
     33     -17.3469      1.00000
     34     -17.3469      1.00000
     35     -17.3146      1.00000
     36     -17.3146      1.00000
     37     -17.2925      1.00000
     38     -17.2748      1.00000
     39     -17.2748      1.00000
     40     -17.2372      1.00000
     41     -17.0132      1.00000
     42     -16.9888      1.00000
     43     -16.9846      1.00000
     44     -16.9846      1.00000
     45     -16.9779      1.00000
     46     -16.9779      1.00000
     47     -16.9756      1.00000
     48     -16.9528      1.00000
     49     -16.9528      1.00000
     50     -16.9387      1.00000
     51     -16.9387      1.00000
     52     -16.9299      1.00000
     53     -16.8708      1.00000
     54     -16.8663      1.00000
     55     -16.8663      1.00000
     56     -16.8655      1.00000
     57     -16.8655      1.00000
     58     -16.7959      1.00000
     59     -16.7958      1.00000
     60     -16.7793      1.00000
     61     -16.7692      1.00000
     62     -16.7367      1.00000
     63     -16.7342      1.00000
     64     -16.7342      1.00000
     65     -16.4949      1.00000
     66     -16.4949      1.00000
     67     -16.4946      1.00000
     68     -16.4916      1.00000
     69     -16.4916      1.00000
     70     -16.4915      1.00000
     71     -16.4913      1.00000
     72     -16.4596      1.00000
     73     -16.4596      1.00000
     74     -16.4572      1.00000
     75     -16.4571      1.00000
     76     -16.4491      1.00000
     77     -16.3293      1.00000
     78     -15.9310      1.00000
     79     -15.8196      1.00000
     80     -15.8196      1.00000
     81     -15.6886      1.00000
     82     -15.6854      1.00000
